method,energy_frac,rwdim,rrdim,nldim,nsr,nqp,time,error
EQP,0.9,1,2,2,5,5,0.016335789,0.2166889933698963
EQP,0.9,1,2,2,10,10,0.018045313,0.2157210264504875
EQP,0.9,1,2,2,15,15,0.023373446,0.2163886648947685
EQP,0.9,1,2,2,20,20,0.023056813,0.2158304163643987
EQP,0.9,1,2,2,25,25,0.02461849,0.216161207337762
EQP,0.9,1,2,2,30,30,0.026714499,0.2159968986423588
EQP,0.9,1,2,2,35,35,0.028819379,0.215984815216323
EQP,0.9,1,2,2,40,35,0.029256212,0.2159899415611896
EQP,0.9,1,2,2,45,35,0.028879148,0.2159899415611896
EQP,0.9,1,2,2,50,35,0.029071237,0.2159899415611896
EQP,0.9,1,2,2,60,35,0.029748504,0.2159899415611896
EQP,0.9,1,2,2,70,35,0.030259204,0.2159899415611896
EQP,0.9,1,2,2,80,35,0.029993154,0.2159899415611896
EQP,0.9,1,2,2,90,35,0.029539776,0.2159899415611896
EQP,0.9,1,2,2,100,35,0.029643011,0.2159899415611896
EQP,0.9,1,2,2,110,35,0.029679555,0.2159899415611896
EQP,0.9,1,2,2,120,35,0.029529497,0.2159899415611896
EQP,0.9,1,2,2,130,35,0.029511976,0.2159899415611896
EQP,0.9,1,2,2,140,35,0.029322064,0.2159899415611896
EQP,0.9,1,2,2,150,35,0.029903419,0.2159899415611896
SOPT,0.9,1,2,2,5,40,0.070266853,0.2129630666972735
gappy-POD,0.9,1,2,2,5,40,0.07002108400000001,0.2129630666972734
QDEIM,0.9,1,2,2,5,40,0.070351546,0.2130809876396049
SOPT,0.9,1,2,2,10,80,0.113381075,0.2128856016717328
gappy-POD,0.9,1,2,2,10,80,0.118324837,0.2129630666972735
QDEIM,0.9,1,2,2,10,76,0.110669993,0.2129320974246313
SOPT,0.9,1,2,2,15,104,0.138813217,0.212885601671733
gappy-POD,0.9,1,2,2,15,120,0.153074513,0.2129630666972733
QDEIM,0.9,1,2,2,15,112,0.147582467,0.2124981912059017
SOPT,0.9,1,2,2,20,144,0.180606823,0.212885601671733
gappy-POD,0.9,1,2,2,20,160,0.194389192,0.2129655526104398
SOPT,0.9,1,2,2,25,180,0.213601625,0.2128856016717328
gappy-POD,0.9,1,2,2,25,200,0.239254649,0.2129704178176537
QDEIM,0.9,1,2,2,25,176,0.214122183,0.2138224172565957
SOPT,0.9,1,2,2,30,220,0.259374476,0.212885601671733
gappy-POD,0.9,1,2,2,30,240,0.28060287,0.2129689909688221
QDEIM,0.9,1,2,2,30,216,0.256272266,0.2136125815927751
SOPT,0.9,1,2,2,35,252,0.288188417,0.2128856016717328
gappy-POD,0.9,1,2,2,35,276,0.32053811,0.2129871885210705
QDEIM,0.9,1,2,2,35,252,0.295270201,0.2132853494953581
SOPT,0.9,1,2,2,40,292,0.3308068989999999,0.212885601671733
gappy-POD,0.9,1,2,2,40,304,0.353013412,0.2130096254491898
QDEIM,0.9,1,2,2,40,280,0.32630733,0.2130583781478499
SOPT,0.9,1,2,2,45,332,0.376094871,0.2128856016717328
gappy-POD,0.9,1,2,2,45,336,0.381304555,0.2130294202398249
QDEIM,0.9,1,2,2,45,308,0.355424808,0.2131665142007443
SOPT,0.9,1,2,2,50,368,0.409974949,0.2128856016717328
gappy-POD,0.9,1,2,2,50,364,0.4139430549999999,0.2130456575716627
QDEIM,0.9,1,2,2,50,332,0.4402879169999999,0.2131307688268943
SOPT,0.9,1,2,2,100,608,0.6660132990000001,0.2128841010370484
gappy-POD,0.9,1,2,2,100,688,0.7083497240000001,0.2168272377866881
QDEIM,0.9,1,2,2,100,644,0.828270348,0.215295239111126
SOPT,0.9,1,2,2,200,1016,1.138133195,0.2123687439442734
gappy-POD,0.9,1,2,2,200,1184,1.199035118,0.2171479404229499
QDEIM,0.9,1,2,2,200,1212,1.416238331,0.2180227261578465
SOPT,0.9,1,2,2,300,1344,1.441673806,0.2112779772033452
gappy-POD,0.9,1,2,2,300,1616,1.631100489,0.2164499641358278
QDEIM,0.9,1,2,2,300,1680,1.947342754,0.2185727478651755
SOPT,0.9,1,2,2,400,1748,1.913398032,0.2100497238589736
gappy-POD,0.9,1,2,2,400,1936,1.915443853,0.2180827050203688
QDEIM,0.9,1,2,2,400,2064,2.348880441,0.2186122377988768
SOPT,0.9,1,2,2,500,2068,2.247448968,0.2089601463425539
gappy-POD,0.9,1,2,2,500,2280,2.260858661,0.2175320829681153
QDEIM,0.9,1,2,2,500,2396,2.718153853,0.2185644317420219
SOPT,0.9,1,2,2,600,2420,2.631415304,0.2104245400527084
gappy-POD,0.9,1,2,2,600,2592,2.574162482,0.2173230542532103
QDEIM,0.9,1,2,2,600,2704,3.125689847,0.2182074984103044
SOPT,0.9,1,2,2,700,2728,2.891179175,0.2113318464422601
gappy-POD,0.9,1,2,2,700,2936,2.922625894,0.2173215568490301
QDEIM,0.9,1,2,2,700,2952,3.223730605,0.2180680922263109
SOPT,0.9,1,2,2,800,2964,3.053768794,0.211814072827999
gappy-POD,0.9,1,2,2,800,3200,3.527773461,0.2172349178747633
QDEIM,0.9,1,2,2,800,3184,3.521094209,0.2177010227432987
SOPT,0.9,1,2,2,900,3204,3.310583505,0.2113253486407423
gappy-POD,0.9,1,2,2,900,3408,3.386344328,0.2171252577731853
QDEIM,0.9,1,2,2,900,3412,3.808124207,0.2173621794775407
SOPT,0.9,1,2,2,1000,3360,3.475923565,0.21158268307502
gappy-POD,0.9,1,2,2,1000,3568,3.620686823,0.2170095347390613
QDEIM,0.9,1,2,2,1000,3540,4.045168376,0.2171022558223765
SOPT,0.9,1,2,2,1100,3656,3.740053957,0.2118581991465582
gappy-POD,0.9,1,2,2,1100,3680,3.662018194,0.2169342253181604
QDEIM,0.9,1,2,2,1100,3640,4.085255928,0.2170671551334912
SOPT,0.9,1,2,2,1200,3780,3.841497556,0.2125766407363334
gappy-POD,0.9,1,2,2,1200,3728,3.641901605,0.2168776092317403
QDEIM,0.9,1,2,2,1200,3740,4.201111997,0.2170534239064517
SOPT,0.9,1,2,2,1300,3860,3.93328619,0.2146317094804067
gappy-POD,0.9,1,2,2,1300,3824,3.856882378,0.2168220109381211
QDEIM,0.9,1,2,2,1300,3824,4.145184927,0.2170531630751503
SOPT,0.9,1,2,2,1400,3932,4.0178306,0.2160102039632923
gappy-POD,0.9,1,2,2,1400,3872,3.860815028,0.2168029477250497
QDEIM,0.9,1,2,2,1400,3888,4.359038184,0.2169405752347832
SOPT,0.9,1,2,2,1500,4036,4.049119767,0.2176837914842177
gappy-POD,0.9,1,2,2,1500,3952,3.933009497,0.2167956012695913
QDEIM,0.9,1,2,2,1500,3952,4.351506918,0.216877349797461
SOPT,0.9,1,2,2,1600,4084,4.106296585,0.2174278698186598
gappy-POD,0.9,1,2,2,1600,4032,4.012771772,0.2167854365010053
QDEIM,0.9,1,2,2,1600,4000,4.208913713,0.2168454081264309
SOPT,0.9,1,2,2,1700,4084,4.109867826,0.2172920864803282
gappy-POD,0.9,1,2,2,1700,4032,4.059699882,0.216780885480211
QDEIM,0.9,1,2,2,1700,4032,4.53751045,0.2168097664222617
SOPT,0.9,1,2,2,1800,4084,4.101491699,0.216997239942538
gappy-POD,0.9,1,2,2,1800,4080,4.021469232,0.2167772898357278
QDEIM,0.9,1,2,2,1800,4080,4.551788953,0.2167772898357278
SOPT,0.9,1,2,2,1900,4088,4.028176695,0.2170665330898838
gappy-POD,0.9,1,2,2,1900,4080,4.063816363,0.2167759712867096
QDEIM,0.9,1,2,2,1900,4080,4.638181667,0.2167759716927462
SOPT,0.9,1,2,2,2000,4096,3.961200438,0.2171450276139286
gappy-POD,0.9,1,2,2,2000,4096,4.038946137,0.2167754945325883
QDEIM,0.9,1,2,2,2000,4096,4.494021552,0.2167754945325883
SOPT,0.9,1,2,2,2100,4096,4.067234204,0.2167907989316538
gappy-POD,0.9,1,2,2,2100,4096,4.151341459,0.2167754468113657
QDEIM,0.9,1,2,2,2100,4096,4.583899297,0.2167754468113657
EQPGlobal,0.99,2,3,3,2100,47,0.050095273,0.1010080355169954
EQP,0.99,2,3,3,5,5,0.02382496,0.1009737439732948
EQP,0.99,2,3,3,10,10,0.026796748,0.1022818526790386
EQP,0.99,2,3,3,15,15,0.030679662,0.1013031095396164
EQP,0.99,2,3,3,20,20,0.03362295,0.1011223443339734
EQP,0.99,2,3,3,25,25,0.037133702,0.1010730114464067
EQP,0.99,2,3,3,30,30,0.040639253,0.1010071022917661
EQP,0.99,2,3,3,35,35,0.043124564,0.1010632544386682
EQP,0.99,2,3,3,40,40,0.045778169,0.1010075026901409
EQP,0.99,2,3,3,45,45,0.04876217699999996,0.1010070889407612
EQP,0.99,2,3,3,50,47,0.050327264,0.1010080355169954
EQP,0.99,2,3,3,60,47,0.05032596,0.1010080355169954
EQP,0.99,2,3,3,70,47,0.049673926,0.1010080355169954
EQP,0.99,2,3,3,80,47,0.049793374,0.1010080355169954
EQP,0.99,2,3,3,90,47,0.05028752500000001,0.1010080355169954
EQP,0.99,2,3,3,100,47,0.049583632,0.1010080355169954
EQP,0.99,2,3,3,110,47,0.049259694,0.1010080355169954
EQP,0.99,2,3,3,120,47,0.05064969900000001,0.1010080355169954
EQP,0.99,2,3,3,130,47,0.049844148,0.1010080355169954
EQP,0.99,2,3,3,140,47,0.05008942700000001,0.1010080355169954
EQP,0.99,2,3,3,150,47,0.05081648900000001,0.1010080355169954
SOPT,0.99,2,3,3,5,40,0.076587875,0.09905626309612953
gappy-POD,0.99,2,3,3,5,40,0.07676388200000001,0.09542024093040515
QDEIM,0.99,2,3,3,5,40,0.07610061,0.1010567765182044
SOPT,0.99,2,3,3,10,76,0.1164234449999999,0.09864018961849366
gappy-POD,0.99,2,3,3,10,80,0.123586317,0.09542024093040519
QDEIM,0.99,2,3,3,10,80,0.120924156,0.1012911540898969
SOPT,0.99,2,3,3,15,104,0.149367594,0.09867174432253403
gappy-POD,0.99,2,3,3,15,120,0.167559918,0.09542024093040508
QDEIM,0.99,2,3,3,15,120,0.16423718,0.1014233740270964
SOPT,0.99,2,3,3,20,140,0.1877683379999999,0.09867174432253403
gappy-POD,0.99,2,3,3,20,160,0.20942579,0.09542024093040508
QDEIM,0.99,2,3,3,20,160,0.207610537,0.1013793649736872
SOPT,0.99,2,3,3,25,168,0.220759699,0.09867174432253403
QDEIM,0.99,2,3,3,25,200,0.251036685,0.1015323397258856
SOPT,0.99,2,3,3,30,208,0.265021108,0.09867174432253403
gappy-POD,0.99,2,3,3,30,240,0.301322401,0.0955322555100919
QDEIM,0.99,2,3,3,30,240,0.291515081,0.101817281292259
SOPT,0.99,2,3,3,35,244,0.302076995,0.09867174432253403
gappy-POD,0.99,2,3,3,35,280,0.351952386,0.09557490788035475
QDEIM,0.99,2,3,3,35,280,0.336054407,0.101925083717116
SOPT,0.99,2,3,3,40,284,0.346483274,0.09867174432253403
gappy-POD,0.99,2,3,3,40,320,0.389538861,0.09564051053166703
QDEIM,0.99,2,3,3,40,320,0.377626735,0.1020392204893449
SOPT,0.99,2,3,3,45,316,0.38061175,0.09867174432253403
gappy-POD,0.99,2,3,3,45,360,0.435805472,0.09567384637849824
QDEIM,0.99,2,3,3,45,360,0.419970608,0.1022499284210033
SOPT,0.99,2,3,3,50,356,0.4238720600000001,0.09867174432253403
gappy-POD,0.99,2,3,3,50,396,0.471681469,0.09566756329621606
QDEIM,0.99,2,3,3,50,400,0.535675516,0.1025206544823941
SOPT,0.99,2,3,3,100,636,0.728949729,0.09867210668190796
gappy-POD,0.99,2,3,3,100,736,0.835111264,0.09771638012423238
QDEIM,0.99,2,3,3,100,632,0.828561407,0.1028089509311028
SOPT,0.99,2,3,3,200,1004,1.145447289,0.09879917786036896
gappy-POD,0.99,2,3,3,200,1276,1.456010748,0.1001540645134603
QDEIM,0.99,2,3,3,200,1060,1.28963462,0.109098200024576
SOPT,0.99,2,3,3,300,1364,1.610735943,0.09929633774233435
gappy-POD,0.99,2,3,3,300,1664,1.874870017,0.100563694267627
QDEIM,0.99,2,3,3,300,1392,1.679410259,0.1101105392754189
