method,t,ws,nsr,TT3,TT4,ErrX,ErrV,ErrE
sopt,0.1,5,2,6.35e+01,5.53458,1.59e+01,8.17879e-06,0.000874309,0.000125461
qdeim,0.1,5,2,6.35e+01,4.78363,1.39e+01,9.11095e-06,0.00118158,0.000591828
gnat,0.1,5,2,6.35e+01,4.32467,1.05e+01,1.00921e-05,0.000968594,0.000321644
sopt,0.1,10,2,6.36e+01,3.34889,8.37e+00,1.69723e-05,0.00123368,0.000700619
qdeim,0.1,10,2,6.36e+01,3.68349,8.53e+00,1.03398e-05,0.00102049,0.000191928
gnat,0.1,10,2,6.36e+01,2.92318,8.45e+00,1.28884e-05,0.00255558,0.000640256
sopt,0.1,15,2,6.34e+01,2.36276,6.16e+00,3.05591e-05,0.0031189,0.000521127
qdeim,0.1,15,2,6.34e+01,2.39621,5.88e+00,7.3977e-06,0.00108108,0.000307898
gnat,0.1,15,2,6.34e+01,6.16165,6.21e+00,4.14529e-06,0.00164518,0.000266618
sopt,0.1,20,2,6.34e+01,2.47641,5.70e+00,1.02838e-05,0.000718135,0.00070957
qdeim,0.1,20,2,6.34e+01,2.92277,5.96e+00,1.05616e-05,0.00105897,0.000597814
gnat,0.1,20,2,6.34e+01,2.87292,6.34e+00,1.18591e-05,0.00157362,0.000947561
sopt,0.1,25,2,6.25e+01,2.26514,5.21e+00,7.85874e-06,0.00124546,0.000260279
qdeim,0.1,25,2,6.25e+01,2.24177,5.22e+00,7.20384e-06,0.00120134,0.000121819
gnat,0.1,25,2,6.25e+01,2.2176,5.23e+00,7.46761e-06,0.000917483,0.000136314
sopt,0.1,30,2,6.60e+01,2.14388,6.08e+00,1.17486e-05,0.0010407,0.00123746
qdeim,0.1,30,2,6.60e+01,2.30944,5.22e+00,7.60536e-06,0.000761538,8.36682e-05
gnat,0.1,30,2,6.60e+01,2.03839,5.80e+00,9.87594e-06,0.00214878,0.000945638
sopt,0.1,35,2,6.55e+01,2.48622,5.38e+00,3.34212e-06,0.00107089,0.000202385
qdeim,0.1,35,2,6.55e+01,2.6832,4.71e+00,1.00643e-05,0.00227066,0.000692012
gnat,0.1,35,2,6.55e+01,2.09815,4.58e+00,7.31704e-06,0.00118676,0.000354164
sopt,0.1,40,2,6.32e+01,2.40408,5.21e+00,8.1323e-06,0.00130892,0.00017513
qdeim,0.1,40,2,6.32e+01,2.53474,4.67e+00,8.94793e-06,0.00088118,0.000327951
gnat,0.1,40,2,6.32e+01,2.06652,6.22e+00,3.18119e-05,0.00277403,0.000453982
sopt,0.1,45,2,6.34e+01,2.1279,5.66e+00,7.26091e-06,0.0021175,0.000834556
qdeim,0.1,45,2,6.34e+01,2.40092,4.32e+00,1.06886e-05,0.003557,0.000211556
gnat,0.1,45,2,6.34e+01,2.00241,4.43e+00,1.14424e-05,0.00150756,0.00120855
sopt,0.1,50,2,6.38e+01,108.05,3.38e+02,2.78508e-05,0.00448405,0.00125241
qdeim,0.1,50,2,6.38e+01,8.23765,2.70e+01,7.48975e-06,0.000736814,0.000454379
gnat,0.1,50,2,6.38e+01,7.79062,1.82e+01,1.27005e-05,0.00173953,0.00101489
sopt,0.1,55,2,,15.4914,2.06e+01,8.00391e-06,0.000741341,0.000256146
qdeim,0.1,55,2,,3.34511,7.38e+00,8.06961e-06,0.00176096,0.000251077
gnat,0.1,55,2,,12.2609,2.90e+01,7.78295e-06,0.00192555,0.000379832
sopt,0.1,60,2,6.53e+01,3.1764,7.46e+00,7.60818e-06,0.000828442,0.00042727
qdeim,0.1,60,2,6.53e+01,2.53836,5.32e+00,8.99117e-06,0.000453745,0.000414805
gnat,0.1,60,2,6.53e+01,2.46536,7.01e+00,3.37482e-05,0.0034692,0.00050677
sopt,0.1,65,2,6.42e+01,2.54316,4.90e+00,1.17792e-05,0.0011183,0.000176432
qdeim,0.1,65,2,6.42e+01,3.22076,4.91e+00,1.20528e-05,0.00128894,0.00042563
gnat,0.1,65,2,6.42e+01,2.05952,5.45e+00,7.3458e-06,0.00283531,0.000380118
sopt,0.1,70,2,6.42e+01,24.2439,2.22e+02,9.44927e-06,0.0010899,0.000364971
qdeim,0.1,70,2,6.42e+01,6.43795,1.31e+02,2.72265e-05,0.00437424,0.000438418
gnat,0.1,70,2,6.42e+01,8.5256,2.09e+01,9.48232e-06,0.00149489,0.000401672
sopt,0.1,75,2,7.96e+01,4.12914,8.72e+00,7.868e-06,0.000692442,0.000230251
qdeim,0.1,75,2,7.96e+01,4.55421,9.14e+00,1.45329e-05,0.00255462,0.000568117
gnat,0.1,75,2,7.96e+01,2.12077,4.49e+00,1.1508e-05,0.00284462,0.000137276
