sopt,0.1,0.9999,40,27,2,1536,1024,1472,1344,1600,1472,1472,1344,1152,1280,1280,1344,1088,1600,1344,1472,1152,1216,1152,1088,1024,1088,1024,1024,1280,1344,1344,2.92401,0.0518109,0.178313,0.00865562
qdeim,0.1,0.9999,40,27,2,960,1088,1216,1408,1472,1216,1408,1472,1152,1088,1216,1600,1024,1472,960,1408,1088,1280,1216,960,832,960,832,1088,1024,1216,1344,2.69417,0.0519436,0.266274,0.0163847
gnat,0.1,0.9999,40,27,2,896,1088,1344,1408,1408,1408,1472,1536,1088,960,960,1408,1024,1088,1024,1088,896,960,1280,832,896,832,896,960,1024,1152,1216,2.81761,0.0514605,0.162154,0.00489399
sopt,0.1,0.9999,40,27,3,2176,1984,2560,2112,2304,2368,2432,1984,1792,1920,1856,2112,1920,2496,2112,2240,2112,2112,1920,1664,1600,1600,1664,1600,1920,1920,2048,3.5979,0.0477782,0.0499887,0.00485072
qdeim,0.1,0.9999,40,27,3,1472,1536,1856,1792,1984,1728,2048,2048,1728,1792,1408,2112,1536,1984,1472,2240,1536,1792,1792,1408,1280,1472,1280,1600,1536,1984,2112,3.57559,0.0485464,0.111424,0.00893019
gnat,0.1,0.9999,40,27,3,1280,1472,1920,1920,1920,2112,2112,2240,1600,1344,1408,1920,1536,1536,1280,1600,1216,1344,1728,1216,1280,1024,1280,1280,1600,1600,1792,3.05197,0.0480027,0.168019,0.00483944
sopt,0.1,0.9999,40,27,4,3456,3008,3776,3392,3200,3072,3264,3008,2688,2560,2368,2944,2688,3264,3072,3072,2880,2816,2944,2496,2112,2112,2240,2624,2560,2688,2816,4.57642,0.0443772,0.0596484,0.00407434
qdeim,0.1,0.9999,40,27,4,1792,1984,2432,2240,2688,2176,2688,2624,2240,2496,1664,2688,2176,2688,1728,2944,1984,2304,2368,1856,1664,1792,1664,2048,2048,2560,2880,3.9153,0.0455467,0.0621789,0.00712947
gnat,0.1,0.9999,40,27,4,1664,1984,2560,2560,2560,2752,2752,2816,2176,1600,1728,2432,1856,2048,1600,2048,1792,1728,2240,1536,1536,1408,1536,1536,2048,1984,2304,3.56531,0.0449652,0.159107,0.00480823
sopt,0.1,0.9999,40,27,5,4032,4288,4672,4096,4480,3456,4160,3776,3456,3264,2944,4224,3328,4096,3840,4096,3520,3584,3968,3200,2688,2560,2752,3392,3200,3456,3776,5.406,0.0417628,0.0560477,0.00307998
qdeim,0.1,0.9999,40,27,5,2112,2368,2944,2432,3200,2816,3328,2944,2816,3008,1920,3200,2880,3328,2176,3712,2368,2688,2944,2240,1920,2112,1856,2624,2304,2944,3584,4.41852,0.0428222,0.0779319,0.00561134
gnat,0.1,0.9999,40,27,5,2048,2432,3072,3072,3136,3200,3392,3456,2624,2048,2112,2816,2112,2560,1920,2432,2112,2112,2560,1792,1792,1536,1984,1792,2496,2560,2752,3.9392,0.0424236,0.139617,0.00471738
sopt,0.1,0.9999,40,27,6,4544,4800,5568,4864,5888,4352,4992,4864,4160,3776,3584,5312,3840,5248,4480,4736,4288,4672,4800,3584,3328,3072,3264,4416,3968,4352,4672,6.07168,0.0395816,0.0591522,0.00307173
qdeim,0.1,0.9999,40,27,6,2432,2944,3392,2688,3840,3392,3904,3264,3392,3200,2304,3712,3520,3520,2624,4288,2816,3136,3200,2688,2368,2560,2112,2816,2304,3328,4288,4.73952,0.0406102,0.0574227,0.00497277
gnat,0.1,0.9999,40,27,6,2432,2944,3584,3584,3584,3712,3968,4032,3136,2432,2432,3200,2496,2944,2176,2816,2496,2432,2880,2048,2048,1792,2368,2176,2944,2944,3200,4.59352,0.0399867,0.11498,0.00465478
sopt,0.1,0.9999,40,27,7,5248,5440,6208,5632,6656,5440,6400,5696,4864,4672,4480,6144,4416,6144,5056,5760,4608,5184,5376,4096,3968,3520,3648,5312,4736,4992,5696,7.11157,0.0376836,0.0817255,0.00252022
qdeim,0.1,0.9999,40,27,7,2816,3520,4032,3072,4160,3904,4160,3648,3776,3392,2496,3968,4096,3712,2944,4672,3200,3520,3648,3136,2624,2752,2560,3008,2432,3584,5056,5.7443,0.0388072,0.0275669,0.0044111
gnat,0.1,0.9999,40,27,7,2752,3264,4096,4096,4160,4160,4544,4608,3648,2816,2752,3712,2816,3264,2368,3200,2752,2752,3264,2304,2304,1920,2752,2368,3328,3264,3648,4.82469,0.0379781,0.09341,0.0045935
sopt,0.1,0.9999,40,27,8,5696,6016,6912,6528,7232,6208,7488,6656,6016,6080,5312,8128,5184,6912,6208,6976,5248,5952,5824,4416,4416,3968,4416,5632,5632,5824,6976,8.49122,0.0359402,0.0761697,0.00243574
qdeim,0.1,0.9999,40,27,8,3136,4352,4416,3328,4352,4224,4288,3840,4096,3584,2944,4288,4416,4160,3456,5120,3712,3712,3904,3584,2944,2944,2816,3456,2752,3584,5696,5.72141,0.0373421,0.0188509,0.00451729
gnat,0.1,0.9999,40,27,8,3072,3584,4608,4608,4608,4608,5120,5120,4096,3072,3072,4096,3072,3584,2560,3584,3072,3072,3584,2560,2560,2048,3072,2560,3584,3584,4096,5.39105,0.0361099,0.0701602,0.00440664
sopt,0.1,0.9999,40,27,9,6464,6400,7488,7296,7744,7360,8320,8320,6784,7104,6144,8768,6272,7680,6976,7616,5824,6400,6336,4864,4992,4544,5120,6144,6464,7104,7616,8.60743,0.0342078,0.0865905,0.00200102
qdeim,0.1,0.9999,40,27,9,3456,4864,4928,3584,4544,4672,4480,4160,4288,3904,3392,4672,4544,4736,3776,5504,3968,4032,4224,3968,3328,3136,3008,3840,2944,3648,6400,6.11092,0.0358906,0.0167527,0.00410735
gnat,0.1,0.9999,40,27,9,3264,4224,4736,5056,4928,4992,5440,5312,3840,3776,3456,4416,3840,3776,3328,3840,2880,3968,3712,2880,2944,2944,3264,3136,3776,3840,4288,5.58346,0.0343617,0.123962,0.00428318
sopt,0.1,0.99999,40,27,2,1792,1600,2048,1856,1920,1792,1920,1920,1664,1856,1920,1536,1536,1728,1728,1792,1472,1728,1472,1600,1472,1664,1408,1600,1600,1536,1600,3.09745,0.0496912,0.16914,0.00874885
qdeim,0.1,0.99999,40,27,2,1600,1600,1728,1920,1728,1920,1600,1728,1664,1216,1728,1792,1600,1536,1536,1664,1600,1536,1344,1472,1344,1472,1408,1216,1344,1472,1664,3.58945,0.0501572,0.437665,0.0214361
gnat,0.1,0.99999,40,27,2,1408,1600,1600,1728,1792,1792,1728,1792,1408,1344,1344,1472,1344,1216,1344,1344,1280,1408,1536,1344,1344,1280,1216,1280,1280,1408,1472,2.8696,0.0493418,0.535793,0.034632
sopt,0.1,0.99999,40,27,3,2560,2496,2880,3008,2944,2752,2752,2752,2560,2752,2688,2240,2432,2752,2432,2688,2240,2560,2368,2432,2112,2304,2176,2304,2176,2112,2432,4.17252,0.045464,0.104128,0.00622178
qdeim,0.1,0.99999,40,27,3,2240,2496,2624,2560,2624,2624,2496,2432,2560,1856,2560,2304,2368,2176,2176,2560,2176,2176,1856,2048,1920,2048,1984,1728,1984,2304,2496,3.82155,0.0460896,0.256494,0.0208869
gnat,0.1,0.99999,40,27,3,1728,2048,2304,2368,2496,2560,2496,2624,2112,1920,1984,2048,2048,1728,1728,1984,1664,2048,2048,1984,1856,1728,1856,1792,1984,1984,2112,3.52682,0.0452281,0.560859,0.0350491
sopt,0.1,0.99999,40,27,4,3456,3584,3840,3776,3776,3712,3712,3648,3392,3456,3520,3200,3136,3520,3392,3712,3008,3392,3264,3264,2944,3072,3008,3136,2880,3008,3200,5.10711,0.0419778,0.0835962,0.00617578
qdeim,0.1,0.99999,40,27,4,2880,3264,3264,3072,3328,3264,3136,3136,3264,2624,3136,2944,3264,2880,2752,3392,2688,2816,2496,2752,2368,2624,2560,2304,2624,3072,3392,4.69193,0.0423572,0.274504,0.0169293
gnat,0.1,0.99999,40,27,4,2176,2624,3072,3136,3328,3328,3264,3200,2816,2368,2496,2560,2496,2304,2176,2560,2368,2688,2688,2560,2368,2304,2176,2240,2560,2496,2752,4.33506,0.04154,0.608427,0.0363459
sopt,0.1,0.99999,40,27,5,4416,4736,4928,4608,4736,4544,4800,4480,4160,4224,4608,4416,3968,4352,4480,4736,4096,4416,4160,4096,3712,3840,3648,3904,3712,3712,4288,6.10396,0.0387621,0.127245,0.0068776
qdeim,0.1,0.99999,40,27,5,3456,3904,3968,3456,4096,4224,3904,3840,3904,3072,3776,3584,3968,3520,3392,4224,3328,3520,3136,3456,2880,3328,3008,2880,3072,3584,4160,5.28411,0.0392514,0.276793,0.0175015
gnat,0.1,0.99999,40,27,5,2688,3200,3776,3776,4096,3904,4032,3904,3392,3008,3072,2880,2880,2880,2624,3072,2816,3200,3008,3072,2816,2624,2752,2624,3136,3200,3264,4.99178,0.0384197,0.665313,0.0383479
sopt,0.1,0.99999,40,27,6,5120,5952,5568,5952,5696,5504,5952,5696,5312,5184,5440,5568,5376,5632,5440,5440,5376,5376,4736,4864,4288,4544,4416,4608,4288,4480,5248,7.12321,0.0358603,0.127983,0.00725576
qdeim,0.1,0.99999,40,27,6,4352,4416,4864,3840,4800,4736,4608,4480,4416,3648,4416,3776,4544,3904,4032,4800,3904,4160,3776,4224,3328,3968,3648,3392,3328,4224,5056,6.35567,0.0365049,0.194715,0.014466
gnat,0.1,0.99999,40,27,6,3008,3840,4480,4352,4736,4608,4736,4544,3968,3584,3584,3200,3328,3328,3072,3584,3328,3712,3328,3584,3264,3008,3264,3072,3712,3712,3712,6.06308,0.0356037,0.699569,0.0391147
sopt,0.1,0.99999,40,27,7,6912,6912,6464,6656,6464,6528,6720,6848,6080,6016,6272,6464,6272,6528,6400,6656,6592,6592,5440,5696,4800,5184,5184,5376,5184,5184,6400,8.26261,0.0337493,0.105374,0.00648442
qdeim,0.1,0.99999,40,27,7,5056,4736,5568,4032,5376,5120,5248,5056,5120,4032,4736,3904,5184,4672,4864,5376,4480,4736,4352,4864,3584,4224,4096,3904,3776,4672,5888,7.11653,0.0342595,0.225911,0.0154462
gnat,0.1,0.99999,40,27,7,3328,4224,5056,5056,5504,5120,5440,5120,4608,4160,4096,3712,3712,3712,3328,4096,3712,4160,3776,4096,3712,3328,3648,3328,4224,4160,4160,6.25038,0.0333394,0.723295,0.0394457
sopt,0.1,0.99999,40,27,8,7424,7616,7296,7744,7040,7360,7616,7616,7104,6976,7168,8384,6848,7296,7616,7936,7680,7744,5824,6336,5440,5888,5952,6080,6080,5888,7680,9.79624,0.0315697,0.083205,0.00539948
