sopt,0.3,0.999,20,121,2,960,1088,1408,1152,960,1088,1088,1152,1216,960,1152,1344,1088,1088,1088,1152,1536,1344,960,1024,832,1344,896,1536,1024,1216,1088,1024,960,1280,896,832,1088,1024,1280,640,896,1152,1216,1216,1216,832,1152,1088,1280,1088,1152,960,1088,960,1600,1216,1024,1600,1152,1152,1024,1408,1280,1600,1088,1280,960,1216,1152,1408,1216,1280,1600,1280,1024,832,896,832,1344,1216,1280,1024,896,960,1472,1216,896,832,1088,1216,960,1152,1152,960,832,896,704,960,1408,1408,1408,1216,1408,1216,1152,1024,1024,1152,960,1152,768,768,896,1152,1216,1280,1024,960,960,768,1088,1024,1024,1088,1088,12.0814,1.65559e-08,6.07409e-06,1.75944e-07
qdeim,0.3,0.999,20,121,2,640,896,1024,1152,1408,1024,960,1088,1088,1920,832,960,960,1984,1536,1280,1024,1216,832,1024,832,1152,1024,1216,1152,1024,1216,960,1280,1216,1216,768,1344,960,1280,832,1088,1088,1152,1088,1344,832,1344,960,1088,1216,1216,1088,960,1152,1344,1216,1536,1472,2176,1600,1536,1024,1152,1152,1280,1280,1536,1856,1600,1472,960,2432,1536,1152,1152,704,1472,832,1024,1152,960,960,1024,1088,896,1472,1024,1024,1088,1152,960,896,960,768,768,768,704,704,896,1024,1024,1024,1088,1152,960,1088,1024,960,896,896,768,768,704,1216,1216,1216,960,640,704,704,960,896,960,1152,1088,10.4908,5.66523e-08,3.62078e-06,5.64063e-07
gnat,0.3,0.999,20,121,2,576,832,960,896,1152,1088,832,896,896,768,960,704,1216,1664,1280,960,1024,896,960,1088,704,1024,960,1024,1216,640,1152,1088,832,1024,960,768,1024,1088,1152,896,768,896,960,1088,1216,576,1216,896,1152,1472,1152,896,832,832,1152,1216,1024,1344,1088,1792,1024,768,1024,960,1024,1024,1280,1344,1152,896,1024,1664,1792,960,832,768,1088,896,896,1024,896,896,832,896,960,960,1024,1344,1152,1088,896,832,896,576,768,640,704,768,896,1088,1024,960,1024,1280,1024,960,768,960,768,832,832,704,896,1088,1024,1088,768,768,704,704,960,960,1024,1024,960,9.9844,2.80316e-08,6.84083e-06,7.63139e-07
sopt,0.3,0.999,20,121,3,1344,2176,2240,1920,1600,1984,1728,1664,1728,1792,1536,1920,2112,1920,1856,1728,2112,2304,1600,1472,1344,2176,1344,2368,1536,2048,1856,1920,1472,2048,1280,1152,2112,1728,1856,1152,1216,1664,1792,1600,1600,1472,1728,1728,1920,1856,1856,1600,2112,1664,2240,2112,1536,2688,1728,2304,1728,1600,2048,2752,1472,1664,1984,1856,1856,2112,2048,1984,2944,1664,1536,1280,1472,1344,2048,1600,2176,2112,1536,1472,2176,1792,1600,1536,1728,1920,1408,1600,1600,1472,1472,1280,1024,1600,1728,2432,2112,1984,2432,1792,2112,1792,1664,1856,1344,1728,1600,1280,1664,1920,1984,1920,1856,1472,1536,1216,1664,1792,1600,1664,1856,11.8461,1.63686e-08,6.37936e-06,1.07033e-07
qdeim,0.3,0.999,20,121,3,960,1344,1536,1664,1792,1728,1344,1792,1664,3200,1408,1472,1536,2816,2048,1920,1408,1984,1408,1728,1152,1600,1344,1856,1536,1664,1728,1408,1664,1792,1920,1152,1792,1472,1792,1344,1856,2240,1792,1600,1920,1344,1920,1408,1536,1792,1984,1472,1472,1664,2112,1792,2496,2432,2496,2304,2368,1536,1472,1920,1920,2048,2240,2496,2304,2240,1408,3008,2304,1472,1536,1024,2240,1344,1600,1472,1536,1472,1472,1472,1344,2304,1536,1472,1536,1600,1344,1472,1344,1152,1088,1280,1024,1088,1344,1472,1536,1664,1664,1856,1216,1664,1536,1408,1216,1280,1088,1216,1152,2048,1664,1728,1344,1024,1088,1088,1344,1536,1536,1792,1856,10.9777,6.06246e-08,4.17791e-06,6.60862e-07
gnat,0.3,0.999,20,121,3,896,1216,1408,1280,1408,1344,1152,1408,1408,1216,1216,1152,1600,2432,1792,1472,1472,1280,1408,1472,960,1728,1280,1472,1792,960,1408,1344,1280,1472,1344,1024,1408,1600,1600,1216,1088,1280,1408,1664,1472,704,1600,1152,1600,2176,1664,1152,1152,1088,1600,1664,1536,1856,1600,2560,1536,1152,1728,1408,1472,1600,1856,1984,1728,1280,1600,2432,2624,1408,1280,1152,1600,1344,1344,1536,1216,1344,1280,1216,1216,1408,1408,1728,1536,1536,1280,1088,1408,832,1024,896,1088,1152,1344,1408,1344,1536,1536,1856,1344,1408,1088,1408,1152,1280,960,1024,1216,1536,1472,1600,1216,1152,1088,1024,1408,1344,1536,1408,1216,10.8944,2.64937e-08,7.01885e-06,7.6644e-07
sopt,0.3,0.999,20,121,4,1920,2624,3072,2432,2496,3264,2304,2752,2368,2560,2624,2432,3328,2560,2688,2112,2560,3200,2560,1920,1856,2880,2304,3264,2048,2496,2496,2688,2112,2688,1664,1728,2880,2432,2432,1408,1600,2112,2688,2880,2496,1920,2368,2560,2688,2496,2432,2496,2816,2624,2944,2816,2176,3456,2240,2752,2304,2240,3392,3328,2048,2048,2560,3008,3136,2688,2688,2560,3904,2176,2624,1664,2560,1664,2944,1984,3264,3072,2368,2176,3264,2432,2304,2304,2368,2624,2048,2560,1984,1920,2048,1600,1344,1984,2304,3392,3328,3136,3264,2304,3008,2688,2560,2816,2304,2240,2048,1664,2048,2816,2816,2368,2240,2112,1856,1600,2176,2560,2304,2304,2432,13.9538,1.70222e-08,7.10557e-06,1.40904e-07
qdeim,0.3,0.999,20,121,4,1280,1600,1856,2112,2048,2048,1856,2496,2176,3904,1856,1920,2048,3264,2880,2176,1728,2752,2048,2368,1472,2176,1664,2496,1856,2304,1920,1728,2048,1856,2432,1536,2432,1856,2240,1728,2112,2624,2240,1984,2240,1472,2432,1664,1664,2304,2560,1920,1728,2112,2816,2432,3200,3328,3072,2816,3072,1984,2112,2368,2624,2496,3008,3392,3264,3072,1984,3200,2560,1792,1920,1344,2816,1920,2304,1600,2112,1984,1984,1920,1728,2688,1664,1920,1984,2112,1664,1856,1728,1472,1472,1664,1280,1536,1728,1920,2112,2112,2176,2688,1792,2176,1792,1856,1664,1664,1280,1536,1536,2432,2112,2048,1600,1280,1344,1472,1728,2176,2048,2176,2368,14.2686,5.63641e-08,5.38334e-06,6.78617e-07
gnat,0.3,0.999,20,121,4,1088,1408,1792,1664,1728,1792,1344,1728,1792,1536,1600,1344,2048,3200,2240,1856,1792,1664,1792,1920,1280,2048,1600,1856,2176,1216,1856,1664,1600,1664,1664,1280,1728,1984,1920,1600,1280,1536,1792,1984,1728,896,1984,1408,1984,2752,2112,1600,1472,1344,1920,2304,1856,2368,1984,3264,1984,1408,2304,1856,1792,2112,2432,2560,2240,1728,2112,3008,3456,1856,1664,1472,2112,1792,1728,2048,1536,1600,1600,1600,1408,1792,1856,2176,1856,1984,1600,1472,1920,960,1408,1152,1408,1536,1792,1856,1664,1984,1920,2304,1664,1792,1408,1856,1472,1664,1216,1216,1472,2048,1920,2048,1536,1472,1344,1280,1792,1600,1920,1792,1536,13.4547,2.45332e-08,6.91879e-06,7.67105e-07
sopt,0.3,0.999,20,121,5,2240,3328,3968,3072,3328,4224,3008,3328,2944,3200,3456,3072,3776,2944,3712,2688,3200,3712,3008,2496,2368,3264,3008,3776,2624,3008,2944,3008,2880,3136,2240,1984,3328,3008,3008,2048,2048,3008,3392,3904,3328,2432,3072,3072,3584,2944,3200,3392,3200,3520,3328,3200,2496,4160,2880,3456,2752,2560,3904,3904,2496,2688,3392,4096,4480,3200,3712,3200,4352,2432,3584,2112,3328,2048,3392,2880,3712,3712,2816,2944,4288,3136,2688,3200,3200,3136,2880,3648,2688,2368,2368,2240,1856,2432,2688,4352,4288,3584,4288,3392,3648,3584,3072,3648,3264,3136,2624,2304,2688,3520,3904,3712,3328,2496,2496,1984,2688,3968,3264,2944,3264,15.2068,1.88433e-08,3.41291e-06,1.51018e-07
qdeim,0.3,0.999,20,121,5,1600,1984,1920,2816,2432,2624,2048,2752,2560,4480,2368,2304,2560,3584,3392,2624,2112,3200,2432,2752,1792,3072,1792,2816,2112,2816,2112,1984,2240,2368,3072,1728,2816,2048,2368,2176,2752,3136,2368,2048,2496,1856,2944,1792,1792,2880,2880,2304,1984,2688,3392,3008,3840,3776,3392,3200,3584,2304,2304,3008,3136,3008,3584,4416,3712,3584,2432,3584,2624,2176,1984,1664,3264,2560,2624,1664,2560,2368,2368,2304,2176,3072,1856,2432,2496,2752,1984,2368,2112,1600,1792,2112,1536,1984,2112,2560,2560,2752,2560,3584,2304,2496,2112,2432,2048,2048,1664,1792,1920,2944,2624,2496,1792,1600,1728,1856,2176,2688,2368,2432,2816,13.2608,5.75211e-08,3.8112e-06,6.70025e-07
gnat,0.3,0.999,20,121,5,1280,1664,1984,1920,1920,2112,1600,1920,2112,1792,1920,1536,2304,3776,2624,2304,2112,1792,1920,2240,1536,2624,1856,2240,2496,1472,2176,1984,1856,1920,1984,1536,1920,2368,2304,1920,1600,1856,2176,2304,1984,1216,2304,1664,2304,3136,2432,1920,1792,1664,2240,2688,2368,2880,2432,3776,2304,1728,2752,2304,2240,2560,2944,3200,2624,2048,2432,3584,4096,2368,2048,1792,2496,2240,2112,2560,1792,1728,1920,1920,1600,2240,2368,2368,2240,2176,1856,1792,2304,1216,1664,1408,1664,1920,2240,2176,1984,2432,2432,2752,2048,2112,1728,2368,1792,1856,1408,1408,1792,2432,2368,2496,1856,1792,1664,1472,2176,1920,2304,2368,1856,16.0222,2.34735e-08,6.84257e-06,7.64521e-07
sopt,0.3,0.999,20,121,6,2752,4032,4864,4224,3904,4672,3392,4096,4032,3712,3968,3584,4416,3712,4416,3136,3520,4224,3712,2880,2688,3904,3712,4480,3264,3328,3456,3392,3520,3712,2432,2304,4032,3648,3712,2432,2624,4032,4352,4736,4096,2688,3712,3712,4608,3456,3776,4096,3904,4480,4032,3904,2880,4480,3328,4096,3200,2880,4608,4224,2944,3136,4416,4544,5056,3904,4224,3648,4992,2752,4224,2240,4544,2496,4160,3584,4480,4288,3200,4288,4928,4032,3136,3840,4288,3648,3328,4288,3520,2880,3008,2560,2240,2752,3136,4864,4672,4160,4928,4032,4288,3968,4288,4160,3904,4416,2816,2752,3136,4992,4608,4672,4288,3136,2816,2560,3264,4288,4736,3840,3840,16.7355,1.90187e-08,3.54092e-06,1.47213e-07
