sopt,0.3,0.999,20,241,2,832,1344,832,960,768,1024,768,1216,768,896,768,1152,1536,704,960,768,832,704,832,896,896,896,896,896,704,1152,960,768,704,832,832,960,1280,960,896,768,960,960,960,1024,832,768,1216,768,1024,576,896,832,832,1088,832,896,1152,768,832,896,1024,832,896,896,768,768,832,960,896,1152,832,832,832,704,832,768,1280,704,640,832,640,832,896,768,960,832,1216,704,832,640,704,1472,576,768,704,640,832,768,640,1088,1152,768,832,1024,768,960,832,640,832,640,832,1472,832,896,704,960,832,1344,1088,1024,960,1216,832,960,1536,896,1024,832,896,1472,960,704,832,1088,768,1280,960,832,768,832,960,832,832,640,640,896,1152,1344,512,640,576,768,1024,1088,704,640,704,832,640,1472,640,768,576,512,832,768,704,768,768,1152,832,576,832,768,1088,768,896,640,960,832,640,832,512,640,704,832,1024,768,576,512,1024,832,704,896,1280,832,832,896,896,896,1216,768,704,832,832,832,704,768,896,768,832,704,576,704,896,768,704,896,896,896,704,832,1024,704,768,640,832,832,768,768,832,704,832,704,768,768,1024,704,832,704,1152,704,832,832,832,15.6823,0.163909,8.67752,0.131495
qdeim,0.3,0.999,20,241,2,768,768,448,768,576,704,768,832,768,704,896,704,704,640,704,576,768,640,448,704,512,512,640,576,640,1088,704,640,1216,704,1920,1152,704,768,1216,704,576,1152,896,576,704,832,1216,768,768,640,704,704,704,1088,704,1024,640,832,704,768,832,704,960,640,768,832,576,704,1024,768,640,896,576,1216,1088,1024,576,640,576,704,640,576,832,576,640,704,512,448,640,768,896,640,576,576,704,640,640,704,640,1152,640,896,704,640,768,832,896,768,1024,832,832,1088,896,832,1856,832,832,704,896,704,832,704,832,768,768,704,1152,1152,576,832,640,1600,960,576,768,384,704,640,576,640,576,576,896,512,640,896,640,704,768,640,640,640,640,512,576,704,512,448,640,640,576,640,512,512,640,576,576,512,640,576,1024,576,768,512,576,640,704,512,576,640,512,768,640,640,512,640,640,512,576,448,640,704,640,640,704,576,704,576,704,512,640,640,576,640,640,832,512,576,576,640,768,704,576,704,576,832,576,704,512,704,768,640,640,768,768,704,576,640,640,704,576,704,512,640,640,768,640,640,768,704,576,512,704,768,576,,0.3525,4.39695,0.0809135
gnat,0.3,0.999,20,241,2,640,640,768,768,640,704,768,768,640,576,960,768,704,576,704,576,704,704,768,704,704,768,704,640,768,896,640,640,960,704,1472,960,640,640,896,640,512,960,896,512,704,704,960,704,640,640,768,704,704,768,576,960,576,896,640,640,640,576,960,768,704,768,576,640,960,640,704,896,576,1024,960,960,704,640,704,704,640,704,960,640,640,832,640,448,576,704,704,576,640,704,640,512,640,768,640,832,448,896,768,896,576,768,960,768,960,768,896,832,704,960,1536,768,768,640,768,704,704,768,704,768,768,704,1024,960,704,704,704,1472,960,512,768,512,448,576,640,448,384,448,768,512,576,832,640,640,640,640,960,640,640,704,640,704,320,640,576,512,512,640,512,576,704,640,704,576,640,576,832,704,768,768,640,704,704,512,640,768,704,640,448,576,640,640,576,448,512,576,640,640,576,704,640,512,640,640,640,640,576,640,640,704,768,640,512,576,640,576,704,704,640,640,640,768,640,512,576,640,768,704,640,768,704,704,640,576,576,640,640,512,640,704,448,640,576,512,768,640,448,576,576,704,640,16.4104,0.163758,11.0533,0.193933
sopt,0.3,0.999,20,241,3,1344,1664,1536,1344,1088,1984,1408,1664,1408,1664,1344,1472,2048,1024,1408,1344,1408,1472,1408,1792,1408,1344,1472,1344,1088,1408,1344,1728,1024,1536,1216,1216,1600,1280,1280,1280,1152,1280,1472,1472,1600,960,1536,1472,1280,1216,1408,2048,1088,1472,1600,1216,1408,1024,1152,1088,1216,1344,1344,1344,1216,1088,1536,1344,1152,1600,1408,1408,1088,1408,1280,960,1984,1088,960,2048,1344,1280,1280,1536,1472,1216,1664,1344,1344,1088,1216,2432,960,1216,1344,1216,1344,1472,1088,1408,1472,1600,1280,1984,960,1216,1216,1088,1152,1152,1408,1728,1408,1536,1408,1216,1536,2048,1408,1280,1536,1728,1216,1280,2176,1216,1536,1152,1280,1792,1280,1152,1152,1344,1024,1984,1408,1216,1024,1408,1408,1408,1664,1088,1024,1344,1728,1728,1088,1152,1024,1728,1472,1408,1536,1088,1088,1280,1152,1984,1024,1344,1024,1344,1216,1344,1472,1280,1536,1856,1088,896,1216,1088,1472,1280,1152,1344,1664,1280,1344,2048,832,1600,1280,1088,1600,1088,1088,1216,1536,1408,1152,1216,1856,1408,1280,1280,1664,1728,1600,1152,1664,1344,1984,1152,1216,1152,1472,1152,1344,1152,1408,1408,1472,1472,1344,1280,1280,1408,1536,1216,1280,1408,1344,1088,1792,1536,1280,1216,1216,1280,1536,1088,1344,1216,1536,1024,1344,1600,1536,1024,1472,1536,1216,25.2503,0.157827,5.86078,0.082423
qdeim,0.3,0.999,20,241,3,896,1216,768,1088,896,1152,1024,1408,1152,1088,1152,1152,1152,1088,1152,1024,1216,832,832,1152,832,832,1024,768,768,1792,960,960,1856,1088,3072,1536,1024,1088,1472,960,768,1664,1024,832,960,1024,1536,1152,896,832,960,960,960,1344,960,1536,1088,1152,1088,1216,1472,896,1472,1088,1024,1152,832,960,1536,1088,1024,1344,896,1920,1536,1600,960,1024,1024,1088,960,896,1216,832,832,1024,832,832,960,1024,1344,960,1024,960,1024,1088,1088,1152,1088,1792,1088,1216,896,1024,960,1216,1536,1152,1664,1280,1472,1792,1600,1472,2944,1408,1472,1088,1408,1024,1408,1280,1280,1216,1216,896,1728,1728,896,1344,1088,1920,1600,1024,1344,576,1152,1088,1024,768,832,896,1088,896,960,1280,960,1088,1216,960,1280,960,960,1024,768,1024,832,704,1024,896,832,704,640,960,768,896,960,704,960,832,1344,832,1152,832,896,832,896,768,896,1024,768,1216,832,960,960,960,1088,896,832,768,896,1024,960,896,1088,896,832,896,896,832,1024,1024,960,896,832,1152,960,1024,832,1024,1088,1152,704,1024,832,1216,896,1088,896,1088,1088,896,960,1088,1088,896,896,896,896,768,960,1088,832,960,960,1088,960,896,1152,1024,896,832,1088,1216,896,16.7009,0.159492,7.94022,0.132088
gnat,0.3,0.999,20,241,3,1024,1024,1152,1088,1024,1088,1024,1152,768,832,1280,1152,1088,832,960,960,1024,960,1024,960,960,1152,960,960,1024,1408,960,960,1472,1088,2048,1344,896,896,1216,960,704,1344,1344,768,1024,1024,1472,1024,832,960,1088,1024,1024,1216,768,1216,896,1216,896,832,896,896,1280,1152,1024,1024,896,896,1344,960,960,1152,896,1280,1408,1472,1024,960,896,960,960,1024,1408,832,960,1344,960,640,896,896,896,768,960,960,832,704,1024,1152,896,1216,640,1344,1152,1344,896,1088,1408,1088,1408,1152,1408,1344,1088,1344,2176,1088,1088,960,1088,1088,1088,1088,1024,1152,1152,1024,1472,1408,1088,1088,1024,2176,1408,896,1152,768,768,896,896,768,704,768,1280,832,832,1216,960,960,1024,960,1344,960,896,1024,960,896,512,896,896,704,832,960,704,896,960,768,1024,832,896,896,1216,896,1152,1024,960,1024,960,704,896,960,1024,704,704,896,896,960,832,640,832,832,896,896,832,896,960,768,960,832,960,960,896,960,960,1024,1152,832,704,704,960,832,1024,896,896,768,960,1024,896,832,768,1024,960,960,896,1152,1024,896,960,768,768,704,960,768,960,832,640,832,832,768,1152,960,640,832,832,896,832,,0.317617,56.9819,7.60506
sopt,0.3,0.999,20,241,4,1920,1984,2112,1728,1664,2304,1600,2112,1856,1856,1600,1856,2368,1600,2496,1792,1728,1792,1664,2048,1792,1664,1792,2048,1664,1984,1920,2112,1408,1856,1792,1792,2176,1856,1856,1600,1728,1792,1856,1792,1920,1536,2112,1664,1792,1472,2112,3264,1664,1920,1920,1792,1920,1408,1728,1408,1792,1728,1728,1600,1600,1408,1920,1664,1728,1920,1664,1664,1472,1792,1664,1536,2304,1664,1344,2560,1664,1600,1856,1856,2048,1792,2048,2048,1984,1280,1856,3264,1344,1600,1728,1536,1472,1984,1472,1728,1920,2112,1856,2304,1408,1536,1664,1408,1408,1472,1664,2304,1728,2112,2112,1792,1920,2688,1920,1728,1792,2112,1728,1856,2880,1792,1856,1728,1664,2368,1856,1408,1344,1920,1600,2176,1792,1792,1472,1728,1600,1664,2176,1408,1472,1728,1984,2048,2048,1536,1216,2176,1664,1984,2240,1600,1472,1664,1472,2304,1728,1664,1536,1600,1536,1664,1792,1792,2176,2240,1408,1152,1792,1472,1792,1728,1664,1664,1984,1728,1600,2432,1344,1984,1728,1664,2176,1536,1408,1472,1920,1856,1600,1600,2176,1600,1664,1600,1856,2496,1984,1536,2112,2176,3200,1472,1536,1856,2176,1472,1600,1920,1664,1728,1664,2240,1600,1664,1536,2496,1856,1536,1856,1728,1664,1536,2176,1856,1600,2048,1536,1984,2176,1856,1600,1984,1920,1472,2560,1920,2112,1344,1984,1984,1792,23.6851,0.151655,3.49163,0.0469234
qdeim,0.3,0.999,20,241,4,1152,1600,1024,1280,1152,1344,1408,1984,1600,1472,1280,1408,1600,1536,1472,1408,1664,1088,1024,1600,1088,1088,1280,1024,896,1984,1152,1216,2304,1280,3520,1664,1216,1472,1664,1216,960,1984,1280,1152,1216,1152,1984,1344,1152,960,1152,1216,1280,1600,1216,1920,1408,1472,1344,1536,1792,1024,1984,1408,1344,1664,1216,1408,1920,1408,1088,1600,1280,2496,1984,2048,1408,1472,1344,1408,1216,1344,1728,1088,1152,1344,960,1088,1152,1216,1600,1088,1344,960,1408,1408,1280,1600,1408,2496,1408,1536,1088,1664,1280,1472,1984,1536,1984,1600,1728,1984,1920,1920,3840,1856,2176,1472,1792,1280,1856,1664,1536,1536,1536,1280,2432,2432,1216,1920,1408,1920,2304,1216,1536,832,1600,1536,1280,896,1088,1088,1408,1280,1280,1856,1280,1344,1664,1280,1600,1280,1280,1472,1024,1216,1088,1024,1472,1216,960,832,768,1344,1024,1088,1280,1024,1280,1152,1728,1088,1472,1088,1216,896,1024,1088,1088,1216,896,1536,1024,1280,1280,1280,1408,1280,1088,1088,1216,1344,1216,1152,1408,1152,1024,1216,1216,1216,1472,1280,1280,1216,1088,1408,1408,1344,1152,1408,1344,1472,832,1344,960,1664,1280,1536,1216,1344,1344,1152,1216,1344,1408,1024,1216,1152,1152,1088,1344,1408,1152,1152,1344,1344,1280,1152,1536,1280,1216,1088,1408,1600,1216,25.8525,0.154244,3.19973,0.056332
gnat,0.3,0.999,20,241,4,1280,1344,1472,1408,1280,1408,1280,1472,1152,1024,1536,1472,1408,1088,1216,1152,1280,1280,1216,1280,1344,1408,1344,1216,1216,1856,1216,1152,1920,1408,2752,1792,1024,1088,1600,1216,896,1792,1664,1024,1280,1344,1856,1344,1024,1152,1408,1344,1344,1600,1024,1536,1152,1600,1216,960,1152,1280,1728,1536,1216,1408,1024,1152,1792,1216,1216,1472,1152,1728,1536,1792,1344,1280,1152,1280,1216,1408,1920,1088,1088,1664,1152,832,1216,1088,1152,1024,1088,1088,1024,896,1280,1408,1280,1536,768,1792,1536,1792,1152,1344,1792,1408,1856,1536,1792,1792,1472,1728,2752,1472,1408,1280,1408,1344,1408,1408,1408,1536,1472,1344,1920,1792,1408,1344,1344,2816,1728,1152,1536,960,1024,1280,1024,960,896,960,1664,1088,1088,1600,1280,1280,1408,1280,1728,1280,1152,1216,1280,960,640,1152,1088,960,960,1152,896,1152,1152,896,1280,960,1152,1088,1664,1152,1408,1216,1280,1216,1216,960,1152,1152,1280,768,960,1152,1152,1280,960,704,1152,1088,1088,1152,1088,1152,1280,960,1280,1088,1216,1280,1088,1216,1152,1344,1536,1024,960,960,1280,1024,1216,1024,1152,960,1216,1344,960,960,896,1344,1216,1216,1088,1536,1344,1024,1280,960,1024,960,1280,896,1280,1024,832,1024,1088,1024,1536,1280,832,1088,1088,1216,1088,,0.305877,45.7774,4.90183
sopt,0.3,0.999,20,241,5,2432,2432,2368,2176,1984,2880,2112,2432,2176,2304,2112,2368,2816,1984,3584,2240,2304,2368,2112,2560,2304,2240,2368,2368,1984,2368,2240,2496,1984,2304,2112,2176,2560,2240,2176,2112,2112,2176,2432,2368,2496,1856,2432,2176,2112,2048,2304,3648,1984,2176,2432,2176,2240,1856,2112,1920,2112,2304,2240,2176,1856,1856,2496,2048,2112,2112,2176,2240,1792,2304,2176,1920,2752,1984,1856,2944,2240,2112,2176,2432,2432,2112,2624,2752,2624,1792,2112,3584,1856,1984,2048,2112,1984,2112,1728,2048,2240,2368,2368,2880,1792,1984,1856,1984,1984,1792,1920,2688,2304,2432,2752,2048,2496,3200,2048,2048,2176,2688,2048,2048,3264,2112,2432,2048,2048,2688,2176,1856,1856,2240,1920,2752,2176,2048,1856,2240,2176,2240,2432,1792,1792,2240,2240,2560,2240,1792,1472,2496,2048,2176,2432,1856,2048,1984,1984,2816,2048,2112,1792,1984,2112,2240,2176,2112,2496,2816,1920,1728,2304,2048,2048,2112,1920,2240,2560,1984,2176,2816,1728,2304,2112,1984,2560,1856,1728,2048,2432,2304,1856,2176,2688,2176,2240,2176,2368,2752,2496,2112,2496,2432,4352,1984,1920,2368,2880,2048,1984,2304,1920,2176,2112,2560,2048,2176,2048,2816,2240,2048,2240,2304,2240,1856,2752,2304,2176,2560,2112,2304,2688,2368,1920,2304,2432,2048,3008,2496,2432,1920,2368,2304,2176,19.9974,0.145216,2.17995,0.0361977
