method,t,ef,ws,w,q,nqp,TT3,ErrX,ErrV,ErrE
sopt,0.5,0.99,100,72,2,832,1216,1024,1024,1024,960,832,1088,1152,832,1152,1088,1344,1152,1216,1344,1024,1152,896,1088,960,1088,1152,1088,1472,1152,960,1152,832,832,896,1152,1024,1280,1280,1088,1344,960,896,1344,1728,1472,1408,1344,1280,1280,1216,1472,1024,1152,1088,1024,1472,1600,1024,960,1216,1152,1088,1216,1088,960,1088,1472,1088,1152,1216,1344,1472,1664,1024,1344,,0.278893,1.03261e+11,2.6059e+21
qdeim,0.5,0.99,100,72,2,704,1472,1216,640,960,768,1024,576,960,832,1088,960,1088,1024,1280,896,1024,960,896,896,768,1088,960,1024,1408,1024,896,1152,960,1344,896,1024,896,1088,896,1088,1344,1088,896,1280,1088,960,1152,1152,1408,1088,1024,1024,1024,1024,896,960,1408,1664,1024,960,1152,1152,1152,1088,960,896,1024,832,960,1024,1024,1152,1024,1344,960,896,20.6809,7.08563e-05,0.0164212,0.00060489
gnat,0.5,0.99,100,72,2,576,1024,832,1024,960,768,1152,640,896,896,1280,704,832,896,1088,1088,1088,768,960,832,832,896,1024,1088,1280,960,896,1024,704,960,1088,1088,832,1024,832,960,960,896,1024,1344,1024,960,896,1024,1088,1472,960,832,1152,960,832,960,1152,1216,896,960,1152,1024,1152,1088,1152,960,1024,1024,1024,1024,960,1088,1024,1152,960,896,,0.332836,12457.2,1.23912e+06
sopt,0.5,0.99,100,72,3,1216,1920,1856,1984,1472,1792,1728,1600,1920,1344,1984,1792,2240,1728,2496,2176,1536,1984,1472,1792,1536,1664,1792,1792,2368,2560,1408,2112,1408,1600,1344,1664,1408,1920,2560,1664,2112,1792,1216,2048,2432,2496,1920,2432,2240,2496,1856,2368,1600,1728,1984,1920,2240,2240,1984,1600,1728,1728,1664,2048,1984,1408,1728,2240,2112,1856,1728,2240,2240,2304,1728,2560,,0.477597,2.43691e+12,4.38943e+22
qdeim,0.5,0.99,100,72,3,896,2048,1728,1088,1216,1152,1280,1024,1472,1408,1280,1408,1472,1536,1920,1344,1536,1280,1280,1280,960,1536,1408,1280,2240,1472,1280,1728,1408,1856,1344,1408,1344,1664,1408,2048,2432,1536,1344,1856,1792,1472,1536,1472,1984,1536,1664,1536,1536,1600,1472,1408,2112,2432,1472,1600,1728,1664,1728,1600,1472,1344,1472,1344,1408,1472,1600,1728,1472,1920,1472,1344,25.3851,0.00020043,0.0414388,0.00100308
gnat,0.5,0.99,100,72,3,960,1600,1216,1472,1472,1152,1536,1024,1408,1280,1600,1024,1280,1344,1536,1600,1408,1088,1344,1280,1216,1216,1344,1664,1792,1472,1280,1408,1152,1344,1536,1472,1216,1536,1216,1344,1280,1344,1536,2048,1408,1344,1152,1408,1600,2176,1408,1280,1664,1536,1344,1408,1664,1792,1344,1408,1600,1472,1728,1600,1664,1408,1472,1472,1472,1536,1472,1664,1408,1728,1408,1344,,0.261629,45.0819,4.64386
sopt,0.5,0.99,100,72,4,1536,2560,2816,2944,1984,2752,2624,2240,2560,2112,2688,2560,3264,2624,3072,3072,2112,3200,2112,3072,2112,2432,2560,2624,3200,3712,2112,2560,1984,2752,1856,2048,1856,3200,3072,2688,2944,2304,1600,2688,3072,3392,2752,3200,3776,3072,2944,3136,2688,2432,3328,2368,2944,2880,2560,2496,2176,2240,2176,2496,2496,2048,2112,2752,2624,2432,2304,2880,2752,2880,2176,3904,,0.312288,9.27503,1.17899
qdeim,0.5,0.99,100,72,4,1088,2560,1856,1408,1600,1536,1344,1408,1664,1792,1472,2048,1792,2176,2176,1792,1920,1472,1728,1600,1024,1920,1792,1856,2944,1792,1728,2304,1856,2304,1664,1728,1536,2112,1920,2368,3456,1856,1792,2560,2112,2048,2048,2048,2752,1984,2048,2048,2048,1984,2048,1856,2624,2944,1920,2048,2240,2176,2368,2176,1984,1856,1984,1856,2048,1984,2176,2304,1984,2240,2240,1728,27.2736,3.07808e-06,0.0016125,5.65649e-06
gnat,0.5,0.99,100,72,4,1152,2048,1536,1920,1792,1472,1920,1408,1792,1600,1984,1344,1664,1728,2048,2112,1920,1408,1792,1664,1536,1600,1664,2240,2240,1920,1728,1984,1472,1728,2048,1984,1600,1920,1472,1792,1664,1792,2112,2752,1856,1664,1344,1792,1984,2624,1664,1600,2112,1856,1728,1600,2240,2240,1792,1792,2048,1984,2304,2112,2048,1856,1856,1856,1920,2048,1856,2176,1856,2176,1792,1792,,0.265561,48.4328,7.90424
sopt,0.5,0.99,100,72,5,2112,3072,3264,3584,2688,3456,3136,3264,3264,3392,3264,3136,3904,3456,3840,3776,2944,3968,3072,3904,2880,3648,3136,3776,3968,4032,2880,3264,2176,3392,2560,2560,2368,3968,3712,3264,3840,3008,2048,3328,3840,3840,3456,3968,4288,3584,3904,3584,3520,3392,3968,3072,3520,3584,3072,2880,2880,2880,2944,3072,3136,2560,2560,3328,3264,3136,2880,3328,3456,3520,2944,4352,,0.315264,37.3597,4.69824
