method,t,ef,ws,w,q,nqp,TT3,ErrX,ErrV,ErrE
sopt,0.8,0.999,40,35,2,576,512,960,576,640,1152,960,768,704,576,512,448,512,448,704,512,576,384,576,448,576,448,448,384,384,448,256,448,768,448,576,832,576,768,512,4.03195,2.46704e-06,4.5037e-05,1.71006e-05
qdeim,0.8,0.999,40,35,2,384,384,384,320,320,320,384,384,384,384,384,448,384,384,384,384,384,384,384,384,448,512,448,448,384,384,384,320,256,576,512,512,512,768,640,2.46762,1.45254e-06,4.80977e-05,1.15415e-05
gnat,0.8,0.999,40,35,2,384,448,448,384,448,384,448,384,320,320,320,448,448,384,320,320,320,320,320,320,384,384,384,384,256,256,256,256,256,448,448,384,512,576,512,2.59229,1.54653e-06,3.83516e-05,1.71385e-05
sopt,0.8,0.999,40,35,3,960,896,1536,1024,896,1536,1344,1152,960,768,704,896,768,704,960,896,1024,704,960,704,1216,896,1088,704,960,704,576,896,1024,640,896,1152,768,1152,704,6.91552,2.19856e-06,4.20173e-05,1.7933e-05
qdeim,0.8,0.999,40,35,3,576,576,512,512,448,448,448,512,576,576,576,704,704,640,576,576,576,576,576,512,576,640,512,448,512,512,512,448,384,768,704,640,512,1024,768,2.70414,1.29566e-06,4.16366e-05,1.46825e-05
gnat,0.8,0.999,40,35,3,640,640,576,640,640,512,512,512,512,512,512,576,576,576,512,512,512,512,512,512,512,448,448,448,384,384,384,384,384,576,576,448,576,832,832,2.4371,1.51452e-06,4.46448e-05,1.77989e-05
sopt,0.8,0.999,40,35,4,1280,1152,1792,1280,1152,1920,1600,1408,1408,1472,960,1024,1088,1024,1216,1152,1280,1088,1280,1216,1856,1152,1792,1024,1152,1280,832,1408,1408,1280,1152,1536,1152,1600,704,6.52889,2.21925e-06,4.18553e-05,1.83939e-05
qdeim,0.8,0.999,40,35,4,704,704,640,576,576,576,640,576,704,704,704,832,832,768,704,704,640,704,768,640,704,768,640,576,640,704,640,576,576,960,832,832,512,1408,1024,2.84272,1.14534e-06,4.12673e-05,1.46561e-05
gnat,0.8,0.999,40,35,4,768,640,640,768,768,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,512,512,512,512,512,512,512,512,640,640,512,640,1024,896,2.31767,1.50559e-06,4.79435e-05,1.82238e-05
sopt,0.8,0.999,40,35,5,1536,1408,2048,1472,1408,2112,1792,1536,1664,1792,1280,1344,1472,1280,1408,1344,1472,1280,1472,1472,2112,1472,2048,1280,1408,1600,1216,1728,2048,1536,1344,1600,1536,1728,832,7.11921,2.1887e-06,4.17041e-05,1.87993e-05
qdeim,0.8,0.999,40,35,5,832,832,768,768,768,768,768,768,768,896,960,832,960,832,768,832,768,832,896,704,768,832,768,768,768,832,768,768,704,1088,1088,960,640,1536,1152,3.36259,1.10966e-06,3.89742e-05,1.63981e-05
gnat,0.8,0.999,40,35,5,832,832,768,832,832,704,768,768,768,768,768,768,768,768,768,768,768,768,768,768,768,640,640,640,640,640,640,640,640,768,768,640,704,1344,1024,2.78061,1.29888e-06,4.31271e-05,1.49007e-05
sopt,0.8,0.999,40,35,6,2048,1728,2496,1856,1856,2368,2176,1728,1792,2304,1536,1600,1856,1600,1792,1408,1728,1536,1664,1664,2432,1664,2240,1536,1728,1984,1472,1920,2304,1792,1728,1920,1792,1856,1088,7.59906,2.14208e-06,4.14932e-05,1.90244e-05
qdeim,0.8,0.999,40,35,6,960,896,896,896,960,896,960,960,832,1088,1024,960,1024,832,832,960,832,1024,1024,768,832,896,896,896,896,960,896,896,896,1280,1216,1216,768,1728,1152,4.0267,1.2038e-06,4.13692e-05,2.02284e-05
gnat,0.8,0.999,40,35,6,896,896,896,896,896,768,896,896,896,896,896,896,896,896,896,896,896,896,896,896,896,768,768,768,768,768,768,768,768,896,896,768,768,1536,1152,2.79462,1.26753e-06,4.28686e-05,1.52992e-05
sopt,0.8,0.999,40,35,7,2432,2048,2880,2304,2240,2560,2624,2048,2176,2560,1792,1920,2112,1792,2240,1856,1984,1728,1984,1984,2688,1920,2624,1920,2048,2240,1600,2304,2560,2112,1856,2240,2048,1856,1088,8.64848,2.12538e-06,4.14685e-05,1.91959e-05
qdeim,0.8,0.999,40,35,7,1088,1024,1024,960,1024,1024,1152,1024,960,1216,1088,1088,1088,960,960,1152,960,1216,1152,896,960,1088,1088,1024,1024,1088,1024,1216,1024,1344,1408,1344,896,1856,1152,4.61629,1.19864e-06,3.90216e-05,2.00114e-05
gnat,0.8,0.999,40,35,7,1152,1024,1024,1024,1024,960,896,896,960,960,960,1024,1024,1024,1024,1024,1024,960,960,960,960,896,896,896,896,896,896,896,832,960,960,896,896,1728,1344,3.31509,2.23752e-06,5.52153e-05,2.30805e-05
sopt,0.8,0.999,40,35,8,2688,2304,3008,2624,2496,2752,2944,2496,2624,2944,2176,2368,2368,2176,2624,2176,2368,1984,2432,2496,3072,2304,3008,2304,2496,2560,2112,2560,3008,2176,2240,2368,2304,1920,1152,8.97969,2.12656e-06,4.13676e-05,1.91165e-05
qdeim,0.8,0.999,40,35,8,1152,1088,1152,1024,1152,1088,1280,1024,1024,1216,1152,1216,1216,1088,1088,1280,1088,1344,1280,1024,1088,1152,1152,1088,1088,1152,1216,1280,1152,1536,1472,1536,1024,2048,1152,4.15698,1.18586e-06,3.89378e-05,1.96632e-05
gnat,0.8,0.999,40,35,8,1280,1280,1152,1152,1152,1024,1024,896,1024,1024,1024,1024,1152,1152,1152,1152,1152,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,896,1024,1024,1024,1024,1920,1536,3.56543,2.23667e-06,5.55669e-05,2.30733e-05
sopt,0.8,0.999,40,35,9,2880,2688,3200,3008,2688,2880,3072,2624,2816,3136,2560,2624,2752,2496,2944,2368,2752,2432,3264,2752,3520,2688,3200,2496,2624,2880,2368,2944,3392,2688,2368,2880,2752,2112,1280,9.91275,2.23867e-06,4.1443e-05,1.83441e-05
qdeim,0.8,0.999,40,35,9,1280,1216,1280,1152,1280,1152,1344,1088,1152,1216,1280,1280,1216,1216,1216,1408,1216,1408,1408,1152,1152,1216,1280,1216,1216,1280,1408,1408,1216,1728,1664,1792,1152,2240,1216,4.56114,1.28442e-06,4.10123e-05,2.32431e-05
gnat,0.8,0.999,40,35,9,1280,1280,1280,1216,1152,1152,1152,1024,1152,1216,1088,1152,1344,1344,1344,1344,1280,1216,1152,1216,1152,1152,1152,1152,1152,1152,1152,1088,960,1152,1216,1152,1152,2112,1728,3.72904,2.25607e-06,5.42983e-05,2.28146e-05
