method,t,ef,ws,w,q,nqp,TT3,ErrX,ErrV,ErrE
sopt,0.8,0.999,40,70,2,,nan,nan,nan
qdeim,0.8,0.999,40,70,2,256,384,384,384,384,384,448,384,384,320,384,320,320,384,384,384,384,384,384,384,384,384,384,384,384,448,448,384,384,384,384,448,448,448,384,448,448,384,384,384,384,448,448,320,448,512,384,320,320,320,384,384,384,320,320,320,320,320,448,512,640,448,448,512,512,512,512,576,576,576,7.97825,0.0263455,0.0419483,0.0216671
gnat,0.8,0.999,40,70,2,256,448,384,448,384,384,448,384,448,448,448,448,384,384,384,384,320,384,320,384,320,384,448,448,512,448,448,448,320,384,320,320,320,384,384,384,320,320,320,384,320,320,384,320,384,320,320,320,256,256,256,256,256,256,256,256,256,256,384,448,512,384,384,384,512,512,448,512,448,512,4.21858,0.0280559,0.123568,0.0147057
sopt,0.8,0.999,40,70,3,,nan,nan,nan
qdeim,0.8,0.999,40,70,3,384,576,576,576,576,512,576,512,512,448,448,448,448,448,512,512,512,576,576,576,576,576,704,704,704,640,640,640,640,576,576,576,576,576,576,640,640,512,512,512,512,576,640,512,512,512,448,384,448,448,512,512,512,512,512,512,512,448,640,832,832,704,576,704,640,512,576,640,704,704,5.62504,0.0249002,0.0428042,0.0207502
gnat,0.8,0.999,40,70,3,320,640,640,640,576,576,640,640,640,640,640,512,512,512,512,576,512,512,512,512,512,512,576,576,576,576,576,576,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,448,448,448,448,448,384,384,384,384,384,384,384,384,384,384,512,576,576,448,448,512,576,576,640,640,704,704,6.57239,0.0263311,0.101905,0.000439716
sopt,0.8,0.999,40,70,4,,nan,nan,nan
qdeim,0.8,0.999,40,70,4,576,768,704,704,704,640,640,576,576,576,576,576,512,576,576,512,576,704,704,704,704,704,768,768,832,768,768,768,768,704,704,704,704,640,640,704,704,640,640,640,640,704,832,640,640,640,576,512,576,576,640,704,576,640,640,704,704,640,768,1024,1088,832,768,832,640,512,640,768,896,960,13.898,0.0238377,0.0295422,0.0190831
gnat,0.8,0.999,40,70,4,384,768,640,640,640,640,768,768,768,768,768,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,640,640,640,512,512,640,640,640,768,768,896,896,6.29327,0.0246434,0.0783988,0.0243862
sopt,0.8,0.999,40,70,5,,nan,nan,nan
qdeim,0.8,0.999,40,70,5,768,896,896,832,832,768,768,768,768,768,768,768,768,832,768,640,640,768,832,896,960,960,832,896,960,896,832,832,832,768,768,768,832,768,768,832,832,768,768,768,704,768,896,704,768,768,768,640,768,704,832,896,768,768,768,832,896,768,960,1088,1216,1024,1024,960,640,640,704,832,896,1088,6.0419,0.0224782,0.0248103,0.0172254
gnat,0.8,0.999,40,70,5,448,832,768,832,768,768,832,832,832,832,768,768,832,768,768,768,768,768,768,768,768,768,768,768,768,768,768,768,768,768,768,768,768,768,768,768,768,768,768,768,768,768,704,640,640,640,640,640,640,640,640,640,640,640,640,640,640,576,768,768,768,704,640,704,704,704,896,960,1024,1088,5.24164,0.0237932,0.0739458,0.00773158
sopt,0.8,0.999,40,70,6,,nan,nan,nan
qdeim,0.8,0.999,40,70,6,960,960,1280,960,960,896,896,896,896,960,896,896,896,960,960,960,768,960,896,896,1024,1024,960,896,960,1024,832,832,896,832,832,832,960,896,896,960,960,960,832,768,768,832,960,768,896,960,896,768,896,832,960,1024,896,896,960,960,960,960,1024,1280,1280,1152,1152,1216,768,768,768,896,960,1152,6.54868,0.0216794,0.0206426,0.0164577
gnat,0.8,0.999,40,70,6,512,896,896,896,896,896,896,896,896,896,896,896,896,896,896,896,896,896,896,896,896,896,896,896,896,896,896,896,896,896,896,896,896,896,896,896,896,896,896,896,896,896,768,768,768,768,768,768,768,768,768,768,768,768,768,768,768,640,896,896,896,896,768,768,768,768,1024,1152,1152,1152,5.83252,0.0222782,0.0517401,0.0251413
sopt,0.8,0.999,40,70,7,,nan,nan,nan
qdeim,0.8,0.999,40,70,7,1152,1088,1344,960,1024,1024,1024,1024,1024,1088,1088,1024,1088,1088,1088,1088,832,960,960,1024,1024,1088,1088,1024,1088,1088,960,960,960,960,960,960,1024,1024,1024,1088,1088,1152,960,896,896,896,1088,896,1088,1088,1024,960,1024,960,1088,1088,1024,960,1152,1088,960,1088,1088,1408,1408,1280,1344,1344,896,896,896,960,1088,1152,6.75092,0.0208077,0.0177216,0.0159083
gnat,0.8,0.999,40,70,7,576,1152,1024,1024,1024,1024,1024,1024,1024,1024,1024,896,896,896,896,896,960,960,960,960,960,960,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,960,960,960,960,960,960,960,960,960,896,896,896,896,896,896,896,896,896,896,896,896,896,832,704,960,960,960,960,960,896,896,960,1152,1280,1216,1280,6.36448,0.0218917,0.0517115,0.0115299
sopt,0.8,0.999,40,70,8,,nan,nan,nan
qdeim,0.8,0.999,40,70,8,1344,1152,1344,1024,1408,1152,1152,1152,1152,1216,1152,1216,1216,1216,1216,1216,960,1088,1088,1088,1152,1152,1216,1152,1216,1216,1088,1088,1088,1088,1088,1088,1152,1152,1152,1216,1152,1280,1024,1024,1024,1024,1216,1024,1152,1152,1152,1024,1088,1088,1280,1216,1152,1088,1280,1216,1024,1152,1280,1536,1472,1536,1600,1536,1024,1024,1024,1024,1216,1152,7.3852,0.020081,0.0152638,0.0153438
gnat,0.8,0.999,40,70,8,640,1280,1280,1280,1152,1024,1152,1152,1152,1152,1152,1024,1024,1024,1024,896,1024,1024,1024,1024,1024,1024,1024,1024,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,896,768,1024,1024,1024,1024,1024,1024,1024,1152,1280,1408,1280,1344,6.4786,0.0206278,0.0339076,0.0225517
sopt,0.8,0.999,40,70,9,,nan,nan,nan
qdeim,0.8,0.999,40,70,9,1536,1280,1408,1152,1600,1344,1280,1280,1280,1280,1280,1344,1280,1280,1280,1280,1088,1152,1152,1152,1280,1280,1280,1216,1216,1344,1216,1216,1216,1216,1216,1216,1216,1216,1216,1280,1280,1344,1088,1152,1152,1152,1280,1152,1280,1280,1280,1152,1216,1216,1408,1344,1344,1152,1408,1344,1152,1344,1408,1664,1664,1728,1728,1792,1152,1152,1088,1088,1344,1152,10.1478,0.0198621,0.0239196,0.0101043
gnat,0.8,0.999,40,70,9,768,1280,1280,1280,1280,1280,1216,1216,1216,1152,1152,1152,1152,1152,1152,1024,1152,1216,1216,1216,1152,1088,1088,1152,1216,1344,1344,1344,1344,1344,1344,1280,1280,1280,1152,1152,1152,1152,1216,1152,1216,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1088,960,896,1216,1152,1152,1152,1152,1152,1152,1280,1344,1536,1344,1344,7.48656,0.0208342,0.0390548,0.0126321
sopt,0.8,0.999,80,35,2,512,768,896,768,576,896,832,704,640,576,512,512,512,384,640,448,384,384,512,448,576,384,448,384,384,384,320,512,768,576,448,768,576,768,576,4.49458,0.0266614,0.166254,0.0322264
qdeim,0.8,0.999,80,35,2,384,384,384,384,384,384,384,384,384,384,448,384,384,448,384,384,384,448,384,384,384,384,512,384,320,384,384,320,256,576,576,512,512,768,576,2.75139,0.026794,0.0990875,0.0180159
gnat,0.8,0.999,80,35,2,448,384,384,448,448,448,384,448,384,320,320,448,448,512,320,320,320,384,384,320,320,320,384,320,256,256,256,256,256,512,512,384,512,576,576,2.85338,0.0284964,0.137364,0.0301811
sopt,0.8,0.999,80,35,3,896,1472,1216,1216,1472,1088,1280,1280,1088,1216,896,896,704,640,960,768,768,640,1088,832,896,704,768,704,896,1152,640,1088,960,832,704,1216,832,1152,704,7.05442,0.0226854,0.139075,0.0242379
qdeim,0.8,0.999,80,35,3,576,576,512,512,448,448,448,512,576,576,576,704,704,576,576,576,576,576,576,512,512,576,512,448,448,512,512,448,384,896,704,640,512,1152,768,3.30481,0.0254411,0.0961692,0.0162902
gnat,0.8,0.999,80,35,3,640,640,576,640,640,512,512,512,512,512,512,576,576,576,512,512,512,512,512,512,512,448,448,448,384,384,384,384,384,576,576,448,576,832,832,2.95048,0.0263941,0.126504,0.0220045
sopt,0.8,0.999,80,35,4,1088,1600,1536,1472,1664,1344,1408,1536,1664,1472,1280,1216,1216,960,1088,1152,1152,1024,1344,1408,1152,1152,1088,1152,1344,1472,1152,1664,1344,1024,832,1536,1216,1600,704,8.39803,0.0222112,0.134269,0.023297
qdeim,0.8,0.999,80,35,4,768,704,640,576,576,576,640,512,704,704,704,768,832,768,704,704,704,704,768,640,640,704,640,576,576,640,640,640,704,1088,832,832,512,1408,1088,3.56683,0.024248,0.0848463,0.014442
gnat,0.8,0.999,80,35,4,768,640,640,768,768,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,512,512,512,512,512,512,512,512,640,640,512,640,1024,896,3.72794,0.0253733,0.131311,0.0182973
sopt,0.8,0.999,80,35,5,1472,1856,1792,1664,1856,1728,1664,1728,1920,1792,1600,1536,1408,1152,1344,1344,1344,1152,1600,1664,1536,1408,1280,1408,1472,1728,1408,1920,1728,1280,1024,2176,1856,1728,896,9.94072,0.0218834,0.131062,0.0222882
qdeim,0.8,0.999,80,35,5,896,832,768,768,768,768,768,768,768,896,960,768,960,832,768,768,832,832,896,704,704,768,768,704,768,832,768,768,768,1152,1088,960,640,1536,1088,4.65711,0.023045,0.0775811,0.0128734
gnat,0.8,0.999,80,35,5,832,768,768,832,832,704,832,768,768,768,768,768,768,768,768,768,768,768,768,768,768,640,640,640,640,640,640,640,640,768,768,640,704,1344,1088,3.34832,0.0237804,0.120411,0.0144484
sopt,0.8,0.999,80,35,6,1600,2304,2368,2048,2240,2176,2048,1920,2048,1984,1856,1792,1600,1408,1536,1472,1600,1408,1984,1856,1792,1664,1472,1856,1728,1856,1664,2240,1920,1728,1344,2432,2048,1792,1024,10.9999,0.0217827,0.130069,0.0219811
qdeim,0.8,0.999,80,35,6,960,896,896,896,960,896,960,960,832,1088,1024,896,1024,832,832,960,960,1024,1024,768,768,896,896,832,896,960,896,896,896,1344,1216,1216,768,1728,1152,5.23704,0.0223155,0.0740909,0.0119655
gnat,0.8,0.999,80,35,6,896,896,896,896,896,768,896,896,896,896,896,896,896,896,896,896,896,896,896,896,896,768,768,768,768,768,768,768,768,896,896,768,768,1536,1152,3.80468,0.0228536,0.118476,0.0132028
sopt,0.8,0.999,80,35,7,1920,2560,2624,2432,2560,2432,2368,2368,2432,2496,2048,2048,1856,2048,2112,1920,1920,1664,2112,2176,2304,1856,1856,2432,1984,2304,1984,2432,2304,1920,1472,2624,2240,1856,1280,12.6945,0.021711,0.129449,0.0220664
qdeim,0.8,0.999,80,35,7,1088,1024,1024,960,1024,1024,1152,1024,960,1216,1088,1024,1088,960,960,1152,1152,1216,1152,896,896,1088,1088,960,1024,1024,1280,1088,1024,1344,1472,1408,896,1856,1152,6.06474,0.0209681,0.0680163,0.0112761
gnat,0.8,0.999,80,35,7,1152,1024,1024,1024,1024,960,896,896,960,960,960,1024,1024,1024,1024,1024,1024,960,960,960,960,896,896,896,896,896,896,896,832,960,960,896,896,1728,1344,4.39225,0.0219186,0.109889,0.0128726
sopt,0.8,0.999,80,35,8,2432,3072,3136,2624,2944,2624,2496,2560,2816,2752,2560,2432,2240,2432,2304,2048,2368,2048,2432,2560,2432,2176,2304,2688,2752,2752,2240,2880,2624,2176,1984,3072,2624,1856,1344,13.6541,0.0216783,0.12943,0.0220845
qdeim,0.8,0.999,80,35,8,1152,1088,1152,1088,1088,1152,1280,1024,1024,1216,1152,1152,1216,1088,1088,1280,1280,1344,1280,1024,1024,1152,1216,1088,1088,1088,1664,1216,1152,1536,1536,1536,1024,2048,1152,6.07191,0.0201497,0.0650628,0.0110877
gnat,0.8,0.999,80,35,8,1280,1280,1152,1152,1152,1024,1024,896,1024,1024,1024,1024,1152,1152,1152,1152,1152,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,896,1024,1024,1024,1024,1920,1536,4.95352,0.0212734,0.102494,0.0126257
sopt,0.8,0.999,80,35,9,2816,3328,3264,2944,3136,2816,2688,2688,3200,3200,2880,2688,2624,2688,2752,2432,2624,2432,2816,2944,2624,2688,2624,3072,3008,2880,2816,3136,2944,2688,2368,3200,3008,2112,1472,14.9944,0.0215691,0.128753,0.0221018
qdeim,0.8,0.999,80,35,9,1280,1216,1280,1216,1216,1216,1344,1088,1152,1216,1280,1216,1216,1216,1216,1408,1408,1408,1344,1152,1152,1216,1344,1216,1216,1216,1664,1280,1216,1728,1664,1792,1152,2240,1216,7.11084,0.0195944,0.0626706,0.010831
gnat,0.8,0.999,80,35,9,1280,1280,1280,1216,1152,1152,1152,1024,1152,1216,1088,1152,1344,1344,1344,1344,1280,1216,1152,1152,1152,1152,1152,1152,1152,1152,1152,1088,960,1216,1216,1152,1152,2112,1728,5.36172,0.0207397,0.0909344,0.0128843
