method,t,n,xx,vv,ee,q,condV,condE,time,ErrX,ErrV,ErrE
clssopt,0.05,1,7,8,20,10,5.880819,3.639857,0.255257,3.22613e-05,0.00574153,0.00117293
clsqdeim,0.05,1,7,8,20,10,6.096901,2.897733,0.255569,6.08239e-05,0.0125384,0.00117737
clssopt,0.05,1,7,8,20,20,4.216687,3.196452,0.297438,6.21902e-05,0.0109181,0.00178872
clsqdeim,0.05,1,7,8,20,20,4.701000,3.020010,0.296666,4.63115e-05,0.00775049,0.00122406
clssopt,0.05,1,7,8,20,30,3.170500,2.048440,0.351415,2.57073e-05,0.00145868,0.000123746
clsqdeim,0.05,1,7,8,20,30,3.859047,1.766295,0.353151,4.8664e-05,0.00564939,0.000732832
clssopt,0.05,1,7,8,20,40,2.919681,2.526917,0.403856,2.80469e-05,0.00251032,0.000440555
clsqdeim,0.05,1,7,8,20,40,3.415410,2.351008,0.381201,1.54233e-05,0.00141082,0.000131527
clssopt,0.05,1,7,8,20,50,2.511469,2.066242,0.448083,4.23453e-05,0.00431087,0.000611407
clsqdeim,0.05,1,7,8,20,50,3.293627,1.895412,0.420436,1.63262e-05,0.00143331,0.000235432
clssopt,0.05,1,7,8,20,60,2.776220,1.856038,0.469501,2.1913e-05,0.0016843,0.000248806
clsqdeim,0.05,1,7,8,20,60,3.329386,1.574595,0.475764,1.80041e-05,0.0026941,0.000375315
clssopt,0.05,1,7,8,20,70,2.679278,1.576346,0.503415,1.30252e-05,0.00123109,0.000146981
clsqdeim,0.05,1,7,8,20,70,2.534660,1.659585,0.505026,2.51299e-05,0.00416434,0.000656436
clssopt,0.05,1,7,8,20,80,2.266694,1.927756,0.516797,1.45831e-05,0.0016032,0.00016585
clsqdeim,0.05,1,7,8,20,80,2.676604,2.063691,0.548644,1.82742e-05,0.00279356,0.000453884
clssopt,0.05,1,7,8,20,90,2.412459,1.326380,0.564454,2.29085e-05,0.00298586,0.000259726
clsqdeim,0.05,1,7,8,20,90,2.139534,1.610941,0.575376,3.74224e-05,0.00546047,0.000942319
clssopt,0.05,1,7,8,20,100,2.489229,1.458007,0.595262,1.79361e-05,0.00205362,0.00019299
clsqdeim,0.05,1,7,8,20,100,2.442633,1.668737,0.629728,5.51343e-05,0.00652852,0.00108079
clssopt,0.05,1,7,8,20,110,2.625882,1.365064,0.628204,1.97153e-05,0.00214894,0.000195336
clsqdeim,0.05,1,7,8,20,110,2.135131,1.439849,0.63719,4.6927e-05,0.00460691,0.000701665
clssopt,0.05,1,7,8,20,120,2.975812,1.878464,0.649705,1.90232e-05,0.00219869,0.000183912
clsqdeim,0.05,1,7,8,20,120,2.332535,1.756851,0.675836,3.37273e-05,0.0029106,0.000397953
clssopt,0.05,1,7,8,20,130,3.376989,1.473414,0.65933,1.94865e-05,0.00240853,0.000181658
clsqdeim,0.05,1,7,8,20,130,1.897378,1.388783,0.692196,3.33017e-05,0.00308455,0.000427055
clssopt,0.05,1,7,8,20,140,2.801166,1.475657,0.716877,2.12309e-05,0.00249632,0.000171257
clsqdeim,0.05,1,7,8,20,140,2.068175,1.460584,0.718764,1.9169e-05,0.00156213,0.0001705
clssopt,0.05,1,7,8,20,150,4.048794,1.428260,0.742548,1.8859e-05,0.00201136,0.000165713
clsqdeim,0.05,1,7,8,20,150,2.094396,1.312828,0.737377,2.35026e-05,0.00171749,0.000140212
clssopt,0.05,1,7,8,20,160,4.632945,1.590392,0.784653,1.6027e-05,0.00203243,0.000197073
clsqdeim,0.05,1,7,8,20,160,2.064951,1.503927,0.758656,1.94084e-05,0.00142077,9.4231e-05
clssopt,0.05,1,7,8,20,170,3.984423,1.442090,0.797066,1.44295e-05,0.00239763,0.000224497
clsqdeim,0.05,1,7,8,20,170,1.826794,1.297818,0.775776,1.8232e-05,0.0012031,7.08445e-05
clssopt,0.05,1,7,8,20,180,4.606824,1.335651,0.803194,1.40587e-05,0.00259288,0.00024579
clsqdeim,0.05,1,7,8,20,180,1.984028,1.297026,0.807631,1.5582e-05,0.00103012,5.79197e-05
clssopt,0.05,1,7,8,20,190,4.116485,1.316281,0.810802,1.44681e-05,0.00322744,0.000275057
clsqdeim,0.05,1,7,8,20,190,1.841405,1.348532,0.82136,1.46921e-05,0.000956094,5.62639e-05
clssopt,0.05,1,7,8,20,200,4.332885,1.435577,0.820051,1.43077e-05,0.00320417,0.000268269
clsqdeim,0.05,1,7,8,20,200,2.082533,1.434899,0.834515,1.35028e-05,0.000827521,6.27289e-05
clssopt,0.05,2,7,14,33,10,9.823496,4.264348,,0.0248309,5.163,0.319107
clsqdeim,0.05,2,7,14,33,10,9.951011,4.172884,,0.0184154,6.1332,1.09341
clssopt,0.05,2,7,14,33,20,6.459503,3.396469,0.41332,3.60297e-05,0.00817759,0.000811432
clsqdeim,0.05,2,7,14,33,20,7.248181,3.436972,0.412015,5.69822e-05,0.0319707,0.00605594
clssopt,0.05,2,7,14,33,30,5.485234,2.404656,1.57074,0.000133622,0.104396,0.0343486
clsqdeim,0.05,2,7,14,33,30,4.550899,4.016883,,0.00578621,3.13012,0.658827
clssopt,0.05,2,7,14,33,40,4.551555,2.518448,0.50186,1.43607e-06,0.000606759,4.14543e-05
clsqdeim,0.05,2,7,14,33,40,3.899917,2.550287,,0.00641975,1.60009,0.289129
clssopt,0.05,2,7,14,33,50,4.020323,2.631439,,0.0118592,25372.2,4.01939e+08
clsqdeim,0.05,2,7,14,33,50,3.586770,2.440984,,0.0137136,1.72686,0.390744
clssopt,0.05,2,7,14,33,60,3.437886,1.974174,,0.00575509,24312.7,4.44292e+08
clsqdeim,0.05,2,7,14,33,60,3.668088,2.169892,,0.0091617,1.42824,0.315159
clssopt,0.05,2,7,14,33,70,3.421487,2.388376,,0.0152124,1.44116e+07,1.91965e+14
clsqdeim,0.05,2,7,14,33,70,3.091891,3.276960,,0.0090339,1.31034,0.32738
clssopt,0.05,2,7,14,33,80,3.142778,1.642139,,0.0198364,8.0395e+09,7.21166e+19
clsqdeim,0.05,2,7,14,33,80,2.946753,2.093520,,0.00595469,1.26988,0.311814
clssopt,0.05,2,7,14,33,90,2.725180,1.883940,,0.0167466,7.69186e+11,6.05277e+23
clsqdeim,0.05,2,7,14,33,90,2.979402,1.804191,,0.00262797,1.57067,0.379354
clssopt,0.05,2,7,14,33,100,2.554276,1.736940,,0.0173365,1.58039e+12,2.49099e+24
clsqdeim,0.05,2,7,14,33,100,2.760896,1.900971,0.834829,0.000940367,0.614849,0.153029
clssopt,0.05,2,7,14,33,110,2.630633,1.654860,,0.015006,6.605e+11,3.4765e+23
clsqdeim,0.05,2,7,14,33,110,2.921285,1.914435,0.827565,0.000548742,0.278442,0.0674457
clssopt,0.05,2,7,14,33,120,2.461922,1.854158,,0.00802319,1.01187e+12,8.67761e+23
clsqdeim,0.05,2,7,14,33,120,2.750589,1.962784,0.78661,1.42907e-05,0.00791598,0.00157912
clssopt,0.05,2,7,14,33,130,2.854046,1.748198,,0.0137215,9.8557e+11,7.861e+23
clsqdeim,0.05,2,7,14,33,130,2.355882,1.616227,0.825416,2.09233e-05,0.00542257,0.000973089
clssopt,0.05,2,7,14,33,140,2.471407,2.088197,,0.0239029,1.72088e+10,1.68498e+20
clsqdeim,0.05,2,7,14,33,140,2.402903,2.417109,0.864926,1.29543e-05,0.00351353,0.000646477
clssopt,0.05,2,7,14,33,150,2.301992,1.778588,,0.0298282,8.60006,4.70051
clsqdeim,0.05,2,7,14,33,150,2.257951,1.541805,0.85764,8.64643e-06,0.0019077,0.0003941
clssopt,0.05,2,7,14,33,160,2.305333,1.634422,,0.0282838,13.829,22.5851
clsqdeim,0.05,2,7,14,33,160,2.140185,1.591614,0.91554,4.83529e-06,0.00108254,0.000192078
clssopt,0.05,2,7,14,33,170,2.349825,1.644743,,0.0212534,41.1787,114.371
clsqdeim,0.05,2,7,14,33,170,2.188806,1.656687,0.923117,4.18981e-06,0.000619879,0.000125772
clssopt,0.05,2,7,14,33,180,1.999129,1.812443,,0.0209438,10.3114,8.08094
clsqdeim,0.05,2,7,14,33,180,2.133863,1.556073,0.953292,2.74206e-06,0.00048808,5.90096e-05
clssopt,0.05,2,7,14,33,190,2.158373,1.593041,,0.018828,6.94313,3.57376
