method,t,n,xx,vv,ee,q,condV,condE,time,ErrX,ErrV,ErrE
sopt,0.05,1,7,8,20,10,14.371724,3.664435,0.217518,7.86908e-06,0.000832924,7.55061e-05
qdeim,0.05,1,7,8,20,10,25.743906,4.669280,0.216981,1.86285e-05,0.00218752,0.000279894
sopt,0.05,1,7,8,20,20,6.791734,3.722991,0.261732,1.13777e-05,0.000777163,7.5177e-05
qdeim,0.05,1,7,8,20,20,27.290786,2.865056,0.256757,1.3636e-05,0.00155372,0.000211053
sopt,0.05,1,7,8,20,30,5.285902,3.206614,0.304427,1.30178e-05,0.00087572,0.000122174
qdeim,0.05,1,7,8,20,30,20.028243,1.958960,0.27182,1.1525e-05,0.00125789,0.000196432
sopt,0.05,1,7,8,20,40,5.249810,3.519457,0.33089,9.70298e-06,0.000572567,7.56277e-05
qdeim,0.05,1,7,8,20,40,14.158397,2.688360,0.319501,6.26344e-06,0.000734206,0.000112851
sopt,0.05,1,7,8,20,50,4.600692,2.636101,0.364725,9.69854e-06,0.00047626,4.69049e-05
qdeim,0.05,1,7,8,20,50,8.541786,2.307716,0.336105,2.81036e-06,0.00046463,5.43378e-05
sopt,0.05,1,7,8,20,60,4.528578,2.557967,0.412384,8.84278e-06,0.000376462,4.64541e-05
qdeim,0.05,1,7,8,20,60,7.757324,2.133432,0.386554,2.75305e-06,0.000456998,5.13493e-05
sopt,0.05,1,7,8,20,70,4.048971,2.562427,0.438316,8.34639e-06,0.000474637,4.13999e-05
qdeim,0.05,1,7,8,20,70,7.797562,1.852723,0.405488,2.12221e-06,0.000487376,4.73998e-05
sopt,0.05,1,7,8,20,80,3.684256,2.452979,0.481571,8.07081e-06,0.000498459,3.97849e-05
qdeim,0.05,1,7,8,20,80,7.254623,3.143273,0.430294,2.14521e-06,0.000427949,4.54919e-05
sopt,0.05,1,7,8,20,90,3.106081,2.451832,0.497171,8.41675e-06,0.000509124,3.93769e-05
qdeim,0.05,1,7,8,20,90,6.900608,2.480624,0.462186,2.06908e-06,0.000471951,4.52156e-05
sopt,0.05,1,7,8,20,100,3.452236,2.289569,0.504641,6.50083e-06,0.000525838,3.78865e-05
qdeim,0.05,1,7,8,20,100,5.856763,2.344436,0.469786,2.52635e-06,0.000393286,4.69277e-05
sopt,0.05,1,7,8,20,110,3.095747,2.438729,0.545077,7.43451e-06,0.000581467,4.01896e-05
qdeim,0.05,1,7,8,20,110,4.693217,2.263213,0.47955,2.4477e-06,0.000392297,4.17295e-05
sopt,0.05,1,7,8,20,120,2.886253,2.685705,0.562818,7.73829e-06,0.000574608,3.96175e-05
qdeim,0.05,1,7,8,20,120,5.607613,3.365349,0.491419,2.29948e-06,0.000378423,4.19289e-05
sopt,0.05,1,7,8,20,130,2.672269,2.370103,0.589071,7.26273e-06,0.000607163,4.74834e-05
qdeim,0.05,1,7,8,20,130,4.808231,2.074745,0.508387,1.74082e-06,0.000342331,4.14306e-05
sopt,0.05,1,7,8,20,140,2.839766,2.296132,0.62776,7.41707e-06,0.000622274,5.3486e-05
qdeim,0.05,1,7,8,20,140,5.028429,2.499709,0.505283,1.98986e-06,0.000304386,4.4204e-05
sopt,0.05,1,7,8,20,150,2.750512,2.292335,0.616859,6.56077e-06,0.000628604,5.41073e-05
qdeim,0.05,1,7,8,20,150,4.198712,2.380028,0.516081,1.74539e-06,0.000308346,4.30896e-05
