method,t,n,ef,xx,vv,ee,q,condV,condE,time,ErrX,ErrV,ErrE
clssopt,0.1,1,0.99,10,10,31,5,30.112016,5.834777,0.546751,0.0206404,0.408191,6.60311e-05
sopt,0.1,1,0.99,10,10,31,5,17.719141,5.858896,0.566683,0.0206469,0.408525,6.54543e-05
clssopt,0.1,1,0.99,10,10,31,10,16.324362,4.841530,0.576211,0.0206414,0.408269,6.60664e-05
sopt,0.1,1,0.99,10,10,31,10,10.432632,6.489143,0.635861,0.0206462,0.408492,6.53963e-05
clssopt,0.1,1,0.99,10,10,31,15,10.949481,3.837506,0.623557,0.0206412,0.408267,6.59964e-05
sopt,0.1,1,0.99,10,10,31,15,9.625832,4.599756,0.56819,0.0206451,0.408492,6.52049e-05
clssopt,0.1,1,0.99,10,10,31,20,11.765036,4.097214,0.677565,0.0206417,0.408268,6.56707e-05
sopt,0.1,1,0.99,10,10,31,20,8.182535,7.783404,0.640273,0.0206451,0.408488,6.51809e-05
clssopt,0.1,1,0.99,10,10,31,25,7.728568,4.152940,0.697488,0.0206418,0.40827,6.56685e-05
sopt,0.1,1,0.99,10,10,31,25,6.597712,3.711612,0.643331,0.0206454,0.408493,6.50205e-05
clssopt,0.1,1,0.99,10,10,31,30,6.343579,4.560846,0.716601,0.0206425,0.4083,6.56039e-05
sopt,0.1,1,0.99,10,10,31,30,6.470635,7.279752,0.710016,0.0206449,0.408491,6.50785e-05
clssopt,0.1,1,0.99,10,10,31,35,6.280875,4.073118,0.786125,0.0206431,0.408318,6.55694e-05
sopt,0.1,1,0.99,10,10,31,35,5.563154,3.368441,0.753059,0.0206448,0.408488,6.50281e-05
clssopt,0.1,1,0.99,10,10,31,40,5.288464,3.548182,0.835384,0.0206426,0.408328,6.55382e-05
sopt,0.1,1,0.99,10,10,31,40,5.170659,4.669192,0.779854,0.0206449,0.408484,6.49529e-05
clssopt,0.1,1,0.99,10,10,31,45,4.865544,2.991536,0.879036,0.0206426,0.408326,6.54595e-05
