method,t,n,ef,xx,vv,ee,q,condV,condE,time,ErrX,ErrV,ErrE
clssopt,0.1,3,0.9999,10,32,72,5,43.684508,21.013609,,0.0611997,3.15768,0.503339
sopt,0.1,3,0.9999,10,32,72,5,54.538215,20.332343,,0.0527932,2.05038,0.247508
clssopt,0.1,3,0.9999,10,32,72,10,36.643651,26.645479,,0.0553802,1.95498,0.179003
sopt,0.1,3,0.9999,10,32,72,10,25.373839,29.822395,,0.0567364,2.35605,0.177049
clssopt,0.1,3,0.9999,10,32,72,15,20.869343,10.444834,,0.0458421,2.58292,0.40427
sopt,0.1,3,0.9999,10,32,72,15,22.976596,10.289438,,0.0560276,1.6731,0.209489
clssopt,0.1,3,0.9999,10,32,72,20,17.056939,12.541595,,0.0220742,0.791002,0.0831834
sopt,0.1,3,0.9999,10,32,72,20,23.980033,8.929105,,0.0550853,1.72512,0.176554
clssopt,0.1,3,0.9999,10,32,72,25,12.821139,8.892396,,0.0161956,3.12732,0.45529
sopt,0.1,3,0.9999,10,32,72,25,15.118729,6.736387,,0.0495958,3.82914,0.422582
clssopt,0.1,3,0.9999,10,32,72,30,12.151248,9.942016,1.20821,0.00165147,0.576013,0.0528924
sopt,0.1,3,0.9999,10,32,72,30,11.527875,7.364097,,0.0427426,1.48414,0.130852
clssopt,0.1,3,0.9999,10,32,72,35,11.307564,6.853462,1.2263,0.00101226,0.32262,0.0325424
sopt,0.1,3,0.9999,10,32,72,35,12.789619,7.281366,,0.0382285,1.62372,0.154632
clssopt,0.1,3,0.9999,10,32,72,40,11.319646,8.564257,,0.00206231,3.99247,1.36562
sopt,0.1,3,0.9999,10,32,72,40,13.998130,7.709906,,0.0318867,1.354,0.140357
clssopt,0.1,3,0.9999,10,32,72,45,10.251276,6.129438,1.35245,0.00049976,0.250166,0.0346609
sopt,0.1,3,0.9999,10,32,72,45,9.684750,6.032284,,0.0287611,1.07496,0.114102
clssopt,0.1,3,0.9999,10,32,72,50,9.112547,7.553198,1.3314,0.000279037,0.0934756,0.0156138
sopt,0.1,3,0.9999,10,32,72,50,8.722672,5.915987,,0.031412,1.48032,0.155036
