method,t,n,ef,xx,vv,ee,q,condV,condE,time,ErrX,ErrV,ErrE
sopt,0.1,3,0.9999,10,32,72,5,54.538215,29.822395,,0.0549861,1.85702,0.198517
sopt,0.1,3,0.9999,10,32,72,10,25.373839,8.929105,,0.0550419,21.0652,0.864313
sopt,0.1,3,0.9999,10,32,72,15,22.976596,7.364097,,0.0526884,1.85117,0.254469
sopt,0.1,3,0.9999,10,32,72,20,23.980033,7.709906,,0.0497406,1.79199,0.195198
sopt,0.1,3,0.9999,10,32,72,25,15.118729,5.915987,,0.0438755,6.97642,0.186297
sopt,0.1,3,0.9999,10,32,72,30,11.527875,5.497898,,0.0349152,1.44145,0.149672
sopt,0.1,3,0.9999,10,32,72,35,12.789619,5.006228,,0.031563,1.65544,0.171913
sopt,0.1,3,0.9999,10,32,72,40,13.998130,5.361886,,0.0261849,1.42092,0.154514
sopt,0.1,3,0.9999,10,32,72,45,9.684750,4.659835,,0.0198553,1.13453,0.124803
sopt,0.1,3,0.9999,10,32,72,50,8.722672,4.197572,,0.0225435,1.39625,0.144757
sopt,0.1,3,0.9999,10,32,72,55,7.960682,3.811230,,0.0188543,1.33329,0.135941
sopt,0.1,3,0.9999,10,32,72,60,9.332125,4.101886,,0.00573389,3.7676,0.290835
sopt,0.1,3,0.9999,10,32,72,65,9.056862,4.008822,9.03492,0.00291864,3.00242,0.270533
sopt,0.1,3,0.9999,10,32,72,70,8.020810,4.253972,2.56154,0.0021993,0.992753,0.121081
sopt,0.1,3,0.9999,10,32,72,75,7.138135,4.005593,1.94329,0.00142556,0.366165,0.0490469
sopt,0.1,3,0.9999,10,32,72,80,6.711273,4.949503,1.87472,0.000839109,0.208587,0.0305757
sopt,0.1,3,0.9999,10,32,72,85,7.887022,3.743955,1.89824,0.000445931,0.112928,0.0161024
sopt,0.1,3,0.9999,10,32,72,90,6.054288,3.554056,1.96104,0.000431161,0.112767,0.0157013
sopt,0.1,3,0.9999,10,32,72,95,7.094307,3.688274,1.9656,0.000375966,0.0947645,0.0135803
sopt,0.1,3,0.9999,10,32,72,100,6.698825,3.598286,2.03833,0.000326902,0.0753792,0.0106706
clsqdeim,0.1,3,0.9999,10,32,72,5,107.377390,7.894428,,0.0589764,1.8928,0.271768
qdeim,0.1,3,0.9999,10,32,72,5,63.481037,8.055198,,0.0370227,3.57773,0.26483
clsqdeim,0.1,3,0.9999,10,32,72,10,42.308515,7.894428,,0.0500085,1.4197,0.140717
qdeim,0.1,3,0.9999,10,32,72,10,41.507119,8.055198,,0.0285851,3.29758,0.26896
clsqdeim,0.1,3,0.9999,10,32,72,15,36.709279,7.894428,,0.0437268,4.62757,1.03231
qdeim,0.1,3,0.9999,10,32,72,15,24.644292,8.055198,,0.0307591,2.80218,0.224183
clsqdeim,0.1,3,0.9999,10,32,72,20,36.542068,7.894428,,0.0375004,2.22983,0.381832
qdeim,0.1,3,0.9999,10,32,72,20,23.995097,8.055198,,0.040659,2.93584,0.286915
clsqdeim,0.1,3,0.9999,10,32,72,25,42.761046,7.894428,,0.0383934,2.08278,0.337083
qdeim,0.1,3,0.9999,10,32,72,25,19.133390,8.055198,,0.0377063,1.88696,0.214996
clsqdeim,0.1,3,0.9999,10,32,72,30,35.184808,7.894428,,0.0438074,1.53616,0.207928
qdeim,0.1,3,0.9999,10,32,72,30,22.286343,8.055198,,0.0362526,1.99024,0.226012
clsqdeim,0.1,3,0.9999,10,32,72,35,28.457800,7.894428,,0.0416936,1.80314,0.220509
qdeim,0.1,3,0.9999,10,32,72,35,22.571066,8.055198,,0.034879,2.44114,0.285166
clsqdeim,0.1,3,0.9999,10,32,72,40,25.818349,7.894428,,0.0413873,1.71813,0.232421
qdeim,0.1,3,0.9999,10,32,72,40,23.552119,8.055198,,0.0319398,2.36625,0.279329
clsqdeim,0.1,3,0.9999,10,32,72,45,24.544554,7.894428,,0.0440759,1.67635,0.253648
qdeim,0.1,3,0.9999,10,32,72,45,26.658410,8.055198,,0.0325203,2.29273,0.271608
clsqdeim,0.1,3,0.9999,10,32,72,50,21.773158,7.894428,,0.0452695,2.15203,0.354572
qdeim,0.1,3,0.9999,10,32,72,50,17.954616,8.055198,,0.0310744,2.5152,0.298566
clsqdeim,0.1,3,0.9999,10,32,72,55,22.695797,7.894428,,0.0442313,1.98799,0.31996
qdeim,0.1,3,0.9999,10,32,72,55,16.371435,8.055198,,0.027685,2.95124,0.357249
clsqdeim,0.1,3,0.9999,10,32,72,60,30.591073,7.894428,,0.0394344,2.00354,0.33942
qdeim,0.1,3,0.9999,10,32,72,60,18.755975,8.055198,,0.0314849,2.71626,0.339168
clsqdeim,0.1,3,0.9999,10,32,72,65,20.199250,7.894428,,0.0377388,1.99703,0.323022
qdeim,0.1,3,0.9999,10,32,72,65,15.421354,8.055198,,0.032186,2.60728,0.339342
clsqdeim,0.1,3,0.9999,10,32,72,70,17.516246,7.894428,,0.0392065,1.96699,0.318743
qdeim,0.1,3,0.9999,10,32,72,70,16.588133,8.055198,,0.0292952,3.84524,0.445676
clsqdeim,0.1,3,0.9999,10,32,72,75,19.888998,7.894428,,0.0368902,1.96558,0.319659
qdeim,0.1,3,0.9999,10,32,72,75,13.792819,8.055198,,0.0290353,3.84258,0.456714
clsqdeim,0.1,3,0.9999,10,32,72,80,17.745760,7.894428,,0.0393182,1.91203,0.31103
qdeim,0.1,3,0.9999,10,32,72,80,16.907581,8.055198,,0.027782,4.02356,0.471269
clsqdeim,0.1,3,0.9999,10,32,72,85,16.237089,7.894428,,0.0383707,2.19314,0.361184
qdeim,0.1,3,0.9999,10,32,72,85,11.280003,8.055198,,0.021182,4.41608,0.564242
clsqdeim,0.1,3,0.9999,10,32,72,90,16.037129,7.894428,,0.0365885,2.16761,0.356321
qdeim,0.1,3,0.9999,10,32,72,90,12.522534,8.055198,,0.0120937,3.53138,0.333676
clsqdeim,0.1,3,0.9999,10,32,72,95,18.015662,7.894428,,0.0350569,2.25179,0.418117
qdeim,0.1,3,0.9999,10,32,72,95,11.874602,8.055198,2.27956,0.00319244,2.31095,0.206778
clsqdeim,0.1,3,0.9999,10,32,72,100,17.067652,7.894428,,0.0351934,2.31606,0.474234
qdeim,0.1,3,0.9999,10,32,72,100,11.367835,8.055198,1.9537,0.00132238,0.409108,0.0487909
sopt,0.1,4,0.99999,10,54,90,5,70.407945,22.948781,,0.045666,4.06272,0.433031
sopt,0.1,4,0.99999,10,54,90,10,40.753789,15.150639,,0.0159654,1.61865,0.176182
sopt,0.1,4,0.99999,10,54,90,15,30.770245,13.496090,,0.0150921,389.371,
sopt,0.1,4,0.99999,10,54,90,20,23.110168,7.570951,1.4046,0.000534494,0.0951731,0.0098366
sopt,0.1,4,0.99999,10,54,90,25,18.254548,7.213859,1.66996,0.000230134,0.0761561,0.0099363
sopt,0.1,4,0.99999,10,54,90,30,19.620942,6.887971,1.52725,0.000224033,0.0753294,0.0105701
sopt,0.1,4,0.99999,10,54,90,35,23.074645,5.821079,1.60881,9.49195e-05,0.00876881,0.00119534
sopt,0.1,4,0.99999,10,54,90,40,12.422098,5.241193,1.63907,7.83978e-05,0.0124101,0.00152074
sopt,0.1,4,0.99999,10,54,90,45,13.176681,8.145255,1.67261,8.60464e-05,0.014213,0.00233027
sopt,0.1,4,0.99999,10,54,90,50,12.264064,5.287711,1.7722,3.80999e-05,0.00453186,0.000829025
sopt,0.1,4,0.99999,10,54,90,55,11.585954,4.915318,1.82364,4.09609e-05,0.00644074,0.00109291
sopt,0.1,4,0.99999,10,54,90,60,10.648188,5.169376,1.8567,2.85271e-05,0.00520801,0.000734213
sopt,0.1,4,0.99999,10,54,90,65,9.600399,4.381461,1.90125,3.49087e-05,0.00490108,0.000568544
sopt,0.1,4,0.99999,10,54,90,70,10.205605,4.390847,1.98253,2.67373e-05,0.00382246,0.000470245
sopt,0.1,4,0.99999,10,54,90,75,8.393321,4.968586,1.94836,2.02196e-05,0.00322146,0.000389002
sopt,0.1,4,0.99999,10,54,90,80,8.515240,4.205769,2.0452,1.86562e-05,0.00284391,0.000403216
sopt,0.1,4,0.99999,10,54,90,85,8.592640,4.256481,1.99591,1.91439e-05,0.00316788,0.000452569
sopt,0.1,4,0.99999,10,54,90,90,8.538124,6.228066,2.11385,2.09417e-05,0.00291494,0.000407486
sopt,0.1,4,0.99999,10,54,90,95,8.225423,4.479964,2.16061,2.44193e-05,0.00250109,0.000362531
sopt,0.1,4,0.99999,10,54,90,100,7.348267,5.793522,2.20924,1.93914e-05,0.00236177,0.000359947
clsqdeim,0.1,4,0.99999,10,54,90,5,108.499642,8.231350,,0.0552857,5.19219,1.05124
qdeim,0.1,4,0.99999,10,54,90,5,136.176246,5.134054,,0.0516647,1.44852,0.153341
clsqdeim,0.1,4,0.99999,10,54,90,10,62.491156,8.231350,,0.0526709,6.73751,1.03683
qdeim,0.1,4,0.99999,10,54,90,10,49.141787,5.134054,,0.0379452,2.95722,0.997219
clsqdeim,0.1,4,0.99999,10,54,90,15,69.646847,8.231350,,0.0504405,3.00902,0.439309
qdeim,0.1,4,0.99999,10,54,90,15,70.767151,5.134054,,0.0371141,1.51457,0.181455
clsqdeim,0.1,4,0.99999,10,54,90,20,41.315983,8.231350,,0.0493998,2.89477,0.495962
qdeim,0.1,4,0.99999,10,54,90,20,28.768344,5.134054,,0.00537654,4.64436,0.524275
clsqdeim,0.1,4,0.99999,10,54,90,25,45.570772,8.231350,,0.0485813,2.15013,0.362047
qdeim,0.1,4,0.99999,10,54,90,25,24.108352,5.134054,,0.0263286,2.13309,0.226466
clsqdeim,0.1,4,0.99999,10,54,90,30,81.730402,8.231350,,0.0480073,3.14422,0.664283
qdeim,0.1,4,0.99999,10,54,90,30,34.273330,5.134054,,0.032509,2.04709,0.218932
clsqdeim,0.1,4,0.99999,10,54,90,35,33.495116,8.231350,,0.0415191,7.01177,0.631616
qdeim,0.1,4,0.99999,10,54,90,35,24.079325,5.134054,,0.0313784,1.53261,0.171787
clsqdeim,0.1,4,0.99999,10,54,90,40,33.931173,8.231350,,0.0337628,5.84259,1.60906
qdeim,0.1,4,0.99999,10,54,90,40,18.705924,5.134054,,0.0142276,2.08655,0.27277
clsqdeim,0.1,4,0.99999,10,54,90,45,78.607813,8.231350,,0.0388507,3.83902,0.517051
qdeim,0.1,4,0.99999,10,54,90,45,21.498572,5.134054,,0.00620763,1.51052,0.161124
clsqdeim,0.1,4,0.99999,10,54,90,50,30.984009,8.231350,,0.0400942,3.67103,0.43559
qdeim,0.1,4,0.99999,10,54,90,50,19.390255,5.134054,1.86866,0.00124703,0.444012,0.0524232
clsqdeim,0.1,4,0.99999,10,54,90,55,24.241420,8.231350,,0.0362328,2.91221,0.513529
qdeim,0.1,4,0.99999,10,54,90,55,16.488973,5.134054,,0.00971944,6.26033,0.374827
clsqdeim,0.1,4,0.99999,10,54,90,60,38.245346,8.231350,,0.0286154,2.7854,0.48819
qdeim,0.1,4,0.99999,10,54,90,60,20.156592,5.134054,2.07569,0.00153904,0.723124,0.0886491
clsqdeim,0.1,4,0.99999,10,54,90,65,24.935854,8.231350,,0.0223555,4.99019,1.05369
qdeim,0.1,4,0.99999,10,54,90,65,17.141994,5.134054,2.03018,0.00120246,0.455808,0.0617942
clsqdeim,0.1,4,0.99999,10,54,90,70,23.399858,8.231350,,0.0218394,1.83475,0.242071
qdeim,0.1,4,0.99999,10,54,90,70,13.930099,5.134054,2.33448,0.00124959,0.573514,0.0784479
clsqdeim,0.1,4,0.99999,10,54,90,75,24.816072,8.231350,,0.0217575,2.5118,0.373139
qdeim,0.1,4,0.99999,10,54,90,75,19.053389,5.134054,2.09152,0.00096292,0.458177,0.0646436
clsqdeim,0.1,4,0.99999,10,54,90,80,28.641424,8.231350,,0.020494,2.49196,0.352099
qdeim,0.1,4,0.99999,10,54,90,80,17.449860,5.134054,2.01012,0.000397378,0.145514,0.0246946
clsqdeim,0.1,4,0.99999,10,54,90,85,19.193542,8.231350,,0.0212435,2.41858,0.332659
qdeim,0.1,4,0.99999,10,54,90,85,15.858575,5.134054,2.00926,0.000270743,0.0785133,0.0141568
clsqdeim,0.1,4,0.99999,10,54,90,90,85.979470,8.231350,,0.0180857,2.43491,0.341763
qdeim,0.1,4,0.99999,10,54,90,90,21.967060,5.134054,2.02112,0.000126952,0.0291863,0.00549794
clsqdeim,0.1,4,0.99999,10,54,90,95,17.105088,8.231350,,0.00919857,1.6375,0.194687
qdeim,0.1,4,0.99999,10,54,90,95,16.716195,5.134054,2.05616,7.90998e-05,0.0193537,0.00336928
clsqdeim,0.1,4,0.99999,10,54,90,100,16.862321,8.231350,,0.00753392,1.68134,0.19463
