method,t,n,xx,vv,ee,q,condV,condE,time,ErrX,ErrV,ErrE
clssopt,0.01,0,10,5,2,10,2.769407,3.203640,,0.00189598,1214.37,2.06505e+07
clsqdeim,0.01,0,10,5,2,10,3.589400,4.985461,0.133742,0.000110169,0.201982,0.0133349
clssopt,0.01,0,10,5,2,20,1.000000,3.343650,,0.00188785,1308.09,2.35874e+07
clsqdeim,0.01,0,10,5,2,20,4.934298,3.544136,0.140606,8.38318e-05,0.191876,0.0105972
clssopt,0.01,0,10,5,2,30,1.000000,5.470262,,0.00190257,986.877,1.39055e+07
clsqdeim,0.01,0,10,5,2,30,1.642310,5.172517,0.167647,9.40388e-05,0.219462,0.0110434
clssopt,0.01,0,10,5,2,40,1.000000,2.825944,,0.00188937,1174.64,1.9548e+07
clsqdeim,0.01,0,10,5,2,40,1.087103,4.735474,0.190734,9.93616e-05,0.231183,0.0116851
clssopt,0.01,0,10,5,2,50,1.000000,4.257154,2.54943,0.00155913,0.53104,0.329174
clsqdeim,0.01,0,10,5,2,50,1.202435,6.066262,0.185537,0.000103537,0.26604,0.0123105
clssopt,0.01,0,10,5,2,60,1.000000,4.565651,,0.00189117,1189.57,2.01092e+07
clsqdeim,0.01,0,10,5,2,60,1.050453,6.934007,0.217403,0.000113134,0.276447,0.0135228
clssopt,0.01,0,10,5,2,70,1.000000,2.822842,,0.00189496,1090.54,1.69998e+07
clsqdeim,0.01,0,10,5,2,70,1.227864,6.103115,0.227736,0.000110256,0.280302,0.0135668
clssopt,0.01,0,10,5,2,80,1.000000,2.659523,,0.00189496,1090.54,1.67935e+07
clsqdeim,0.01,0,10,5,2,80,1.110593,4.482152,0.238392,0.00016051,0.27628,0.0183216
clssopt,0.01,0,10,5,2,90,1.000000,2.516651,,0.00189496,1090.54,1.69336e+07
clsqdeim,0.01,0,10,5,2,90,1.028018,3.872449,0.268399,0.000156556,0.277194,0.0181622
clssopt,0.01,0,10,5,2,100,1.000000,2.792501,,0.00189496,1090.54,1.68531e+07
clsqdeim,0.01,0,10,5,2,100,1.032573,3.715263,0.28207,0.000189894,0.25149,0.0207327
clssopt,0.01,1,10,11,4,10,2.074086,4.061358,0.15159,2.90269e-06,0.0183681,0.00116558
clsqdeim,0.01,1,10,11,4,10,1.461595,5.116758,0.126866,4.70426e-06,0.0333026,0.000936282
clssopt,0.01,1,10,11,4,20,1.000000,3.292741,0.276822,2.88367e-06,0.0183458,0.00116467
clsqdeim,0.01,1,10,11,4,20,2.440391,6.007070,0.189532,5.29622e-06,0.0366993,0.00113733
clssopt,0.01,1,10,11,4,30,1.000000,2.932851,0.385896,2.88136e-06,0.0183459,0.00116543
clsqdeim,0.01,1,10,11,4,30,1.428569,4.822068,0.214577,1.19158e-05,0.0325374,0.00183412
clssopt,0.01,1,10,11,4,40,1.000000,3.278315,0.523972,2.88136e-06,0.0183459,0.00116543
clsqdeim,0.01,1,10,11,4,40,1.786667,3.465341,0.225928,1.00557e-05,0.0260555,0.00257773
clssopt,0.01,1,10,11,4,50,1.000000,234.881480,0.652809,2.88136e-06,0.0183459,0.00116543
clsqdeim,0.01,1,10,11,4,50,1.654206,3.865279,0.234556,1.02868e-05,0.0279847,0.00251797
clssopt,0.01,1,10,11,4,60,1.000000,3.606602,0.747339,2.88136e-06,0.0183459,0.00116543
clsqdeim,0.01,1,10,11,4,60,1.461686,3.208412,0.231602,5.8854e-06,0.0255856,0.00181692
clssopt,0.01,1,10,11,4,70,1.000000,3.397347,0.889323,2.88136e-06,0.0183459,0.00116543
clsqdeim,0.01,1,10,11,4,70,1.219679,2.649267,0.261514,5.60373e-06,0.0263697,0.002294
clssopt,0.01,1,10,11,4,80,1.000000,3.432046,0.995135,2.88136e-06,0.0183459,0.00116543
clsqdeim,0.01,1,10,11,4,80,1.559541,3.292730,0.265021,5.64003e-06,0.0263984,0.00231298
clssopt,0.01,1,10,11,4,90,1.000000,71.985864,1.19331,2.88136e-06,0.0183459,0.00116543
clsqdeim,0.01,1,10,11,4,90,1.238229,2.535428,0.263044,4.69193e-06,0.0249532,0.00170948
clssopt,0.01,1,10,11,4,100,1.000000,3.448928,1.3551,2.88136e-06,0.0183459,0.00116543
clsqdeim,0.01,1,10,11,4,100,1.269325,2.474832,0.265762,4.52928e-06,0.0246033,0.00170535
clssopt,0.01,2,10,16,7,10,2.353960,5.192628,0.307433,0.0015831,0.190734,0.136172
clsqdeim,0.01,2,10,16,7,10,2.576735,5.774648,0.169003,5.28982e-06,0.00794162,0.00134227
clssopt,0.01,2,10,16,7,20,2.386759,5.374908,0.39523,0.00158322,0.179111,0.136307
clsqdeim,0.01,2,10,16,7,20,2.057513,5.623216,0.173167,6.42308e-06,0.00809787,0.00151454
clssopt,0.01,2,10,16,7,30,1.907349,4.158221,0.469437,0.0015833,0.188816,0.135877
clsqdeim,0.01,2,10,16,7,30,1.626290,4.665226,0.260194,3.84972e-06,0.00351817,0.0012938
clssopt,0.01,2,10,16,7,40,1.768464,6.549926,0.29134,4.62658e-05,0.653922,0.0095063
clsqdeim,0.01,2,10,16,7,40,1.686259,12.765426,0.279034,4.07469e-06,0.00357276,0.00131959
clssopt,0.01,2,10,16,7,50,4.629536,921.931818,0.636298,0.00158381,0.20573,0.135708
clsqdeim,0.01,2,10,16,7,50,1.407282,5.410571,0.287949,4.58682e-06,0.00484602,0.00129836
clssopt,0.01,2,10,16,7,60,3.981037,3557.344120,0.781295,0.00158381,0.20573,0.135708
clsqdeim,0.01,2,10,16,7,60,1.720754,4.111415,0.297357,4.96381e-06,0.00649727,0.00131101
clssopt,0.01,2,10,16,7,70,2.167485,3.546553,0.920559,0.00158381,0.20573,0.135708
clsqdeim,0.01,2,10,16,7,70,2.030069,3.752780,0.295505,5.47516e-06,0.008091,0.00133154
clssopt,0.01,2,10,16,7,80,1.237702,3.478580,1.20622,0.00158381,0.20573,0.135708
clsqdeim,0.01,2,10,16,7,80,1.476962,17.069619,0.293053,6.55684e-06,0.00523407,0.00145147
clssopt,0.01,2,10,16,7,90,1.516463,119702.402288,1.46268,0.00158381,0.20573,0.135708
clsqdeim,0.01,2,10,16,7,90,1.434348,3.959185,0.297476,6.33082e-06,0.00396828,0.00147516
clssopt,0.01,2,10,16,7,100,2.566188,3608.171050,1.55671,0.00158381,0.20573,0.135708
clsqdeim,0.01,2,10,16,7,100,1.501950,3.703735,0.294082,6.43113e-06,0.00434723,0.00145798
clssopt,0.01,3,10,22,9,10,2.708519,6.997107,0.219591,0.000120712,0.105911,0.00734469
clsqdeim,0.01,3,10,22,9,10,3.611029,9.903165,0.151853,2.05026e-05,0.0110516,0.00291243
clssopt,0.01,3,10,22,9,20,2.469634,4.229661,0.2304,1.7626e-05,0.0126889,0.00335409
clsqdeim,0.01,3,10,22,9,20,2.825705,7.786428,0.2127,2.45453e-05,0.0109109,0.00420014
clssopt,0.01,3,10,22,9,30,2.686184,4.928762,0.272188,1.66536e-05,0.00585502,0.00307978
clsqdeim,0.01,3,10,22,9,30,3.020859,5.198064,0.264911,3.40091e-05,0.0154087,0.00454743
clssopt,0.01,3,10,22,9,40,1.880947,3.322311,0.324924,1.78809e-05,0.00618091,0.00291091
clsqdeim,0.01,3,10,22,9,40,2.215893,5.323978,0.293913,3.63405e-05,0.0181289,0.00470544
clssopt,0.01,3,10,22,9,50,1.950938,3.727561,0.367739,1.82241e-05,0.00631036,0.00262229
clsqdeim,0.01,3,10,22,9,50,1.843560,4.473272,0.322646,4.33666e-05,0.0254655,0.00559179
clssopt,0.01,3,10,22,9,60,1.733363,3.172344,0.503601,1.82251e-05,0.00630695,0.00262217
clsqdeim,0.01,3,10,22,9,60,2.210649,3.921641,0.322572,4.61819e-05,0.0273153,0.00623319
clssopt,0.01,3,10,22,9,70,1.638427,3.304507,0.597569,1.82255e-05,0.00630702,0.00262215
clsqdeim,0.01,3,10,22,9,70,1.676406,4.305490,0.314168,2.8979e-05,0.0130493,0.00427025
clssopt,0.01,3,10,22,9,80,4.006489,2.805459,0.717663,1.8229e-05,0.00631009,0.00262186
clsqdeim,0.01,3,10,22,9,80,1.642357,3.563317,0.319606,2.91383e-05,0.0138784,0.00462622
clssopt,0.01,3,10,22,9,90,1.546777,3.176803,0.821697,1.82292e-05,0.00630149,0.00262175
clsqdeim,0.01,3,10,22,9,90,2.693023,2.973816,0.338466,3.05733e-05,0.0151561,0.0048557
clssopt,0.01,3,10,22,9,100,2.884645,2.278155,0.915196,1.82305e-05,0.00630265,0.00262175
clsqdeim,0.01,3,10,22,9,100,1.479043,4.079814,0.353958,3.11655e-05,0.0156541,0.00492767
clssopt,0.01,4,10,28,12,10,4.083694,10.070758,0.38879,0.00158537,0.235981,0.135078
clsqdeim,0.01,4,10,28,12,10,5.138263,11.827332,0.317989,0.00158324,0.250964,0.135644
clssopt,0.01,4,10,28,12,20,3.502635,8.152570,0.290955,5.42931e-05,0.141025,0.00439872
clsqdeim,0.01,4,10,28,12,20,3.531762,189395.027527,0.198523,1.01479e-05,0.0359776,0.000964658
clssopt,0.01,4,10,28,12,30,2.608060,6.852128,0.621546,0.00158344,0.221044,0.135788
clsqdeim,0.01,4,10,28,12,30,3.155489,8.248558,0.207678,3.66232e-06,0.00374491,0.000926199
clssopt,0.01,4,10,28,12,40,2.516360,5.314131,0.719489,0.00158484,0.229357,0.135824
clsqdeim,0.01,4,10,28,12,40,2.821854,7.331294,0.240639,3.02689e-06,0.00280864,0.000938629
clssopt,0.01,4,10,28,12,50,2.190688,3.928905,0.774448,0.00158575,0.238412,0.135846
clsqdeim,0.01,4,10,28,12,50,2.114209,5.639216,0.255786,3.07925e-06,0.00384269,0.000616671
clssopt,0.01,4,10,28,12,60,2.604916,3.916215,0.864191,0.00158575,0.238413,0.135846
clsqdeim,0.01,4,10,28,12,60,3.139376,7.957780,0.30426,1.95406e-06,0.00282875,0.000381417
clssopt,0.01,4,10,28,12,70,1.769415,9.904543,1.09794,0.00158575,0.238414,0.135846
clsqdeim,0.01,4,10,28,12,70,2.041050,11.854879,0.304242,1.11986e-06,0.00218651,0.000437825
clssopt,0.01,4,10,28,12,80,1.889206,3.881131,1.14635,0.00158575,0.238415,0.135846
clsqdeim,0.01,4,10,28,12,80,2.000931,5.602420,0.311066,1.11623e-06,0.00212258,0.000435486
clssopt,0.01,4,10,28,12,90,1.607991,3.482962,1.38986,0.00158575,0.238414,0.135846
clsqdeim,0.01,4,10,28,12,90,2.528069,3.963857,0.317832,1.02429e-06,0.0021816,0.00045143
clssopt,0.01,4,10,28,12,100,2.163897,3.221812,1.60469,0.00158575,0.238415,0.135846
clsqdeim,0.01,4,10,28,12,100,2.253689,4.926757,0.338819,1.04801e-06,0.0021676,0.000457914
clssopt,0.01,5,10,29,15,10,5.661924,9.104789,0.229618,6.98422e-06,0.00554253,0.000620332
clsqdeim,0.01,5,10,29,15,10,8.416605,16.967044,0.163568,1.069e-05,0.0116288,0.00162387
clssopt,0.01,5,10,29,15,20,3.940889,6.409041,0.288106,8.0477e-06,0.00625154,0.00026863
clsqdeim,0.01,5,10,29,15,20,6.464801,8.707600,0.176313,1.40344e-05,0.0145482,0.00172746
clssopt,0.01,5,10,29,15,30,5.181576,10.010568,0.372257,9.81685e-06,0.00770374,0.000388884
