method,t,n,xx,vv,ee,q,condV,condE,time,ErrX,ErrV,ErrE
sopt,0.01,0,10,5,2,10,13.933548,7.909081,0.124546,1.78008e-05,0.127988,0.00545886
qdeim,0.01,0,10,5,2,10,1.588013,5.360008,0.0704334,9.42051e-06,0.0592596,0.00385288
sopt,0.01,0,10,5,2,20,1.000000,7.636290,0.227992,1.59836e-05,0.122543,0.00587685
qdeim,0.01,0,10,5,2,20,1.971733,21.925317,0.0793505,8.94864e-06,0.0580738,0.00373105
sopt,0.01,0,10,5,2,30,1.000000,10.999068,0.29683,1.5345e-05,0.120577,0.00585635
qdeim,0.01,0,10,5,2,30,1.645446,7.283297,0.0796656,9.14904e-06,0.0574348,0.00374526
sopt,0.01,0,10,5,2,40,1.000000,12.634816,0.40438,1.50597e-05,0.119139,0.00585293
qdeim,0.01,0,10,5,2,40,1.724868,10.169855,0.0808906,8.81499e-06,0.0589988,0.00378317
sopt,0.01,0,10,5,2,50,1.000000,11.303665,0.556937,1.50585e-05,0.119133,0.00585297
qdeim,0.01,0,10,5,2,50,1.759473,17.196420,0.0918128,8.87886e-06,0.0593837,0.00381234
sopt,0.01,0,10,5,2,60,1.000000,29.818923,0.677828,1.50585e-05,0.119133,0.00585297
qdeim,0.01,0,10,5,2,60,1.633732,42.919678,0.096552,8.81457e-06,0.0596985,0.00386772
sopt,0.01,0,10,5,2,70,1.000000,384.462115,0.809364,1.50585e-05,0.119133,0.00585297
qdeim,0.01,0,10,5,2,70,1.580796,358.342737,0.0947047,8.90636e-06,0.0603589,0.00390229
sopt,0.01,0,10,5,2,80,1.000000,454.860996,0.921489,1.50585e-05,0.119133,0.00585297
qdeim,0.01,0,10,5,2,80,1.497378,445.177465,0.10009,8.98983e-06,0.0605781,0.00392505
sopt,0.01,0,10,5,2,90,1.000000,474.462645,1.04703,1.50585e-05,0.119133,0.00585297
qdeim,0.01,0,10,5,2,90,1.425074,574.684654,0.126348,8.99845e-06,0.0607844,0.00393404
sopt,0.01,0,10,5,2,100,1.000000,514.983582,1.25049,1.50585e-05,0.119133,0.00585297
qdeim,0.01,0,10,5,2,100,1.313660,592.358050,0.129856,8.98982e-06,0.0609449,0.00393871
sopt,0.01,1,10,11,4,10,3.120666,13.031310,0.0777123,2.41734e-06,0.00768159,0.000577893
qdeim,0.01,1,10,11,4,10,2.175168,12.685415,0.0848478,2.65192e-06,0.0106113,0.000704887
sopt,0.01,1,10,11,4,20,4.292575,7.900618,0.0830932,2.72805e-06,0.0077277,0.000592852
qdeim,0.01,1,10,11,4,20,5.778680,8.448076,0.0811444,2.6621e-06,0.0104211,0.000703197
sopt,0.01,1,10,11,4,30,2.477676,24.851401,0.0858141,2.97484e-06,0.00788361,0.000635472
qdeim,0.01,1,10,11,4,30,2.923143,6.713415,0.0868187,2.67481e-06,0.0102134,0.000701676
sopt,0.01,1,10,11,4,40,2.373156,33.230823,0.106975,3.05484e-06,0.00791498,0.000668692
qdeim,0.01,1,10,11,4,40,2.863288,10.501841,0.082982,2.32808e-06,0.00976929,0.000665801
sopt,0.01,1,10,11,4,50,2.223776,39.138012,0.108278,2.88111e-06,0.00794528,0.000654002
qdeim,0.01,1,10,11,4,50,2.860027,21.143921,0.087329,2.24311e-06,0.00961133,0.000659655
sopt,0.01,1,10,11,4,60,2.055909,61.605568,0.109276,2.88225e-06,0.00795655,0.000654508
qdeim,0.01,1,10,11,4,60,2.373832,35.401666,0.091056,1.89944e-06,0.00892656,0.000646354
sopt,0.01,1,10,11,4,70,2.386430,87.486269,0.113896,2.76435e-06,0.00797308,0.0006515
qdeim,0.01,1,10,11,4,70,2.462476,43.873357,0.0903668,1.79451e-06,0.00889069,0.000647125
sopt,0.01,1,10,11,4,80,2.393825,218.528169,0.120838,2.7569e-06,0.00797295,0.000651336
qdeim,0.01,1,10,11,4,80,2.477240,81.850430,0.10824,1.82057e-06,0.00890034,0.000640027
sopt,0.01,1,10,11,4,90,1.919641,490.354954,0.119042,2.75692e-06,0.00797182,0.000651355
qdeim,0.01,1,10,11,4,90,2.192377,196.030168,0.10818,1.90404e-06,0.00892111,0.000617173
sopt,0.01,1,10,11,4,100,3.042406,702.431283,0.135011,2.75687e-06,0.00797145,0.000651358
qdeim,0.01,1,10,11,4,100,2.412395,456.313628,0.131408,1.97525e-06,0.00913587,0.000605643
sopt,0.01,2,10,16,7,10,7.071233,17.143909,0.0850091,2.02051e-06,0.00150818,0.000551234
qdeim,0.01,2,10,16,7,10,6.932846,23.916539,0.0862552,3.61499e-06,0.00135365,0.000611747
sopt,0.01,2,10,16,7,20,4.782361,22.498522,0.0839043,1.94976e-06,0.00274536,0.00098776
qdeim,0.01,2,10,16,7,20,5.679281,13.738250,0.0855402,2.9131e-06,0.00134206,0.000635571
sopt,0.01,2,10,16,7,30,3.353144,19.997565,0.0893427,2.22992e-06,0.0025054,0.00101505
qdeim,0.01,2,10,16,7,30,4.470459,7.006826,0.0856525,2.5971e-06,0.00121982,0.000613697
sopt,0.01,2,10,16,7,40,3.433786,47.489323,0.109799,2.18706e-06,0.00256749,0.00101308
qdeim,0.01,2,10,16,7,40,3.991060,12.539495,0.0928447,2.60922e-06,0.00122898,0.000623635
sopt,0.01,2,10,16,7,50,3.172630,75.731969,0.111015,2.18322e-06,0.00259575,0.0010132
qdeim,0.01,2,10,16,7,50,3.884993,72.057005,0.112688,2.59468e-06,0.00122477,0.000622672
sopt,0.01,2,10,16,7,60,3.355368,89.590894,0.123961,2.17937e-06,0.00259374,0.00101266
qdeim,0.01,2,10,16,7,60,3.994425,65.301458,0.108289,2.65657e-06,0.00236292,0.00108315
sopt,0.01,2,10,16,7,70,3.741342,131.992036,0.117334,2.17899e-06,0.00259421,0.00101252
qdeim,0.01,2,10,16,7,70,4.532788,85.773929,0.120479,2.84056e-06,0.00248119,0.00108545
sopt,0.01,2,10,16,7,80,2.962699,410.036715,0.118827,2.17874e-06,0.00259269,0.00101244
qdeim,0.01,2,10,16,7,80,3.719711,115.304013,0.115753,2.87248e-06,0.00274623,0.00104784
sopt,0.01,2,10,16,7,90,2.994477,102.129801,0.124762,2.17822e-06,0.00259261,0.00101235
qdeim,0.01,2,10,16,7,90,3.170840,96.662363,0.11667,2.88234e-06,0.00274918,0.00104769
sopt,0.01,2,10,16,7,100,3.235385,268.571201,0.139979,2.17821e-06,0.00259224,0.00101232
qdeim,0.01,2,10,16,7,100,3.531188,112.958750,0.135459,2.8869e-06,0.00276411,0.00104748
sopt,0.01,3,10,22,9,10,8.739422,25.624060,0.106428,1.9458e-06,0.00166675,0.000623654
qdeim,0.01,3,10,22,9,10,12.841231,39.886789,0.105176,1.55905e-06,0.00306134,0.000501568
sopt,0.01,3,10,22,9,20,5.966746,11.885714,0.110991,1.83035e-06,0.00179161,0.000606838
qdeim,0.01,3,10,22,9,20,7.910739,27.639962,0.108353,1.50348e-06,0.00310594,0.000500066
sopt,0.01,3,10,22,9,30,7.160148,22.760793,0.112886,1.91788e-06,0.00179753,0.000616674
qdeim,0.01,3,10,22,9,30,11.987066,26.779515,0.108721,1.4419e-06,0.00295483,0.000492721
sopt,0.01,3,10,22,9,40,4.337388,15.204326,0.126612,1.85529e-06,0.00176721,0.000624007
qdeim,0.01,3,10,22,9,40,6.988907,7.454256,0.110818,1.42162e-06,0.00294611,0.000490242
sopt,0.01,3,10,22,9,50,5.063059,11.673912,0.116159,1.83937e-06,0.00175969,0.000623978
qdeim,0.01,3,10,22,9,50,6.173280,6.573692,0.111086,1.4218e-06,0.0029292,0.000490532
sopt,0.01,3,10,22,9,60,4.182479,39.721036,0.12187,1.83613e-06,0.00176381,0.000623727
qdeim,0.01,3,10,22,9,60,9.107052,6.581242,0.107934,1.45392e-06,0.00309481,0.000528694
sopt,0.01,3,10,22,9,70,5.166846,68.107840,0.124975,1.83507e-06,0.00176578,0.000623753
qdeim,0.01,3,10,22,9,70,4.791776,10.218779,0.108933,1.42465e-06,0.00295772,0.000483957
sopt,0.01,3,10,22,9,80,4.381228,69.334902,0.131443,1.8282e-06,0.00175186,0.000624087
qdeim,0.01,3,10,22,9,80,4.708595,11.671776,0.11688,1.48742e-06,0.00314293,0.000512753
sopt,0.01,3,10,22,9,90,4.665539,157.734128,0.14526,1.82784e-06,0.00175044,0.000624057
qdeim,0.01,3,10,22,9,90,8.136753,15.477579,0.124067,1.45346e-06,0.00332938,0.000509848
sopt,0.01,3,10,22,9,100,4.351740,298.578616,0.142727,1.82765e-06,0.00175075,0.00062419
qdeim,0.01,3,10,22,9,100,4.268891,127.949309,0.130255,1.47734e-06,0.00346089,0.000506861
sopt,0.01,4,10,28,12,10,17.647818,26.216787,0.118266,2.18088e-07,0.000128234,1.06372e-05
qdeim,0.01,4,10,28,12,10,12.771916,16.585251,0.100782,1.52033e-07,0.000132589,1.27715e-05
sopt,0.01,4,10,28,12,20,13.224076,19.100312,0.128128,1.94428e-07,0.000119103,8.32867e-06
qdeim,0.01,4,10,28,12,20,14.825799,41.060955,0.127675,8.41102e-08,0.000132149,5.94165e-06
sopt,0.01,4,10,28,12,30,8.487451,15.558276,0.132525,1.96199e-07,0.000115957,8.70993e-06
qdeim,0.01,4,10,28,12,30,9.829229,11.775462,0.123579,7.88917e-08,0.000135053,7.28027e-06
sopt,0.01,4,10,28,12,40,6.487886,17.604335,0.126637,2.06514e-07,0.000117659,9.45848e-06
qdeim,0.01,4,10,28,12,40,10.405102,15.011526,0.123257,1.15141e-07,0.000124318,8.43268e-06
sopt,0.01,4,10,28,12,50,7.218041,16.103916,0.138708,2.19413e-07,0.000118199,1.00356e-05
qdeim,0.01,4,10,28,12,50,6.689915,10.511239,0.125451,1.35154e-07,0.000120749,9.42217e-06
sopt,0.01,4,10,28,12,60,8.480451,14.820507,0.127272,2.25287e-07,0.000118521,1.03872e-05
qdeim,0.01,4,10,28,12,60,15.075814,13.200941,0.125911,1.082e-07,0.000119913,8.45965e-06
sopt,0.01,4,10,28,12,70,6.785763,26.651390,0.132384,2.28041e-07,0.000120725,1.05192e-05
qdeim,0.01,4,10,28,12,70,5.303183,19.052747,0.123474,9.31248e-08,0.000122882,7.80631e-06
