method,t,n,xx,vv,ee,q,condV,condE,time,ErrX,ErrV,ErrE
clssopt,0.1,0,17,11,4,5,6.037976,16.758768,0.764205,0.0239321,0.999503,2.3543
clsqdeim,0.1,0,17,11,4,5,2.488966,26.398932,1.76279,0.00120556,0.17731,0.0174413
clsgnat,0.1,0,17,11,4,5,5.678465,46.629588,,0.0266336,2.65815e+08,1.37413e+16
sopt,0.1,0,17,11,4,5,2.873833,11.151113,0.73621,0.0239346,0.999822,2.35468
qdeim,0.1,0,17,11,4,5,2.163097,13.688630,1.77104,0.00124649,0.101023,0.0186073
gnat,0.1,0,17,11,4,5,1.669806,11.386961,1.4166,0.000749002,0.12322,0.0195895
clssopt,0.1,0,17,11,4,10,2.393387,9.325691,0.841122,0.0239331,0.999625,2.35435
clsqdeim,0.1,0,17,11,4,10,2.644542,14.570925,1.9767,0.00145749,0.203488,0.0208245
clsgnat,0.1,0,17,11,4,10,3.535185,46.093715,,0.0230719,1.49541e+08,1.34337e+15
sopt,0.1,0,17,11,4,10,2.718227,11.071015,0.922402,0.0239333,0.999649,2.35406
qdeim,0.1,0,17,11,4,10,2.341774,12.997005,2.10804,0.00324128,0.146658,0.0409041
gnat,0.1,0,17,11,4,10,2.302461,13.279089,1.54403,0.000787431,0.122247,0.0207564
clssopt,0.1,0,17,11,4,15,3.488998,9.426346,0.8596,0.0239337,0.999712,2.35433
clsqdeim,0.1,0,17,11,4,15,1.450504,14.261208,2.16846,0.00153188,0.202082,0.0253434
clsgnat,0.1,0,17,11,4,15,1.648485,59.515395,3.48841,0.0253149,1.29853,2.82166
sopt,0.1,0,17,11,4,15,2.709030,8.617216,0.971205,0.0239335,0.999644,2.35406
qdeim,0.1,0,17,11,4,15,2.795832,13.164216,2.02741,0.00259125,0.116702,0.0326943
gnat,0.1,0,17,11,4,15,2.602225,13.130416,2.06689,0.000587288,0.120182,0.0176399
clssopt,0.1,0,17,11,4,20,2.031621,10.172567,1.01963,0.0239337,0.999699,2.35424
clsqdeim,0.1,0,17,11,4,20,2.542180,11.194520,2.48065,0.00135142,0.19684,0.0247617
clsgnat,0.1,0,17,11,4,20,2.146458,41.896997,1.49054,0.00892644,0.640613,0.823529
sopt,0.1,0,17,11,4,20,2.717615,9.763310,1.07953,0.0239335,0.999645,2.35403
qdeim,0.1,0,17,11,4,20,2.002386,10.189685,2.16688,0.000597742,0.127463,0.0127925
gnat,0.1,0,17,11,4,20,1.687652,9.851711,2.54712,0.000351296,0.103575,0.0127048
clssopt,0.1,0,17,11,4,25,1.989310,7.654495,1.15707,0.0239338,0.999713,2.35418
clsqdeim,0.1,0,17,11,4,25,1.520980,13.652468,2.62732,0.00133639,0.194105,0.0253533
clsgnat,0.1,0,17,11,4,25,1.556981,44.968307,,0.00836494,1.07944e+06,2.02461e+06
sopt,0.1,0,17,11,4,25,2.247534,8.553145,1.14802,0.0239335,0.999645,2.354
qdeim,0.1,0,17,11,4,25,2.641179,8.248584,2.47198,0.00171349,0.11037,0.0228932
gnat,0.1,0,17,11,4,25,1.604488,7.136638,2.56196,0.000392412,0.098408,0.0135892
clssopt,0.1,0,17,11,4,30,1.781670,7.222846,1.17327,0.0239338,0.999703,2.35413
clsqdeim,0.1,0,17,11,4,30,1.387235,11.489405,3.11265,0.00137112,0.187421,0.0256131
clsgnat,0.1,0,17,11,4,30,2.315218,36.538013,,0.00807514,,
sopt,0.1,0,17,11,4,30,1.856691,6.951998,1.1481,0.0239336,0.999647,2.35398
qdeim,0.1,0,17,11,4,30,1.941646,8.418175,2.73392,0.0017754,0.113873,0.0238697
gnat,0.1,0,17,11,4,30,1.796230,9.079188,2.72777,0.000319346,0.10276,0.0146782
clssopt,0.1,0,17,11,4,35,1.721563,8.387962,1.1933,0.0239338,0.999706,2.35413
clsqdeim,0.1,0,17,11,4,35,1.501148,11.283882,3.03953,0.00164284,0.18841,0.02902
clsgnat,0.1,0,17,11,4,35,2.008901,34.094225,158.835,0.00990381,2.1544,0.316972
sopt,0.1,0,17,11,4,35,1.846204,8.878122,1.18108,0.0239336,0.999648,2.35398
qdeim,0.1,0,17,11,4,35,2.037278,10.297992,2.91042,0.0019581,0.116023,0.0252697
gnat,0.1,0,17,11,4,35,2.056741,11.616370,2.96418,0.000516318,0.120054,0.0117994
clssopt,0.1,0,17,11,4,40,1.783945,7.794287,1.17407,0.0239338,0.999704,2.35412
clsqdeim,0.1,0,17,11,4,40,1.851003,9.673547,2.82884,0.00165745,0.185698,0.0287552
clsgnat,0.1,0,17,11,4,40,1.942232,40.029558,,0.00952364,,7.90307e+07
sopt,0.1,0,17,11,4,40,5.223862,8.786986,1.46038,0.0239336,0.999648,2.35398
qdeim,0.1,0,17,11,4,40,2.020968,9.149388,2.96833,0.00034885,0.102848,0.00916687
gnat,0.1,0,17,11,4,40,1.688556,9.873911,3.08321,0.000457831,0.117132,0.0121216
clssopt,0.1,0,17,11,4,45,1.705377,7.602594,1.20449,0.0239338,0.999703,2.35412
clsqdeim,0.1,0,17,11,4,45,1.388537,9.842005,3.85497,0.00165139,0.183995,0.0285802
clsgnat,0.1,0,17,11,4,45,1.578593,29.825133,2.40365,0.0075769,0.452841,0.173159
sopt,0.1,0,17,11,4,45,4.824510,9.373342,1.55799,0.0239336,0.999648,2.35398
qdeim,0.1,0,17,11,4,45,1.937930,9.480598,3.08247,0.00027314,0.103444,0.00962686
gnat,0.1,0,17,11,4,45,1.707812,8.491258,3.07443,0.000419125,0.115253,0.0128658
clssopt,0.1,0,17,11,4,50,1.604811,6.760993,1.17727,0.0239338,0.999703,2.35412
clsqdeim,0.1,0,17,11,4,50,1.913396,8.515259,2.98287,0.00165067,0.183052,0.0285134
clsgnat,0.1,0,17,11,4,50,1.568819,33.104118,2.00719,0.00492342,0.317447,0.13891
sopt,0.1,0,17,11,4,50,5.293665,12.628304,1.62011,0.0239336,0.999648,2.35398
qdeim,0.1,0,17,11,4,50,2.049750,8.390991,3.05082,0.000269768,0.101495,0.00926424
gnat,0.1,0,17,11,4,50,1.544919,8.539032,3.19366,0.000336994,0.116789,0.0126962
clssopt,0.1,0,17,11,4,55,1.652114,10.596891,1.21523,0.0239339,0.999704,2.35411
clsqdeim,0.1,0,17,11,4,55,1.944477,15.169516,3.0455,0.00170622,0.180948,0.0288949
clsgnat,0.1,0,17,11,4,55,1.893682,52.301351,1.88377,0.00364739,0.30495,0.124231
sopt,0.1,0,17,11,4,55,5.460282,22.279664,1.57359,0.0239336,0.999648,2.35398
qdeim,0.1,0,17,11,4,55,1.911524,11.792077,3.01906,0.000571085,0.106094,0.0121398
gnat,0.1,0,17,11,4,55,1.747862,12.358356,2.89242,0.000307725,0.115748,0.0125136
clssopt,0.1,0,17,11,4,60,1.532508,6.563720,1.3164,0.0239339,0.999703,2.35411
clsqdeim,0.1,0,17,11,4,60,1.718456,8.522509,3.20583,0.00191691,0.17648,0.0296893
clsgnat,0.1,0,17,11,4,60,1.823439,39.462541,2.09295,0.00368416,0.2885,0.151885
sopt,0.1,0,17,11,4,60,5.646006,8.169681,1.63683,0.0239336,0.999648,2.35398
qdeim,0.1,0,17,11,4,60,1.806214,6.658023,3.00372,0.000447301,0.107437,0.0110326
gnat,0.1,0,17,11,4,60,2.077235,8.349318,3.12454,0.000297228,0.118159,0.0127797
clssopt,0.1,0,17,11,4,65,1.561698,6.078772,1.30744,0.0239339,0.999702,2.35409
clsqdeim,0.1,0,17,11,4,65,1.384103,8.949793,3.07847,0.00134117,0.17149,0.0195287
clsgnat,0.1,0,17,11,4,65,1.651818,38.971100,2.12508,0.00334317,0.25189,0.144665
sopt,0.1,0,17,11,4,65,5.395101,9.056493,2.14579,0.0239336,0.999648,2.35398
qdeim,0.1,0,17,11,4,65,1.977981,7.347648,3.04085,0.000501681,0.110278,0.0118873
gnat,0.1,0,17,11,4,65,1.532251,7.679695,3.05712,0.000394697,0.116959,0.0142058
clssopt,0.1,0,17,11,4,70,1.650614,7.739652,1.30656,0.0239339,0.999701,2.35408
clsqdeim,0.1,0,17,11,4,70,1.669486,9.744080,2.98824,0.00135386,0.172026,0.0196921
clsgnat,0.1,0,17,11,4,70,1.762143,34.377705,1.67895,0.00248582,0.209794,0.132782
sopt,0.1,0,17,11,4,70,6.758283,8.007959,2.14486,0.0239336,0.999648,2.35398
qdeim,0.1,0,17,11,4,70,1.586535,7.396060,2.95881,0.000639598,0.114458,0.0138431
gnat,0.1,0,17,11,4,70,1.503763,8.565945,3.10211,0.000484151,0.120699,0.0151724
