method,t,xx,vv,ee,q,condV,condE,time,ErrX,ErrV,ErrE
clssopt,0.1,4,3,11,10,3.044399,1.462876,3.21989,0.00132669,0.622448,0.0145464
clsqdeim,0.1,4,3,11,10,4.090443,1.296333,2.82353,0.000232898,0.244614,0.0068513
clsgnat,0.1,4,3,11,10,22355965.296496,1.420605,1.81526,0.0611299,0.165944,8.24708e-05
sopt,0.1,4,3,11,10,6.207428,1.906226,2.5796,3.05256e-06,0.00200519,6.69307e-05
qdeim,0.1,4,3,11,10,8.642938,1.441947,2.33045,6.33029e-06,0.000862728,2.6141e-05
gnat,0.1,4,3,11,10,5.807156,1.764546,2.39073,7.81433e-05,0.010379,0.000136647
clssopt,0.1,4,3,11,20,2.800711,1.327832,4.31892,0.00100977,0.165384,0.00402052
clsqdeim,0.1,4,3,11,20,2.912574,1.294241,4.87427,0.000341484,0.061582,0.00891216
clsgnat,0.1,4,3,11,20,5330437.878775,1.233034,2.53171,0.0611299,0.165944,8.24708e-05
sopt,0.1,4,3,11,20,4.568789,7.962217,3.47159,9.00494e-06,0.00489519,0.00018667
qdeim,0.1,4,3,11,20,5.882302,1.878796,2.95973,7.30356e-06,0.00384082,6.35282e-05
gnat,0.1,4,3,11,20,3.419533,1.381856,2.82383,7.05213e-05,0.00967005,0.000110137
clssopt,0.1,4,3,11,30,2.347771,1.526114,5.29176,0.00585999,1.53988,0.0721767
clsqdeim,0.1,4,3,11,30,2.518425,2.385512,6.11991,2.18569e-05,0.00254795,0.000390889
clsgnat,0.1,4,3,11,30,2374620.420668,1.732051,2.76661,0.0611299,0.165944,8.24708e-05
sopt,0.1,4,3,11,30,4.254523,18.000992,4.53374,1.69122e-05,0.00705348,0.000265729
qdeim,0.1,4,3,11,30,6.484264,1.437816,3.51298,5.06799e-06,0.00291265,6.93129e-05
gnat,0.1,4,3,11,30,2.793628,1.628291,3.2099,3.2616e-05,0.00458808,3.21577e-05
clssopt,0.1,4,3,11,40,2.227551,1.566236,6.33591,0.00708863,1.64883,0.0592019
clsqdeim,0.1,4,3,11,40,1.952738,1.177759,,0.0312667,15.4531,0.695101
clsgnat,0.1,4,3,11,40,2931469.906972,1.421252,3.18636,0.0611299,0.165944,8.24708e-05
sopt,0.1,4,3,11,40,3.478316,8.562003,5.27727,3.30328e-05,0.00873053,0.000376006
qdeim,0.1,4,3,11,40,4.180679,1.527778,3.92264,5.40835e-06,0.00196934,3.00464e-05
gnat,0.1,4,3,11,40,2.956421,1.444355,3.79432,1.87688e-05,0.00305843,2.48412e-05
clssopt,0.1,4,3,11,50,2.094065,1.190409,6.97226,0.00427043,0.945013,0.0340339
clsqdeim,0.1,4,3,11,50,2.073451,1.169711,8.05069,0.00100207,0.460692,0.0234281
clsgnat,0.1,4,3,11,50,2593409.825843,1.184952,9.63829,0.0611299,0.165944,8.24708e-05
sopt,0.1,4,3,11,50,3.264625,6.899058,5.96467,3.61511e-05,0.0100853,0.000445856
qdeim,0.1,4,3,11,50,4.508602,1.839474,4.34508,2.9436e-05,0.00646326,7.93415e-05
gnat,0.1,4,3,11,50,2.703433,1.722625,4.04829,8.15319e-06,0.000741225,1.86376e-05
clssopt,0.1,4,3,11,60,1.936357,1.760137,7.6288,0.00109037,0.3152,0.0107667
clsqdeim,0.1,4,3,11,60,1.744827,3.436810,,0.0593523,39.7902,1.92796
clsgnat,0.1,4,3,11,60,2711337.151215,1.649555,10.6995,0.0611299,0.165944,8.24708e-05
sopt,0.1,4,3,11,60,2.955115,6.724735,6.66956,5.56992e-05,0.01537,0.000694633
qdeim,0.1,4,3,11,60,4.392989,2.120904,4.65363,4.47602e-06,0.00148183,8.56091e-05
gnat,0.1,4,3,11,60,2.598375,1.485906,4.67557,6.52626e-06,0.00156149,1.61321e-05
clssopt,0.1,4,3,11,70,1.777332,1.205018,8.17162,0.00111534,0.356055,0.011455
clsqdeim,0.1,4,3,11,70,2.025834,1.045339,,0.0919649,96.2213,8.42967
clsgnat,0.1,4,3,11,70,2819123.999240,1.138278,18.0202,0.0611299,0.165944,8.24708e-05
sopt,0.1,4,3,11,70,3.117933,6.719902,7.33025,6.8155e-05,0.0195073,0.000896991
qdeim,0.1,4,3,11,70,3.489464,1.367923,5.28015,7.62525e-06,0.00158692,0.000145896
gnat,0.1,4,3,11,70,2.655778,1.796601,4.94308,1.47013e-05,0.00232928,3.36731e-05
clssopt,0.1,4,3,11,80,2.656676,1.143545,8.93647,0.00153729,0.428287,0.0145437
clsqdeim,0.1,4,3,11,80,1.779736,1.053171,,0.0843822,85.2784,6.40893
clsgnat,0.1,4,3,11,80,2643005.647295,1.124981,18.687,0.0611299,0.165944,8.24708e-05
sopt,0.1,4,3,11,80,2.756701,6.462516,8.18393,4.92546e-05,0.014383,0.000726715
qdeim,0.1,4,3,11,80,2.880656,1.557003,5.68813,8.08587e-06,0.00198828,0.000101635
gnat,0.1,4,3,11,80,2.438079,1.284150,5.13246,1.92994e-05,0.00416446,7.97711e-05
clssopt,0.1,4,3,11,90,2.373885,1.198776,9.50727,0.00155324,0.444546,0.0152158
clsqdeim,0.1,4,3,11,90,1.663449,1.655750,,0.113576,73.9851,12.8617
clsgnat,0.1,4,3,11,90,1938329.833407,1.255835,19.3438,0.0611299,0.165944,8.24708e-05
sopt,0.1,4,3,11,90,3.042652,6.211536,8.79467,4.47194e-05,0.0146809,0.000760094
qdeim,0.1,4,3,11,90,3.417970,1.479246,5.77358,4.77272e-05,0.0136351,0.0001529
gnat,0.1,4,3,11,90,2.746336,1.584342,5.29709,1.61869e-05,0.00493376,6.14425e-05
clssopt,0.1,4,3,11,100,1.820987,1.253829,10.0904,0.00151517,0.413724,0.0138444
clsqdeim,0.1,4,3,11,100,1.568793,1.082534,,0.0481076,41.7096,1.70524
clsgnat,0.1,4,3,11,100,1617316.153226,1.202207,20.049,0.0611299,0.165944,8.24708e-05
sopt,0.1,4,3,11,100,3.079078,6.079310,9.30031,3.23304e-05,0.0133556,0.000646098
qdeim,0.1,4,3,11,100,2.888026,1.332949,6.4435,4.43666e-06,0.0017616,9.68049e-05
gnat,0.1,4,3,11,100,2.278040,1.572521,5.64925,6.45995e-06,0.00114288,2.82372e-05
clssopt,0.1,4,3,11,110,1.732556,1.160150,10.9956,0.00151202,0.410168,0.0136433
clsqdeim,0.1,4,3,11,110,2.146622,1.046995,,0.0464143,35.5893,1.65571
clsgnat,0.1,4,3,11,110,1918183.200041,1.059702,21.1302,0.0611299,0.165944,8.24708e-05
sopt,0.1,4,3,11,110,3.268850,5.832187,9.5633,2.78377e-05,0.0123136,0.000626227
qdeim,0.1,4,3,11,110,3.265598,1.397323,6.23966,4.6149e-06,0.00195484,9.57146e-05
gnat,0.1,4,3,11,110,2.911731,1.672736,5.67786,9.91287e-06,0.00098621,1.08827e-05
clssopt,0.1,4,3,11,120,2.887159,1.173008,11.8487,0.00150982,0.412785,0.0136023
clsqdeim,0.1,4,3,11,120,1.426159,1.231549,,0.0598597,31.712,1.35516
clsgnat,0.1,4,3,11,120,1364979.728397,1.352545,23.6327,0.0611299,0.165944,8.24708e-05
sopt,0.1,4,3,11,120,2.976919,5.684747,9.94363,2.19279e-05,0.0110543,0.000561075
qdeim,0.1,4,3,11,120,3.035696,1.418792,6.79303,6.1294e-06,0.00172802,0.000130747
gnat,0.1,4,3,11,120,2.304469,1.637560,5.95168,7.66971e-06,0.000885191,5.99914e-06
clssopt,0.1,4,3,11,130,1.388818,1.201637,12.6811,0.00149665,0.41169,0.0135739
clsqdeim,0.1,4,3,11,130,1.505719,1.086596,12.1094,0.000538311,0.28214,0.0127602
clsgnat,0.1,4,3,11,130,1468479.179714,1.255237,31.3073,0.0611299,0.165944,8.24708e-05
sopt,0.1,4,3,11,130,3.250897,3.995694,11.3137,1.8771e-05,0.013066,0.000567106
qdeim,0.1,4,3,11,130,3.083054,1.580502,7.08742,5.38484e-06,0.00154814,0.000118085
gnat,0.1,4,3,11,130,2.140926,1.399461,6.32739,7.29537e-06,0.000854063,1.25791e-05
clssopt,0.1,4,3,11,140,4.376720,1.071228,12.8104,0.00147174,0.401129,0.0131998
clsqdeim,0.1,4,3,11,140,1.560994,1.097672,12.8999,0.0029843,8.5964,0.374228
clsgnat,0.1,4,3,11,140,1443926.317224,1.247328,29.4514,0.0611299,0.165944,8.24708e-05
sopt,0.1,4,3,11,140,3.300593,3.705887,10.7407,2.61274e-05,0.0139593,0.000625726
qdeim,0.1,4,3,11,140,3.071768,1.715541,7.0655,4.67084e-06,0.00143358,0.000107898
gnat,0.1,4,3,11,140,2.098264,1.755986,6.46485,6.41141e-06,0.000888366,1.65667e-05
clssopt,0.1,4,3,11,150,8.953067,1.292906,12.6593,0.00209707,0.663745,0.0235986
clsqdeim,0.1,4,3,11,150,1.387951,1.173409,,0.135537,130.154,19.268
clsgnat,0.1,4,3,11,150,1145947.590777,1.463998,26.6191,0.0611299,0.165944,8.24708e-05
sopt,0.1,4,3,11,150,3.756915,4.680628,11.0823,2.51575e-05,0.0136427,0.000565516
qdeim,0.1,4,3,11,150,3.049624,1.506631,7.66929,3.8629e-06,0.00120479,7.87184e-05
gnat,0.1,4,3,11,150,2.113277,1.737107,6.71623,3.43389e-06,0.00105642,1.41674e-05
clssopt,0.1,4,3,11,160,4.477590,1.149345,12.8083,0.00197624,0.608995,0.0214455
clsqdeim,0.1,4,3,11,160,1.435145,1.175235,,0.1105,91.3727,5.60774
clsgnat,0.1,4,3,11,160,1270537.029951,1.284734,30.1443,0.0611299,0.165944,8.24708e-05
sopt,0.1,4,3,11,160,3.706184,3.515367,11.4804,2.48745e-05,0.0124403,0.000533903
qdeim,0.1,4,3,11,160,3.021305,1.682171,7.6572,4.25291e-06,0.00129501,7.05419e-05
gnat,0.1,4,3,11,160,2.317553,1.682714,7.84106,2.06749e-06,0.00113127,1.69324e-05
clssopt,0.1,4,3,11,170,4.490512,1.071100,12.9479,0.00187248,0.562076,0.0195901
