method,t,n,ef,xx,vv,ee,q,condV,condE,time,ErrX,ErrV,ErrE
sopt,0.1,1,0.99,4,3,11,5,12.633978,3.420288,1.78365,0.00510679,0.166345,8.15394e-05
clssopt,0.1,1,0.99,4,3,11,5,6.453428,2.070870,1.96646,0.00510899,0.166375,8.23025e-05
sopt,0.1,1,0.99,4,3,11,10,5.853957,2.091746,2.21568,0.00510638,0.166345,8.14579e-05
clssopt,0.1,1,0.99,4,3,11,10,6.884784,13.817535,2.2965,0.00510902,0.166363,8.23224e-05
sopt,0.1,1,0.99,4,3,11,15,4.933543,2.032220,2.60151,0.0051069,0.166351,8.14615e-05
clssopt,0.1,1,0.99,4,3,11,15,4.406066,9.597397,2.62227,0.00510855,0.166372,8.23282e-05
sopt,0.1,1,0.99,4,3,11,20,3.670973,7.205229,2.95541,0.00510721,0.166349,8.14689e-05
clssopt,0.1,1,0.99,4,3,11,20,4.032404,6.375516,3.221,0.00510819,0.166369,8.23459e-05
sopt,0.1,1,0.99,4,3,11,25,2.849366,2.043630,3.4857,0.0051071,0.16635,8.14723e-05
clssopt,0.1,1,0.99,4,3,11,25,3.688969,1.584557,3.61831,0.00510777,0.166364,8.23658e-05
sopt,0.1,1,0.99,4,3,11,30,2.919256,2.113995,3.62623,0.00510719,0.166353,8.14926e-05
clssopt,0.1,1,0.99,4,3,11,30,3.715498,1.766044,3.74803,0.00510737,0.166357,8.23834e-05
sopt,0.1,1,0.99,4,3,11,35,2.844583,6.690864,4.24575,0.0051072,0.166355,8.15075e-05
clssopt,0.1,1,0.99,4,3,11,35,3.068436,1.854257,4.14512,0.00510735,0.166356,8.24029e-05
sopt,0.1,1,0.99,4,3,11,40,2.551746,6.863201,4.48133,0.00510677,0.166357,8.15187e-05
clssopt,0.1,1,0.99,4,3,11,40,2.786991,1.552644,4.49757,0.00510764,0.166359,8.24223e-05
sopt,0.1,1,0.99,4,3,11,45,2.356323,6.091043,4.80827,0.00510671,0.166355,8.1537e-05
clssopt,0.1,1,0.99,4,3,11,45,2.916474,1.542026,4.87777,0.0051075,0.166361,8.2443e-05
sopt,0.1,1,0.99,4,3,11,50,2.565532,4.156149,4.86776,0.00510654,0.166353,8.15651e-05
clssopt,0.1,1,0.99,4,3,11,50,2.719780,2.037088,5.03707,0.0051074,0.166363,8.24783e-05
sopt,0.1,1,0.99,4,3,11,55,2.639716,5.980909,5.008,0.00510672,0.166352,8.15942e-05
clssopt,0.1,1,0.99,4,3,11,55,3.133226,1.632301,5.58348,0.00510722,0.166362,8.25142e-05
sopt,0.1,1,0.99,4,3,11,60,2.441047,5.821901,5.6092,0.0051068,0.166353,8.16151e-05
clssopt,0.1,1,0.99,4,3,11,60,3.109998,1.542001,5.68449,0.00510713,0.166362,8.25362e-05
sopt,0.1,1,0.99,4,3,11,65,2.413309,5.830252,5.82395,0.00510679,0.166352,8.16459e-05
clssopt,0.1,1,0.99,4,3,11,65,2.795880,1.569297,6.09205,0.00510708,0.166361,8.25843e-05
sopt,0.1,1,0.99,4,3,11,70,2.334402,1.984581,6.09213,0.00510672,0.166351,8.16631e-05
clssopt,0.1,1,0.99,4,3,11,70,3.112031,1.551698,6.40862,0.00510742,0.166362,8.26098e-05
sopt,0.1,1,0.99,4,3,11,75,2.424504,1.980487,6.40091,0.00510655,0.166351,8.16691e-05
clssopt,0.1,1,0.99,4,3,11,75,2.792262,1.626859,7.06781,0.00510762,0.166363,8.2631e-05
sopt,0.1,1,0.99,4,3,11,80,2.077604,3.967369,6.75522,0.00510641,0.166351,8.16729e-05
clssopt,0.1,1,0.99,4,3,11,80,3.450286,1.667385,7.52048,0.00510747,0.166363,8.24605e-05
sopt,0.1,1,0.99,4,3,11,85,2.038926,1.978607,7.31626,0.00510623,0.166352,8.16763e-05
clssopt,0.1,1,0.99,4,3,11,85,2.893986,1.537562,7.64901,0.0051071,0.166363,8.24937e-05
sopt,0.1,1,0.99,4,3,11,90,2.051983,1.948612,7.90218,0.00510644,0.166351,8.16856e-05
clssopt,0.1,1,0.99,4,3,11,90,2.721071,1.547582,8.3005,0.005107,0.166363,8.23388e-05
sopt,0.1,1,0.99,4,3,11,95,2.056901,1.969039,8.01736,0.0051061,0.166353,8.16915e-05
clssopt,0.1,1,0.99,4,3,11,95,2.628919,1.539555,8.21577,0.00510699,0.166362,8.21658e-05
sopt,0.1,1,0.99,4,3,11,100,2.170975,1.940241,8.39675,0.00510607,0.166352,8.16934e-05
clssopt,0.1,1,0.99,4,3,11,100,2.396996,1.519926,8.51179,0.00510684,0.166361,8.18262e-05
sopt,0.1,1,0.99,4,3,11,105,2.037843,1.953483,9.10372,0.0051059,0.166351,8.16957e-05
clssopt,0.1,1,0.99,4,3,11,105,2.631748,1.527737,8.88457,0.00510663,0.166362,8.1676e-05
sopt,0.1,1,0.99,4,3,11,110,2.087346,1.935351,9.24516,0.00510579,0.166351,8.16892e-05
clssopt,0.1,1,0.99,4,3,11,110,2.339632,1.493610,9.1396,0.00510643,0.166364,8.13591e-05
sopt,0.1,1,0.99,4,3,11,115,2.020328,1.978722,9.2627,0.0051057,0.166351,8.16774e-05
clssopt,0.1,1,0.99,4,3,11,115,2.600875,1.489905,9.63277,0.00510631,0.166363,8.13605e-05
sopt,0.1,1,0.99,4,3,11,120,2.186677,1.930158,9.51923,0.00510564,0.166351,8.16901e-05
clssopt,0.1,1,0.99,4,3,11,120,2.412747,1.498441,9.93163,0.00510625,0.166363,8.133e-05
sopt,0.1,2,0.999,4,7,18,5,19.921531,3.167047,2.07441,0.00510423,0.166346,8.15195e-05
clssopt,0.1,2,0.999,4,7,18,5,28.181848,6.376276,2.47495,0.00510622,0.166356,7.97952e-05
sopt,0.1,2,0.999,4,7,18,10,8.984750,3.754878,2.60851,0.00510524,0.166346,8.13381e-05
clssopt,0.1,2,0.999,4,7,18,10,8.155509,3.717683,2.91077,0.0051067,0.166365,8.01954e-05
sopt,0.1,2,0.999,4,7,18,15,7.028740,2.406717,3.10757,0.00510562,0.166342,8.12427e-05
clssopt,0.1,2,0.999,4,7,18,15,9.152264,3.484221,3.32342,0.00510619,0.166356,8.00257e-05
sopt,0.1,2,0.999,4,7,18,20,4.480075,2.666982,3.40488,0.00510597,0.166347,8.12927e-05
clssopt,0.1,2,0.999,4,7,18,20,4.231927,2.223187,3.88894,0.00510699,0.166363,8.00074e-05
sopt,0.1,2,0.999,4,7,18,25,4.057387,2.582599,3.74244,0.005106,0.166346,8.12995e-05
clssopt,0.1,2,0.999,4,7,18,25,3.842757,2.565090,4.33646,0.00510682,0.166362,8.02824e-05
sopt,0.1,2,0.999,4,7,18,30,3.850502,1.932930,4.22052,0.00510615,0.166349,8.1292e-05
clssopt,0.1,2,0.999,4,7,18,30,3.623833,2.335231,4.70603,0.00510717,0.166365,8.02878e-05
sopt,0.1,2,0.999,4,7,18,35,3.826053,2.441833,4.72994,0.00510627,0.166347,8.13099e-05
