window,t,ws,w,q,TT3,TT4,ErrX,ErrV,ErrE
sopt,0.1,40,14,1,2.89189,3.98e+00,1.15982e-07,5.40948e-06,5.07919e-07
clssopt,0.1,40,14,1,3.20275,4.01e+00,2.2494e-07,3.67819e-05,1.97768e-06
qdeim,0.1,40,14,1,2.70387,3.78e+00,1.31868e-07,7.25728e-06,3.91076e-07
clsqdeim,0.1,40,14,1,,1.39e+00,0.141602,259.356,116.28
sopt,0.1,40,14,2,3.13597,3.93e+00,1.22049e-07,7.0759e-06,5.12041e-07
clssopt,0.1,40,14,2,3.22459,3.94e+00,1.43341e-07,2.19001e-05,1.32073e-06
qdeim,0.1,40,14,2,3.09385,4.02e+00,1.5593e-07,8.46875e-06,3.93752e-07
clsqdeim,0.1,40,14,2,,1.86e+00,0.159047,1.11583e+08,3.77842e+13
sopt,0.1,40,14,3,3.15327,4.04e+00,1.2276e-07,6.4495e-06,5.59725e-07
clssopt,0.1,40,14,3,3.90057,4.07e+00,2.54631e-07,2.09278e-05,1.03812e-06
qdeim,0.1,40,14,3,3.06443,3.98e+00,1.26105e-07,7.89873e-06,3.7391e-07
clsqdeim,0.1,40,14,3,,1.72e+00,0.16147,2.35575e+07,1.6006e+12
sopt,0.1,40,14,4,3.10175,3.90e+00,1.26102e-07,2.62936e-06,4.70008e-07
clssopt,0.1,40,14,4,4.29599,3.99e+00,3.74784e-07,2.40627e-05,1.19369e-06
qdeim,0.1,40,14,4,3.32725,4.22e+00,9.31546e-08,5.13112e-06,3.40894e-07
clsqdeim,0.1,40,14,4,,2.12e+00,0.162578,1.64411e+07,7.56061e+11
sopt,0.1,40,14,5,3.11855,3.83e+00,1.32956e-07,2.9473e-06,5.35415e-07
clssopt,0.1,40,14,5,3.37294,4.80e+00,3.52604e-07,2.06055e-05,9.59801e-07
qdeim,0.1,40,14,5,3.49206,4.03e+00,9.09973e-08,4.49989e-06,3.34662e-07
clsqdeim,0.1,40,14,5,,1.93e+00,0.153345,24100.3,2.3753e+06
sopt,0.1,40,14,6,3.80638,3.99e+00,1.28897e-07,3.59957e-06,5.10829e-07
clssopt,0.1,40,14,6,4.20265,4.00e+00,2.93769e-07,1.38792e-05,6.84946e-07
qdeim,0.1,40,14,6,3.92776,3.99e+00,7.66489e-08,3.84849e-06,3.20955e-07
clsqdeim,0.1,40,14,6,,1.91e+00,0.158642,8.34061e+07,2.13568e+13
sopt,0.1,40,14,7,3.24562,3.67e+00,1.36027e-07,3.60214e-06,5.58035e-07
clssopt,0.1,40,14,7,3.58687,3.82e+00,2.84544e-07,1.28044e-05,6.47501e-07
qdeim,0.1,40,14,7,3.14252,3.81e+00,8.65429e-08,3.28862e-06,3.3632e-07
clsqdeim,0.1,40,14,7,,1.64e+00,0.159372,5.06982e+07,7.7724e+12
sopt,0.1,40,14,8,4.20928,3.94e+00,1.39422e-07,3.00722e-06,5.49064e-07
clssopt,0.1,40,14,8,4.02658,3.98e+00,2.8197e-07,1.28225e-05,6.4166e-07
qdeim,0.1,40,14,8,3.27821,3.87e+00,9.03284e-08,2.36056e-06,3.062e-07
clsqdeim,0.1,40,14,8,,1.89e+00,0.159699,2.58934e+07,2.00802e+12
sopt,0.1,40,14,9,3.61469,3.93e+00,1.44873e-07,4.01378e-06,5.57653e-07
clssopt,0.1,40,14,9,4.4841,3.93e+00,2.5267e-07,1.18015e-05,5.93504e-07
qdeim,0.1,40,14,9,3.51189,4.13e+00,1.15988e-07,2.16557e-06,3.38797e-07
clsqdeim,0.1,40,14,9,,2.05e+00,0.159989,3.34659e+07,3.33113e+12
sopt,0.1,40,14,10,3.74328,3.93e+00,1.44301e-07,4.09293e-06,5.75769e-07
clssopt,0.1,40,14,10,3.99274,3.83e+00,2.62039e-07,1.22548e-05,5.91833e-07
qdeim,0.1,40,14,10,3.79055,3.99e+00,1.19041e-07,2.32313e-06,3.21847e-07
clsqdeim,0.1,40,14,10,,1.69e+00,0.159159,2.70661e+07,2.2192e+12
sopt,0.1,50,11,1,2.66871,3.75e+00,2.65936e-07,1.94416e-05,1.0091e-06
clssopt,0.1,50,11,1,2.60434,3.74e+00,1.00982e-06,0.000156464,3.89108e-06
qdeim,0.1,50,11,1,2.51212,3.76e+00,1.88242e-07,2.00359e-05,1.22974e-06
clsqdeim,0.1,50,11,1,2.70991,3.76e+00,0.0175143,10.8622,0.682813
sopt,0.1,50,11,2,2.80521,3.77e+00,6.23424e-07,1.61665e-05,1.51845e-06
clssopt,0.1,50,11,2,2.86118,3.78e+00,1.2958e-06,0.000173285,4.68894e-06
qdeim,0.1,50,11,2,2.67841,3.69e+00,2.15196e-07,2.98592e-05,8.84596e-07
clsqdeim,0.1,50,11,2,2.84816,3.80e+00,0.00852119,7.92469,0.581837
sopt,0.1,50,11,3,2.81482,3.64e+00,2.99412e-07,9.53196e-06,1.10289e-06
clssopt,0.1,50,11,3,3.27112,3.75e+00,9.13538e-07,9.11168e-05,1.65083e-06
qdeim,0.1,50,11,3,2.72069,3.76e+00,1.66296e-07,3.22339e-05,1.05989e-06
clsqdeim,0.1,50,11,3,3.381,3.77e+00,0.00263456,13.2188,0.684536
sopt,0.1,50,11,4,3.21186,3.75e+00,2.25961e-07,8.01439e-06,1.26839e-06
clssopt,0.1,50,11,4,3.20865,3.79e+00,7.8707e-07,6.40011e-05,8.32335e-07
qdeim,0.1,50,11,4,2.96803,3.75e+00,9.41137e-08,2.8754e-05,1.64841e-06
clsqdeim,0.1,50,11,4,2.92032,3.75e+00,0.00207058,13.6962,0.68778
sopt,0.1,50,11,5,3.23433,3.80e+00,3.13026e-07,1.55931e-05,1.39949e-06
clssopt,0.1,50,11,5,3.18355,3.72e+00,7.74934e-07,7.38217e-05,1.39903e-06
qdeim,0.1,50,11,5,3.33623,3.77e+00,1.67257e-08,3.70816e-05,1.45752e-06
clsqdeim,0.1,50,11,5,3.17602,3.84e+00,0.00156335,14.9393,0.715607
sopt,0.1,50,11,6,3.17578,3.63e+00,3.65481e-07,1.3434e-05,1.61392e-06
clssopt,0.1,50,11,6,3.44983,3.76e+00,8.42182e-07,7.5709e-05,1.57463e-06
qdeim,0.1,50,11,6,3.17252,3.82e+00,6.41446e-08,4.08007e-05,1.49309e-06
clsqdeim,0.1,50,11,6,3.18371,3.88e+00,0.00192384,14.1487,0.706807
sopt,0.1,50,11,7,3.16566,3.82e+00,4.84402e-07,1.84934e-05,1.7556e-06
clssopt,0.1,50,11,7,3.72228,3.91e+00,7.14702e-07,7.50613e-05,1.41716e-06
qdeim,0.1,50,11,7,3.05745,3.72e+00,1.1745e-07,4.16101e-05,1.6521e-06
clsqdeim,0.1,50,11,7,3.54093,3.78e+00,0.00323202,12.4103,0.673638
sopt,0.1,50,11,8,3.15056,3.61e+00,4.08669e-07,1.6435e-05,1.91274e-06
clssopt,0.1,50,11,8,3.87092,3.83e+00,4.43631e-07,6.43293e-05,1.22125e-06
qdeim,0.1,50,11,8,3.29984,3.71e+00,1.44027e-07,4.27753e-05,1.69104e-06
clsqdeim,0.1,50,11,8,3.28344,3.73e+00,0.00501041,10.6478,0.642561
sopt,0.1,50,11,9,3.42222,3.70e+00,4.50849e-07,1.76362e-05,1.9109e-06
clssopt,0.1,50,11,9,3.54464,3.70e+00,4.22551e-07,6.40135e-05,1.20689e-06
qdeim,0.1,50,11,9,3.45042,3.80e+00,1.78151e-07,4.65382e-05,1.67446e-06
clsqdeim,0.1,50,11,9,3.2983,3.70e+00,0.00321322,12.4427,0.676933
sopt,0.1,50,11,10,4.1819,3.76e+00,3.67382e-07,2.00266e-05,1.97453e-06
clssopt,0.1,50,11,10,4.34073,3.76e+00,4.15939e-07,6.2549e-05,1.1875e-06
qdeim,0.1,50,11,10,3.53042,3.80e+00,1.48302e-07,4.31175e-05,1.57557e-06
clsqdeim,0.1,50,11,10,3.75765,3.85e+00,0.00286119,17.0956,0.766298
