window,t,ws,w,q,TT3,TT4,ErrX,ErrV,ErrE
sopt,0.1,30,18,1,9.17255,6.72e+00,1.48191e-07,8.66137e-06,3.75167e-07
clssopt,0.1,30,18,1,15.1296,8.21e+00,7.47307e-08,7.31846e-06,2.65548e-07
qdeim,0.1,30,18,1,4.63194,4.79e+00,2.48995e-08,3.20873e-06,2.24958e-07
clsqdeim,0.1,30,18,1,,1.90e+00,0.0284768,1.225e+13,1.00496e+24
sopt,0.1,30,18,2,4.11989,4.79e+00,1.32514e-07,7.76331e-06,3.1206e-07
clssopt,0.1,30,18,2,4.77998,5.09e+00,9.04204e-08,7.90538e-06,2.77117e-07
qdeim,0.1,30,18,2,5.58562,5.21e+00,2.76392e-08,3.29167e-06,2.28006e-07
clsqdeim,0.1,30,18,2,,1.57e+00,0.0171918,1.25574e+13,9.89345e+23
sopt,0.1,30,18,3,6.61339,4.91e+00,1.31783e-07,7.91524e-06,3.20498e-07
clssopt,0.1,30,18,3,8.95893,4.67e+00,9.47502e-08,7.6969e-06,2.93116e-07
qdeim,0.1,30,18,3,4.54323,4.81e+00,3.29593e-08,2.66211e-06,2.24992e-07
clsqdeim,0.1,30,18,3,,1.45e+00,0.034755,1.2621e+13,1.11247e+24
sopt,0.1,30,18,4,5.58531,4.45e+00,1.29415e-07,7.25958e-06,3.13915e-07
clssopt,0.1,30,18,4,5.5157,4.41e+00,7.72769e-08,6.12266e-06,2.70311e-07
qdeim,0.1,30,18,4,4.77735,5.00e+00,3.0763e-08,2.75923e-06,2.36619e-07
clsqdeim,0.1,30,18,4,,1.69e+00,0.0326825,1.34703e+13,1.23685e+24
sopt,0.1,30,18,5,6.11585,4.62e+00,1.05532e-07,6.03216e-06,2.65988e-07
clssopt,0.1,30,18,5,6.08548,5.05e+00,7.79764e-08,6.17087e-06,2.58012e-07
qdeim,0.1,30,18,5,5.04259,5.39e+00,2.40917e-08,2.38168e-06,2.04863e-07
clsqdeim,0.1,30,18,5,,1.43e+00,0.0357282,1.17325e+13,9.34944e+23
sopt,0.1,30,18,6,6.79795,4.80e+00,1.19489e-07,6.91686e-06,3.0191e-07
clssopt,0.1,30,18,6,6.2448,4.22e+00,6.71309e-08,4.8697e-06,2.4451e-07
qdeim,0.1,30,18,6,19.4697,6.08e+00,2.48357e-08,2.23273e-06,2.04735e-07
clsqdeim,0.1,30,18,6,,2.23e+00,0.0325453,1.14337e+13,8.79657e+23
sopt,0.1,30,18,7,6.43595,5.35e+00,1.13912e-07,6.16314e-06,2.76165e-07
clssopt,0.1,30,18,7,6.4357,5.73e+00,6.82678e-08,4.78436e-06,2.43181e-07
qdeim,0.1,30,18,7,7.57911,4.73e+00,2.50967e-08,2.1223e-06,2.09986e-07
clsqdeim,0.1,30,18,7,,1.65e+00,0.031308,1.35612e+13,1.2437e+24
sopt,0.1,30,18,8,8.64803,5.62e+00,1.10246e-07,5.73797e-06,2.70657e-07
clssopt,0.1,30,18,8,5.449,4.71e+00,6.7254e-08,4.08165e-06,2.2229e-07
qdeim,0.1,30,18,8,7.35309,4.56e+00,2.41508e-08,2.16717e-06,2.123e-07
clsqdeim,0.1,30,18,8,,1.61e+00,0.0372632,1.32033e+13,1.21477e+24
sopt,0.1,30,18,9,5.74671,4.85e+00,9.98e-08,5.63987e-06,2.41571e-07
clssopt,0.1,30,18,9,5.4285,4.76e+00,5.91e-08,3.3868e-06,2.15126e-07
qdeim,0.1,30,18,9,6.67326,4.71e+00,2.33059e-08,2.10831e-06,2.09196e-07
clsqdeim,0.1,30,18,9,,1.52e+00,0.0332415,1.03497e+13,7.3356e+23
sopt,0.1,30,18,10,6.26521,4.65e+00,1.01057e-07,5.51241e-06,2.35152e-07
clssopt,0.1,30,18,10,14.5535,6.08e+00,5.77541e-08,3.48314e-06,2.05137e-07
qdeim,0.1,30,18,10,6.2518,4.56e+00,2.28103e-08,2.26203e-06,2.13448e-07
clsqdeim,0.1,30,18,10,,1.46e+00,0.0317725,1.23628e+13,1.02163e+24
sopt,0.1,40,14,1,6.01695,4.24e+00,7.00856e-08,5.38168e-06,4.03266e-07
clssopt,0.1,40,14,1,3.8141,4.20e+00,2.90684e-07,1.92003e-05,1.0739e-06
qdeim,0.1,40,14,1,3.11999,4.22e+00,6.3187e-08,3.00543e-06,3.68825e-07
clsqdeim,0.1,40,14,1,,1.77e+00,0.211131,50529.8,8.55375e+06
sopt,0.1,40,14,2,4.0201,4.23e+00,4.19408e-08,3.12157e-06,3.83327e-07
clssopt,0.1,40,14,2,3.66851,4.09e+00,8.36894e-08,7.11475e-06,5.88119e-07
qdeim,0.1,40,14,2,2.93389,4.00e+00,6.34015e-08,2.85611e-06,3.77019e-07
clsqdeim,0.1,40,14,2,,1.68e+00,0.220506,80670.3,2.30981e+07
sopt,0.1,40,14,3,6.20832,6.54e+00,4.02771e-08,3.06662e-06,3.89916e-07
clssopt,0.1,40,14,3,3.54227,4.07e+00,1.92092e-08,5.72508e-06,4.42102e-07
qdeim,0.1,40,14,3,4.186,4.07e+00,6.39302e-08,2.25091e-06,3.8532e-07
clsqdeim,0.1,40,14,3,,1.46e+00,0.221124,,3.84746e+07
sopt,0.1,40,14,4,3.49191,4.11e+00,4.93961e-08,3.73012e-06,3.81034e-07
clssopt,0.1,40,14,4,4.13617,4.00e+00,7.63284e-08,8.61816e-06,4.70163e-07
qdeim,0.1,40,14,4,5.31365,4.14e+00,6.60379e-08,2.43936e-06,3.79156e-07
clsqdeim,0.1,40,14,4,,1.62e+00,0.217738,90584.9,2.85662e+07
sopt,0.1,40,14,5,8.87592,4.21e+00,6.5975e-08,3.59293e-06,3.82159e-07
clssopt,0.1,40,14,5,3.75975,4.08e+00,3.59384e-08,7.57584e-06,4.37589e-07
qdeim,0.1,40,14,5,3.66342,3.99e+00,6.58675e-08,2.44228e-06,3.75331e-07
clsqdeim,0.1,40,14,5,,2.17e+00,0.213193,57875.6,1.13432e+07
sopt,0.1,40,14,6,4.12077,4.19e+00,6.86016e-08,3.45213e-06,3.77795e-07
clssopt,0.1,40,14,6,4.87032,4.69e+00,5.75696e-08,7.71344e-06,4.5321e-07
qdeim,0.1,40,14,6,4.44266,4.62e+00,6.64499e-08,2.46391e-06,3.73574e-07
clsqdeim,0.1,40,14,6,,1.63e+00,0.210579,57564.2,1.10487e+07
sopt,0.1,40,14,7,3.62012,4.03e+00,6.24691e-08,3.43024e-06,3.78223e-07
clssopt,0.1,40,14,7,5.35346,6.40e+00,7.08384e-08,8.1476e-06,4.61507e-07
qdeim,0.1,40,14,7,4.67924,7.64e+00,6.9061e-08,2.64309e-06,3.70348e-07
clsqdeim,0.1,40,14,7,,1.61e+00,0.21744,67091.1,1.56784e+07
sopt,0.1,40,14,8,3.47561,3.87e+00,5.13427e-08,3.26905e-06,3.71758e-07
clssopt,0.1,40,14,8,9.68626,4.13e+00,6.20388e-08,7.66266e-06,4.03854e-07
qdeim,0.1,40,14,8,4.81493,4.00e+00,6.6803e-08,2.6676e-06,3.73157e-07
clsqdeim,0.1,40,14,8,,1.46e+00,0.214289,,5.65298e+06
sopt,0.1,40,14,9,4.46465,4.26e+00,5.22426e-08,3.11952e-06,3.72476e-07
clssopt,0.1,40,14,9,4.35823,4.14e+00,7.0247e-08,7.51459e-06,4.22768e-07
qdeim,0.1,40,14,9,4.00525,4.11e+00,5.93677e-08,2.64943e-06,3.74931e-07
clsqdeim,0.1,40,14,9,,1.61e+00,0.211348,34070.1,3.89912e+06
sopt,0.1,40,14,10,4.19327,4.25e+00,6.50935e-08,3.08559e-06,3.68455e-07
clssopt,0.1,40,14,10,5.03134,4.21e+00,8.31333e-08,7.66154e-06,4.41064e-07
qdeim,0.1,40,14,10,5.20417,6.15e+00,6.31159e-08,2.56207e-06,3.85715e-07
clsqdeim,0.1,40,14,10,,1.71e+00,0.214671,,4.09561e+06
sopt,0.1,50,11,1,2.70922,6.96e+00,7.59001e-08,1.18537e-05,6.90046e-07
clssopt,0.1,50,11,1,6.25073,4.19e+00,2.60579e-07,1.87804e-05,1.16808e-06
qdeim,0.1,50,11,1,2.53463,3.77e+00,3.961e-08,2.54787e-05,7.74203e-07
clsqdeim,0.1,50,11,1,,1.48e+00,0.19079,3.46576e+12,6.69901e+23
sopt,0.1,50,11,2,3.05327,3.82e+00,1.78874e-08,1.18324e-05,6.18499e-07
clssopt,0.1,50,11,2,3.33235,3.86e+00,1.77684e-07,1.57194e-05,9.13935e-07
qdeim,0.1,50,11,2,3.06641,4.02e+00,7.22847e-08,2.4054e-05,7.53191e-07
clsqdeim,0.1,50,11,2,,1.31e+00,0.185541,3.65748e+12,7.34959e+23
sopt,0.1,50,11,3,3.32602,3.93e+00,2.22397e-08,1.42078e-05,6.26309e-07
clssopt,0.1,50,11,3,2.91398,3.76e+00,2.3148e-07,1.49943e-05,1.04389e-06
qdeim,0.1,50,11,3,3.10288,3.78e+00,8.57117e-08,2.32156e-05,7.47454e-07
clsqdeim,0.1,50,11,3,,1.28e+00,0.185559,3.60687e+12,7.07301e+23
sopt,0.1,50,11,4,3.3695,3.77e+00,1.15665e-08,1.53866e-05,6.44142e-07
clssopt,0.1,50,11,4,3.69666,3.80e+00,1.9496e-07,1.9706e-05,1.07532e-06
qdeim,0.1,50,11,4,2.88573,3.78e+00,1.07947e-07,2.14019e-05,7.66861e-07
clsqdeim,0.1,50,11,4,,1.40e+00,0.18453,3.75593e+12,7.91147e+23
sopt,0.1,50,11,5,3.63735,3.83e+00,1.45561e-08,1.61415e-05,6.61652e-07
clssopt,0.1,50,11,5,3.4354,3.78e+00,1.92428e-07,2.50608e-05,1.30189e-06
qdeim,0.1,50,11,5,3.16234,3.90e+00,1.14158e-07,1.98093e-05,7.58406e-07
clsqdeim,0.1,50,11,5,,1.46e+00,0.181939,3.60276e+12,7.19443e+23
sopt,0.1,50,11,6,6.51058,3.91e+00,4.73932e-08,1.56542e-05,6.19369e-07
clssopt,0.1,50,11,6,4.56795,3.92e+00,1.34803e-07,2.28346e-05,1.2822e-06
qdeim,0.1,50,11,6,3.42118,3.89e+00,1.33053e-07,1.78785e-05,8.01674e-07
clsqdeim,0.1,50,11,6,,1.36e+00,0.179462,3.84619e+12,8.15172e+23
