method,t,n,xx,vv,ee,q,condV,condE,time,ErrX,ErrV,ErrE
nohr,0.1,1,6,4,3,,,1.02e+01,0.0178563,0.809714,0.140161
sopt,0.1,1,6,4,3,10,1.820456,2.149235,0.202962,2.436e-05,0.0106881,0.00146833
qdeim,0.1,1,6,4,3,10,3.344298,3.152111,0.107439,3.95688e-05,0.0322157,0.00289994
sopt,0.1,1,6,4,3,20,9.447070,1.787336,0.268833,3.86677e-05,0.0131759,0.00192926
qdeim,0.1,1,6,4,3,20,2.591161,3.439145,0.131415,3.96402e-05,0.0323485,0.00287655
sopt,0.1,1,6,4,3,30,7.131049,4.359155,0.304216,5.82379e-05,0.0431027,0.00181751
qdeim,0.1,1,6,4,3,30,22.333613,3.720519,0.156267,4.56185e-05,0.0318973,0.00290872
sopt,0.1,1,6,4,3,40,7.668320,2638.920866,0.354456,0.000122884,0.15155,0.00316359
qdeim,0.1,1,6,4,3,40,2.253363,1.995240,0.180651,4.7569e-05,0.0234794,0.00169769
sopt,0.1,1,6,4,3,50,5.781736,4.350007,0.469277,0.000202107,0.308436,0.00536015
qdeim,0.1,1,6,4,3,50,2.022618,1.983909,0.218549,5.27356e-05,0.020308,0.00117154
sopt,0.1,1,6,4,3,60,5.405123,2698.919243,0.63493,0.000301047,0.556488,0.00891528
qdeim,0.1,1,6,4,3,60,12.464762,4.512555,0.226216,5.5523e-05,0.0201521,0.00116337
sopt,0.1,1,6,4,3,70,5.723314,3.937294,0.73397,0.000403758,0.875534,0.0150594
qdeim,0.1,1,6,4,3,70,2.118669,2.349654,0.252269,5.53941e-05,0.0197938,0.00115787
sopt,0.1,1,6,4,3,80,4.393417,2916.772413,1.02715,0.000583658,1.63964,0.0415722
qdeim,0.1,1,6,4,3,80,2.482593,3.311910,0.273524,5.38777e-05,0.0211629,0.00115918
sopt,0.1,1,6,4,3,90,4.431045,3.615142,1.33402,0.000728637,2.47117,0.0962184
qdeim,0.1,1,6,4,3,90,10.614374,3.449465,0.297453,5.28263e-05,0.0227923,0.00116879
sopt,0.1,1,6,4,3,100,4.563314,3052.106601,1.60507,0.000841383,3.322,0.186543
qdeim,0.1,1,6,4,3,100,3.518387,3.337863,0.303455,5.32325e-05,0.0232018,0.00118117
sopt,0.1,1,6,4,3,110,4.023075,3.558223,1.91184,0.000930638,4.1131,0.317282
qdeim,0.1,1,6,4,3,110,3.094203,3.341026,0.304642,5.42008e-05,0.0233212,0.00119679
sopt,0.1,1,6,4,3,120,4.062086,2039.008406,2.17168,0.000982395,4.59341,0.430051
qdeim,0.1,1,6,4,3,120,5.815175,2.904243,0.304952,5.50849e-05,0.0234369,0.00120984
sopt,0.1,1,6,4,3,130,3.785537,3.433320,2.44301,0.0010055,4.80957,0.494824
qdeim,0.1,1,6,4,3,130,2.673400,3.145515,0.302747,5.58798e-05,0.023549,0.00122169
sopt,0.1,1,6,4,3,140,3.812922,3.402985,2.65899,0.00102241,4.96559,0.549053
qdeim,0.1,1,6,4,3,140,2.699306,2.882402,0.298781,5.66046e-05,0.0235689,0.00123147
sopt,0.1,1,6,4,3,150,3.824691,3.075760,2.71775,0.00100689,4.81733,0.499314
qdeim,0.1,1,6,4,3,150,4.435029,3.060180,0.300482,5.78911e-05,0.0236035,0.00125155
sopt,0.1,1,6,4,3,160,3.883643,3.043552,2.74316,0.00101142,4.85792,0.514032
qdeim,0.1,1,6,4,3,160,2.703479,2.921848,0.304099,5.91395e-05,0.0236875,0.00127519
sopt,0.1,1,6,4,3,170,3.964829,2.931633,2.8311,0.00101928,4.92966,0.539762
qdeim,0.1,1,6,4,3,170,2.614305,2.972726,0.249038,7.52535e-05,0.0265709,0.00200468
sopt,0.1,1,6,4,3,180,4.012075,5.188037,2.94296,0.00101376,4.87568,0.521723
qdeim,0.1,1,6,4,3,180,4.697327,2.734851,0.257455,7.56384e-05,0.0264031,0.00203091
sopt,0.1,1,6,4,3,190,4.288709,3.425664,3.05011,0.00102128,4.94482,0.546966
qdeim,0.1,1,6,4,3,190,2.845899,2.948005,0.273204,7.57618e-05,0.0261072,0.00203326
sopt,0.1,1,6,4,3,200,2.837161,7.153083,3.16262,0.00101622,4.89787,0.530451
qdeim,0.1,1,6,4,3,200,2.896165,2.962778,0.299116,7.57946e-05,0.0258267,0.00203586
nohr,0.1,2,6,6,5,200,2.896165,2.962778,,7.57946e-05,0.477123,
sopt,0.1,2,6,6,5,10,5.739289,6.149829,0.227353,2.08273e-05,0.00748563,0.00173371
qdeim,0.1,2,6,6,5,10,41.814148,3.189760,0.146711,2.28177e-05,0.0143382,0.00166424
sopt,0.1,2,6,6,5,20,4.253383,5.272181,0.318972,2.06184e-05,0.00791204,0.00178889
qdeim,0.1,2,6,6,5,20,4987.022437,4.170414,0.1918,2.28376e-05,0.0144,0.00166558
sopt,0.1,2,6,6,5,30,5.758364,5.099330,0.414906,2.10425e-05,0.00872253,0.0018305
qdeim,0.1,2,6,6,5,30,5087.262244,2877.240190,0.219928,2.27798e-05,0.014371,0.00166667
sopt,0.1,2,6,6,5,40,1499.281959,3.118348,0.461884,2.0915e-05,0.00879497,0.00185355
qdeim,0.1,2,6,6,5,40,15.577687,7.600410,0.219827,2.26734e-05,0.0143065,0.00166632
sopt,0.1,2,6,6,5,50,9.691548,3.253758,0.537502,2.09471e-05,0.00870816,0.00186525
qdeim,0.1,2,6,6,5,50,6700.721609,10.147108,0.228623,2.26674e-05,0.0143066,0.00166622
sopt,0.1,2,6,6,5,60,7.366862,7.444967,0.585206,2.08461e-05,0.00851658,0.00185865
qdeim,0.1,2,6,6,5,60,12.611809,9176.493496,0.220873,2.26648e-05,0.014307,0.00166617
sopt,0.1,2,6,6,5,70,3.951294,3.435014,0.592628,2.05143e-05,0.00821873,0.00181981
qdeim,0.1,2,6,6,5,70,9.649748,1610.076832,0.251951,1.94086e-05,0.0125892,0.0017266
sopt,0.1,2,6,6,5,80,3.223355,3.021243,0.618361,1.99669e-05,0.00776649,0.00175204
qdeim,0.1,2,6,6,5,80,11.280801,974.426697,0.289352,1.87751e-05,0.0132208,0.00172224
sopt,0.1,2,6,6,5,90,3.249432,4.692862,0.618735,1.98572e-05,0.00762486,0.00173787
qdeim,0.1,2,6,6,5,90,10.444168,655.555448,0.33547,1.87665e-05,0.0138106,0.00170699
sopt,0.1,2,6,6,5,100,3.589930,2.463050,0.596634,1.86215e-05,0.0070441,0.00161616
qdeim,0.1,2,6,6,5,100,9.335925,10.879365,0.367163,1.90973e-05,0.0146869,0.00177486
sopt,0.1,2,6,6,5,110,3.119168,2.956487,0.600372,1.85259e-05,0.00692266,0.00160315
qdeim,0.1,2,6,6,5,110,8.401581,8.353043,0.412708,1.95149e-05,0.0134233,0.00171517
sopt,0.1,2,6,6,5,120,2.952112,3.364428,0.609096,1.83117e-05,0.00677561,0.00157653
qdeim,0.1,2,6,6,5,120,6.384547,666.916739,0.473753,1.94839e-05,0.0117339,0.00178393
sopt,0.1,2,6,6,5,130,2.756807,2.466064,0.648355,1.868e-05,0.00665783,0.00143147
qdeim,0.1,2,6,6,5,130,5.501604,6.282704,0.536266,1.97239e-05,0.0109645,0.00180152
sopt,0.1,2,6,6,5,140,2.634173,2.478031,0.648438,1.87381e-05,0.00681446,0.0014231
qdeim,0.1,2,6,6,5,140,5.288818,5.848438,0.53218,1.98879e-05,0.0107753,0.00179837
sopt,0.1,2,6,6,5,150,6.770176,2.578753,0.673914,1.87204e-05,0.00690721,0.0014178
qdeim,0.1,2,6,6,5,150,4.480686,9.661691,0.538384,1.9883e-05,0.0107786,0.00179688
sopt,0.1,2,6,6,5,160,2.410457,2.453118,0.718158,1.87456e-05,0.00714503,0.00138693
qdeim,0.1,2,6,6,5,160,4.034068,4.817636,0.534024,1.98777e-05,0.01078,0.00179577
sopt,0.1,2,6,6,5,170,6.024625,2.436530,0.786732,1.88309e-05,0.00730704,0.00137702
qdeim,0.1,2,6,6,5,170,4.425982,5.850629,0.549251,1.99055e-05,0.0107691,0.00179528
sopt,0.1,2,6,6,5,180,6.369668,2.361171,0.83775,1.87926e-05,0.00755267,0.00134168
qdeim,0.1,2,6,6,5,180,4.799994,11.014468,0.555918,1.98572e-05,0.0108189,0.00179284
sopt,0.1,2,6,6,5,190,5.640579,2.456925,0.851873,1.81111e-05,0.00780041,0.00123985
qdeim,0.1,2,6,6,5,190,5.928990,5.518621,0.539765,1.97965e-05,0.0109238,0.001868
sopt,0.1,2,6,6,5,200,5.583594,2.731773,0.875572,1.815e-05,0.00789764,0.00122745
qdeim,0.1,2,6,6,5,200,6.934521,6.078988,0.558132,1.98091e-05,0.0110202,0.00189236
nohr,0.1,3,6,9,9,200,6.934521,6.078988,,1.98091e-05,0.583809,0.0376561
sopt,0.1,3,6,9,9,10,13.480775,9.950094,0.255573,7.06653e-05,0.0401085,0.00650651
qdeim,0.1,3,6,9,9,10,7.723483,5.300337,0.221205,1.64748e-05,0.0117401,0.00156075
sopt,0.1,3,6,9,9,20,15.718597,8.484640,0.316506,1.26351e-05,0.00944487,0.000995244
qdeim,0.1,3,6,9,9,20,5.696238,4.383086,0.27968,1.43876e-05,0.0105592,0.00146376
sopt,0.1,3,6,9,9,30,6.571759,4.926473,0.412331,6.04207e-05,0.033906,0.00515687
qdeim,0.1,3,6,9,9,30,8.877701,325.717316,0.367078,2.87895e-05,0.0192829,0.00282328
sopt,0.1,3,6,9,9,40,7.209884,4.571686,0.438143,5.16724e-05,0.0315157,0.00442972
qdeim,0.1,3,6,9,9,40,5.848595,5.827692,0.363481,2.83578e-05,0.0190079,0.00279874
sopt,0.1,3,6,9,9,50,5.847826,4.705317,0.641324,1.76894e-05,0.0106751,0.000985059
qdeim,0.1,3,6,9,9,50,7.422036,6.181072,0.385144,2.81863e-05,0.018816,0.00278379
sopt,0.1,3,6,9,9,60,4.973986,4.939026,0.526454,2.0078e-05,0.0127761,0.00149802
qdeim,0.1,3,6,9,9,60,12.381479,7637.791129,0.382685,3.00543e-05,0.0197031,0.00291994
sopt,0.1,3,6,9,9,70,4.619663,4.919785,0.74372,0.00127634,,
qdeim,0.1,3,6,9,9,70,8.743611,5.320836,0.386977,3.59876e-05,0.0226205,0.00339095
sopt,0.1,3,6,9,9,80,4.719925,3.882274,0.791831,0.00127634,,
qdeim,0.1,3,6,9,9,80,7.166550,6.078577,0.389867,3.59773e-05,0.0225929,0.00338406
sopt,0.1,3,6,9,9,90,5.209710,4.485704,0.574977,1.58768e-05,0.0099405,0.00134611
qdeim,0.1,3,6,9,9,90,19.698771,5035.717244,0.387713,3.62638e-05,0.0225502,0.00334538
sopt,0.1,3,6,9,9,100,4.396310,4.392621,0.628779,1.77573e-05,0.0112434,0.00161161
qdeim,0.1,3,6,9,9,100,12.369138,5.911961,0.36274,3.88187e-05,0.0244931,0.00366067
sopt,0.1,3,6,9,9,110,4.112608,3.353354,0.622875,1.84836e-05,0.0117123,0.00167326
qdeim,0.1,3,6,9,9,110,9.834678,5.590712,0.423461,4.68129e-05,0.0275458,0.00571986
sopt,0.1,3,6,9,9,120,8.705937,3.595058,0.652748,2.12089e-05,0.0133758,0.00190433
qdeim,0.1,3,6,9,9,120,14.754737,925.850691,0.480327,5.1201e-05,0.0296606,0.00618234
sopt,0.1,3,6,9,9,130,7.597176,3.420897,0.666754,2.73185e-05,0.017126,0.00252016
qdeim,0.1,3,6,9,9,130,6.656905,16.982286,0.542695,4.99198e-05,0.0287271,0.00602478
sopt,0.1,3,6,9,9,140,4.951143,3.472330,0.678672,2.63573e-05,0.0165143,0.00242113
qdeim,0.1,3,6,9,9,140,5.337386,16.949069,0.585144,2.28173e-05,0.0108476,0.00263696
sopt,0.1,3,6,9,9,150,4.093094,3.761427,0.715552,3.36873e-05,0.0211341,0.00314888
qdeim,0.1,3,6,9,9,150,5.038290,53.426176,0.58686,2.60419e-05,0.0124559,0.00303613
sopt,0.1,3,6,9,9,160,4.007796,3.291341,0.728158,3.86465e-05,0.0240064,0.00364946
qdeim,0.1,3,6,9,9,160,4.257718,15.883296,0.599688,3.03415e-05,0.0137218,0.00319248
sopt,0.1,3,6,9,9,170,5.339469,3.481798,0.763496,2.05353e-05,0.0127755,0.00181546
qdeim,0.1,3,6,9,9,170,3.764079,12.418510,0.607372,3.25691e-05,0.0148332,0.00340867
sopt,0.1,3,6,9,9,180,4.557780,5.622266,0.776457,1.2113e-05,0.0072468,0.000998573
qdeim,0.1,3,6,9,9,180,7.591270,1770.274892,0.618396,3.23784e-05,0.0148107,0.00338644
sopt,0.1,3,6,9,9,190,7.189778,3.160472,0.786723,3.02362e-05,0.0189026,0.00268959
qdeim,0.1,3,6,9,9,190,3.679557,14.137075,0.620127,2.94064e-05,0.0139596,0.00321855
sopt,0.1,3,6,9,9,200,5.276306,2.935580,0.791177,3.04919e-05,0.019016,0.002701
qdeim,0.1,3,6,9,9,200,4.806140,13.344761,0.653189,1.96843e-05,0.00905704,0.00209053
nohr,0.1,4,6,14,12,200,4.806140,13.344761,,1.96843e-05,0.543027,0.0367145
sopt,0.1,4,6,14,12,10,16.842502,29.336301,0.341712,0.00127634,,0.0410282
qdeim,0.1,4,6,14,12,10,6.246975,10.164623,0.286006,4.84429e-05,0.0301348,0.00473739
sopt,0.1,4,6,14,12,20,13.009943,11.888769,0.411716,0.00127634,,0.0410282
qdeim,0.1,4,6,14,12,20,4.967683,14.366513,0.341894,2.26433e-05,0.0182314,0.00276029
sopt,0.1,4,6,14,12,30,10.901633,8.973175,0.503659,0.00127634,,0.0410282
qdeim,0.1,4,6,14,12,30,5.720348,15.321542,0.39168,1.84149e-05,0.0139832,0.0026204
sopt,0.1,4,6,14,12,40,6.388688,8.769842,0.561624,0.00127634,,0.0410282
qdeim,0.1,4,6,14,12,40,6.814590,14.775375,0.461392,1.53049e-05,0.0111098,0.00212812
