method,t,n,ef,xx,vv,ee,q,condV,condE,time,ErrX,ErrV,ErrE
sopt,0.1,1,0.99,6,4,3,5,1.562095,2.234909,1.13965,0.0012737,0.997238,0.0410355
clssopt,0.1,1,0.99,6,4,3,5,8.143220,3.879686,0.083664,0.00127374,0.997259,0.0410361
sopt,0.1,1,0.99,6,4,3,10,3.556050,2.768205,0.0889971,0.00127367,0.997202,0.0410355
clssopt,0.1,1,0.99,6,4,3,10,3.638560,2.454700,0.10302,0.00127374,0.997262,0.041036
sopt,0.1,1,0.99,6,4,3,15,3.897257,1.904347,0.107386,0.00127366,0.997194,0.0410354
clssopt,0.1,1,0.99,6,4,3,15,5.595476,3.004771,0.110806,0.00127374,0.997262,0.041036
sopt,0.1,1,0.99,6,4,3,20,4.188570,1.845445,0.120078,0.00127365,0.99719,0.0410354
clssopt,0.1,1,0.99,6,4,3,20,7.307213,21.825404,0.112796,0.00127374,0.997263,0.041036
sopt,0.1,1,0.99,6,4,3,25,3.468335,11.444880,0.12949,0.00127365,0.997188,0.0410354
clssopt,0.1,1,0.99,6,4,3,25,5.692801,21.015361,0.12207,0.00127374,0.997263,0.041036
sopt,0.1,1,0.99,6,4,3,30,3.292860,1.487480,0.149455,0.00127365,0.99719,0.0410354
clssopt,0.1,1,0.99,6,4,3,30,3.810960,27.983280,0.143086,0.00127374,0.997264,0.041036
sopt,0.1,1,0.99,6,4,3,35,3.401230,81.414082,0.161329,0.00127366,0.997195,0.0410353
clssopt,0.1,1,0.99,6,4,3,35,7.253597,21.782080,0.155542,0.00127374,0.997264,0.041036
sopt,0.1,1,0.99,6,4,3,40,3.317841,71.689813,0.175096,0.00127366,0.997198,0.0410353
clssopt,0.1,1,0.99,6,4,3,40,3.698333,25.943839,0.155037,0.00127374,0.997264,0.041036
sopt,0.1,1,0.99,6,4,3,45,3.081893,70.900687,0.179329,0.00127366,0.997201,0.0410353
clssopt,0.1,1,0.99,6,4,3,45,3.879418,73.575883,0.160985,0.00127374,0.997264,0.041036
sopt,0.1,1,0.99,6,4,3,50,2.573246,80.207706,0.184931,0.00127367,0.997204,0.0410352
clssopt,0.1,1,0.99,6,4,3,50,3.877586,67.890930,0.167142,0.00127374,0.997265,0.041036
sopt,0.1,1,0.99,6,4,3,55,1.609670,83.216294,0.201596,0.00127367,0.997204,0.0410352
clssopt,0.1,1,0.99,6,4,3,55,4.472696,66.807454,0.176294,0.00127374,0.997265,0.041036
sopt,0.1,1,0.99,6,4,3,60,2.183831,46575.234681,0.197593,0.00127367,0.997206,0.0410352
clssopt,0.1,1,0.99,6,4,3,60,3.828301,70.111763,0.179116,0.00127374,0.997265,0.041036
sopt,0.1,1,0.99,6,4,3,65,1.304942,65.954824,0.205681,0.00127367,0.997206,0.0410352
clssopt,0.1,1,0.99,6,4,3,65,3.822135,75.702625,0.184598,0.00127374,0.997265,0.041036
sopt,0.1,1,0.99,6,4,3,70,1.427574,64.559169,0.206738,0.00127367,0.997206,0.0410352
clssopt,0.1,1,0.99,6,4,3,70,3.822050,76.129714,0.187176,0.00127374,0.997265,0.041036
