method,t,n,xx,vv,ee,q,condV,condE,time,ErrX,ErrV,ErrE
clsdopt,0.1,1,6,4,3,5,8.143220,3.879686,0.0897156,0.00127374,0.997259,0.0410361
clsqdeim,0.1,1,6,4,3,5,3.414415,4.939179,0.0843073,2.3452e-05,0.0141109,0.00196349
clsgnat,0.1,1,6,4,3,5,7.239461,4.027038,0.16691,nan,nan,nan
dopt,0.1,1,6,4,3,5,1.562095,2.234909,0.0672491,0.0012737,0.997238,0.0410355
qdeim,0.1,1,6,4,3,5,3.359498,3.208127,0.0963807,3.9347e-05,0.0323325,0.00290245
gnat,0.1,1,6,4,3,5,4.253516,3.883684,0.0899485,3.97282e-05,0.0322287,0.00291949
clsdopt,0.1,1,6,4,3,10,3.638560,2.454700,0.099616,0.00127374,0.997262,0.041036
clsqdeim,0.1,1,6,4,3,10,2.084969,10.772476,0.0975538,2.34365e-05,0.0141096,0.00196798
clsgnat,0.1,1,6,4,3,10,6.082154,4.706782,0.15584,0.000539351,0.55174,0.0531127
dopt,0.1,1,6,4,3,10,3.556050,2.768205,0.08879,0.00127367,0.997202,0.0410355
qdeim,0.1,1,6,4,3,10,3.344298,3.152111,0.107841,3.95688e-05,0.0322157,0.00289994
gnat,0.1,1,6,4,3,10,2.231688,2.855869,0.108329,3.97283e-05,0.0322393,0.00291951
clsdopt,0.1,1,6,4,3,15,5.595476,3.004771,0.114999,0.00127374,0.997262,0.041036
clsqdeim,0.1,1,6,4,3,15,155.563831,6.115275,0.108143,2.34206e-05,0.014099,0.00196749
clsgnat,0.1,1,6,4,3,15,5.599864,4.134245,0.145219,0.000558947,0.549715,0.0574029
dopt,0.1,1,6,4,3,15,3.897257,1.904347,0.106421,0.00127366,0.997194,0.0410354
qdeim,0.1,1,6,4,3,15,1349.768025,2.593854,0.125437,3.96105e-05,0.0323359,0.00288907
gnat,0.1,1,6,4,3,15,3.006405,2.938443,0.12528,3.97583e-05,0.0322799,0.0029254
clsdopt,0.1,1,6,4,3,20,7.307213,21.825404,0.113335,0.00127374,0.997263,0.041036
clsqdeim,0.1,1,6,4,3,20,1.847973,3.611660,0.117657,2.34111e-05,0.0140923,0.00196701
clsgnat,0.1,1,6,4,3,20,8.359581,6.787963,0.176036,0.000565613,0.559989,0.0573707
dopt,0.1,1,6,4,3,20,4.188570,1.845445,0.117277,0.00127365,0.99719,0.0410354
qdeim,0.1,1,6,4,3,20,2.591161,3.439145,0.131595,3.96402e-05,0.0323485,0.00287655
gnat,0.1,1,6,4,3,20,4.815972,3.314605,0.155289,3.97834e-05,0.0323082,0.00292822
clsdopt,0.1,1,6,4,3,25,5.692801,21.015361,0.123393,0.00127374,0.997263,0.041036
clsqdeim,0.1,1,6,4,3,25,1.713278,2.708539,0.130848,2.34051e-05,0.014014,0.00199574
clsgnat,0.1,1,6,4,3,25,2.838925,4.030939,0.389997,nan,nan,nan
dopt,0.1,1,6,4,3,25,3.468335,11.444880,0.130381,0.00127365,0.997188,0.0410354
qdeim,0.1,1,6,4,3,25,2.579311,2.540720,0.145436,3.98363e-05,0.0323111,0.00286907
gnat,0.1,1,6,4,3,25,2.480856,2.280137,0.169886,3.96971e-05,0.0322102,0.0029154
clsdopt,0.1,1,6,4,3,30,3.810960,27.983280,0.139763,0.00127374,0.997264,0.041036
clsqdeim,0.1,1,6,4,3,30,28.973774,10.087056,0.138875,1.48593e-05,0.0107739,0.00149129
clsgnat,0.1,1,6,4,3,30,2.432280,4.201643,0.38966,nan,nan,nan
dopt,0.1,1,6,4,3,30,3.292860,1.487480,0.144402,0.00127365,0.99719,0.0410354
qdeim,0.1,1,6,4,3,30,22.333613,3.720519,0.158621,4.56185e-05,0.0318973,0.00290872
gnat,0.1,1,6,4,3,30,3.015748,2.228683,0.182624,3.96177e-05,0.0320496,0.00289331
