method,n,energy_frac,rwdim,rrdim,nldim,nsr,time,error
SOPT,0,0.9,4,6,6,7,0.228153877,0.01774217004611181
clsSOPT,0,0.9,4,6,6,7,0.224329698,0.01813038176520765
QDEIM,0,0.9,4,6,6,7,0.223634809,0.01790463729931848
clsQDEIM,0,0.9,4,6,6,7,0.221255228,0.01657960424471957
SOPT,0,0.9,4,6,6,8,0.240095211,0.0174842614143374
clsSOPT,0,0.9,4,6,6,8,0.237893212,0.01826937019448996
QDEIM,0,0.9,4,6,6,8,0.242077544,0.0178684112187106
clsQDEIM,0,0.9,4,6,6,8,0.2400396469999999,0.0167505054311816
SOPT,0,0.9,4,6,6,9,0.257075832,0.01754932169729365
clsSOPT,0,0.9,4,6,6,9,0.26059373,0.0182159703882934
QDEIM,0,0.9,4,6,6,9,0.263690465,0.0178677495246643
clsQDEIM,0,0.9,4,6,6,9,0.274630139,0.01695508338611975
SOPT,0,0.9,4,6,6,10,0.2744627,0.01754262406593047
clsSOPT,0,0.9,4,6,6,10,0.291404494,0.0182159703882934
QDEIM,0,0.9,4,6,6,10,0.282067936,0.0178454955478101
clsQDEIM,0,0.9,4,6,6,10,0.27371928,0.01695684766683763
SOPT,0,0.9,4,6,6,11,0.295115245,0.01754103920653163
clsSOPT,0,0.9,4,6,6,11,0.292083436,0.01821597038829341
QDEIM,0,0.9,4,6,6,11,0.294778972,0.01764812262582736
clsQDEIM,0,0.9,4,6,6,11,0.305768223,0.01686246381639052
SOPT,0,0.9,4,6,6,12,0.31251632,0.01766078375844791
clsSOPT,0,0.9,4,6,6,12,0.312897011,0.0182159703882934
QDEIM,0,0.9,4,6,6,12,0.32514627,0.01765553128021813
clsQDEIM,0,0.9,4,6,6,12,0.311907309,0.0168828347088649
SOPT,0,0.9,4,6,6,13,0.339600263,0.01769508683997026
clsSOPT,0,0.9,4,6,6,13,0.327307023,0.01821597038829341
QDEIM,0,0.9,4,6,6,13,0.345721409,0.01751712353599261
clsQDEIM,0,0.9,4,6,6,13,0.3323622039999999,0.01737074940415341
SOPT,0,0.9,4,6,6,14,0.340552823,0.01763531560313964
clsSOPT,0,0.9,4,6,6,14,0.3527083129999999,0.0182159703882934
QDEIM,0,0.9,4,6,6,14,0.354216946,0.01752358595318841
clsQDEIM,0,0.9,4,6,6,14,0.351057874,0.01725071687159185
SOPT,0,0.9,4,6,6,15,0.358054907,0.01770269439001223
