method,t,ws,w,q,TT3,TT4,ErrX,ErrV,ErrE
clssopt,0.1,40,13,2,2.60961,6.99e+00,9.50984e-06,0.000965896,0.000147725
clsqdeim,0.1,40,13,2,2.65243,6.70e+00,5.71443e-06,0.00284256,0.000256628
clssopt,0.1,40,13,4,2.80517,6.45e+00,9.08911e-06,0.00215627,0.000249763
clsqdeim,0.1,40,13,4,3.06057,7.60e+00,5.70252e-06,0.00126399,0.000669268
clssopt,0.1,40,13,6,2.81542,5.16e+00,8.32051e-06,0.00107523,0.00030862
clsqdeim,0.1,40,13,6,3.20462,5.06e+00,7.14011e-06,0.000794877,0.000511265
clssopt,0.1,40,13,8,3.31939,7.01e+00,7.02893e-06,0.000528332,0.000314024
clsqdeim,0.1,40,13,8,3.14086,5.09e+00,2.20281e-05,0.00334078,0.000777076
clssopt,0.1,40,13,10,3.26398,4.70e+00,1.20825e-05,0.00141446,0.00021637
clsqdeim,0.1,40,13,10,2.68415,5.16e+00,5.42848e-06,0.0010951,0.000763141
clssopt,0.1,40,13,12,3.04512,5.21e+00,1.21269e-05,0.0011603,0.000191217
clsqdeim,0.1,40,13,12,3.41762,5.20e+00,2.31057e-05,0.00320087,0.00107022
clssopt,0.1,40,13,14,5.89181,8.28e+00,1.24193e-05,0.00117833,0.000187028
clsqdeim,0.1,40,13,14,3.56518,6.45e+00,9.07837e-06,0.00212378,0.00124359
clssopt,0.1,40,13,16,4.18756,6.90e+00,6.21962e-06,0.000813975,0.000321985
clsqdeim,0.1,40,13,16,3.37583,5.08e+00,8.58514e-06,0.00102278,0.000706826
clssopt,0.1,40,13,18,3.18906,6.08e+00,6.43301e-06,0.00069695,0.000313153
clsqdeim,0.1,40,13,18,2.95997,5.25e+00,9.22345e-06,0.00112359,0.000707613
clssopt,0.1,40,13,20,3.22414,7.19e+00,1.24268e-05,0.00102211,0.000208539
clsqdeim,0.1,40,13,20,3.04001,5.42e+00,7.03946e-06,0.00102081,0.000696833
