method,t,n,ef,xx,vv,ee,q,condV,condE,time,ErrX,ErrV,ErrE
clssopt,0.1,1,0.99,10,10,31,5,18.212880,10.553913,,0.0546943,1.45523,0.163893
clssopt,0.1,1,0.99,10,10,31,10,12.267695,5.196213,,0.046013,0.938574,0.124532
clssopt,0.1,1,0.99,10,10,31,15,9.700472,5.320562,,0.0246186,1.09749,0.13975
clssopt,0.1,1,0.99,10,10,31,20,7.930802,2.869680,,0.0179737,1.21988,0.15483
clssopt,0.1,1,0.99,10,10,31,25,6.153156,3.230954,1.1203,0.00260827,0.583139,0.0761784
clssopt,0.1,1,0.99,10,10,31,30,5.603124,2.670762,0.999783,0.00116838,0.193664,0.0165012
clssopt,0.1,1,0.99,10,10,31,35,5.174394,2.521520,0.986702,0.000736711,0.166036,0.0135005
clssopt,0.1,1,0.99,10,10,31,40,3.842782,3.428103,1.08858,0.000736817,0.125432,0.0156023
clssopt,0.1,1,0.99,10,10,31,45,3.920916,2.343259,1.06453,0.000386695,0.0687103,0.0066138
clssopt,0.1,1,0.99,10,10,31,50,3.841776,2.362281,1.12532,0.000123875,0.0330689,0.00306384
clssopt,0.1,1,0.99,10,10,31,55,3.872886,2.155665,1.17674,0.000247691,0.0426637,0.00382737
clssopt,0.1,1,0.99,10,10,31,60,3.828324,2.377359,1.20959,0.000179443,0.027972,0.0030567
clssopt,0.1,1,0.99,10,10,31,65,3.482628,2.139129,1.27395,0.000112477,0.00901798,0.000648238
clssopt,0.1,1,0.99,10,10,31,70,2.999421,2.193092,1.32516,0.000180046,0.0201246,0.00160264
clssopt,0.1,1,0.99,10,10,31,75,3.296562,1.930941,1.42914,8.36596e-05,0.00787113,0.000563651
clssopt,0.1,1,0.99,10,10,31,80,3.085651,2.703740,1.52117,0.000979156,0.093178,0.00819126
clssopt,0.1,1,0.99,10,10,31,85,2.798716,1.891536,1.46537,0.000743152,0.0625533,0.00629533
clssopt,0.1,1,0.99,10,10,31,90,2.790012,1.937321,1.46854,0.000437697,0.040286,0.00314871
clssopt,0.1,1,0.99,10,10,31,95,2.588656,1.965422,1.56749,0.000456923,0.0376563,0.00183709
clssopt,0.1,1,0.99,10,10,31,100,2.587081,2.062965,1.48965,0.000337301,0.0277178,0.00254044
clsqdeim,0.1,1,0.99,10,10,31,5,30.047276,5.610087,,0.0337346,1.81231,0.288829
clsqdeim,0.1,1,0.99,10,10,31,10,12.700443,3.921212,,0.0350731,1.08965,0.165843
clsqdeim,0.1,1,0.99,10,10,31,15,7.822358,2.978331,,0.0486698,1.05151,0.104137
clsqdeim,0.1,1,0.99,10,10,31,20,6.498664,4.031621,,0.0425458,0.796674,0.0690147
clsqdeim,0.1,1,0.99,10,10,31,25,7.154570,2.678592,,0.0364442,1.02718,0.103493
clsqdeim,0.1,1,0.99,10,10,31,30,5.239832,3.925782,,0.0347146,0.773276,0.0652697
clsqdeim,0.1,1,0.99,10,10,31,35,4.967097,2.247860,,0.0299323,0.717882,0.0819649
clsqdeim,0.1,1,0.99,10,10,31,40,3.574779,3.327608,,0.0300597,0.669731,0.066925
clsqdeim,0.1,1,0.99,10,10,31,45,4.173022,1.854003,,0.0257218,6.29463,0.204283
clsqdeim,0.1,1,0.99,10,10,31,50,3.633741,2.748253,,0.0232949,4.81379,0.0990815
clsqdeim,0.1,1,0.99,10,10,31,55,3.798205,1.848568,,0.0261258,2.79418,0.0961446
clsqdeim,0.1,1,0.99,10,10,31,60,3.753261,2.869791,,0.0267172,2.61906,0.0906154
clsqdeim,0.1,1,0.99,10,10,31,65,3.368669,2.167793,,0.0265551,1.00767,0.0591585
clsqdeim,0.1,1,0.99,10,10,31,70,3.069928,2.748741,,0.0254085,0.456127,0.0461086
clsqdeim,0.1,1,0.99,10,10,31,75,3.114209,1.814627,,0.0167829,1.80644,0.496935
clsqdeim,0.1,1,0.99,10,10,31,80,2.736387,2.095891,,0.0187607,0.745299,0.0663116
clsqdeim,0.1,1,0.99,10,10,31,85,2.767651,1.837843,,0.0163821,0.812956,0.0702434
clsqdeim,0.1,1,0.99,10,10,31,90,2.718581,2.153271,,0.0166138,0.850884,0.0733682
clsqdeim,0.1,1,0.99,10,10,31,95,2.810739,1.718235,,0.0161127,1.08282,0.0942155
clsqdeim,0.1,1,0.99,10,10,31,100,2.351865,2.331189,,0.0203971,1.12156,0.0958533
clssopt,0.1,2,0.999,10,22,52,5,28.512127,11.799597,,0.0615882,0.960389,0.124079
clssopt,0.1,2,0.999,10,22,52,10,15.615519,8.376639,,0.0518597,1.0965,0.20512
clssopt,0.1,2,0.999,10,22,52,15,11.990042,6.847582,,0.0430538,2.00476,0.320729
clssopt,0.1,2,0.999,10,22,52,20,11.190252,4.436573,,0.0280486,2.99324,0.149142
clssopt,0.1,2,0.999,10,22,52,25,10.633746,4.724464,,0.0300907,0.772086,0.08084
clssopt,0.1,2,0.999,10,22,52,30,6.986811,3.164739,,0.0234414,2.42656,0.348009
clssopt,0.1,2,0.999,10,22,52,35,6.674443,3.840404,,0.0379912,1.76984,0.260094
clssopt,0.1,2,0.999,10,22,52,40,5.989783,3.145709,,0.0348088,2.08116,0.329263
clssopt,0.1,2,0.999,10,22,52,45,5.838087,3.087422,,0.0256585,1.43936,0.200735
clssopt,0.1,2,0.999,10,22,52,50,5.742348,2.817248,,0.036619,1.4123,0.192073
clssopt,0.1,2,0.999,10,22,52,55,5.607997,3.235692,,0.0279037,1.59618,0.217607
clssopt,0.1,2,0.999,10,22,52,60,4.291191,2.642229,,0.0246916,1.54481,0.228004
clssopt,0.1,2,0.999,10,22,52,65,4.249667,2.413336,,0.0244384,1.80779,0.244753
clssopt,0.1,2,0.999,10,22,52,70,4.192738,2.528712,,0.0238809,1.58585,0.258051
clssopt,0.1,2,0.999,10,22,52,75,4.002106,2.517148,,0.0142217,1.54429,0.181476
clssopt,0.1,2,0.999,10,22,52,80,4.099920,2.466375,,0.00414979,2.00553,0.264913
clssopt,0.1,2,0.999,10,22,52,85,3.705405,2.159067,,0.00398803,1.93305,0.269221
clssopt,0.1,2,0.999,10,22,52,90,3.786860,2.417435,1.89782,0.000776756,0.248908,0.0411145
clssopt,0.1,2,0.999,10,22,52,95,3.796010,2.195988,,0.00332237,1.70916,0.19377
clssopt,0.1,2,0.999,10,22,52,100,3.930985,2.236428,,0.00955898,1.2898,0.203159
clsqdeim,0.1,2,0.999,10,22,52,5,22.583489,16.584217,,0.0470269,2.56486,0.358888
clsqdeim,0.1,2,0.999,10,22,52,10,16.088085,7.029787,,0.0198124,1.89508,0.298525
clsqdeim,0.1,2,0.999,10,22,52,15,17.626108,5.388656,,0.0262053,1.33073,0.523688
clsqdeim,0.1,2,0.999,10,22,52,20,11.753711,4.795071,,0.0363398,1.63883,0.224436
clsqdeim,0.1,2,0.999,10,22,52,25,7.809609,3.818663,,0.03608,1.27778,0.17605
clsqdeim,0.1,2,0.999,10,22,52,30,8.269289,3.599312,,0.0336415,1.16604,0.154047
clsqdeim,0.1,2,0.999,10,22,52,35,6.958024,4.556371,,0.0392896,2.05661,0.317048
clsqdeim,0.1,2,0.999,10,22,52,40,5.772997,3.085843,,0.0316625,1.3489,0.229544
clsqdeim,0.1,2,0.999,10,22,52,45,6.618863,3.414755,,0.022087,1.2893,0.198484
clsqdeim,0.1,2,0.999,10,22,52,50,5.310105,2.997648,,0.0135466,6.12505,0.337252
clsqdeim,0.1,2,0.999,10,22,52,55,5.155275,2.769055,1.82175,0.0036382,1.28544,0.173335
clsqdeim,0.1,2,0.999,10,22,52,60,4.827826,2.793192,,0.0142876,2.41184,0.202314
clsqdeim,0.1,2,0.999,10,22,52,65,4.742417,2.657015,,0.0140574,1.35383,0.21698
clsqdeim,0.1,2,0.999,10,22,52,70,3.804743,2.790264,,0.0162042,1.44596,2.07597
clsqdeim,0.1,2,0.999,10,22,52,75,3.983015,2.682036,,0.00612573,1.55899,0.257214
clsqdeim,0.1,2,0.999,10,22,52,80,3.974962,2.247878,,0.0258604,2.34629,0.268624
clsqdeim,0.1,2,0.999,10,22,52,85,3.860904,2.557317,,0.0249059,2.51749,0.326779
clsqdeim,0.1,2,0.999,10,22,52,90,3.802978,2.400347,,0.0246195,2.54594,0.294367
clsqdeim,0.1,2,0.999,10,22,52,95,3.771891,2.360150,,0.00446317,2.48461,0.400743
