method,t,xx,vv,ee,q,condV,condE,time,ErrX,ErrV,ErrE
clssopt,0.05,7,8,20,10,5.880819,3.639857,0.3154,3.22613e-05,0.00574153,0.00117293
clsqdeim,0.05,7,8,20,10,6.096901,2.897733,0.321636,6.08239e-05,0.0125384,0.00117737
clsgnat,0.05,7,8,20,10,12731316.715254,6250155.240708,1.21461,0.0500529,,5.45421e-05
sopt,0.05,7,8,20,10,14.371724,3.664435,0.302373,7.86908e-06,0.000832924,7.55061e-05
qdeim,0.05,7,8,20,10,25.743906,4.669280,0.27502,1.86285e-05,0.00218752,0.000279894
gnat,0.05,7,8,20,10,9.968890,2.911700,0.275519,0.00118352,0.374585,0.0495714
clssopt,0.05,7,8,20,20,4.216687,3.196452,0.367778,6.21902e-05,0.0109181,0.00178872
clsqdeim,0.05,7,8,20,20,4.701000,3.020010,0.362585,4.63115e-05,0.00775049,0.00122406
clsgnat,0.05,7,8,20,20,5620815.680065,4813280.476350,1.44049,0.0500529,,5.45421e-05
sopt,0.05,7,8,20,20,6.791734,3.722991,0.317255,1.13777e-05,0.000777163,7.5177e-05
qdeim,0.05,7,8,20,20,27.290786,2.865056,0.318987,1.3636e-05,0.00155372,0.000211053
gnat,0.05,7,8,20,20,11.885566,2.108756,0.278574,0.00117407,0.369215,0.0488242
clssopt,0.05,7,8,20,30,3.170500,2.048440,0.439138,2.57073e-05,0.00145868,0.000123746
clsqdeim,0.05,7,8,20,30,3.859047,1.766295,0.410935,4.8664e-05,0.00564939,0.000732832
clsgnat,0.05,7,8,20,30,8834007.114295,2062565.254264,0.779745,0.0500529,,5.45421e-05
sopt,0.05,7,8,20,30,5.285902,3.206614,0.439135,1.30178e-05,0.00087572,0.000122174
qdeim,0.05,7,8,20,30,20.028243,1.958960,0.376611,1.1525e-05,0.00125789,0.000196432
gnat,0.05,7,8,20,30,6.830146,2.462186,0.287666,0.000446366,0.119927,0.014359
clssopt,0.05,7,8,20,40,2.919681,2.526917,0.437809,2.80469e-05,0.00251032,0.000440555
clsqdeim,0.05,7,8,20,40,3.415410,2.351008,0.454457,1.54233e-05,0.00141082,0.000131527
clsgnat,0.05,7,8,20,40,9200445.314927,3471589.545180,,1.75199e+51,3.53711e+66,nan
sopt,0.05,7,8,20,40,5.249810,3.519457,0.405488,9.70298e-06,0.000572567,7.56277e-05
qdeim,0.05,7,8,20,40,14.158397,2.688360,0.478125,6.26344e-06,0.000734206,0.000112851
gnat,0.05,7,8,20,40,12.013027,2.526885,0.30667,0.000647585,0.223945,0.0262921
clssopt,0.05,7,8,20,50,2.511469,2.066242,0.509809,4.23453e-05,0.00431087,0.000611407
clsqdeim,0.05,7,8,20,50,3.293627,1.895412,0.495374,1.63262e-05,0.00143331,0.000235432
clsgnat,0.05,7,8,20,50,5556340.869084,1.284825,0.965266,0.0500529,,5.45421e-05
sopt,0.05,7,8,20,50,4.600692,2.636101,0.427811,9.69854e-06,0.00047626,4.69049e-05
qdeim,0.05,7,8,20,50,8.541786,2.307716,0.40701,2.81036e-06,0.00046463,5.43378e-05
gnat,0.05,7,8,20,50,5.596218,1.682240,0.294204,0.000230784,0.0645013,0.00718431
clssopt,0.05,7,8,20,60,2.776220,1.856038,0.587811,2.1913e-05,0.0016843,0.000248806
clsqdeim,0.05,7,8,20,60,3.329386,1.574595,0.549105,1.80041e-05,0.0026941,0.000375315
clsgnat,0.05,7,8,20,60,5618481.866063,16.790080,1.1029,0.0500529,,5.45421e-05
sopt,0.05,7,8,20,60,4.528578,2.557967,0.466736,8.84278e-06,0.000376462,4.64541e-05
qdeim,0.05,7,8,20,60,7.757324,2.133432,0.448114,2.75305e-06,0.000456998,5.13493e-05
gnat,0.05,7,8,20,60,7.737750,1.867922,0.324101,0.000195892,0.0525594,0.0058303
clssopt,0.05,7,8,20,70,2.679278,1.576346,0.559375,1.30252e-05,0.00123109,0.000146981
clsqdeim,0.05,7,8,20,70,2.534660,1.659585,0.583356,2.51299e-05,0.00416434,0.000656436
clsgnat,0.05,7,8,20,70,2958969.275182,2.784682,2.16388,0.0500529,,5.45421e-05
sopt,0.05,7,8,20,70,4.048971,2.562427,0.494836,8.34639e-06,0.000474637,4.13999e-05
qdeim,0.05,7,8,20,70,7.797562,1.852723,0.473461,2.12221e-06,0.000487376,4.73998e-05
gnat,0.05,7,8,20,70,4.801110,1.692654,0.36195,3.28142e-05,0.00458934,0.000388666
clssopt,0.05,7,8,20,80,2.266694,1.927756,0.589484,1.45831e-05,0.0016032,0.00016585
clsqdeim,0.05,7,8,20,80,2.676604,2.063691,0.607977,1.82742e-05,0.00279356,0.000453884
clsgnat,0.05,7,8,20,80,3407958.584755,1326452.090881,,4.04467e+09,7.53566e+24,2.29173e+48
sopt,0.05,7,8,20,80,3.684256,2.452979,0.549898,8.07081e-06,0.000498459,3.97849e-05
qdeim,0.05,7,8,20,80,7.254623,3.143273,0.487299,2.14521e-06,0.000427949,4.54919e-05
gnat,0.05,7,8,20,80,6.046543,1.663889,0.355581,6.4466e-06,0.000494621,4.90097e-05
clssopt,0.05,7,8,20,90,2.412459,1.326380,0.633479,2.29085e-05,0.00298586,0.000259726
clsqdeim,0.05,7,8,20,90,2.139534,1.610941,0.630121,3.74224e-05,0.00546047,0.000942319
clsgnat,0.05,7,8,20,90,2322763.852083,1403892.925056,,151.544,3.29439e+17,1.51992e+35
sopt,0.05,7,8,20,90,3.106081,2.451832,0.54599,8.41675e-06,0.000509124,3.93769e-05
qdeim,0.05,7,8,20,90,6.900608,2.480624,0.506655,2.06908e-06,0.000471951,4.52156e-05
gnat,0.05,7,8,20,90,5.412690,1.523273,0.361594,1.1009e-05,0.000887726,0.000100675
clssopt,0.05,7,8,20,100,2.489229,1.458007,0.689816,1.79361e-05,0.00205362,0.00019299
clsqdeim,0.05,7,8,20,100,2.442633,1.668737,0.675831,5.51343e-05,0.00652852,0.00108079
clsgnat,0.05,7,8,20,100,4254643.322482,1144103.538039,1.24085,0.0500529,,5.45421e-05
sopt,0.05,7,8,20,100,3.452236,2.289569,0.57926,6.50083e-06,0.000525838,3.78865e-05
qdeim,0.05,7,8,20,100,5.856763,2.344436,0.52528,2.52635e-06,0.000393286,4.69277e-05
gnat,0.05,7,8,20,100,5.319666,1.674671,0.366596,9.92196e-06,0.000570513,6.47496e-05
clssopt,0.05,7,8,20,110,2.625882,1.365064,0.689773,1.97153e-05,0.00214894,0.000195336
clsqdeim,0.05,7,8,20,110,2.135131,1.439849,0.728643,4.6927e-05,0.00460691,0.000701665
clsgnat,0.05,7,8,20,110,2674547.565347,1237210.453779,,6.01502e+74,nan,nan
sopt,0.05,7,8,20,110,3.095747,2.438729,0.604083,7.43451e-06,0.000581467,4.01896e-05
qdeim,0.05,7,8,20,110,4.693217,2.263213,0.620256,2.4477e-06,0.000392297,4.17295e-05
gnat,0.05,7,8,20,110,4.414679,1.388793,0.38444,4.32282e-06,0.000403392,5.34164e-05
clssopt,0.05,7,8,20,120,2.975812,1.878464,0.746004,1.90232e-05,0.00219869,0.000183912
clsqdeim,0.05,7,8,20,120,2.332535,1.756851,0.719378,3.37273e-05,0.0029106,0.000397953
clsgnat,0.05,7,8,20,120,3156256.990807,1188740.910525,,nan,nan,5.2683e+18
sopt,0.05,7,8,20,120,2.886253,2.685705,0.635247,7.73829e-06,0.000574608,3.96175e-05
qdeim,0.05,7,8,20,120,5.607613,3.365349,0.541881,2.29948e-06,0.000378423,4.19289e-05
gnat,0.05,7,8,20,120,4.666938,1.654467,0.403852,3.96251e-06,0.000362466,6.05365e-05
clssopt,0.05,7,8,20,130,3.376989,1.473414,0.750292,1.94865e-05,0.00240853,0.000181658
clsqdeim,0.05,7,8,20,130,1.897378,1.388783,0.771055,3.33017e-05,0.00308455,0.000427055
clsgnat,0.05,7,8,20,130,2835592.387101,911797.749892,,nan,nan,nan
sopt,0.05,7,8,20,130,2.672269,2.370103,0.655677,7.26273e-06,0.000607163,4.74834e-05
qdeim,0.05,7,8,20,130,4.808231,2.074745,0.562342,1.74082e-06,0.000342331,4.14306e-05
gnat,0.05,7,8,20,130,4.572676,1.522194,0.414752,5.06012e-06,0.00038898,4.96135e-05
clssopt,0.05,7,8,20,140,2.801166,1.475657,0.794979,2.12309e-05,0.00249632,0.000171257
clsqdeim,0.05,7,8,20,140,2.068175,1.460584,0.910652,1.9169e-05,0.00156213,0.0001705
clsgnat,0.05,7,8,20,140,3293663.081734,2.905274,,nan,nan,nan
sopt,0.05,7,8,20,140,2.839766,2.296132,0.689087,7.41707e-06,0.000622274,5.3486e-05
qdeim,0.05,7,8,20,140,5.028429,2.499709,0.621772,1.98986e-06,0.000304386,4.4204e-05
gnat,0.05,7,8,20,140,4.666168,1.604238,0.421124,5.60181e-06,0.0006033,4.89258e-05
clssopt,0.05,7,8,20,150,4.048794,1.428260,0.81204,1.8859e-05,0.00201136,0.000165713
clsqdeim,0.05,7,8,20,150,2.094396,1.312828,0.80123,2.35026e-05,0.00171749,0.000140212
clsgnat,0.05,7,8,20,150,3392317.566362,1.574442,,5.99148e+42,8.31566e+57,nan
sopt,0.05,7,8,20,150,2.750512,2.292335,0.680538,6.56077e-06,0.000628604,5.41073e-05
qdeim,0.05,7,8,20,150,4.198712,2.380028,0.575418,1.74539e-06,0.000308346,4.30896e-05
gnat,0.05,7,8,20,150,4.264301,1.313119,0.533963,4.77619e-06,0.000694785,6.86905e-05
