method,n,energy_frac,rwdim,rrdim,nldim,nsr,time,error
clsSOPT,0,0.9,4,6,6,11,,
clsQDEIM,0,0.9,4,6,6,11,,
clsSOPT,0,0.9,4,6,6,16,,
clsQDEIM,0,0.9,4,6,6,16,,
clsSOPT,0,0.9,4,6,6,21,,
clsQDEIM,0,0.9,4,6,6,21,,
clsSOPT,0,0.9,4,6,6,26,,
clsQDEIM,0,0.9,4,6,6,26,,
clsSOPT,0,0.9,4,6,6,31,,
clsQDEIM,0,0.9,4,6,6,31,,
clsSOPT,0,0.9,4,6,6,36,,
clsQDEIM,0,0.9,4,6,6,36,,
clsSOPT,0,0.9,4,6,6,41,,
clsQDEIM,0,0.9,4,6,6,41,,
clsSOPT,0,0.9,4,6,6,46,,
clsQDEIM,0,0.9,4,6,6,46,,
clsSOPT,0,0.9,4,6,6,51,,
clsQDEIM,0,0.9,4,6,6,51,,
clsSOPT,0,0.9,4,6,6,56,,
clsQDEIM,0,0.9,4,6,6,56,,
clsSOPT,0,0.9,4,6,6,61,,
clsQDEIM,0,0.9,4,6,6,61,,
clsSOPT,0,0.9,4,6,6,66,,
clsQDEIM,0,0.9,4,6,6,66,,
clsSOPT,0,0.9,4,6,6,71,,
clsQDEIM,0,0.9,4,6,6,71,,
clsSOPT,0,0.9,4,6,6,76,,
clsQDEIM,0,0.9,4,6,6,76,,
clsSOPT,0,0.9,4,6,6,81,,
clsQDEIM,0,0.9,4,6,6,81,,
clsSOPT,0,0.9,4,6,6,86,,
clsQDEIM,0,0.9,4,6,6,86,,
clsSOPT,0,0.9,4,6,6,91,,
clsQDEIM,0,0.9,4,6,6,91,,
clsSOPT,0,0.9,4,6,6,96,,
clsQDEIM,0,0.9,4,6,6,96,,
clsSOPT,0,0.9,4,6,6,101,,
clsQDEIM,0,0.9,4,6,6,101,,
clsSOPT,0,0.9,4,6,6,106,,
clsQDEIM,0,0.9,4,6,6,106,,
clsSOPT,0,0.9,4,6,6,111,,
clsQDEIM,0,0.9,4,6,6,111,,
clsSOPT,0,0.9,4,6,6,116,,
clsQDEIM,0,0.9,4,6,6,116,,
clsSOPT,0,0.9,4,6,6,121,,
clsQDEIM,0,0.9,4,6,6,121,,
clsSOPT,0,0.9,4,6,6,126,,
clsQDEIM,0,0.9,4,6,6,126,,
clsSOPT,0,0.9,4,6,6,131,,
clsQDEIM,0,0.9,4,6,6,131,,
clsSOPT,0,0.9,4,6,6,136,,
clsQDEIM,0,0.9,4,6,6,136,,
clsSOPT,0,0.9,4,6,6,141,,
clsQDEIM,0,0.9,4,6,6,141,,
clsSOPT,0,0.9,4,6,6,146,,
clsQDEIM,0,0.9,4,6,6,146,,
clsSOPT,0,0.9,4,6,6,151,,
clsQDEIM,0,0.9,4,6,6,151,,
clsSOPT,0,0.9,4,6,6,156,,
clsQDEIM,0,0.9,4,6,6,156,,
clsSOPT,0,0.9,4,6,6,161,,
clsQDEIM,0,0.9,4,6,6,161,,
clsSOPT,0,0.9,4,6,6,166,,
clsQDEIM,0,0.9,4,6,6,166,,
clsSOPT,0,0.9,4,6,6,171,,
clsQDEIM,0,0.9,4,6,6,171,,
clsSOPT,0,0.9,4,6,6,176,,
clsQDEIM,0,0.9,4,6,6,176,,
clsSOPT,0,0.9,4,6,6,181,,
clsQDEIM,0,0.9,4,6,6,181,,
clsSOPT,0,0.9,4,6,6,186,,
clsQDEIM,0,0.9,4,6,6,186,,
clsSOPT,0,0.9,4,6,6,191,,
clsQDEIM,0,0.9,4,6,6,191,,
clsSOPT,0,0.9,4,6,6,196,,
clsQDEIM,0,0.9,4,6,6,196,,
clsSOPT,0,0.9,4,6,6,201,,
clsQDEIM,0,0.9,4,6,6,201,,
clsSOPT,0,0.9,4,6,6,206,,
clsQDEIM,0,0.9,4,6,6,206,,
