method,t,n,ef,xx,vv,ee,q,condV,condE,time,ErrX,ErrV,ErrE
clssopt,0.1,0,0.99,17,11,4,5,4.023515,4.849432,1.72178,0.0239606,,2.33764
clssopt,0.1,0,0.99,17,11,4,10,3.479607,4.247383,2.44344,0.0239606,,2.33764
clssopt,0.1,0,0.99,17,11,4,15,108.132435,5.213257,3.11469,0.0239606,,2.33764
clssopt,0.1,0,0.99,17,11,4,20,2.807336,2.872147,3.65465,0.0239606,,2.33764
clssopt,0.1,0,0.99,17,11,4,25,1.202294,3.757088,4.45563,0.0239606,,2.33764
clssopt,0.1,0,0.99,17,11,4,30,1.344482,1.896352,4.5711,0.0239606,,2.33764
clssopt,0.1,0,0.99,17,11,4,35,1.201980,2.546128,4.70557,0.0239606,,2.33764
clssopt,0.1,0,0.99,17,11,4,40,1.228851,1.844507,4.59221,0.0239606,,2.33764
clssopt,0.1,0,0.99,17,11,4,45,1.201850,1.980053,4.7797,0.0239606,,2.33764
clssopt,0.1,0,0.99,17,11,4,50,1.201850,1.864302,4.76906,0.0239606,,2.33764
clssopt,0.1,0,0.99,17,11,4,55,1.201850,1.973989,4.74957,0.0239606,,2.33764
clssopt,0.1,0,0.99,17,11,4,60,1.201850,2.978123,4.76165,0.0239606,,2.33764
clssopt,0.1,0,0.99,17,11,4,65,1.201850,2.013733,4.68298,0.0239606,,2.33764
clssopt,0.1,0,0.99,17,11,4,70,1.201850,2.299766,4.6751,0.0239606,,2.33764
clssopt,0.1,0,0.99,17,11,4,75,1.201850,2.226111,4.68713,0.0239606,,2.33764
clssopt,0.1,0,0.99,17,11,4,80,1.201850,2.151824,4.87787,0.0239606,,2.33764
clssopt,0.1,0,0.99,17,11,4,85,1.201850,2.236315,4.81854,0.0239606,,2.33764
clssopt,0.1,0,0.99,17,11,4,90,1.201850,2.199232,4.79845,0.0239606,,2.33764
clssopt,0.1,0,0.99,17,11,4,95,1.201861,3.487789,4.8973,0.0239606,,2.33764
clssopt,0.1,0,0.99,17,11,4,100,1.228847,4.645129,4.76682,0.0239606,,2.33764
clssopt,0.1,0,0.99,17,11,4,105,3.606306,2.361831,4.87555,0.0239606,,2.33764
clssopt,0.1,0,0.99,17,11,4,110,3.605551,2.455375,4.80089,0.0239606,,2.33764
clssopt,0.1,0,0.99,17,11,4,115,3.605551,2.604311,4.82231,0.0239606,,2.33764
clssopt,0.1,0,0.99,17,11,4,120,3.605551,2.515463,4.87206,0.0239606,,2.33764
clsqdeim,0.1,0,0.99,17,11,4,5,1.998842,6.367387,2.10494,0.0239606,,2.33764
clsqdeim,0.1,0,0.99,17,11,4,10,1.455577,4.277797,2.58876,0.0239606,,2.33764
clsqdeim,0.1,0,0.99,17,11,4,15,2.169091,3.771377,2.71203,0.0239606,,2.33764
clsqdeim,0.1,0,0.99,17,11,4,20,1.878151,3.178528,3.15386,0.0239606,,2.33764
clsqdeim,0.1,0,0.99,17,11,4,25,1.790184,5.161501,4.19451,0.0239606,,2.33764
clsqdeim,0.1,0,0.99,17,11,4,30,1.951190,2.759502,4.73931,0.0239606,,2.33764
clsqdeim,0.1,0,0.99,17,11,4,35,1.539853,3.215396,5.21397,0.0239606,,2.33764
clsqdeim,0.1,0,0.99,17,11,4,40,1.284899,2.596407,5.72422,0.0239606,,2.33764
clsqdeim,0.1,0,0.99,17,11,4,45,1.196464,3.163069,5.97216,0.0239606,,2.33764
clsqdeim,0.1,0,0.99,17,11,4,50,1.447881,2.633096,6.3362,0.0239606,,2.33764
clsqdeim,0.1,0,0.99,17,11,4,55,1.387928,358.664337,6.62389,0.0239606,,2.33764
clsqdeim,0.1,0,0.99,17,11,4,60,1.506435,3.006606,7.21225,0.0239606,,2.33764
clsqdeim,0.1,0,0.99,17,11,4,65,1.294636,2.595713,7.01855,0.0239606,,2.33764
clsqdeim,0.1,0,0.99,17,11,4,70,1.277583,2.757889,7.19084,0.0239606,,2.33764
clsqdeim,0.1,0,0.99,17,11,4,75,1.151551,3.876031,7.59087,0.0239606,,2.33764
clsqdeim,0.1,0,0.99,17,11,4,80,1.312316,4.320570,7.32647,0.0239606,,2.33764
clsqdeim,0.1,0,0.99,17,11,4,85,1.131860,2.415794,7.42721,0.0239606,,2.33764
clsqdeim,0.1,0,0.99,17,11,4,90,1.401319,3.155077,7.93735,0.0239606,,2.33764
clsqdeim,0.1,0,0.99,17,11,4,95,1.146440,2.680989,7.88206,0.0239606,,2.33764
clsqdeim,0.1,0,0.99,17,11,4,100,1.299951,3.276714,8.1266,0.0239606,,2.33764
clsqdeim,0.1,0,0.99,17,11,4,105,1.218957,2.766981,8.52603,0.0239606,,2.33764
clsqdeim,0.1,0,0.99,17,11,4,110,1.336977,59.039690,8.94455,0.0239606,,2.33764
clsqdeim,0.1,0,0.99,17,11,4,115,1.180378,2.661352,9.03877,0.0239606,,2.33764
clsqdeim,0.1,0,0.99,17,11,4,120,1.191734,2.647834,8.94615,0.0239606,,2.33764
