method,t,xx,vv,ee,q,condV,condE,time,ErrX,ErrV,ErrE
clssopt,0.05,14,8,4,10,2.366823,4.698676,1.77759,0.00156799,0.297905,0.0423855
clsqdeim,0.05,14,8,4,10,1.584515,5.205197,0.926662,0.000702295,0.401776,0.0398713
clsgnat,0.05,14,8,4,10,2.723497,187467.013889,1.01345,0.011296,,1.59491
sopt,0.05,14,8,4,10,2.869418,12.081415,1.0326,7.09251e-05,0.0358518,0.00123205
qdeim,0.05,14,8,4,10,3.406929,11.886879,0.739304,4.70316e-05,0.0364024,0.00129655
gnat,0.05,14,8,4,10,2.779987,8.100749,0.738079,0.000196596,0.0383531,0.0068838
clssopt,0.05,14,8,4,20,1.754206,2.998264,3.37555,0.00158871,0.305086,0.0434891
clsqdeim,0.05,14,8,4,20,1.702441,8.845162,2.16755,0.00128892,0.534013,0.0927293
clsgnat,0.05,14,8,4,20,27.396258,230311.722013,1.3832,0.011296,,1.59491
sopt,0.05,14,8,4,20,2.446451,12.432155,0.831463,4.47393e-05,0.0380038,0.000894943
qdeim,0.05,14,8,4,20,1.750962,6.487236,0.913584,6.50386e-05,0.0393624,0.00205419
gnat,0.05,14,8,4,20,1.989398,7.163100,0.920083,0.000208279,0.0383886,0.00644337
clssopt,0.05,14,8,4,30,1.000000,3.341655,4.31856,0.00164808,0.320428,0.045572
clsqdeim,0.05,14,8,4,30,1.403563,3.293907,,0.0019409,6.34682e+06,1.52658e+12
clsgnat,0.05,14,8,4,30,2.253764,858328.121238,1.47452,0.011296,,1.59491
sopt,0.05,14,8,4,30,2.048691,8.840358,0.970336,4.67975e-05,0.0384311,0.000878761
qdeim,0.05,14,8,4,30,1.977419,10.793693,0.844058,7.74855e-05,0.0427254,0.00182562
gnat,0.05,14,8,4,30,1.465709,7.811738,0.889812,5.9942e-05,0.0359428,0.00102729
clssopt,0.05,14,8,4,40,1.000000,3.860139,6.00372,0.00164808,0.320431,0.045572
clsqdeim,0.05,14,8,4,40,1.554721,6.414609,,0.00645845,5.96075e+06,3.8716e+12
clsgnat,0.05,14,8,4,40,3.386365,517707.038576,1.13773,0.011296,,1.59491
sopt,0.05,14,8,4,40,1.846049,19.829122,1.15727,4.8313e-05,0.0382183,0.00106596
qdeim,0.05,14,8,4,40,2.472766,14.972686,0.973194,6.58794e-05,0.0385569,0.00129322
gnat,0.05,14,8,4,40,1.712615,10.231767,0.805161,5.84365e-05,0.0372284,0.00105584
clssopt,0.05,14,8,4,50,1.000000,3.627039,7.54037,0.00164808,0.320431,0.045572
clsqdeim,0.05,14,8,4,50,1.520419,3.007290,598.842,0.011371,4461.98,1.4799e+06
clsgnat,0.05,14,8,4,50,2.469741,433096.689355,0.923863,0.011296,,1.59491
sopt,0.05,14,8,4,50,1.772125,14.527969,1.64786,5.03496e-05,0.038085,0.00121344
qdeim,0.05,14,8,4,50,2.284609,12.780779,1.00577,5.85757e-05,0.0378733,0.0010365
gnat,0.05,14,8,4,50,1.934795,8.473881,0.950919,5.56104e-05,0.0392964,0.00105935
clssopt,0.05,14,8,4,60,1.000000,3.479896,9.03025,0.00164791,0.320414,0.0455644
