window,t,ws,w,q,TT3,TT4,ErrX,ErrV,ErrE
clssopt,0.1,20,27,1,4.87196,4.63e+00,3.44232e-06,0.000760327,2.11377e-05
clsqdeim,0.1,20,27,1,5.17752,4.70e+00,0.00107707,0.00292329,nan
clssopt,0.1,20,27,2,6.68638,4.88e+00,6.18915e-07,0.000178476,4.14832e-06
clsqdeim,0.1,20,27,2,5.52961,4.61e+00,0.00107707,0.00292329,nan
clssopt,0.1,20,27,3,5.79482,5.88e+00,7.46949e-07,4.29249e-05,3.09155e-06
clsqdeim,0.1,20,27,3,6.62754,5.16e+00,0.00107707,0.00292329,nan
clssopt,0.1,20,27,4,6.76842,5.30e+00,5.41667e-07,4.59748e-05,1.85889e-06
clsqdeim,0.1,20,27,4,4.28305,4.57e+00,0.00107707,0.00292329,nan
clssopt,0.1,20,27,5,6.74811,4.73e+00,5.89197e-07,2.5179e-05,2.76933e-06
clsqdeim,0.1,20,27,5,6.73119,4.55e+00,0.00107707,0.00292329,nan
clssopt,0.1,20,27,6,7.21796,4.71e+00,4.93082e-07,0.000105646,1.33535e-06
clsqdeim,0.1,20,27,6,4.87805,4.75e+00,0.00107707,0.00292329,nan
clssopt,0.1,20,27,7,6.25217,5.29e+00,1.68207e-06,8.62044e-05,6.31337e-06
clsqdeim,0.1,20,27,7,6.43572,4.82e+00,0.00107707,0.00292329,nan
clssopt,0.1,20,27,8,6.82389,5.27e+00,1.3366e-06,0.000283066,5.59377e-06
clsqdeim,0.1,20,27,8,7.18622,5.29e+00,0.00107707,0.00292329,nan
clssopt,0.1,20,27,9,6.92233,5.62e+00,1.12368e-06,0.000271368,4.86232e-06
clsqdeim,0.1,20,27,9,6.33302,5.57e+00,0.00107707,0.00292329,nan
clssopt,0.1,20,27,10,7.60772,5.39e+00,4.33047e-07,0.000138281,1.63666e-06
clsqdeim,0.1,20,27,10,8.0081,5.10e+00,0.00107707,0.00292329,nan
clssopt,0.1,30,18,1,5.00135,4.15e+00,6.55158e-07,0.00168027,1.52483e-05
clsqdeim,0.1,30,18,1,3.32583,4.76e+00,0.00208089,0.00564761,nan
clssopt,0.1,30,18,2,3.77812,4.17e+00,3.47419e-06,0.0118776,0.000101056
clsqdeim,0.1,30,18,2,3.49288,4.15e+00,0.00208089,0.00564761,nan
clssopt,0.1,30,18,3,4.39011,4.06e+00,1.98374e-06,0.0112516,5.39083e-05
clsqdeim,0.1,30,18,3,4.47046,4.65e+00,0.00208089,0.00564761,nan
clssopt,0.1,30,18,4,6.17374,4.79e+00,1.14553e-05,0.0131724,9.45169e-05
clsqdeim,0.1,30,18,4,3.9166,5.17e+00,0.00208089,0.00564761,nan
clssopt,0.1,30,18,5,4.24851,4.89e+00,2.56364e-05,0.0156857,0.000120953
clsqdeim,0.1,30,18,5,4.45812,4.27e+00,0.00208089,0.00564761,nan
clssopt,0.1,30,18,6,4.18826,4.71e+00,3.33911e-05,0.0194463,0.000162166
clsqdeim,0.1,30,18,6,4.35735,5.91e+00,0.00208089,0.00564761,nan
clssopt,0.1,30,18,7,4.6546,4.40e+00,2.84394e-05,0.0185144,0.000155825
clsqdeim,0.1,30,18,7,4.77539,4.39e+00,0.00208089,0.00564761,nan
clssopt,0.1,30,18,8,6.42164,4.32e+00,2.776e-05,0.0169524,0.000142674
clsqdeim,0.1,30,18,8,3.86249,4.30e+00,0.00208089,0.00564761,nan
clssopt,0.1,30,18,9,4.5837,3.96e+00,1.75422e-05,0.0103443,8.6785e-05
clsqdeim,0.1,30,18,9,4.65716,3.77e+00,0.00208089,0.00564761,nan
clssopt,0.1,30,18,10,5.29072,4.43e+00,3.26537e-05,0.0192625,0.000159382
clsqdeim,0.1,30,18,10,3.88489,4.07e+00,0.00208089,0.00564761,nan
clssopt,0.1,40,14,1,,1.20e+00,0.103959,832.845,786.741
clsqdeim,0.1,40,14,1,3.1467,3.71e+00,0.00107707,0.00292329,nan
clssopt,0.1,40,14,2,3.85573,3.96e+00,4.18112e-07,0.000317895,3.66381e-06
clsqdeim,0.1,40,14,2,2.6658,3.67e+00,0.00107707,0.00292329,nan
clssopt,0.1,40,14,3,3.56366,3.80e+00,7.3522e-06,0.0012827,3.85863e-05
clsqdeim,0.1,40,14,3,2.44731,3.58e+00,0.00107707,0.00292329,nan
clssopt,0.1,40,14,4,4.15532,3.86e+00,2.51938e-06,0.00160358,2.34241e-05
clsqdeim,0.1,40,14,4,3.44625,3.79e+00,0.00107707,0.00292329,nan
clssopt,0.1,40,14,5,4.2935,3.85e+00,5.79529e-06,0.000797712,5.44181e-05
clsqdeim,0.1,40,14,5,3.6935,3.72e+00,0.00107707,0.00292329,nan
clssopt,0.1,40,14,6,4.13306,3.92e+00,1.68775e-05,0.000329571,0.000173636
clsqdeim,0.1,40,14,6,3.39663,3.71e+00,0.00107707,0.00292329,nan
clssopt,0.1,40,14,7,6.08817,3.90e+00,2.12152e-05,0.000506072,0.000209654
clsqdeim,0.1,40,14,7,3.34966,4.22e+00,0.00107707,0.00292329,nan
clssopt,0.1,40,14,8,3.74283,4.19e+00,8.96746e-06,0.000460175,8.89919e-05
clsqdeim,0.1,40,14,8,3.19572,3.69e+00,0.00107707,0.00292329,nan
clssopt,0.1,40,14,9,4.55561,3.77e+00,1.36486e-05,0.000589586,0.00012113
clsqdeim,0.1,40,14,9,3.77419,3.94e+00,0.00107707,0.00292329,nan
clssopt,0.1,40,14,10,5.43015,3.86e+00,1.33053e-05,0.000853751,0.000112901
clsqdeim,0.1,40,14,10,6.21211,4.50e+00,0.00107707,0.00292329,nan
