method,t,xx,vv,ee,q,condV,condE,time,ErrX,ErrV,ErrE
clssopt,0.1,6,4,3,10,1.298898,1.651338,0.276254,0.000212697,0.17106,0.00387534
clsqdeim,0.1,6,4,3,10,1.207590,2.684420,0.230693,nan,nan,nan
clsgnat,0.1,6,4,3,10,11.851933,35685.438459,0.122685,nan,nan,nan
sopt,0.1,6,4,3,10,1.820456,2.149235,0.253037,2.436e-05,0.0106881,0.00146833
qdeim,0.1,6,4,3,10,3.344298,3.152111,0.166044,3.95688e-05,0.0322157,0.00289994
gnat,0.1,6,4,3,10,2.231688,2.855869,0.164135,3.97283e-05,0.0322393,0.00291951
clssopt,0.1,6,4,3,20,1.000000,1.940800,0.45024,0.000199353,0.178251,0.00390877
clsqdeim,0.1,6,4,3,20,1.155622,8.501639,0.415248,nan,nan,nan
clsgnat,0.1,6,4,3,20,1543.516363,36436.795393,0.138928,nan,nan,nan
sopt,0.1,6,4,3,20,9.447070,1.787336,0.311224,3.86677e-05,0.0131759,0.00192926
qdeim,0.1,6,4,3,20,2.591161,3.439145,0.185222,3.96402e-05,0.0323485,0.00287655
gnat,0.1,6,4,3,20,4.815972,3.314605,0.200145,3.97834e-05,0.0323082,0.00292822
clssopt,0.1,6,4,3,30,1.000000,1.459617,0.55367,0.000190681,0.182573,0.00392679
clsqdeim,0.1,6,4,3,30,1.852509,2.177959,,0.0020776,10.7009,3.50903
clsgnat,0.1,6,4,3,30,3.364684,16286.075396,0.168722,nan,nan,nan
sopt,0.1,6,4,3,30,7.131049,4.359155,0.346241,5.82379e-05,0.0431027,0.00181751
qdeim,0.1,6,4,3,30,22.333613,3.720519,0.233163,4.56185e-05,0.0318973,0.00290872
gnat,0.1,6,4,3,30,3.015748,2.228683,0.233669,3.96177e-05,0.0320496,0.00289331
clssopt,0.1,6,4,3,40,1.000000,2.162230,0.777676,0.000187668,0.184209,0.00394951
clsqdeim,0.1,6,4,3,40,1.148723,3.255673,0.479749,0.000155783,0.217976,0.0062632
clsgnat,0.1,6,4,3,40,1.450392,15559.053353,0.220758,nan,nan,nan
sopt,0.1,6,4,3,40,7.668320,2638.920866,0.384129,0.000122884,0.15155,0.00316359
qdeim,0.1,6,4,3,40,2.253363,1.995240,0.268046,4.7569e-05,0.0234794,0.00169769
gnat,0.1,6,4,3,40,2.631486,2.448635,0.260895,3.96723e-05,0.0320874,0.00287166
clssopt,0.1,6,4,3,50,1.000000,1.886250,1.06456,0.000184088,0.186374,0.00393966
clsqdeim,0.1,6,4,3,50,1.149583,3.214302,0.392167,0.000973058,0.691167,0.0281205
clsgnat,0.1,6,4,3,50,1.665590,13839.445195,0.233081,nan,nan,nan
sopt,0.1,6,4,3,50,5.781736,4.350007,0.515087,0.000202107,0.308436,0.00536015
qdeim,0.1,6,4,3,50,2.022618,1.983909,0.274062,5.27356e-05,0.020308,0.00117154
gnat,0.1,6,4,3,50,4.871840,2.361862,0.293233,3.98014e-05,0.0321543,0.00286909
clssopt,0.1,6,4,3,60,1.000000,2.499531,1.05444,0.000182134,0.186577,0.00394721
clsqdeim,0.1,6,4,3,60,1.368906,2.930755,0.336431,0.000742469,0.666058,0.0246653
clsgnat,0.1,6,4,3,60,2.405777,13215.072750,0.313673,nan,nan,nan
sopt,0.1,6,4,3,60,5.405123,2698.919243,0.612864,0.000301047,0.556488,0.00891528
qdeim,0.1,6,4,3,60,12.464762,4.512555,0.279063,5.5523e-05,0.0201521,0.00116337
gnat,0.1,6,4,3,60,2.534005,2.338779,0.330219,3.99262e-05,0.0321793,0.00286512
clssopt,0.1,6,4,3,70,1.000000,1.800578,1.28185,0.000178995,0.186955,0.00387908
clsqdeim,0.1,6,4,3,70,1.091126,1.770468,0.639989,0.000316822,0.156478,0.0135607
clsgnat,0.1,6,4,3,70,2.029697,61959.978839,0.306975,nan,nan,nan
sopt,0.1,6,4,3,70,5.723314,3.937294,0.805439,0.000403758,0.875534,0.0150594
qdeim,0.1,6,4,3,70,2.118669,2.349654,0.300637,5.53941e-05,0.0197938,0.00115787
gnat,0.1,6,4,3,70,2.771310,2.570457,0.600891,2.57735e-05,0.0229906,0.00170124
clssopt,0.1,6,4,3,80,1.000000,2.437027,1.58662,0.000178,0.187066,0.00386421
clsqdeim,0.1,6,4,3,80,1.080103,3.621622,2.37017,0.00133703,1.69029,0.0546591
clsgnat,0.1,6,4,3,80,69527940.632329,61083.048841,0.339192,nan,nan,nan
sopt,0.1,6,4,3,80,4.393417,2916.772413,1.17379,0.000583658,1.63964,0.0415722
qdeim,0.1,6,4,3,80,2.482593,3.311910,0.32667,5.38777e-05,0.0211629,0.00115918
gnat,0.1,6,4,3,80,3.176540,2.652627,0.643877,2.4883e-05,0.01975,0.00169713
clssopt,0.1,6,4,3,90,1.000000,1.895641,1.61821,0.000178006,0.187057,0.00386397
clsqdeim,0.1,6,4,3,90,1.335135,2.029090,0.683728,0.00133091,0.973094,0.0393076
clsgnat,0.1,6,4,3,90,36973347.896351,59879.013615,0.36574,nan,nan,nan
sopt,0.1,6,4,3,90,4.431045,3.615142,1.35703,0.000728637,2.47117,0.0962184
qdeim,0.1,6,4,3,90,10.614374,3.449465,0.338495,5.28263e-05,0.0227923,0.00116879
gnat,0.1,6,4,3,90,2.265009,2.782252,0.661978,2.43372e-05,0.0174257,0.0016931
clssopt,0.1,6,4,3,100,1.000000,2.290692,1.84668,0.000178006,0.187057,0.00386397
clsqdeim,0.1,6,4,3,100,1.072094,4.151274,0.681174,0.00136352,0.991443,0.0415375
clsgnat,0.1,6,4,3,100,36588662.236752,64644.910143,0.375997,nan,nan,nan
sopt,0.1,6,4,3,100,4.563314,3052.106601,1.65864,0.000841383,3.322,0.186543
qdeim,0.1,6,4,3,100,3.518387,3.337863,0.348021,5.32325e-05,0.0232018,0.00118117
gnat,0.1,6,4,3,100,2.460238,2.571517,0.729591,2.38988e-05,0.0161008,0.0016918
clssopt,0.1,6,4,3,110,1.000000,2.526808,1.94918,0.000178014,0.187046,0.00386371
clsqdeim,0.1,6,4,3,110,1.065737,3.609829,0.761396,nan,nan,nan
clsgnat,0.1,6,4,3,110,41208024.526843,62590.221839,0.428652,nan,nan,nan
sopt,0.1,6,4,3,110,4.023075,3.558223,2.00013,0.000930638,4.1131,0.317282
qdeim,0.1,6,4,3,110,3.094203,3.341026,0.448929,5.42008e-05,0.0233212,0.00119679
gnat,0.1,6,4,3,110,2.298931,2.281621,0.772213,2.2072e-05,0.0138303,0.00164056
clssopt,0.1,6,4,3,120,1.000000,2.453925,2.14543,0.000178014,0.187046,0.00386371
clsqdeim,0.1,6,4,3,120,1.253451,11.785568,0.616098,nan,nan,nan
clsgnat,0.1,6,4,3,120,41468765.151389,63429.524956,0.446305,nan,nan,nan
sopt,0.1,6,4,3,120,4.062086,2039.008406,2.27285,0.000982395,4.59341,0.430051
qdeim,0.1,6,4,3,120,5.815175,2.904243,0.358651,5.50849e-05,0.0234369,0.00120984
gnat,0.1,6,4,3,120,2.260905,2.717204,0.768989,2.03899e-05,0.0117584,0.00158123
clssopt,0.1,6,4,3,130,1.000000,2.660873,2.28712,0.000178013,0.187047,0.0038637
clsqdeim,0.1,6,4,3,130,1.137844,3.028204,0.574398,nan,nan,nan
