method,t,ws,w,q,TT3,TT4,ErrX,ErrV,ErrE
clssopt,0.1,20,9,1,1.53883,2.37e+00,0.00886779,0.507582,0.0254763
clsqdeim,0.1,20,9,1,1.64586,2.35e+00,0.00563792,1.57446,0.234092
clssopt,0.1,20,9,2,1.29545,2.33e+00,8.24403e-05,0.00215136,0.000383546
clsqdeim,0.1,20,9,2,1.51208,2.36e+00,0.00196244,0.21225,0.0442419
clssopt,0.1,20,9,3,1.5267,2.36e+00,0.000110264,0.00516348,0.000589335
clsqdeim,0.1,20,9,3,1.63968,2.29e+00,0.00699655,0.692214,0.208066
clssopt,0.1,20,9,4,1.54293,2.60e+00,2.39561e-05,0.00171341,0.000139887
clsqdeim,0.1,20,9,4,1.5828,2.43e+00,0.000546261,0.210847,0.0185553
clssopt,0.1,20,9,5,1.58194,2.39e+00,3.42737e-05,0.00124614,0.000169278
clsqdeim,0.1,20,9,5,1.59661,2.40e+00,0.000316332,0.11066,0.00732166
clssopt,0.1,20,9,6,1.56789,2.34e+00,2.56734e-05,0.000836115,0.000103636
clsqdeim,0.1,20,9,6,1.62969,2.38e+00,0.000113965,0.0294399,0.00159671
clssopt,0.1,20,9,7,1.63213,2.32e+00,2.73702e-05,0.000797387,8.12988e-05
clsqdeim,0.1,20,9,7,1.43191,2.32e+00,0.000225606,0.0327648,0.00135047
clssopt,0.1,20,9,8,1.66638,2.41e+00,4.91068e-05,0.00134755,0.000146967
clsqdeim,0.1,20,9,8,1.94795,2.33e+00,0.000110332,0.0220442,0.000904325
clssopt,0.1,20,9,9,1.66607,2.45e+00,4.88726e-05,0.00124061,0.000134001
clsqdeim,0.1,20,9,9,1.44493,2.29e+00,5.70808e-05,0.00497666,0.000534348
clssopt,0.1,20,9,10,1.64586,2.40e+00,3.82594e-05,0.0010327,0.000113027
clsqdeim,0.1,20,9,10,1.80062,2.40e+00,5.46398e-05,0.00220001,0.000408012
clssopt,0.1,30,6,1,1.18986,2.17e+00,0.000175109,0.06065,0.0114811
clsqdeim,0.1,30,6,1,1.15281,2.14e+00,5.53376e-05,0.00405357,0.000311347
clssopt,0.1,30,6,2,1.16662,2.24e+00,2.37943e-05,0.00516418,0.000645114
clsqdeim,0.1,30,6,2,1.12763,2.06e+00,4.81701e-05,0.00318522,0.000245251
clssopt,0.1,30,6,3,1.48198,2.14e+00,1.63358e-05,0.00342242,0.000315499
clsqdeim,0.1,30,6,3,1.21802,2.11e+00,1.78754e-05,0.0020009,0.000169135
clssopt,0.1,30,6,4,1.2108,2.16e+00,3.61133e-06,0.000868199,9.77578e-05
clsqdeim,0.1,30,6,4,1.35759,2.15e+00,5.07225e-06,0.00151705,0.000156264
clssopt,0.1,30,6,5,1.1244,2.08e+00,3.86114e-06,0.00118825,0.000203518
clsqdeim,0.1,30,6,5,1.09069,2.07e+00,8.04864e-06,0.00175001,0.000188518
clssopt,0.1,30,6,6,1.19919,2.20e+00,1.98525e-06,0.000448155,4.85351e-05
clsqdeim,0.1,30,6,6,1.19856,2.11e+00,2.28694e-05,0.00193927,0.000134473
clssopt,0.1,30,6,7,1.32907,2.34e+00,1.12609e-06,0.000400866,5.54862e-05
clsqdeim,0.1,30,6,7,1.07288,2.03e+00,3.66576e-05,0.00189584,0.000174164
clssopt,0.1,30,6,8,1.14618,2.10e+00,1.0807e-06,0.000283101,5.29653e-05
clsqdeim,0.1,30,6,8,1.29648,2.23e+00,5.27661e-05,0.0023221,0.000254421
clssopt,0.1,30,6,9,1.14409,2.09e+00,4.06271e-06,0.000422799,1.98317e-05
clsqdeim,0.1,30,6,9,1.1892,2.13e+00,4.40905e-05,0.0014821,0.000287699
clssopt,0.1,30,6,10,1.03474,2.01e+00,2.79195e-06,0.00030669,5.23668e-05
clsqdeim,0.1,30,6,10,1.09289,2.08e+00,2.93079e-05,0.000970761,0.000171659
clssopt,0.1,40,5,1,1.06225,2.03e+00,4.16478e-05,0.00745371,0.000445988
clsqdeim,0.1,40,5,1,1.33457,2.04e+00,0.0028693,0.195302,0.066187
clssopt,0.1,40,5,2,1.0268,2.11e+00,2.03499e-05,0.00457427,0.000279122
clsqdeim,0.1,40,5,2,1.45398,2.41e+00,0.0316363,12.8274,1.61771
clssopt,0.1,40,5,3,,9.60e-01,1.05465,3.82779,1.02787
clsqdeim,0.1,40,5,3,1.18784,2.10e+00,0.0131948,2.158,0.187128
clssopt,0.1,40,5,4,1.13928,2.15e+00,0.00101468,0.12464,0.00732785
clsqdeim,0.1,40,5,4,,1.15e+00,45.9467,34.3273,82.1441
clssopt,0.1,40,5,5,1.03874,2.04e+00,0.000939621,0.157117,0.00881092
clsqdeim,0.1,40,5,5,1.26845,2.02e+00,0.00112898,0.198818,0.00620807
clssopt,0.1,40,5,6,1.38168,2.14e+00,0.000543482,0.0779118,0.00434193
clsqdeim,0.1,40,5,6,1.06148,2.15e+00,0.00362065,0.386101,0.0279079
clssopt,0.1,40,5,7,1.03009,2.06e+00,5.2851e-05,0.00787369,0.000443771
clsqdeim,0.1,40,5,7,1.10989,2.05e+00,0.000474538,0.0627747,0.000888912
clssopt,0.1,40,5,8,1.02032,1.97e+00,3.46141e-05,0.00522392,0.000287981
clsqdeim,0.1,40,5,8,1.21005,2.02e+00,0.000961791,0.0359653,0.00335827
clssopt,0.1,40,5,9,1.14212,2.10e+00,1.15434e-05,0.00188116,0.00011996
clsqdeim,0.1,40,5,9,1.16927,2.20e+00,0.00115418,0.0375919,0.00395131
clssopt,0.1,40,5,10,1.03854,2.30e+00,5.26263e-06,0.00083968,6.90209e-05
clsqdeim,0.1,40,5,10,1.31302,2.91e+00,0.000728982,0.0193421,0.00292404
