method,t,n,ef,xx,vv,ee,q,condV,condE,time,ErrX,ErrV,ErrE
clssopt,0.1,1,0.99,10,10,31,5,32.436264,10.553913,,0.046632,2.67102,0.524859
clssopt,0.1,1,0.99,10,10,31,10,11.682404,5.196213,,0.0491537,0.855126,0.0757175
clssopt,0.1,1,0.99,10,10,31,15,7.705257,5.320562,,0.0295407,1.37377,0.141611
clssopt,0.1,1,0.99,10,10,31,20,6.095934,2.869680,,0.0265674,0.902867,0.0976883
clssopt,0.1,1,0.99,10,10,31,25,6.824055,3.230954,,0.0182061,0.9674,0.104825
clssopt,0.1,1,0.99,10,10,31,30,6.508045,2.670762,1.2463,0.00349035,0.977841,0.0990193
clssopt,0.1,1,0.99,10,10,31,35,5.425275,2.521520,0.959058,0.000674225,0.174813,0.0186225
clssopt,0.1,1,0.99,10,10,31,40,4.502889,3.428103,1.24819,0.00192649,0.730332,0.109094
clssopt,0.1,1,0.99,10,10,31,45,3.731812,3.431047,1.27309,0.00173091,0.407981,0.0465263
clssopt,0.1,1,0.99,10,10,31,50,3.950208,131708126.226894,1.15671,0.00122792,0.181594,0.0145649
clssopt,0.1,1,0.99,10,10,31,55,3.757998,157497242.508634,1.35189,0.00282473,0.477656,0.0433685
clssopt,0.1,1,0.99,10,10,31,60,3.642007,134516507.984022,1.23454,0.000697727,0.168249,0.0172642
clssopt,0.1,1,0.99,10,10,31,65,3.035440,145914359.902370,1.18962,0.000911096,0.116861,0.0115845
clssopt,0.1,1,0.99,10,10,31,70,3.123270,182716535.572440,1.26813,0.000468254,0.0477538,0.00392713
clssopt,0.1,1,0.99,10,10,31,75,3.168287,141797533.397068,1.33283,0.000559648,0.063327,0.00689965
clssopt,0.1,1,0.99,10,10,31,80,3.105657,128068100.419357,1.34846,0.000497476,0.0583577,0.0052685
clssopt,0.1,1,0.99,10,10,31,85,3.286564,122109727.910242,1.3723,0.000493282,0.102631,0.00840087
clssopt,0.1,1,0.99,10,10,31,90,2.984804,141915043.755097,1.44847,0.000702583,0.165486,0.0131123
clssopt,0.1,1,0.99,10,10,31,95,2.700198,121420710.527406,1.4446,0.000415308,0.050245,0.00421115
clssopt,0.1,1,0.99,10,10,31,100,2.608345,114396106.952612,1.45255,0.000221654,0.0495774,0.00444306
clsqdeim,0.1,1,0.99,10,10,31,5,17.777428,5.246664,,0.0427194,1.81689,0.172267
clsqdeim,0.1,1,0.99,10,10,31,10,9.652154,5.119096,,0.0333083,2.0966,0.217688
clsqdeim,0.1,1,0.99,10,10,31,15,7.311354,2.654743,,0.0475416,1.76357,0.176067
clsqdeim,0.1,1,0.99,10,10,31,20,7.270991,2.694064,,0.0354475,2.86727,0.296418
clsqdeim,0.1,1,0.99,10,10,31,25,5.076456,2.587201,,0.0323491,2.27392,0.244214
clsqdeim,0.1,1,0.99,10,10,31,30,4.642613,2.897907,0.970911,0.00404979,0.633434,0.0459878
clsqdeim,0.1,1,0.99,10,10,31,35,4.274288,3.053381,0.959332,0.000863819,0.140495,0.00423253
clsqdeim,0.1,1,0.99,10,10,31,40,4.088579,2.545072,0.998185,0.000570344,0.102649,0.0137596
clsqdeim,0.1,1,0.99,10,10,31,45,3.639108,2.007890,1.02733,0.000837029,0.25123,0.0258892
clsqdeim,0.1,1,0.99,10,10,31,50,3.989457,2.555014,1.58934,0.003477,1.44994,0.1277
clsqdeim,0.1,1,0.99,10,10,31,55,3.582235,1.728707,,0.00884112,2.14492,0.198464
clsqdeim,0.1,1,0.99,10,10,31,60,3.462007,2.418595,,0.00877095,23.2665,0.185076
clsqdeim,0.1,1,0.99,10,10,31,65,3.185036,1.883648,,0.00858157,2.70236,0.20798
clsqdeim,0.1,1,0.99,10,10,31,70,3.173135,2.427434,1.51771,0.00321373,0.705096,0.0675995
clsqdeim,0.1,1,0.99,10,10,31,75,2.871446,2.205059,1.56336,0.00399859,0.666398,0.0704997
clsqdeim,0.1,1,0.99,10,10,31,80,2.695691,2.231746,1.55193,0.00371521,0.623051,0.069274
