method,t,ws,w,q,TT3,TT4,ErrX,ErrV,ErrE
clssopt,0.1,20,27,1,3.93192,4.56e+00,4.09373e-07,0.000159366,2.87997e-06
clsqdeim,0.1,20,27,1,3.66994,4.38e+00,0.00107707,0.00292329,nan
clssopt,0.1,20,27,2,4.92088,4.88e+00,6.20857e-07,0.000392046,6.53391e-06
clsqdeim,0.1,20,27,2,4.37802,4.66e+00,0.00107707,0.00292329,nan
clssopt,0.1,20,27,3,5.86953,4.88e+00,1.39791e-06,0.000441482,9.68353e-06
clsqdeim,0.1,20,27,3,4.57436,4.38e+00,0.00107707,0.00292329,nan
clssopt,0.1,20,27,4,5.20686,5.92e+00,3.31515e-06,0.000579889,1.94064e-05
clsqdeim,0.1,20,27,4,5.88821,4.72e+00,0.00107707,0.00292329,nan
clssopt,0.1,20,27,5,5.98053,4.92e+00,3.29005e-06,0.000581799,1.8643e-05
clsqdeim,0.1,20,27,5,5.79393,4.96e+00,0.00107707,0.00292329,nan
clssopt,0.1,20,27,6,5.51765,4.82e+00,3.58225e-06,0.000630011,1.91453e-05
clsqdeim,0.1,20,27,6,5.63751,4.64e+00,0.00107707,0.00292329,nan
clssopt,0.1,20,27,7,5.96584,4.74e+00,3.09599e-06,0.000590846,1.73003e-05
clsqdeim,0.1,20,27,7,5.68813,5.05e+00,0.00107707,0.00292329,nan
clssopt,0.1,20,27,8,5.34162,5.39e+00,3.33826e-06,0.000618203,1.88919e-05
clsqdeim,0.1,20,27,8,5.40296,4.71e+00,0.00107707,0.00292329,nan
clssopt,0.1,20,27,9,6.20073,4.85e+00,3.53289e-06,0.000647274,1.99104e-05
clsqdeim,0.1,20,27,9,5.57865,4.83e+00,0.00107707,0.00292329,nan
clssopt,0.1,20,27,10,7.7606,4.79e+00,3.34211e-06,0.000627507,1.89666e-05
clsqdeim,0.1,20,27,10,5.32107,7.47e+00,0.00107707,0.00292329,nan
clssopt,0.1,30,18,1,3.30072,4.05e+00,3.45566e-06,0.000312209,2.79822e-05
clsqdeim,0.1,30,18,1,3.73737,4.12e+00,0.00208089,0.00564761,nan
clssopt,0.1,30,18,2,3.65022,4.03e+00,8.22606e-06,0.0012248,2.99944e-05
clsqdeim,0.1,30,18,2,3.04197,3.99e+00,0.00208089,0.00564761,nan
clssopt,0.1,30,18,3,5.0201,4.06e+00,5.67465e-06,0.000519716,1.45433e-05
clsqdeim,0.1,30,18,3,3.10226,4.06e+00,0.00208089,0.00564761,nan
clssopt,0.1,30,18,4,4.71783,4.17e+00,7.0474e-06,0.000927368,2.54809e-05
clsqdeim,0.1,30,18,4,3.42583,3.91e+00,0.00208089,0.00564761,nan
clssopt,0.1,30,18,5,4.58314,4.15e+00,5.7455e-06,0.000523691,1.41222e-05
clsqdeim,0.1,30,18,5,3.57432,3.97e+00,0.00208089,0.00564761,nan
clssopt,0.1,30,18,6,4.06865,3.98e+00,6.04063e-06,0.000627406,1.48945e-05
clsqdeim,0.1,30,18,6,3.20412,4.06e+00,0.00208089,0.00564761,nan
clssopt,0.1,30,18,7,3.89859,3.96e+00,6.44024e-06,0.000953773,3.14327e-05
clsqdeim,0.1,30,18,7,3.46505,3.85e+00,0.00208089,0.00564761,nan
clssopt,0.1,30,18,8,5.31285,4.29e+00,5.9559e-06,0.000758074,2.41941e-05
clsqdeim,0.1,30,18,8,4.0086,4.25e+00,0.00208089,0.00564761,nan
clssopt,0.1,30,18,9,4.22405,4.03e+00,5.46324e-06,0.000716966,2.22172e-05
clsqdeim,0.1,30,18,9,4.47471,4.01e+00,0.00208089,0.00564761,nan
clssopt,0.1,30,18,10,4.90426,4.13e+00,5.43124e-06,0.000694349,2.11405e-05
clsqdeim,0.1,30,18,10,4.03553,4.01e+00,0.00208089,0.00564761,nan
clssopt,0.1,40,14,1,3.13757,3.89e+00,0.00976057,0.839147,0.112219
clsqdeim,0.1,40,14,1,2.6376,3.92e+00,0.00107707,0.00292329,nan
clssopt,0.1,40,14,2,3.25455,3.83e+00,0.00765116,0.633283,0.0958335
clsqdeim,0.1,40,14,2,2.98508,3.67e+00,0.00107707,0.00292329,nan
clssopt,0.1,40,14,3,3.64657,3.83e+00,0.00760985,0.305973,0.12832
clsqdeim,0.1,40,14,3,2.79794,3.75e+00,0.00107707,0.00292329,nan
clssopt,0.1,40,14,4,4.17066,3.85e+00,0.00621624,0.339683,0.0880251
clsqdeim,0.1,40,14,4,3.42715,3.66e+00,0.00107707,0.00292329,nan
clssopt,0.1,40,14,5,3.8991,3.95e+00,0.00715087,0.389181,0.100438
clsqdeim,0.1,40,14,5,2.90836,3.66e+00,0.00107707,0.00292329,nan
clssopt,0.1,40,14,6,3.92097,3.84e+00,0.00703298,0.422612,0.0994695
clsqdeim,0.1,40,14,6,3.90396,3.66e+00,0.00107707,0.00292329,nan
clssopt,0.1,40,14,7,4.36701,3.91e+00,0.00613301,0.377997,0.088108
clsqdeim,0.1,40,14,7,3.11512,3.54e+00,0.00107707,0.00292329,nan
clssopt,0.1,40,14,8,4.31515,3.83e+00,0.00603865,0.372647,0.0851822
clsqdeim,0.1,40,14,8,3.0914,3.64e+00,0.00107707,0.00292329,nan
clssopt,0.1,40,14,9,3.95922,3.84e+00,0.00595175,0.351468,0.0820041
clsqdeim,0.1,40,14,9,3.02188,3.65e+00,0.00107707,0.00292329,nan
clssopt,0.1,40,14,10,4.37194,4.18e+00,0.00612074,0.329609,0.0811484
clsqdeim,0.1,40,14,10,3.86969,3.73e+00,0.00107707,0.00292329,nan
