method,t,n,ef,xx,vv,ee,q,condV,condE,time,ErrX,ErrV,ErrE
clssopt,0.1,1,0.99,6,4,3,5,2.103250,1.815718,0.293749,0.00147559,1.09759,0.0375823
clsqdeim,0.1,1,0.99,6,4,3,5,1.420895,2.032656,6.64395,0.00120611,2846.29,
clssopt,0.1,1,0.99,6,4,3,10,1.489775,1.651338,0.754538,0.00295434,4.86238,0.174807
clsqdeim,0.1,1,0.99,6,4,3,10,1.499796,2.684420,0.463094,0.00124247,0.349565,0.0285854
clssopt,0.1,1,0.99,6,4,3,15,2.451066,1.606294,1.57554,0.0033828,6.40072,0.429233
clsqdeim,0.1,1,0.99,6,4,3,15,1.655206,1.611800,0.407714,0.00023516,0.733105,0.0110848
clssopt,0.1,2,0.999,6,6,5,5,2.353510,5.903648,0.109423,0.00127634,,
clsqdeim,0.1,2,0.999,6,6,5,5,3.290706,3.011229,0.184417,0.00127634,,
clssopt,0.1,2,0.999,6,6,5,10,2.294098,234745463.330103,0.185361,0.00127634,,
clsqdeim,0.1,2,0.999,6,6,5,10,3.236041,4.387599,0.250027,0.00127634,,
clssopt,0.1,2,0.999,6,6,5,15,2.205558,389855576.686531,0.267011,0.00127634,,
clsqdeim,0.1,2,0.999,6,6,5,15,5.633858,52.179954,0.256999,0.00127634,,
clssopt,0.1,2,0.999,6,6,5,20,2.886312,357209321.266942,0.25895,0.00127634,,
clsqdeim,0.1,2,0.999,6,6,5,20,4.486587,4.561787,0.332976,0.00127634,,
clssopt,0.1,2,0.999,6,6,5,25,2.680340,230191717.228803,0.305874,0.00127634,,
clsqdeim,0.1,2,0.999,6,6,5,25,4.043438,3.162747,0.277283,0.00127634,,
clssopt,0.1,2,0.999,6,6,5,30,2.020729,574953578.926230,0.394168,0.00127634,,
clsqdeim,0.1,2,0.999,6,6,5,30,3.947636,183.861036,0.244426,0.00127634,,
clssopt,0.1,2,0.999,6,6,5,35,1.579172,296196159.875700,0.412433,0.00127634,,
clsqdeim,0.1,2,0.999,6,6,5,35,4.000177,3.951583,0.271791,0.00127634,,
clssopt,0.1,2,0.999,6,6,5,40,2.069697,323424392.001372,0.437623,0.00127634,,
clsqdeim,0.1,2,0.999,6,6,5,40,3.343454,72.654622,0.283194,0.00127634,,
clssopt,0.1,2,0.999,6,6,5,45,1.702326,349622345.004415,0.477058,0.00127634,,
clsqdeim,0.1,2,0.999,6,6,5,45,3.343635,68.703820,0.246458,0.00127634,,
clssopt,0.1,2,0.999,6,6,5,50,1.440236,727496477.938418,0.557834,0.00127634,,
clsqdeim,0.1,2,0.999,6,6,5,50,4.347240,62.454120,0.302436,0.00127634,,
clssopt,0.1,2,0.999,6,6,5,55,1.977687,299570061.162774,0.418357,0.00127634,,
clsqdeim,0.1,2,0.999,6,6,5,55,3.407186,3.752001,0.30074,0.00127634,,
clssopt,0.1,2,0.999,6,6,5,60,1.530212,475224138.761317,0.415929,0.00127634,,
clsqdeim,0.1,2,0.999,6,6,5,60,2.500508,102490.001195,0.269112,0.00127634,,
clssopt,0.1,2,0.999,6,6,5,65,1.536470,249486497.751370,0.442716,0.00127634,,
clsqdeim,0.1,2,0.999,6,6,5,65,1.992306,4.314716,0.310951,0.00127634,,
clssopt,0.1,2,0.999,6,6,5,70,1.336028,262818191.999742,0.472642,0.00127634,,
clsqdeim,0.1,2,0.999,6,6,5,70,1.830212,57.621905,0.335682,0.00127634,,
clssopt,0.1,2,0.999,6,6,5,75,1.527141,367680815.084616,0.462777,0.00127634,,
clsqdeim,0.1,2,0.999,6,6,5,75,2.212947,40436.949679,0.334006,0.00127634,,
clssopt,0.1,2,0.999,6,6,5,80,1.878690,837822335.906909,0.46245,0.00127634,,
clsqdeim,0.1,2,0.999,6,6,5,80,2.004279,1230.081437,0.338278,0.00127634,,
clssopt,0.1,2,0.999,6,6,5,85,1.887617,763386718.114438,0.477211,0.00127634,,
clsqdeim,0.1,2,0.999,6,6,5,85,1.400521,4.365186,0.359247,0.00127634,,
clssopt,0.1,2,0.999,6,6,5,90,1.463355,696961541.336511,0.486068,0.00127634,,
clsqdeim,0.1,2,0.999,6,6,5,90,1.949357,801.642446,0.367292,0.00127634,,
clssopt,0.1,2,0.999,6,6,5,95,1.929776,747282779.814051,0.496009,0.00127634,,
clsqdeim,0.1,2,0.999,6,6,5,95,1.534440,4.116804,0.37585,0.00127634,,
clssopt,0.1,2,0.999,6,6,5,100,1.484957,775267743.500567,0.497085,0.00127634,,
clsqdeim,0.1,2,0.999,6,6,5,100,1.781240,8.555854,0.403153,0.00127634,,
clssopt,0.1,3,0.9999,6,9,9,5,3.621150,3.509456,0.289365,1.70873e-05,0.0149291,0.00288639
clsqdeim,0.1,3,0.9999,6,9,9,5,6.486248,6.930840,0.279595,1.94984e-05,0.00815721,0.00127567
clssopt,0.1,3,0.9999,6,9,9,10,3.256461,482743272.038994,0.343078,2.43858e-05,0.0143353,0.00313004
clsqdeim,0.1,3,0.9999,6,9,9,10,3.683219,3.494692,0.299139,1.86228e-05,0.00733876,0.00113113
clssopt,0.1,3,0.9999,6,9,9,15,3.442136,555435062.260142,0.344514,3.29284e-05,0.0173978,0.00466128
clsqdeim,0.1,3,0.9999,6,9,9,15,3.505168,3.376250,0.311027,1.87459e-05,0.00842568,0.00109975
clssopt,0.1,3,0.9999,6,9,9,20,2.124407,463672221.865613,0.339948,4.08421e-05,0.0283492,0.00423628
clsqdeim,0.1,3,0.9999,6,9,9,20,2.988437,2.473368,0.355111,1.74108e-05,0.00800982,0.00108599
clssopt,0.1,3,0.9999,6,9,9,25,2.357896,526917054.501441,0.408389,5.80649e-05,0.0405666,0.00409475
clsqdeim,0.1,3,0.9999,6,9,9,25,2.555079,2.835707,0.382129,1.75842e-05,0.00848594,0.00110033
clssopt,0.1,3,0.9999,6,9,9,30,3.948943,673031687.147372,0.693118,0.00127634,,
clsqdeim,0.1,3,0.9999,6,9,9,30,2.078244,2.733538,0.397551,1.73925e-05,0.00760835,0.00117639
clssopt,0.1,3,0.9999,6,9,9,35,1.754156,543533454.822221,0.98287,0.000127121,0.0488307,0.0209294
clsqdeim,0.1,3,0.9999,6,9,9,35,2.102685,2.183484,0.478652,2.02786e-05,0.0076737,0.00160455
clssopt,0.1,3,0.9999,6,9,9,40,2.268429,696973851.458325,0.497821,9.21413e-05,0.0527806,0.00462761
clsqdeim,0.1,3,0.9999,6,9,9,40,2.490913,2.116557,0.466887,1.90586e-05,0.00767573,0.0014636
clssopt,0.1,3,0.9999,6,9,9,45,3.549696,595989304.600929,0.669207,0.00127634,,
clsqdeim,0.1,3,0.9999,6,9,9,45,3.007236,4.029528,0.510368,2.29696e-05,0.00880993,0.00235961
clssopt,0.1,3,0.9999,6,9,9,50,1.886012,522322760.645589,0.645694,0.00127634,,
clsqdeim,0.1,3,0.9999,6,9,9,50,2.124549,1.883201,0.53157,2.2271e-05,0.00850972,0.00246812
clssopt,0.1,3,0.9999,6,9,9,55,1.772350,767818110.388564,0.681001,0.00127634,,
clsqdeim,0.1,3,0.9999,6,9,9,55,1.776163,2.631161,0.543798,2.25078e-05,0.011402,0.00281346
clssopt,0.1,3,0.9999,6,9,9,60,2.346187,619305296.612866,0.734233,0.00127634,,
clsqdeim,0.1,3,0.9999,6,9,9,60,1.911128,2.250696,0.62222,2.02799e-05,0.00724573,0.00212532
clssopt,0.1,3,0.9999,6,9,9,65,1.723478,802307892.179805,0.820919,0.00127634,,
clsqdeim,0.1,3,0.9999,6,9,9,65,1.804379,2.112051,0.56088,2.22555e-05,0.0166252,0.00238181
clssopt,0.1,3,0.9999,6,9,9,70,2.520832,645334154.090808,0.926685,0.00127634,,
clsqdeim,0.1,3,0.9999,6,9,9,70,2.036017,1.973789,0.578916,2.26035e-05,0.0129387,0.00209161
clssopt,0.1,3,0.9999,6,9,9,75,1.576713,461926472.995002,1.0058,0.00127634,,
clsqdeim,0.1,3,0.9999,6,9,9,75,1.845368,2.878255,0.590797,2.3258e-05,0.0109758,0.00214474
clssopt,0.1,3,0.9999,6,9,9,80,1.841756,621570320.581328,1.05669,0.00127634,,
clsqdeim,0.1,3,0.9999,6,9,9,80,1.784371,1.773301,0.609174,2.32944e-05,0.0118354,0.00206861
clssopt,0.1,3,0.9999,6,9,9,85,3.464776,961025008.518169,1.11498,0.00127634,,
clsqdeim,0.1,3,0.9999,6,9,9,85,1.607414,2.130483,0.689965,2.31299e-05,0.00913529,0.00188548
clssopt,0.1,3,0.9999,6,9,9,90,1.975033,953850568.929403,1.21409,0.00127634,,
clsqdeim,0.1,3,0.9999,6,9,9,90,2.586663,5373.762904,0.724288,2.51791e-05,0.010421,0.002007
clssopt,0.1,3,0.9999,6,9,9,95,1.435029,573187440.131686,1.38771,0.00127634,,
clsqdeim,0.1,3,0.9999,6,9,9,95,1.741459,1.924322,0.727853,2.66213e-05,0.011377,0.00207773
clssopt,0.1,3,0.9999,6,9,9,100,2.101478,492146902.502403,1.37408,0.00127634,,
clsqdeim,0.1,3,0.9999,6,9,9,100,1.794165,2.207362,0.740918,2.74355e-05,0.0117127,0.00215059
clssopt,0.1,4,0.99999,6,14,12,5,6.194963,11.781362,0.258714,2.46509e-05,0.0310269,0.00201231
clsqdeim,0.1,4,0.99999,6,14,12,5,4.604492,7.276798,0.291697,1.59373e-05,0.0305058,0.00253005
clssopt,0.1,4,0.99999,6,14,12,10,3.766539,5.746024,0.320855,2.91118e-05,0.0192218,0.00208551
clsqdeim,0.1,4,0.99999,6,14,12,10,4.242759,5.065492,0.36462,1.24956e-05,0.00705219,0.00195873
clssopt,0.1,4,0.99999,6,14,12,15,3.872314,3.934398,0.365627,3.04898e-05,0.0118077,0.00165889
clsqdeim,0.1,4,0.99999,6,14,12,15,4.396097,3.136016,0.392945,1.77484e-05,0.00718033,0.00167767
clssopt,0.1,4,0.99999,6,14,12,20,3.521625,3.593547,0.417115,2.62067e-05,0.0101857,0.00158938
clsqdeim,0.1,4,0.99999,6,14,12,20,6.361986,3.648867,0.420141,2.3888e-05,0.0130464,0.00171405
clssopt,0.1,4,0.99999,6,14,12,25,2.330153,3.661239,0.509014,4.27639e-05,0.0200035,0.00477232
clsqdeim,0.1,4,0.99999,6,14,12,25,2.814062,3.143204,0.464849,1.78638e-05,0.00851994,0.00139038
clssopt,0.1,4,0.99999,6,14,12,30,2.925152,3.417072,0.604967,0.00127634,,0.0410282
clsqdeim,0.1,4,0.99999,6,14,12,30,2.685425,3.104987,0.501621,2.00907e-05,0.0100996,0.00149472
clssopt,0.1,4,0.99999,6,14,12,35,2.223346,3.363984,0.677959,0.00127634,,0.0410282
clsqdeim,0.1,4,0.99999,6,14,12,35,2.565747,5.763331,0.479057,1.98593e-05,0.00944803,0.00152026
clssopt,0.1,4,0.99999,6,14,12,40,1.778027,221857106.688256,0.888478,0.00127634,,0.0410282
clsqdeim,0.1,4,0.99999,6,14,12,40,3.449766,3.160252,0.521956,2.03495e-05,0.00985581,0.00154297
clssopt,0.1,4,0.99999,6,14,12,45,2.995159,255791020.664898,0.98037,0.00127634,,0.0410282
clsqdeim,0.1,4,0.99999,6,14,12,45,3.017283,3.532708,0.569949,2.04675e-05,0.00991135,0.0015501
clssopt,0.1,4,0.99999,6,14,12,50,3.161281,290044995.690635,0.916027,0.00127634,,0.0410282
clsqdeim,0.1,4,0.99999,6,14,12,50,2.294795,2.936794,0.556408,2.08494e-05,0.0102641,0.00157194
clssopt,0.1,4,0.99999,6,14,12,55,3.071855,378796519.511510,0.960066,0.00127634,,0.0410282
clsqdeim,0.1,4,0.99999,6,14,12,55,2.660393,3.411522,0.555217,2.0941e-05,0.0103503,0.00157691
clssopt,0.1,4,0.99999,6,14,12,60,3.079396,746176801.884100,1.17786,0.00127634,,0.0410282
clsqdeim,0.1,4,0.99999,6,14,12,60,6.426906,2.688582,0.59785,2.20639e-05,0.0106935,0.00166455
clssopt,0.1,4,0.99999,6,14,12,65,3.016892,1104689414.724125,1.19103,0.00127634,,0.0410282
clsqdeim,0.1,4,0.99999,6,14,12,65,2.255968,3.061768,0.614713,2.18604e-05,0.0103636,0.00167785
clssopt,0.1,4,0.99999,6,14,12,70,7.442054,653200835.914814,1.21746,0.00127634,,0.0410282
clsqdeim,0.1,4,0.99999,6,14,12,70,2.201467,6.933506,0.629381,2.68757e-05,0.0123957,0.00210995
clssopt,0.1,4,0.99999,6,14,12,75,4.261877,905344815.031139,1.51248,0.00127634,,0.0410282
clsqdeim,0.1,4,0.99999,6,14,12,75,2.254796,3.021629,0.627965,2.63146e-05,0.0122808,0.00210014
clssopt,0.1,4,0.99999,6,14,12,80,3.354767,1057946924.877022,1.42668,0.00127634,,0.0410282
clsqdeim,0.1,4,0.99999,6,14,12,80,3.688901,2.660232,0.676218,2.63514e-05,0.0123825,0.00210812
clssopt,0.1,4,0.99999,6,14,12,85,3.314595,997257142.349983,1.49687,0.00127634,,0.0410282
clsqdeim,0.1,4,0.99999,6,14,12,85,2.114312,2.682999,0.708023,2.14239e-05,0.0103574,0.00166835
clssopt,0.1,4,0.99999,6,14,12,90,3.110640,960711918.454183,1.60545,0.00127634,,0.0410282
clsqdeim,0.1,4,0.99999,6,14,12,90,2.818200,3.010938,0.747326,2.64809e-05,0.0124676,0.00197793
clssopt,0.1,4,0.99999,6,14,12,95,3.396807,1080227934.895288,1.88078,0.00127634,,0.0410282
clsqdeim,0.1,4,0.99999,6,14,12,95,1.888902,3.017444,0.790267,2.28156e-05,0.0108671,0.00175845
clssopt,0.1,4,0.99999,6,14,12,100,3.297982,1113906689.452195,2.05578,0.00127634,,0.0410282
clsqdeim,0.1,4,0.99999,6,14,12,100,2.519383,3.596642,0.794698,2.29604e-05,0.0107482,0.00177626
clssopt,0.1,5,0.999999,6,20,18,5,11.470081,11.402906,0.382023,1.45028e-05,0.00767295,0.00112314
clsqdeim,0.1,5,0.999999,6,20,18,5,7.804495,23.775171,0.432941,1.32623e-05,0.00653991,0.00125561
clssopt,0.1,5,0.999999,6,20,18,10,6.244385,9.158477,0.484916,1.40455e-05,0.00725733,0.00112205
clsqdeim,0.1,5,0.999999,6,20,18,10,7.425705,8.148034,0.457873,1.71261e-05,0.0100194,0.00156123
clssopt,0.1,5,0.999999,6,20,18,15,5.035699,6.950034,0.474058,1.72332e-05,0.0100944,0.00143766
clsqdeim,0.1,5,0.999999,6,20,18,15,5.863100,9.372066,1.98971,1.60861e-05,0.00804038,0.0010501
clssopt,0.1,5,0.999999,6,20,18,20,4.868712,4.862873,0.495528,1.77912e-05,0.0105876,0.00160054
clsqdeim,0.1,5,0.999999,6,20,18,20,4.343349,7.016064,0.580025,1.72877e-05,0.0113876,0.00114003
clssopt,0.1,5,0.999999,6,20,18,25,3.103381,4.195201,0.515714,2.12609e-05,0.0123768,0.0017353
clsqdeim,0.1,5,0.999999,6,20,18,25,4.330105,4.734635,0.615247,2.07308e-05,0.00905808,0.00133835
clssopt,0.1,5,0.999999,6,20,18,30,3.594568,6.005918,0.547668,1.9219e-05,0.0108743,0.00156059
clsqdeim,0.1,5,0.999999,6,20,18,30,3.100408,5.478355,0.603669,1.85597e-05,0.00843984,0.00128974
clssopt,0.1,5,0.999999,6,20,18,35,3.098364,3.868341,0.558179,1.90737e-05,0.01023,0.00161736
clsqdeim,0.1,5,0.999999,6,20,18,35,2.881227,4.612736,0.606328,2.22572e-05,0.0101587,0.00167431
clssopt,0.1,5,0.999999,6,20,18,40,2.820745,4.510842,0.607964,1.83817e-05,0.0103309,0.00161055
clsqdeim,0.1,5,0.999999,6,20,18,40,2.908049,4.734285,0.654536,2.07325e-05,0.0102587,0.00223496
clssopt,0.1,5,0.999999,6,20,18,45,2.922315,3.634038,0.627808,1.60471e-05,0.00879839,0.0014216
clsqdeim,0.1,5,0.999999,6,20,18,45,3.072319,3.726246,0.767261,1.70503e-05,0.00941585,0.00216986
clssopt,0.1,5,0.999999,6,20,18,50,3.258559,3.198875,0.635472,1.61863e-05,0.00908322,0.00144278
clsqdeim,0.1,5,0.999999,6,20,18,50,2.819759,3.160751,0.790721,2.33415e-05,0.0126146,0.00263411
clssopt,0.1,5,0.999999,6,20,18,55,2.645906,2.664321,0.688844,1.6166e-05,0.00902557,0.0014381
clsqdeim,0.1,5,0.999999,6,20,18,55,2.590827,2.933423,0.803047,2.22827e-05,0.0137613,0.00224581
clssopt,0.1,5,0.999999,6,20,18,60,3.158311,3.486492,0.770481,1.61693e-05,0.00910069,0.00144833
clsqdeim,0.1,5,0.999999,6,20,18,60,3.095116,4.701006,0.838685,1.70344e-05,0.010263,0.00170471
clssopt,0.1,5,0.999999,6,20,18,65,3.970660,3.184764,0.849469,1.61575e-05,0.00910971,0.0014472
clsqdeim,0.1,5,0.999999,6,20,18,65,2.411523,4.878763,0.87717,1.62231e-05,0.00955956,0.00168084
clssopt,0.1,5,0.999999,6,20,18,70,3.481369,2.975716,2.53653,1.61617e-05,0.00912507,0.00145629
clsqdeim,0.1,5,0.999999,6,20,18,70,2.290411,6.337427,0.86913,1.64809e-05,0.00969704,0.00180997
clssopt,0.1,5,0.999999,6,20,18,75,3.407654,2.497290,0.935744,1.61632e-05,0.00912636,0.00145622
clsqdeim,0.1,5,0.999999,6,20,18,75,2.160346,4.951316,0.877845,1.53118e-05,0.00873562,0.00174643
clssopt,0.1,5,0.999999,6,20,18,80,3.370510,255670529.718645,1.00264,1.61636e-05,0.00912677,0.00145619
clsqdeim,0.1,5,0.999999,6,20,18,80,2.331656,458.840953,0.891157,1.49517e-05,0.00830379,0.0017396
clssopt,0.1,5,0.999999,6,20,18,85,3.136370,300318151.359268,1.08253,1.61702e-05,0.00913286,0.00145574
clsqdeim,0.1,5,0.999999,6,20,18,85,2.129052,6.701202,0.798906,1.25382e-05,0.00658232,0.00161035
clssopt,0.1,5,0.999999,6,20,18,90,3.782935,302489096.789946,1.16342,1.61798e-05,0.00914138,0.0014551
clsqdeim,0.1,5,0.999999,6,20,18,90,2.459018,137.605962,0.834763,1.25381e-05,0.00633304,0.00160155
clssopt,0.1,5,0.999999,6,20,18,95,3.445172,322274475.669465,1.19627,1.61842e-05,0.00914527,0.00145487
clsqdeim,0.1,5,0.999999,6,20,18,95,2.137817,6.048759,0.839785,1.17123e-05,0.00577334,0.00159569
clssopt,0.1,5,0.999999,6,20,18,100,3.559379,419832105.465016,1.28474,1.61864e-05,0.00914725,0.00145477
clsqdeim,0.1,5,0.999999,6,20,18,100,2.266702,559.304830,0.936049,1.29115e-05,0.00673273,0.00159716
clssopt,0.1,6,0.9999999,6,24,23,5,16.324202,17.277737,0.468346,4.89152e-05,0.124568,0.00475044
clsqdeim,0.1,6,0.9999999,6,24,23,5,12.739449,30.943962,0.494784,2.87583e-05,0.0494527,0.00290436
clssopt,0.1,6,0.9999999,6,24,23,10,8.531775,10.161975,0.476009,2.63486e-05,0.09488,0.00454253
clsqdeim,0.1,6,0.9999999,6,24,23,10,8.515362,8.158162,0.515366,1.02859e-05,0.0231561,0.00218103
clssopt,0.1,6,0.9999999,6,24,23,15,5.795720,8.123393,0.51552,1.6892e-05,0.0249187,0.00310514
clsqdeim,0.1,6,0.9999999,6,24,23,15,6.524921,9.469247,0.529922,2.09642e-05,0.0208574,0.00351592
