method,t,n,ef,xx,vv,ee,q,condV,condE,time,ErrX,ErrV,ErrE
clssopt,0.1,1,0.99,10,10,31,5,28.227967,11.325153,,0.0147654,1.78681,0.116219
clssopt,0.1,1,0.99,10,10,31,10,11.675077,5.648872,,0.00392764,1.74288,0.126659
clssopt,0.1,1,0.99,10,10,31,15,9.916823,3.326622,0.824041,0.00191803,1.09874,0.0751294
clssopt,0.1,1,0.99,10,10,31,20,8.993196,3.229927,0.689187,0.00112996,0.433842,0.0233269
clssopt,0.1,1,0.99,10,10,31,25,6.220799,2.994611,0.809322,0.00143464,0.636909,0.0668813
clssopt,0.1,1,0.99,10,10,31,30,5.740975,2.642936,0.831934,0.00113934,0.387662,0.0522368
clssopt,0.1,1,0.99,10,10,31,35,7.157634,2.465719,0.785433,0.000303665,0.107565,0.0108957
clssopt,0.1,1,0.99,10,10,31,40,5.604895,3.045882,0.850503,0.000388997,0.0864172,0.0103343
clssopt,0.1,1,0.99,10,10,31,45,6.275590,2.363559,0.927995,0.000166799,0.0557694,0.00580743
clssopt,0.1,1,0.99,10,10,31,50,6.538491,2.573365,0.937319,0.000451297,0.0561733,0.00316816
clssopt,0.1,1,0.99,10,10,31,55,5.413172,2.315082,0.969656,0.000314048,0.0461353,0.00237996
clssopt,0.1,1,0.99,10,10,31,60,5.845629,2.303497,0.953561,0.000110186,0.0190851,0.00215161
clssopt,0.1,1,0.99,10,10,31,65,4.533002,2.031176,0.99305,0.000176481,0.0359937,0.002804
clssopt,0.1,1,0.99,10,10,31,70,6.001715,2.384900,1.10154,0.000173971,0.0260452,0.0018634
clssopt,0.1,1,0.99,10,10,31,75,5.073679,2.179344,1.19541,5.48093e-05,0.00958665,0.000917582
clssopt,0.1,1,0.99,10,10,31,80,4.657222,2.427823,1.11997,4.12908e-05,0.00900216,0.000812566
clssopt,0.1,1,0.99,10,10,31,85,4.964345,2.225250,1.18401,3.34383e-05,0.00992805,0.000881163
clssopt,0.1,1,0.99,10,10,31,90,4.303915,2.201302,1.25268,0.000102856,0.0113997,0.000998172
clssopt,0.1,1,0.99,10,10,31,95,4.825307,1.957078,1.21132,0.000102119,0.0114065,0.000995001
clssopt,0.1,1,0.99,10,10,31,100,4.016043,2.385152,1.2887,6.74552e-05,0.00742959,0.000668412
clsqdeim,0.1,1,0.99,10,10,31,5,26.928133,9.813961,,0.0518609,1.81771,0.201152
clsqdeim,0.1,1,0.99,10,10,31,10,18.507061,8.502661,,0.0513283,1.21678,0.113844
clsqdeim,0.1,1,0.99,10,10,31,15,13.207563,8.055296,,0.0572096,1.6616,0.142025
clsqdeim,0.1,1,0.99,10,10,31,20,14.876014,12.635809,,0.0542918,1.17105,0.0760578
clsqdeim,0.1,1,0.99,10,10,31,25,11.488775,5.092841,,0.0331973,1.23555,0.0825108
clsqdeim,0.1,1,0.99,10,10,31,30,12.907251,6.003454,,0.0345392,1.6889,0.37892
clsqdeim,0.1,1,0.99,10,10,31,35,8.439934,3.310641,,0.0228143,2.08813,0.146786
clsqdeim,0.1,1,0.99,10,10,31,40,10.722150,4.356103,,0.0200967,1.04549,0.104037
clsqdeim,0.1,1,0.99,10,10,31,45,7.329704,3.117282,,0.0363519,0.963298,0.0468667
