method,n,energy_frac,rwdim,rrdim,nldim,nsr,time,error
SOPT,3,0.9999,19,21,21,26,0.7528376530000001,0.0001191978100572501
clsSOPT,3,0.9999,19,21,21,26,0.75119313,0.0002222106574692411
QDEIM,3,0.9999,19,21,21,26,0.7662097040000001,0.0002839328081274755
clsQDEIM,3,0.9999,19,21,21,26,0.73497937,0.0001367733827946015
SOPT,3,0.9999,19,21,21,31,0.869709658,0.0006665527372493055
clsSOPT,3,0.9999,19,21,21,31,0.8281622670000001,0.0002826974171605737
QDEIM,3,0.9999,19,21,21,31,0.832451195,0.0007146900243293877
clsQDEIM,3,0.9999,19,21,21,31,0.823342524,0.0001674443029830762
SOPT,3,0.9999,19,21,21,36,0.92129222,0.0003491526828059748
clsSOPT,3,0.9999,19,21,21,36,0.929562474,0.0005953240899594593
QDEIM,3,0.9999,19,21,21,36,0.916007109,0.0004938148312311519
clsQDEIM,3,0.9999,19,21,21,36,0.911333668,0.0001753466576328039
SOPT,3,0.9999,19,21,21,41,1.013620883,0.000391704477051771
clsSOPT,3,0.9999,19,21,21,41,1.013630341,0.0003427509436352876
QDEIM,3,0.9999,19,21,21,41,1.017276642,0.0004538467812482973
clsQDEIM,3,0.9999,19,21,21,41,1.010412454,0.0001369744169084205
SOPT,3,0.9999,19,21,21,46,1.12176628,9.483098478546131e-05
clsSOPT,3,0.9999,19,21,21,46,1.105922274,0.0001150084959957737
QDEIM,3,0.9999,19,21,21,46,1.100461749,0.0004523664656913839
clsQDEIM,3,0.9999,19,21,21,46,1.065634199,0.0001259701993102944
SOPT,3,0.9999,19,21,21,51,1.15956738,0.0001275541314282762
clsSOPT,3,0.9999,19,21,21,51,1.193520333,0.000128857437893363
QDEIM,3,0.9999,19,21,21,51,1.191836138,0.0005169363837072338
clsQDEIM,3,0.9999,19,21,21,51,1.158962796,0.0001019909234006819
SOPT,3,0.9999,19,21,21,56,1.24774165,0.0001035989957716561
clsSOPT,3,0.9999,19,21,21,56,1.278634589,7.285112257307224e-05
QDEIM,3,0.9999,19,21,21,56,1.263742305,0.0005851852949320644
