method,pv,pe,t,n,ef,xx,vv,ee,q,condV,condE,time,ErrX,ErrV,ErrE
qdeim,1,1,0.1,1,0.99,10,10,31,5,21.058779,7.999560,,0.0395473,1.74097,0.116298
sopt,1,1,0.1,1,0.99,10,10,31,5,20.364437,8.036760,,0.0350183,1.52141,0.13327
clsqdeim,0.03,0.1,0.1,1,0.99,10,10,31,5,70.650411,9.963107,,0.0534128,1.8179,0.200534
clssopt,0.03,0.1,0.1,1,0.99,10,10,31,5,17.484336,9.744911,,0.0440046,3.29859,0.0856164
thqdeim,0.03,0.1,0.1,1,0.99,10,10,31,5,20.776657,7.999560,,0.0393509,1.70202,0.10782
thsopt,0.03,0.1,0.1,1,0.99,10,10,31,5,20.364437,5.397194,,0.0350183,1.52141,0.13021
clsqdeim,0.1,0.1,0.1,1,0.99,10,10,31,5,48.486721,9.963107,,0.0421754,2.17996,0.150165
clssopt,0.1,0.1,0.1,1,0.99,10,10,31,5,24.779408,9.744911,,0.0468591,0.928947,0.508331
thqdeim,0.1,0.1,0.1,1,0.99,10,10,31,5,35.007697,7.999560,,0.0346041,1.15332,0.195592
thsopt,0.1,0.1,0.1,1,0.99,10,10,31,5,21.179165,5.397194,,0.0350924,1.49271,0.128127
clsqdeim,0.25,0.1,0.1,1,0.99,10,10,31,5,34.308189,9.963107,,0.0641055,1.47845,0.143262
clssopt,0.25,0.1,0.1,1,0.99,10,10,31,5,21.715331,9.744911,0.568949,0.00274261,0.775651,0.0635884
thqdeim,0.25,0.1,0.1,1,0.99,10,10,31,5,35.007697,7.999560,,0.0346041,1.15332,0.195592
thsopt,0.25,0.1,0.1,1,0.99,10,10,31,5,22.969681,5.397194,,0.0339358,1.71445,0.159664
qdeim,1,1,0.1,1,0.99,10,10,31,10,17.384318,8.205289,,0.00977605,1.72359,0.156109
sopt,1,1,0.1,1,0.99,10,10,31,10,12.931583,4.373825,,0.0135482,3.40235,0.167402
clsqdeim,0.03,0.1,0.1,1,0.99,10,10,31,10,56.703938,5.858252,,0.0491588,1.77661,0.098694
clssopt,0.03,0.1,0.1,1,0.99,10,10,31,10,13.145552,4.905988,,0.0274419,1.19625,0.0669551
thqdeim,0.03,0.1,0.1,1,0.99,10,10,31,10,21.878343,8.205289,,0.00935996,1.7516,0.157532
thsopt,0.03,0.1,0.1,1,0.99,10,10,31,10,12.931583,4.732062,,0.0139796,105.421,0.148789
clsqdeim,0.1,0.1,0.1,1,0.99,10,10,31,10,27.405256,5.858252,,0.0233894,17.2193,23.4548
clssopt,0.1,0.1,0.1,1,0.99,10,10,31,10,11.782483,4.905988,,0.040948,3.71903,1.93995
thqdeim,0.1,0.1,0.1,1,0.99,10,10,31,10,17.695613,8.205289,,0.0208727,0.983334,2.75178
thsopt,0.1,0.1,0.1,1,0.99,10,10,31,10,11.828784,4.732062,,0.0131249,3.52544,0.172489
clsqdeim,0.25,0.1,0.1,1,0.99,10,10,31,10,17.433259,5.858252,,0.0330581,1.22081,0.0560337
clssopt,0.25,0.1,0.1,1,0.99,10,10,31,10,20.360278,4.905988,0.548366,0.000453371,0.0932641,0.00677659
thqdeim,0.25,0.1,0.1,1,0.99,10,10,31,10,17.695613,8.205289,,0.0208727,0.983334,2.75178
thsopt,0.25,0.1,0.1,1,0.99,10,10,31,10,12.667453,4.732062,,0.0171318,2.76223,66729.2
qdeim,1,1,0.1,1,0.99,10,10,31,15,14.871040,5.230750,,0.0342538,1.43876,0.767683
sopt,1,1,0.1,1,0.99,10,10,31,15,12.394951,4.102951,,0.0108541,2.55958,0.153412
clsqdeim,0.03,0.1,0.1,1,0.99,10,10,31,15,36.387802,5.087252,,0.04756,1.88825,0.108337
clssopt,0.03,0.1,0.1,1,0.99,10,10,31,15,7.606965,3.795636,,0.0243645,0.949666,0.0400159
thqdeim,0.03,0.1,0.1,1,0.99,10,10,31,15,21.210911,5.230750,,0.0342038,1.44309,0.764425
thsopt,0.03,0.1,0.1,1,0.99,10,10,31,15,12.394951,4.178043,,0.0108541,2.55958,0.153412
clsqdeim,0.1,0.1,0.1,1,0.99,10,10,31,15,22.757341,5.087252,,0.0119302,1.88799,0.120947
clssopt,0.1,0.1,0.1,1,0.99,10,10,31,15,9.514339,3.795636,,0.0341975,4.98836,30.0058
thqdeim,0.1,0.1,0.1,1,0.99,10,10,31,15,12.833030,5.230750,0.644051,0.000851233,0.158755,0.00999165
thsopt,0.1,0.1,0.1,1,0.99,10,10,31,15,10.700816,4.178043,,0.0106307,2.50149,0.150404
clsqdeim,0.25,0.1,0.1,1,0.99,10,10,31,15,17.956203,5.087252,,0.024468,1.02065,0.0576457
clssopt,0.25,0.1,0.1,1,0.99,10,10,31,15,8.526248,3.795636,0.597991,0.00141987,0.191417,0.0126752
thqdeim,0.25,0.1,0.1,1,0.99,10,10,31,15,12.833030,5.230750,0.681801,0.000851233,0.158755,0.00999165
thsopt,0.25,0.1,0.1,1,0.99,10,10,31,15,8.096581,4.178043,,0.0101073,2.41909,0.14771
qdeim,1,1,0.1,1,0.99,10,10,31,20,16.230790,10.477374,,0.0372069,1.69923,1.41536
sopt,1,1,0.1,1,0.99,10,10,31,20,8.096011,3.259379,0.739688,0.00196935,0.618805,0.0430842
clsqdeim,0.03,0.1,0.1,1,0.99,10,10,31,20,32.807920,4.524540,,0.0419238,1.8566,0.0747998
clssopt,0.03,0.1,0.1,1,0.99,10,10,31,20,7.361722,3.266699,,0.0179408,1.11498,0.0666023
thqdeim,0.03,0.1,0.1,1,0.99,10,10,31,20,15.661432,10.477374,,0.0372191,1.68942,1.40921
thsopt,0.03,0.1,0.1,1,0.99,10,10,31,20,8.096011,4.774655,0.762058,0.00196935,0.618805,0.0430842
clsqdeim,0.1,0.1,0.1,1,0.99,10,10,31,20,20.900086,4.524540,,0.00579197,1.39415,0.067348
clssopt,0.1,0.1,0.1,1,0.99,10,10,31,20,8.041728,3.266699,,0.0211007,1.42904,0.254851
