p,method,n,energy_frac,rwdim,rrdim,nldim,nsr,time,error
0.5,SOPT,3,0.9999,19,21,21,23,0.7089476699999999,0.0003701191790682943
0.5,clsSOPT,3,0.9999,19,21,21,23,0.7086121249999999,0.0002266710727288273
0.5,QDEIM,3,0.9999,19,21,21,23,0.7081191290000001,0.0002080659983241926
0.5,clsQDEIM,3,0.9999,19,21,21,23,0.681695205,0.001450863459013178
0.5,SOPT,3,0.9999,19,21,21,25,0.75116261,0.0001162585406153712
0.5,clsSOPT,3,0.9999,19,21,21,25,0.7416776860000001,9.117931519948038e-05
0.5,QDEIM,3,0.9999,19,21,21,25,0.737576546,0.0003047137631543689
0.5,clsQDEIM,3,0.9999,19,21,21,25,0.712023233,0.0009740024708692577
0.5,SOPT,3,0.9999,19,21,21,27,0.787600489,0.0001694438319742061
0.5,clsSOPT,3,0.9999,19,21,21,27,0.798153977,0.0001520096775312712
0.5,QDEIM,3,0.9999,19,21,21,27,0.786838367,0.0003117690571829636
0.5,clsQDEIM,3,0.9999,19,21,21,27,0.732468359,0.000138758829465083
0.5,SOPT,3,0.9999,19,21,21,29,0.826944625,0.000563095380548564
0.5,clsSOPT,3,0.9999,19,21,21,29,0.809565648,0.0001539298543548325
0.5,QDEIM,3,0.9999,19,21,21,29,0.816768903,0.000266643081623086
0.5,clsQDEIM,3,0.9999,19,21,21,29,0.7791801199999999,0.000184509203911184
0.5,SOPT,3,0.9999,19,21,21,31,0.841546499,0.0006665527372493055
0.5,clsSOPT,3,0.9999,19,21,21,31,0.8359852329999999,0.0001100393576125211
0.5,QDEIM,3,0.9999,19,21,21,31,0.831535965,0.0007146900243293877
0.5,clsQDEIM,3,0.9999,19,21,21,31,0.8014868220000001,0.0002143784195783534
0.5,SOPT,3,0.9999,19,21,21,33,0.88461484,0.0004431549637903159
0.5,clsSOPT,3,0.9999,19,21,21,33,0.8795023040000001,0.00020111535919341
0.5,QDEIM,3,0.9999,19,21,21,33,0.865333186,0.0007601535148898243
0.5,clsQDEIM,3,0.9999,19,21,21,33,0.836356895,0.0008726958910233042
0.5,SOPT,3,0.9999,19,21,21,35,0.915079194,0.0006982988046471187
0.5,clsSOPT,3,0.9999,19,21,21,35,0.921375285,0.0003947382805252915
0.5,QDEIM,3,0.9999,19,21,21,35,0.908947891,0.000605842735060017
0.5,clsQDEIM,3,0.9999,19,21,21,35,0.865098819,0.000978794772930337
0.5,SOPT,3,0.9999,19,21,21,37,0.946639424,0.0004290210837104555
0.5,clsSOPT,3,0.9999,19,21,21,37,0.950241475,0.0002331069873085585
0.5,QDEIM,3,0.9999,19,21,21,37,0.984989626,0.0003873209858284718
0.5,clsQDEIM,3,0.9999,19,21,21,37,0.9043172620000001,0.001180946242779057
0.5,SOPT,3,0.9999,19,21,21,39,0.975400678,0.0004184547807224449
0.5,clsSOPT,3,0.9999,19,21,21,39,0.981268759,9.202859642988226e-05
0.5,QDEIM,3,0.9999,19,21,21,39,1.023398001,0.000360699153907191
0.5,clsQDEIM,3,0.9999,19,21,21,39,0.940288126,0.001081403653624996
0.5,SOPT,3,0.9999,19,21,21,41,1.014951204,0.000391704477051771
0.5,clsSOPT,3,0.9999,19,21,21,41,1.012290181,0.00035970843402108
0.5,QDEIM,3,0.9999,19,21,21,41,1.063717865,0.0004538467812482973
0.5,clsQDEIM,3,0.9999,19,21,21,41,0.959057179,0.0009783200163471465
0.5,SOPT,3,0.9999,19,21,21,43,1.042943632,0.0003307410708348265
0.5,clsSOPT,3,0.9999,19,21,21,43,1.044626185,0.0004212202437682231
0.5,QDEIM,3,0.9999,19,21,21,43,1.044161746,0.0004711202921762566
0.5,clsQDEIM,3,0.9999,19,21,21,43,0.994242432,0.001237300738136151
0.5,SOPT,3,0.9999,19,21,21,45,1.085575798,9.44275783360269e-05
0.5,clsSOPT,3,0.9999,19,21,21,45,1.096401249,0.0001286434526275686
0.5,QDEIM,3,0.9999,19,21,21,45,1.087178115,0.0004744102678447797
0.5,clsQDEIM,3,0.9999,19,21,21,45,1.002414478,0.001399067082047285
0.5,SOPT,3,0.9999,19,21,21,47,1.099985492,8.530622274075963e-05
0.5,clsSOPT,3,0.9999,19,21,21,47,1.104715431,9.868257341397833e-05
0.5,QDEIM,3,0.9999,19,21,21,47,1.121552492,0.0005312979802043036
0.5,clsQDEIM,3,0.9999,19,21,21,47,1.004158803,0.001374675001193154
0.5,SOPT,3,0.9999,19,21,21,49,1.144735976,8.479699620476482e-05
0.5,clsSOPT,3,0.9999,19,21,21,49,1.141277168,0.0001539078664223083
0.5,QDEIM,3,0.9999,19,21,21,49,1.165471237,0.0004414639108042257
0.5,clsQDEIM,3,0.9999,19,21,21,49,1.025261464,0.001452531297320059
0.5,SOPT,3,0.9999,19,21,21,51,1.164528706,0.0001275541314282762
0.5,clsSOPT,3,0.9999,19,21,21,51,1.172190661,0.0003263999504722602
0.5,QDEIM,3,0.9999,19,21,21,51,1.204388513,0.0005169363837072338
0.5,clsQDEIM,3,0.9999,19,21,21,51,1.048649334,0.001538301659001213
0.5,SOPT,3,0.9999,19,21,21,53,1.209988147,0.000114058225305585
0.5,clsSOPT,3,0.9999,19,21,21,53,1.224056216,0.0003837643485952168
0.5,QDEIM,3,0.9999,19,21,21,53,1.230332766,0.0004648533390335263
0.5,clsQDEIM,3,0.9999,19,21,21,53,1.071127293,0.001530167721593443
0.5,SOPT,3,0.9999,19,21,21,55,1.244794038,0.000114857664840766
0.5,clsSOPT,3,0.9999,19,21,21,55,1.266105543,0.0004443410016094029
0.5,QDEIM,3,0.9999,19,21,21,55,1.266775769,0.000554140860253944
0.5,clsQDEIM,3,0.9999,19,21,21,55,1.087844334,0.001556515783721779
0.5,SOPT,3,0.9999,19,21,21,57,1.269051426,0.0001477891980345935
0.5,clsSOPT,3,0.9999,19,21,21,57,1.2763087,0.0004018862775168018
0.5,QDEIM,3,0.9999,19,21,21,57,1.287502572,0.0005802009557243411
0.5,clsQDEIM,3,0.9999,19,21,21,57,1.10121469,0.001545712054158801
0.5,SOPT,3,0.9999,19,21,21,59,1.312143723,0.0001315263041422445
0.5,clsSOPT,3,0.9999,19,21,21,59,1.295311469,0.0004798129631293534
0.5,QDEIM,3,0.9999,19,21,21,59,1.32872762,0.0006316712251318711
0.5,clsQDEIM,3,0.9999,19,21,21,59,1.124764203,0.001515928408352543
0.5,SOPT,3,0.9999,19,21,21,61,1.358733362,0.0002160646370502662
0.5,clsSOPT,3,0.9999,19,21,21,61,1.31793788,0.0004783544338099877
0.5,QDEIM,3,0.9999,19,21,21,61,1.363941372,0.0006313809992749165
0.5,clsQDEIM,3,0.9999,19,21,21,61,1.12604136,0.0009107870933060454
0.5,SOPT,3,0.9999,19,21,21,63,1.371856037,0.0002524174739508686
0.5,clsSOPT,3,0.9999,19,21,21,63,1.352254115,0.0003752697276045602
0.5,QDEIM,3,0.9999,19,21,21,63,1.420151653,0.0002213514387814087
0.5,clsQDEIM,3,0.9999,19,21,21,63,1.16745035,0.00098587810659112
0.5,SOPT,3,0.9999,19,21,21,65,1.40934748,0.0002680118326319823
0.5,clsSOPT,3,0.9999,19,21,21,65,1.38872491,0.000361654248774977
0.5,QDEIM,3,0.9999,19,21,21,65,1.460927575,0.0002353899644141979
0.5,clsQDEIM,3,0.9999,19,21,21,65,1.215494491,0.001067179390201149
0.5,SOPT,3,0.9999,19,21,21,67,1.444245274,0.0001932842611781402
0.5,clsSOPT,3,0.9999,19,21,21,67,1.420256732,0.0002246175090558479
0.5,QDEIM,3,0.9999,19,21,21,67,1.48491185,0.0001976888853377519
0.5,clsQDEIM,3,0.9999,19,21,21,67,1.201979086,0.001107927371890838
0.5,SOPT,3,0.9999,19,21,21,69,1.47449702,0.000223936568903391
0.5,clsSOPT,3,0.9999,19,21,21,69,1.434709912,0.0002344982801542078
0.5,QDEIM,3,0.9999,19,21,21,69,1.520742568,0.0001250012295303337
0.5,clsQDEIM,3,0.9999,19,21,21,69,1.245019227,0.001091329688182492
0.5,SOPT,3,0.9999,19,21,21,71,1.522014996,0.000243610695968845
0.5,clsSOPT,3,0.9999,19,21,21,71,1.463709141,7.446410010963622e-05
0.5,QDEIM,3,0.9999,19,21,21,71,1.550867421,0.0002899612159615341
0.5,clsQDEIM,3,0.9999,19,21,21,71,1.268142271,0.001102165176308061
0.5,SOPT,4,0.99999,24,27,27,29,0.912761019,0.005966784705567499
0.5,clsSOPT,4,0.99999,24,27,27,29,0.925055602,0.003128827612773657
0.5,QDEIM,4,0.99999,24,27,27,29,0.894093628,0.004440348517238206
0.5,clsQDEIM,4,0.99999,24,27,27,29,0.8338399980000001,0.009464440073341122
0.5,SOPT,4,0.99999,24,27,27,31,0.938664524,0.005787396002095832
0.5,clsSOPT,4,0.99999,24,27,27,31,0.9515505989999999,0.003213279029308545
0.5,QDEIM,4,0.99999,24,27,27,31,0.933802463,0.004040035904542511
0.5,clsQDEIM,4,0.99999,24,27,27,31,0.869204856,0.009489473052454633
0.5,SOPT,4,0.99999,24,27,27,33,0.9811164010000001,0.003970050455475816
0.5,clsSOPT,4,0.99999,24,27,27,33,0.978844136,0.006120823199621367
0.5,QDEIM,4,0.99999,24,27,27,33,0.975110183,0.002130504274122324
0.5,clsQDEIM,4,0.99999,24,27,27,33,0.903413691,0.009499650644956911
0.5,SOPT,4,0.99999,24,27,27,35,1.019840892,0.003624629141346185
0.5,clsSOPT,4,0.99999,24,27,27,35,1.001661496,0.004391854619676287
0.5,QDEIM,4,0.99999,24,27,27,35,1.014315121,0.001902122363871316
0.5,clsQDEIM,4,0.99999,24,27,27,35,0.941975452,0.00706477534204981
0.5,SOPT,4,0.99999,24,27,27,37,1.040861626,0.006393552410525401
0.5,clsSOPT,4,0.99999,24,27,27,37,1.034147397,0.003554569172298397
0.5,QDEIM,4,0.99999,24,27,27,37,1.053618365,0.002024658372806016
0.5,clsQDEIM,4,0.99999,24,27,27,37,0.9800705750000001,0.006701123154391438
0.5,SOPT,4,0.99999,24,27,27,39,1.126662744,0.006440931382823986
0.5,clsSOPT,4,0.99999,24,27,27,39,1.066901831,0.004422206003484999
0.5,QDEIM,4,0.99999,24,27,27,39,1.098713822,0.002117617764157018
0.5,clsQDEIM,4,0.99999,24,27,27,39,1.052173937,0.006346119823501027
0.5,SOPT,4,0.99999,24,27,27,41,1.128816858,0.005464961121485763
0.5,clsSOPT,4,0.99999,24,27,27,41,1.117797564,0.003431520471126892
0.5,QDEIM,4,0.99999,24,27,27,41,1.177102874,0.002359617318872142
0.5,clsQDEIM,4,0.99999,24,27,27,41,1.025582472,0.006068162619481326
0.5,SOPT,4,0.99999,24,27,27,43,1.161811721,0.004616501248467203
0.5,clsSOPT,4,0.99999,24,27,27,43,1.140965021,0.0027419545166417
0.5,QDEIM,4,0.99999,24,27,27,43,1.14801036,0.002233423513442275
0.5,clsQDEIM,4,0.99999,24,27,27,43,1.06188679,0.005922615663877552
0.5,SOPT,4,0.99999,24,27,27,45,1.206964768,0.003481314390700467
0.5,clsSOPT,4,0.99999,24,27,27,45,1.178717857,0.001126804036394383
0.5,QDEIM,4,0.99999,24,27,27,45,1.243432225,0.002186363616675019
0.5,clsQDEIM,4,0.99999,24,27,27,45,1.115036935,0.005857318790213333
0.5,SOPT,4,0.99999,24,27,27,47,1.233493159,0.002703816343031113
0.5,clsSOPT,4,0.99999,24,27,27,47,1.205303726,0.0009001611618850661
0.5,QDEIM,4,0.99999,24,27,27,47,1.227244975,0.002161792109669826
0.5,clsQDEIM,4,0.99999,24,27,27,47,1.117404659,0.004469264536594049
0.5,SOPT,4,0.99999,24,27,27,49,1.276038928,0.002302007710513118
0.5,clsSOPT,4,0.99999,24,27,27,49,1.243111893,0.000776876040128823
0.5,QDEIM,4,0.99999,24,27,27,49,1.257014485,0.002160980729267778
0.5,clsQDEIM,4,0.99999,24,27,27,49,1.142500556,0.005557394494712589
0.5,SOPT,4,0.99999,24,27,27,51,1.303465729,0.002669237977280018
0.5,clsSOPT,4,0.99999,24,27,27,51,1.271266247,0.0005816462674366381
0.5,QDEIM,4,0.99999,24,27,27,51,1.297759867,0.002084880979674438
0.5,clsQDEIM,4,0.99999,24,27,27,51,1.176912467,0.006640426516235581
0.5,SOPT,4,0.99999,24,27,27,53,1.346735371,0.002047351021118055
0.5,clsSOPT,4,0.99999,24,27,27,53,1.324482268,0.0006717146370107062
0.5,QDEIM,4,0.99999,24,27,27,53,1.327564365,0.002044182304363453
0.5,clsQDEIM,4,0.99999,24,27,27,53,1.217451903,0.004228866155612653
0.5,SOPT,4,0.99999,24,27,27,55,1.384543685,0.001766647192391309
0.5,clsSOPT,4,0.99999,24,27,27,55,1.358300402,0.0008611497333436741
0.5,QDEIM,4,0.99999,24,27,27,55,1.365548559,0.002118450857756166
0.5,clsQDEIM,4,0.99999,24,27,27,55,1.244245158,0.003324988579882126
0.5,SOPT,4,0.99999,24,27,27,57,1.407538612,0.002171942609143064
0.5,clsSOPT,4,0.99999,24,27,27,57,1.392914492,0.0007867117866006006
0.5,QDEIM,4,0.99999,24,27,27,57,1.400973318,0.002674558255530122
0.5,clsQDEIM,4,0.99999,24,27,27,57,1.294702739,0.003398851156356053
0.5,SOPT,4,0.99999,24,27,27,59,1.433777283,0.002579174804714298
0.5,clsSOPT,4,0.99999,24,27,27,59,1.40428486,0.0004775248014075905
0.5,QDEIM,4,0.99999,24,27,27,59,1.431601846,0.0023493745078063
0.5,clsQDEIM,4,0.99999,24,27,27,59,1.322804571,0.003312497807243716
0.5,SOPT,4,0.99999,24,27,27,61,1.485014477,0.00206045489670487
0.5,clsSOPT,4,0.99999,24,27,27,61,1.446281566,0.0002606742355038608
0.5,QDEIM,4,0.99999,24,27,27,61,1.483597532,0.002349788483162885
0.5,clsQDEIM,4,0.99999,24,27,27,61,1.365807046,0.002608471907236487
0.5,SOPT,4,0.99999,24,27,27,63,1.501780859,0.0023771052449489
0.5,clsSOPT,4,0.99999,24,27,27,63,1.454257899,9.630733548753939e-05
0.5,QDEIM,4,0.99999,24,27,27,63,1.497206653,0.00234992879452978
0.5,clsQDEIM,4,0.99999,24,27,27,63,1.407797473,0.002777455013645909
0.5,SOPT,4,0.99999,24,27,27,65,1.535129342,0.001808293375889415
0.5,clsSOPT,4,0.99999,24,27,27,65,1.491481162,0.0005165944493913861
0.5,QDEIM,4,0.99999,24,27,27,65,1.507843409,0.002349999393451013
0.5,clsQDEIM,4,0.99999,24,27,27,65,1.430815893,0.002441724174763521
0.5,SOPT,4,0.99999,24,27,27,67,1.570222738,0.002019412036646075
0.5,clsSOPT,4,0.99999,24,27,27,67,1.530303858,0.00045697046486208
0.5,QDEIM,4,0.99999,24,27,27,67,1.548262927,0.002237808175828755
0.5,clsQDEIM,4,0.99999,24,27,27,67,1.447139377,0.001978557363181147
0.5,SOPT,4,0.99999,24,27,27,69,1.595635834,0.001897986706464331
0.5,clsSOPT,4,0.99999,24,27,27,69,1.557673368,0.001150812531664714
0.5,QDEIM,4,0.99999,24,27,27,69,1.567403149,0.002241645378070333
0.5,clsQDEIM,4,0.99999,24,27,27,69,1.480350666,0.002234235282607509
0.5,SOPT,4,0.99999,24,27,27,71,1.630687014,0.00174261714459989
0.5,clsSOPT,4,0.99999,24,27,27,71,1.580419495,0.0008725549379735647
0.5,QDEIM,4,0.99999,24,27,27,71,1.598253574,0.002306512692384905
0.5,clsQDEIM,4,0.99999,24,27,27,71,1.514752485,0.002159469897177894
0.5,SOPT,4,0.99999,24,27,27,73,1.672206918,0.0009582292335058162
0.5,clsSOPT,4,0.99999,24,27,27,73,1.6169725,0.000971006258805477
0.5,QDEIM,4,0.99999,24,27,27,73,1.634469279,0.002367291215002721
0.5,clsQDEIM,4,0.99999,24,27,27,73,1.545641352,0.00215907572385267
0.5,SOPT,4,0.99999,24,27,27,75,1.704146112,0.002073570035966019
0.5,clsSOPT,4,0.99999,24,27,27,75,1.642267452,0.0007792657130893629
0.5,QDEIM,4,0.99999,24,27,27,75,1.662385797,0.00190311451966358
0.5,clsQDEIM,4,0.99999,24,27,27,75,1.559829795,0.002447637429538358
0.5,SOPT,4,0.99999,24,27,27,77,1.750481619,0.001870044883029167
0.5,clsSOPT,4,0.99999,24,27,27,77,1.670054455,0.0005300052645726636
0.5,QDEIM,4,0.99999,24,27,27,77,1.71412064,0.001964250817863326
0.5,clsQDEIM,4,0.99999,24,27,27,77,1.599724252,0.002072758298620797
0.5,SOPT,5,0.999999,29,32,32,34,1.210066714,0.0005672799677576664
0.5,clsSOPT,5,0.999999,29,32,32,34,1.153171909,0.004728103882332831
0.5,QDEIM,5,0.999999,29,32,32,34,1.179844003,0.00140972542931506
0.5,clsQDEIM,5,0.999999,29,32,32,34,,
0.5,SOPT,5,0.999999,29,32,32,36,,
0.5,clsSOPT,5,0.999999,29,32,32,36,1.199977248,0.004300535447633536
0.5,QDEIM,5,0.999999,29,32,32,36,1.23835485,0.003620539266969432
0.5,clsQDEIM,5,0.999999,29,32,32,36,,
0.5,SOPT,5,0.999999,29,32,32,38,,
0.5,clsSOPT,5,0.999999,29,32,32,38,1.24524659,0.0009694326837600942
0.5,QDEIM,5,0.999999,29,32,32,38,1.265761042,0.003711659061295718
0.5,clsQDEIM,5,0.999999,29,32,32,38,,
0.5,SOPT,5,0.999999,29,32,32,40,,
0.5,clsSOPT,5,0.999999,29,32,32,40,1.249691344,0.003070883420467119
0.5,QDEIM,5,0.999999,29,32,32,40,1.312029833,0.009437516556721844
0.5,clsQDEIM,5,0.999999,29,32,32,40,,
0.5,SOPT,5,0.999999,29,32,32,42,1.381774408,0.006149297359191595
0.5,clsSOPT,5,0.999999,29,32,32,42,1.273104816,0.001569638030710751
0.5,QDEIM,5,0.999999,29,32,32,42,1.475696631,0.01795664126753948
0.5,clsQDEIM,5,0.999999,29,32,32,42,,
0.5,SOPT,5,0.999999,29,32,32,44,1.41357022,0.005926262594036096
0.5,clsSOPT,5,0.999999,29,32,32,44,1.31043644,0.0001967032411174689
0.5,QDEIM,5,0.999999,29,32,32,44,,
0.5,clsQDEIM,5,0.999999,29,32,32,44,,
0.5,SOPT,5,0.999999,29,32,32,46,1.490236248,0.01511138026077892
0.5,clsSOPT,5,0.999999,29,32,32,46,1.350624634,0.0009494673161419583
0.5,QDEIM,5,0.999999,29,32,32,46,1.498858024,0.04755757543108803
0.5,clsQDEIM,5,0.999999,29,32,32,46,1.394336967,0.008853469489110539
0.5,SOPT,5,0.999999,29,32,32,48,1.660587986,0.5130180214814921
0.5,clsSOPT,5,0.999999,29,32,32,48,1.379246389,0.001059707474626209
0.5,QDEIM,5,0.999999,29,32,32,48,1.553447789,0.01487238668324873
0.5,clsQDEIM,5,0.999999,29,32,32,48,1.36990312,0.006594080193375295
0.5,SOPT,5,0.999999,29,32,32,50,1.999928003,2.515130240055586
0.5,clsSOPT,5,0.999999,29,32,32,50,1.434453438,0.001807521917861611
0.5,QDEIM,5,0.999999,29,32,32,50,1.577223598,0.03834841522380378
0.5,clsQDEIM,5,0.999999,29,32,32,50,1.389592711,0.005996977229537737
0.5,SOPT,5,0.999999,29,32,32,52,,
0.5,clsSOPT,5,0.999999,29,32,32,52,1.493402258,0.0008456360718561205
0.5,QDEIM,5,0.999999,29,32,32,52,1.739592461,0.7305670185801559
0.5,clsQDEIM,5,0.999999,29,32,32,52,1.417063362,0.005853942451146784
0.5,SOPT,5,0.999999,29,32,32,54,1.590195612,0.006353685232072755
0.5,clsSOPT,5,0.999999,29,32,32,54,1.522720878,9.919210348345472e-05
0.5,QDEIM,5,0.999999,29,32,32,54,1.778984551,0.995412303434838
0.5,clsQDEIM,5,0.999999,29,32,32,54,1.462181166,0.005948473652389036
0.5,SOPT,5,0.999999,29,32,32,56,,
0.5,clsSOPT,5,0.999999,29,32,32,56,1.52525165,0.0004854581244708055
