p,method,n,energy_frac,rwdim,rrdim,nldim,nsr,time,error
,SOPT,3,0.9999,19,21,21,23,31.227901,0.628088467,0.0003701191790682943
0.4,clsthSOPT,3,0.9999,19,21,21,23,16.470061,0.6063082449999999,0.000932872305892366
0.4,thSOPT,3,0.9999,19,21,21,23,17.453132,0.621653734,0.000370119179068393
1,QDEIM,3,0.9999,19,21,21,23,28.023074,0.627734069,0.0002080659983241926
0.4,clsthQDEIM,3,0.9999,19,21,21,23,37.657246,0.5755284850000001,0.001527159751199076
0.4,thQDEIM,3,0.9999,19,21,21,23,38.650105,0.635035032,0.0002233693278309511
,SOPT,3,0.9999,19,21,21,25,23.059626,0.6657922519999999,0.0001162585406153712
0.4,clsthSOPT,3,0.9999,19,21,21,25,17.128776,0.6480377220000001,0.0009934786549469206
0.4,thSOPT,3,0.9999,19,21,21,25,27.682758,0.6557910769999999,0.0001162585406157579
1,QDEIM,3,0.9999,19,21,21,25,19.112825,0.7672755529999999,0.0003047137631543689
0.4,clsthQDEIM,3,0.9999,19,21,21,25,19.850391,0.6135634249999999,0.00119058954319272
0.4,thQDEIM,3,0.9999,19,21,21,25,21.206633,0.6441330860000001,0.0002226430234164094
,SOPT,3,0.9999,19,21,21,27,12.332072,0.7005723070000001,0.0001694438319742061
0.4,clsthSOPT,3,0.9999,19,21,21,27,13.519278,0.678544412,0.0005242238496806769
0.4,thSOPT,3,0.9999,19,21,21,27,18.426080,0.694883983,0.0001694438319738821
1,QDEIM,3,0.9999,19,21,21,27,22.002128,0.6926272320000001,0.0003117690571829636
0.4,clsthQDEIM,3,0.9999,19,21,21,27,13.460534,0.637158686,0.001059084253692282
0.4,thQDEIM,3,0.9999,19,21,21,27,14.763980,0.6795199200000001,0.000244501613670885
,SOPT,3,0.9999,19,21,21,29,9.736606,0.7322894799999999,0.000563095380548564
0.4,clsthSOPT,3,0.9999,19,21,21,29,13.753026,0.7108257870000001,0.0001415019665700237
0.4,thSOPT,3,0.9999,19,21,21,29,9.936048,0.724284629,0.0005630953805474002
1,QDEIM,3,0.9999,19,21,21,29,8.657774,0.730726718,0.000266643081623086
0.4,clsthQDEIM,3,0.9999,19,21,21,29,11.253179,0.6639812089999999,0.0009740201267611928
0.4,thQDEIM,3,0.9999,19,21,21,29,10.322055,0.7191061560000001,0.0002088468051130259
,SOPT,3,0.9999,19,21,21,31,9.448076,0.754689376,0.0006665527372493055
0.4,clsthSOPT,3,0.9999,19,21,21,31,8.247652,0.74035512,0.0001120541082188981
0.4,thSOPT,3,0.9999,19,21,21,31,6.263041,0.759478679,0.0006665527372486024
1,QDEIM,3,0.9999,19,21,21,31,10.236974,0.743323433,0.0007146900243293877
0.4,clsthQDEIM,3,0.9999,19,21,21,31,7.967135,0.686227775,0.0008422174899453287
0.4,thQDEIM,3,0.9999,19,21,21,31,8.528266,0.7425275099999999,0.0001782104853306383
,SOPT,3,0.9999,19,21,21,33,7.721130,0.7880190500000001,0.0004431549637903159
0.4,clsthSOPT,3,0.9999,19,21,21,33,7.558579,0.771251044,9.264374207958723e-05
0.4,thSOPT,3,0.9999,19,21,21,33,6.546535,0.795009832,0.0004431549637900662
1,QDEIM,3,0.9999,19,21,21,33,7.161811,0.779581241,0.0007601535148898243
0.4,clsthQDEIM,3,0.9999,19,21,21,33,6.723662,0.732901271,0.001265023109881001
0.4,thQDEIM,3,0.9999,19,21,21,33,11.434567,0.780230415,0.0003095380556107966
,SOPT,3,0.9999,19,21,21,35,5.386876,0.818582726,0.0006982988046471187
0.4,clsthSOPT,3,0.9999,19,21,21,35,6.473090,0.7978429570000001,0.0001313169997397467
0.4,thSOPT,3,0.9999,19,21,21,35,4.827700,0.818299816,0.000698298804647136
1,QDEIM,3,0.9999,19,21,21,35,6.666146,0.814713883,0.000605842735060017
0.4,clsthQDEIM,3,0.9999,19,21,21,35,5.515644,0.732396913,0.001343855842784503
0.4,thQDEIM,3,0.9999,19,21,21,35,5.702118,0.801723491,0.000532083607592231
,SOPT,3,0.9999,19,21,21,37,5.691507,0.8527804139999999,0.0004290210837104555
0.4,clsthSOPT,3,0.9999,19,21,21,37,6.962568,0.829416186,8.982333377313945e-05
0.4,thSOPT,3,0.9999,19,21,21,37,5.556807,0.855830102,0.0004290210837105953
1,QDEIM,3,0.9999,19,21,21,37,9.032751,0.846506812,0.0003873209858284718
0.4,clsthQDEIM,3,0.9999,19,21,21,37,5.010629,0.779325856,0.001271076226502725
0.4,thQDEIM,3,0.9999,19,21,21,37,7.751398,0.840877446,0.0005199442792758482
,SOPT,3,0.9999,19,21,21,39,5.141410,0.881288161,0.0004184547807224449
0.4,clsthSOPT,3,0.9999,19,21,21,39,6.503423,0.855796291,0.0002911647961431666
0.4,thSOPT,3,0.9999,19,21,21,39,5.846446,0.888493785,0.0004184547807223142
1,QDEIM,3,0.9999,19,21,21,39,6.746065,0.880749115,0.000360699153907191
0.4,clsthQDEIM,3,0.9999,19,21,21,39,6.126525,0.79800773,0.0004162052068688578
0.4,thQDEIM,3,0.9999,19,21,21,39,6.168693,0.869055194,0.0006968255460531151
,SOPT,3,0.9999,19,21,21,41,7.245145,0.908654758,0.000391704477051771
0.4,clsthSOPT,3,0.9999,19,21,21,41,6.644692,0.8815373129999999,0.000339962870374645
0.4,thSOPT,3,0.9999,19,21,21,41,5.645048,0.927677734,0.0003917044770513003
1,QDEIM,3,0.9999,19,21,21,41,4.875329,0.921966376,0.0004538467812482973
0.4,clsthQDEIM,3,0.9999,19,21,21,41,6.703294,0.820561923,0.0004015592095960718
0.4,thQDEIM,3,0.9999,19,21,21,41,5.125470,0.897356489,0.0008444477451613871
,SOPT,3,0.9999,19,21,21,43,5.327270,0.941581636,0.0003307410708348265
0.4,clsthSOPT,3,0.9999,19,21,21,43,5.548235,0.912332609,0.0002771974721591836
0.4,thSOPT,3,0.9999,19,21,21,43,4.860745,0.957876321,0.0003307410708350209
1,QDEIM,3,0.9999,19,21,21,43,5.324490,0.937997869,0.0004711202921762566
0.4,clsthQDEIM,3,0.9999,19,21,21,43,4.647857,0.8609011670000001,0.0004339383780861757
0.4,thQDEIM,3,0.9999,19,21,21,43,5.997100,0.927268634,0.0008747952520714777
,SOPT,3,0.9999,19,21,21,45,4.223863,1.008840836,9.44275783360269e-05
0.4,clsthSOPT,3,0.9999,19,21,21,45,5.730878,0.931187921,0.0002599932117201688
0.4,thSOPT,3,0.9999,19,21,21,45,4.571887,0.989915362,9.44275783357345e-05
1,QDEIM,3,0.9999,19,21,21,45,5.822470,0.966162508,0.0004744102678447797
0.4,clsthQDEIM,3,0.9999,19,21,21,45,4.605252,0.897096988,0.0002295109155849499
0.4,thQDEIM,3,0.9999,19,21,21,45,5.330707,0.959991877,0.0007798156910226541
,SOPT,3,0.9999,19,21,21,47,4.794221,1.000579862,8.530622274075963e-05
0.4,clsthSOPT,3,0.9999,19,21,21,47,4.963891,0.961812699,0.000204657580830127
0.4,thSOPT,3,0.9999,19,21,21,47,5.021298,1.016040516,8.530622274077741e-05
1,QDEIM,3,0.9999,19,21,21,47,4.059680,1.009222355,0.0005312979802043036
0.4,clsthQDEIM,3,0.9999,19,21,21,47,5.388242,0.935094065,0.0002740994350522772
0.4,thQDEIM,3,0.9999,19,21,21,47,4.835504,0.986444622,0.0007648885987444682
,SOPT,3,0.9999,19,21,21,49,4.414544,1.01953627,8.479699620476482e-05
0.4,clsthSOPT,3,0.9999,19,21,21,49,4.921220,0.997106723,0.0001083661981696339
