method,pv,t,n,ef,xx,vv,ee,q,condV,condE,time,ErrX,ErrV,ErrE
clsqdeim,0.13,0.1,0.1,1,0.99,4,3,11,5,11.442223,2.321128,2.48086,2.58357e-05,0.011024,0.000532878
clssopt,0.13,0.1,0.1,1,0.99,4,3,11,5,14.588046,2.816936,2.70957,4.37016e-05,0.0107649,0.000176602
thqdeim,0.13,0.1,0.1,1,0.99,4,3,11,5,13.430991,1.853693,1.74185,4.64126e-06,0.00108623,2.06147e-05
thsopt,0.13,0.1,0.1,1,0.99,4,3,11,5,9.629911,7.403094,1.96238,1.05623e-05,0.00395186,9.86209e-05
clsqdeim,0.13,0.0,0.1,1,0.99,4,3,11,5,11.442223,2.103171,2.2625,6.58918e-06,0.00169679,5.95297e-05
clssopt,0.13,0.0,0.1,1,0.99,4,3,11,5,14.588046,6.007291,2.7073,0.000152156,0.0291999,0.00033237
thqdeim,0.13,0.0,0.1,1,0.99,4,3,11,5,13.430991,1.975094,1.84809,4.64126e-06,0.00108623,2.06147e-05
thsopt,0.13,0.0,0.1,1,0.99,4,3,11,5,9.629911,4.593558,1.95864,1.06855e-05,0.00399474,9.97988e-05
clsqdeim,0.13,0.1,0.1,1,0.99,4,3,11,10,7.573411,1.499019,2.94087,1.46749e-05,0.00589449,0.00016987
clssopt,0.13,0.1,0.1,1,0.99,4,3,11,10,6.276012,11.513369,3.16642,2.74966e-05,0.00380389,8.0366e-05
thqdeim,0.13,0.1,0.1,1,0.99,4,3,11,10,8.642938,1.585409,2.46561,6.33526e-06,0.000874384,2.61147e-05
thsopt,0.13,0.1,0.1,1,0.99,4,3,11,10,6.207428,2.158055,2.52081,3.06537e-06,0.00199645,6.66546e-05
clsqdeim,0.13,0.0,0.1,1,0.99,4,3,11,10,7.573411,2.099291,2.50687,2.0745e-06,0.00177794,2.12742e-05
clssopt,0.13,0.0,0.1,1,0.99,4,3,11,10,6.276012,97.779745,3.54763,0.000542901,0.200867,0.00436933
thqdeim,0.13,0.0,0.1,1,0.99,4,3,11,10,8.642938,1.441947,2.31808,6.33029e-06,0.000862728,2.6141e-05
thsopt,0.13,0.0,0.1,1,0.99,4,3,11,10,6.207428,1.906226,2.55758,3.05256e-06,0.00200519,6.69307e-05
clsqdeim,0.13,0.1,0.1,1,0.99,4,3,11,15,7.822907,2.131625,3.03744,1.36432e-05,0.00622206,9.82264e-05
clssopt,0.13,0.1,0.1,1,0.99,4,3,11,15,5.214023,8.576737,4.20386,1.93486e-05,0.00407659,9.3976e-05
thqdeim,0.13,0.1,0.1,1,0.99,4,3,11,15,9.648869,2.435817,2.60546,3.23453e-06,0.00221899,2.89511e-05
thsopt,0.13,0.1,0.1,1,0.99,4,3,11,15,5.199074,2.349754,2.96338,4.5438e-06,0.00325645,0.000128759
