method,energy_frac,rwdim,rrdim,nldim,nsr,nqp,time,error
EQPGlobal,0.9,2,3,3,,50,0.142496216,0.1010139714101931
EQP,0.9,2,3,3,20,20,0.06139764900000001,0.1011223443339737
SOPT,0.9,2,3,3,20,132,0.335510718,0.09867174432253437
gappy-POD,0.9,2,3,3,20,160,0.405359249,0.09542024093040533
QDEIM,0.9,2,3,3,20,160,0.4132205,0.1013793649736895
EQP,0.9,2,3,3,40,40,0.083714649,0.101007502690141
SOPT,0.9,2,3,3,40,280,0.6830102229999999,0.09867174432253437
gappy-POD,0.9,2,3,3,40,320,0.734011369,0.09564051053166724
QDEIM,0.9,2,3,3,40,320,0.711646047,0.1020392204893477
EQP,0.9,2,3,3,60,50,0.09432934000000001,0.1010139714101931
SOPT,0.9,2,3,3,60,424,0.92564177,0.09867174432253437
gappy-POD,0.9,2,3,3,60,464,1.011676983,0.09636247651873256
QDEIM,0.9,2,3,3,60,480,1.023681639,0.1026497601256473
EQP,0.9,2,3,3,80,50,0.09609883900000001,0.1010139714101931
SOPT,0.9,2,3,3,80,556,1.197521901,0.0986717533775331
gappy-POD,0.9,2,3,3,80,596,1.279859639,0.09726445234699603
QDEIM,0.9,2,3,3,80,560,1.187703054,0.1026892296762518
EQP,0.9,2,3,3,100,50,0.096237794,0.1010139714101931
SOPT,0.9,2,3,3,100,636,1.388181741,0.09867210668190816
gappy-POD,0.9,2,3,3,100,736,1.570935439,0.09771638012423275
QDEIM,0.9,2,3,3,100,632,1.334407333,0.1028089509311051
EQP,0.9,2,3,3,120,50,0.09427745200000001,0.1010139714101931
SOPT,0.9,2,3,3,120,696,1.608174312,0.09867302113898442
gappy-POD,0.9,2,3,3,120,896,1.865354563,0.09771873708894958
QDEIM,0.9,2,3,3,120,712,1.469360499,0.1031557684758124
EQP,0.9,2,3,3,140,50,0.096038602,0.1010139714101931
SOPT,0.9,2,3,3,140,776,1.648047789,0.09867406875196516
gappy-POD,0.9,2,3,3,140,972,2.049967345,0.09915628199985896
QDEIM,0.9,2,3,3,140,788,1.651335633,0.1028975845082973
EQP,0.9,2,3,3,160,50,0.095137465,0.1010139714101931
SOPT,0.9,2,3,3,160,856,1.946337743,0.09867680279376229
gappy-POD,0.9,2,3,3,160,1052,2.186364078,0.09939168938457332
QDEIM,0.9,2,3,3,160,868,1.900512005,0.1029599072295583
