method,energy_frac,rwdim,rrdim,nldim,nsr,nqp,time,error
EQPGlobal,0.9,4,6,6,,90,0.29869315,0.01226703248769512
EQP,0.9,4,6,6,20,20,0.115536917,0.01215122645494749
EQP,0.9,4,6,6,40,40,0.1564495,0.01226108349455627
EQP,0.9,4,6,6,60,60,0.20040608,0.01225410901107973
EQP,0.9,4,6,6,80,80,0.2491380049999999,0.01227784027389742
EQP,0.9,4,6,6,100,90,0.311139329,0.01226703248769512
EQP,0.9,4,6,6,120,90,0.2998817899999999,0.01226703248769512
EQP,0.9,4,6,6,140,90,0.301448466,0.01226703248769512
EQP,0.9,4,6,6,160,90,0.30008743,0.01226703248769512
EQP,0.9,4,6,6,180,90,0.297547567,0.01226703248769512
EQP,0.9,4,6,6,200,90,0.297655286,0.01226703248769512
EQP,0.9,4,6,6,220,90,0.309643259,0.01226703248769512
EQP,0.9,4,6,6,240,90,0.298412628,0.01226703248769512
EQP,0.9,4,6,6,260,90,0.305840426,0.01226703248769512
EQP,0.9,4,6,6,280,90,0.299685297,0.01226703248769512
EQP,0.9,4,6,6,300,90,0.29804894,0.01226703248769512
EQP,0.9,4,6,6,320,90,0.297460145,0.01226703248769512
EQP,0.9,4,6,6,340,90,0.297702039,0.01226703248769512
EQP,0.9,4,6,6,360,90,0.297731674,0.01226703248769512
EQP,0.9,4,6,6,380,90,0.29861075,0.01226703248769512
EQP,0.9,4,6,6,400,90,0.300237634,0.01226703248769512
EQP,0.9,4,6,6,420,90,0.2921613909999999,0.01226703248769512
EQP,0.9,4,6,6,440,90,0.3056540379999999,0.01226703248769512
EQP,0.9,4,6,6,460,90,0.298449729,0.01226703248769512
EQP,0.9,4,6,6,480,90,0.312781302,0.01226703248769512
EQP,0.9,4,6,6,500,90,0.301824734,0.01226703248769512
EQP,0.9,4,6,6,520,90,0.3023973959999999,0.01226703248769512
EQP,0.9,4,6,6,540,90,0.2976589949999999,0.01226703248769512
EQP,0.9,4,6,6,560,90,0.300435238,0.01226703248769512
EQP,0.9,4,6,6,580,90,0.312600817,0.01226703248769512
EQP,0.9,4,6,6,600,90,0.302956181,0.01226703248769512
EQP,0.9,4,6,6,620,90,0.296162988,0.01226703248769512
EQP,0.9,4,6,6,640,90,0.299710264,0.01226703248769512
EQP,0.9,4,6,6,660,90,0.303209027,0.01226703248769512
EQP,0.9,4,6,6,680,90,0.304122361,0.01226703248769512
EQP,0.9,4,6,6,700,90,0.302434847,0.01226703248769512
EQP,0.9,4,6,6,720,90,0.303958909,0.01226703248769512
EQP,0.9,4,6,6,740,90,0.2984674639999999,0.01226703248769512
EQP,0.9,4,6,6,760,90,0.298052632,0.01226703248769512
EQP,0.9,4,6,6,780,90,0.297142449,0.01226703248769512
EQP,0.9,4,6,6,800,90,0.296321086,0.01226703248769512
EQP,0.9,4,6,6,820,90,0.311048189,0.01226703248769512
EQP,0.9,4,6,6,840,90,0.301647508,0.01226703248769512
EQP,0.9,4,6,6,860,90,0.301461098,0.01226703248769512
EQP,0.9,4,6,6,880,90,0.302646995,0.01226703248769512
EQP,0.9,4,6,6,900,90,0.300079316,0.01226703248769512
EQP,0.9,4,6,6,920,90,0.298324064,0.01226703248769512
EQP,0.9,4,6,6,940,90,0.30757421,0.01226703248769512
EQP,0.9,4,6,6,960,90,0.303610108,0.01226703248769512
EQP,0.9,4,6,6,980,90,0.308467464,0.01226703248769512
EQP,0.9,4,6,6,1000,90,0.31309646,0.01226703248769512
EQP,0.9,4,6,6,1020,90,0.302692591,0.01226703248769512
EQP,0.9,4,6,6,1040,90,0.302503856,0.01226703248769512
EQPGlobal,0.99,9,11,11,1040,150,0.8355855280000001,7.714537975827323e-05
EQP,0.99,9,11,11,20,20,0.215360576,0.007463309891708615
EQP,0.99,9,11,11,40,40,0.348311106,0.0003518381514477955
EQP,0.99,9,11,11,60,60,0.422469073,7.5118739357402e-05
EQP,0.99,9,11,11,80,80,0.5092773479999999,7.586822218015546e-05
EQP,0.99,9,11,11,100,100,0.59758125,7.698590251378606e-05
EQP,0.99,9,11,11,120,120,0.6894402479999999,7.70468952664555e-05
EQP,0.99,9,11,11,140,140,0.780341192,7.708049568923895e-05
EQP,0.99,9,11,11,160,150,0.837446522,7.714537975827323e-05
EQP,0.99,9,11,11,180,150,0.83226477,7.714537975827323e-05
EQP,0.99,9,11,11,200,150,0.8278733110000001,7.714537975827323e-05
EQP,0.99,9,11,11,220,150,0.830249908,7.714537975827323e-05
EQP,0.99,9,11,11,240,150,0.831087863,7.714537975827323e-05
EQP,0.99,9,11,11,260,150,0.825448753,7.714537975827323e-05
EQP,0.99,9,11,11,280,150,0.830842167,7.714537975827323e-05
EQP,0.99,9,11,11,300,150,0.8264653280000001,7.714537975827323e-05
EQP,0.99,9,11,11,320,150,0.828071602,7.714537975827323e-05
EQP,0.99,9,11,11,340,150,0.8282384140000001,7.714537975827323e-05
EQP,0.99,9,11,11,360,150,0.825161908,7.714537975827323e-05
EQP,0.99,9,11,11,380,150,0.8177239740000001,7.714537975827323e-05
EQP,0.99,9,11,11,400,150,0.834851221,7.714537975827323e-05
EQP,0.99,9,11,11,420,150,0.823556109,7.714537975827323e-05
EQP,0.99,9,11,11,440,150,0.827803832,7.714537975827323e-05
EQP,0.99,9,11,11,460,150,0.827166853,7.714537975827323e-05
EQP,0.99,9,11,11,480,150,0.832801977,7.714537975827323e-05
EQP,0.99,9,11,11,500,150,0.826945384,7.714537975827323e-05
EQP,0.99,9,11,11,520,150,0.829683083,7.714537975827323e-05
EQP,0.99,9,11,11,540,150,0.823279734,7.714537975827323e-05
EQP,0.99,9,11,11,560,150,0.823734937,7.714537975827323e-05
EQP,0.99,9,11,11,580,150,0.834557931,7.714537975827323e-05
EQP,0.99,9,11,11,600,150,0.823891864,7.714537975827323e-05
EQP,0.99,9,11,11,620,150,0.831377209,7.714537975827323e-05
EQP,0.99,9,11,11,640,150,0.821503862,7.714537975827323e-05
EQP,0.99,9,11,11,660,150,0.823567417,7.714537975827323e-05
EQP,0.99,9,11,11,680,150,0.83100788,7.714537975827323e-05
EQP,0.99,9,11,11,700,150,0.8218936530000001,7.714537975827323e-05
EQP,0.99,9,11,11,720,150,0.827253563,7.714537975827323e-05
EQP,0.99,9,11,11,740,150,0.827711672,7.714537975827323e-05
EQP,0.99,9,11,11,760,150,0.833028204,7.714537975827323e-05
EQP,0.99,9,11,11,780,150,0.8265546459999999,7.714537975827323e-05
EQP,0.99,9,11,11,800,150,0.825647241,7.714537975827323e-05
EQP,0.99,9,11,11,820,150,0.82570444,7.714537975827323e-05
EQP,0.99,9,11,11,840,150,0.833842653,7.714537975827323e-05
EQP,0.99,9,11,11,860,150,0.8373841590000001,7.714537975827323e-05
EQP,0.99,9,11,11,880,150,0.836024476,7.714537975827323e-05
EQP,0.99,9,11,11,900,150,0.8375721110000001,7.714537975827323e-05
EQP,0.99,9,11,11,920,150,0.83424426,7.714537975827323e-05
EQP,0.99,9,11,11,940,150,0.830379432,7.714537975827323e-05
EQP,0.99,9,11,11,960,150,0.826448537,7.714537975827323e-05
EQP,0.99,9,11,11,980,150,0.8263735169999999,7.714537975827323e-05
EQP,0.99,9,11,11,1000,150,0.833812556,7.714537975827323e-05
EQP,0.99,9,11,11,1020,150,0.828370513,7.714537975827323e-05
EQP,0.99,9,11,11,1040,150,0.8353328590000001,7.714537975827323e-05
EQPGlobal,0.999,14,16,16,1040,191,1.769379513,5.056453289884114e-07
EQP,0.999,14,16,16,20,20,0.388692622,0.03160733116710774
EQP,0.999,14,16,16,40,40,0.529762776,0.002035597271722022
EQP,0.999,14,16,16,60,60,0.694167287,0.0002437989308945955
EQP,0.999,14,16,16,80,80,0.870028058,2.784635379894575e-05
EQP,0.999,14,16,16,100,100,1.042883701,9.421499121501027e-06
EQP,0.999,14,16,16,120,120,1.206100172,1.757483502925566e-06
EQP,0.999,14,16,16,140,140,1.382496636,6.99593729054529e-07
EQP,0.999,14,16,16,160,160,1.519666096,5.085002506807533e-07
EQP,0.999,14,16,16,180,180,1.68373224,5.041648072389438e-07
EQP,0.999,14,16,16,200,191,1.784078972,5.056453289884114e-07
EQP,0.999,14,16,16,220,191,1.776152754,5.056453289884114e-07
EQP,0.999,14,16,16,240,191,1.769654046,5.056453289884114e-07
EQP,0.999,14,16,16,260,191,1.782379381,5.056453289884114e-07
EQP,0.999,14,16,16,280,191,1.786568891,5.056453289884114e-07
EQP,0.999,14,16,16,300,191,1.786281159,5.056453289884114e-07
EQP,0.999,14,16,16,320,191,1.783435567,5.056453289884114e-07
EQP,0.999,14,16,16,340,191,1.785075237,5.056453289884114e-07
EQP,0.999,14,16,16,360,191,1.786023702,5.056453289884114e-07
EQP,0.999,14,16,16,380,191,1.78638812,5.056453289884114e-07
EQP,0.999,14,16,16,400,191,1.77044995,5.056453289884114e-07
EQP,0.999,14,16,16,420,191,1.786224024,5.056453289884114e-07
EQP,0.999,14,16,16,440,191,1.769648312,5.056453289884114e-07
EQP,0.999,14,16,16,460,191,1.787268412,5.056453289884114e-07
EQP,0.999,14,16,16,480,191,1.782775484,5.056453289884114e-07
EQP,0.999,14,16,16,500,191,1.774795283,5.056453289884114e-07
EQP,0.999,14,16,16,520,191,1.783864265,5.056453289884114e-07
EQP,0.999,14,16,16,540,191,1.788954369,5.056453289884114e-07
