method,t,energy_frac,rxdim,rvdim,nldim,q,nqp,time,err_x,err_v
EQPGlobal,1.0,0.9,1,2,202,2048,198,0.0253466,7.19825e-05,0.144835
EQP,1.0,0.9,1,2,2048,20,20,0.00526862,7.75557e-05,0.279728
SOPT,1.0,0.9,1,2,3,20,279,0.077757,0.00132333,0.214198
gappy-POD,1.0,0.9,1,2,3,20,144,0.0424091,0.00181517,0.283438
QDEIM,1.0,0.9,1,2,3,20,144,0.0425106,0.00181517,0.283438
EQP,1.0,0.9,1,2,2048,40,40,0.00893433,7.63051e-05,0.279118
SOPT,1.0,0.9,1,2,3,40,360,0.0956424,0.00118782,0.195167
gappy-POD,1.0,0.9,1,2,3,40,261,0.0728958,0.00175896,0.275633
QDEIM,1.0,0.9,1,2,3,40,234,0.0655283,0.00175896,0.275633
EQP,1.0,0.9,1,2,2048,60,60,0.0110375,7.7667e-05,0.273016
SOPT,1.0,0.9,1,2,3,60,531,0.14213,0.000839056,0.146275
gappy-POD,1.0,0.9,1,2,3,60,378,0.10184,0.00164808,0.260254
QDEIM,1.0,0.9,1,2,3,60,351,0.0953202,0.00164808,0.260254
EQP,1.0,0.9,1,2,2048,80,80,0.0131451,7.72138e-05,0.271922
SOPT,1.0,0.9,1,2,3,80,711,0.187405,0.000608378,0.113424
gappy-POD,1.0,0.9,1,2,3,80,504,0.134541,0.00143101,0.230123
QDEIM,1.0,0.9,1,2,3,80,441,0.119443,0.00143101,0.230123
EQP,1.0,0.9,1,2,2048,100,100,0.0149869,8.16252e-05,0.227131
SOPT,1.0,0.9,1,2,3,100,765,0.200793,0.000562461,0.107045
gappy-POD,1.0,0.9,1,2,3,100,621,0.164662,0.00117076,0.193779
QDEIM,1.0,0.9,1,2,3,100,540,0.144653,0.00117076,0.193779
EQP,1.0,0.9,1,2,2048,120,120,0.0173682,7.59411e-05,0.180607
SOPT,1.0,0.9,1,2,3,120,801,0.213189,0.00049629,0.097371
gappy-POD,1.0,0.9,1,2,3,120,684,0.181718,0.00103173,0.174319
QDEIM,1.0,0.9,1,2,3,120,639,0.170628,0.00103173,0.174319
EQP,1.0,0.9,1,2,2048,140,140,0.0190649,7.63265e-05,0.18132
SOPT,1.0,0.9,1,2,3,140,873,0.22981,0.000374135,0.0808155
gappy-POD,1.0,0.9,1,2,3,140,693,0.18297,0.00101294,0.171705
QDEIM,1.0,0.9,1,2,3,140,747,0.197413,0.00101294,0.171705
EQP,1.0,0.9,1,2,2048,160,160,0.021345,7.79927e-05,0.196916
SOPT,1.0,0.9,1,2,3,160,918,0.241733,0.000316382,0.0733274
gappy-POD,1.0,0.9,1,2,3,160,729,0.191292,0.000983481,0.167592
QDEIM,1.0,0.9,1,2,3,160,747,0.19559,0.000983481,0.167592
EQP,1.0,0.9,1,2,2048,180,180,0.0232061,7.76233e-05,0.19316
SOPT,1.0,0.9,1,2,3,180,945,0.247992,0.000264141,0.0657763
gappy-POD,1.0,0.9,1,2,3,180,765,0.202295,0.000913773,0.157836
QDEIM,1.0,0.9,1,2,3,180,774,0.203911,0.000913773,0.157836
EQP,1.0,0.9,1,2,2048,200,198,0.0252087,7.19825e-05,0.144835
SOPT,1.0,0.9,1,2,3,200,981,0.256861,0.000224464,0.0608267
gappy-POD,1.0,0.9,1,2,3,200,810,0.213573,0.000755708,0.135715
QDEIM,1.0,0.9,1,2,3,200,801,0.211523,0.000755708,0.135715
EQP,1.0,0.9,1,2,2048,220,198,0.0255868,7.19825e-05,0.144835
SOPT,1.0,0.9,1,2,3,220,1017,0.266935,0.000186518,0.055834
gappy-POD,1.0,0.9,1,2,3,220,837,0.220162,0.000673733,0.124178
QDEIM,1.0,0.9,1,2,3,220,837,0.221403,0.000673733,0.124178
EQP,1.0,0.9,1,2,2048,240,198,0.0254738,7.19825e-05,0.144835
SOPT,1.0,0.9,1,2,3,240,1044,0.273006,0.000153533,0.0509533
gappy-POD,1.0,0.9,1,2,3,240,855,0.225852,0.000629712,0.118005
QDEIM,1.0,0.9,1,2,3,240,864,0.227009,0.000629712,0.118005
EQP,1.0,0.9,1,2,2048,260,198,0.0253617,7.19825e-05,0.144835
SOPT,1.0,0.9,1,2,3,260,1080,0.286207,0.000109517,0.0436139
gappy-POD,1.0,0.9,1,2,3,260,882,0.230466,0.000527826,0.103645
QDEIM,1.0,0.9,1,2,3,260,882,0.235754,0.000527826,0.103645
EQP,1.0,0.9,1,2,2048,280,198,0.0249487,7.19825e-05,0.144835
SOPT,1.0,0.9,1,2,3,280,1107,0.288713,8.43217e-05,0.0389275
gappy-POD,1.0,0.9,1,2,3,280,900,0.234869,0.000485011,0.0976692
QDEIM,1.0,0.9,1,2,3,280,927,0.247904,0.000485011,0.0976692
EQP,1.0,0.9,1,2,2048,300,198,0.0250955,7.19825e-05,0.144835
SOPT,1.0,0.9,1,2,3,300,1143,0.298942,6.48887e-05,0.0326282
gappy-POD,1.0,0.9,1,2,3,300,918,0.239669,0.000463657,0.0946886
QDEIM,1.0,0.9,1,2,3,300,954,0.251173,0.000463657,0.0946886
EQP,1.0,0.9,1,2,2048,320,198,0.0248474,7.19825e-05,0.144835
SOPT,1.0,0.9,1,2,3,320,1152,0.300259,6.51193e-05,0.0313782
gappy-POD,1.0,0.9,1,2,3,320,954,0.250277,0.000429438,0.0898602
QDEIM,1.0,0.9,1,2,3,320,954,0.251438,0.000429438,0.0898602
EQP,1.0,0.9,1,2,2048,340,198,0.0250961,7.19825e-05,0.144835
SOPT,1.0,0.9,1,2,3,340,1152,0.300761,6.51358e-05,0.0315872
gappy-POD,1.0,0.9,1,2,3,340,972,0.253918,0.0003827,0.0833253
QDEIM,1.0,0.9,1,2,3,340,954,0.254602,0.0003827,0.0833253
EQP,1.0,0.9,1,2,2048,360,198,0.0249148,7.19825e-05,0.144835
SOPT,1.0,0.9,1,2,3,360,1152,0.302618,6.51301e-05,0.0316035
gappy-POD,1.0,0.9,1,2,3,360,990,0.262771,0.000359423,0.0800437
QDEIM,1.0,0.9,1,2,3,360,981,0.260163,0.000359423,0.0800437
EQP,1.0,0.9,1,2,2048,380,198,0.025012,7.19825e-05,0.144835
SOPT,1.0,0.9,1,2,3,380,1152,0.299025,6.51499e-05,0.0318345
gappy-POD,1.0,0.9,1,2,3,380,1089,0.287908,0.000119573,0.0457091
QDEIM,1.0,0.9,1,2,3,380,1053,0.281166,0.000119573,0.0457091
EQP,1.0,0.9,1,2,2048,400,198,0.0254083,7.19825e-05,0.144835
SOPT,1.0,0.9,1,2,3,400,1152,0.300801,6.5172e-05,0.0320389
gappy-POD,1.0,0.9,1,2,3,400,1152,0.306553,6.51618e-05,0.0321242
QDEIM,1.0,0.9,1,2,3,400,1107,0.292326,6.51618e-05,0.0321242
EQP,1.0,0.9,1,2,2048,420,198,0.0252614,7.19825e-05,0.144835
SOPT,1.0,0.9,1,2,3,420,1152,0.301327,6.5185e-05,0.0323733
gappy-POD,1.0,0.9,1,2,3,420,1152,0.305163,6.51615e-05,0.0321007
QDEIM,1.0,0.9,1,2,3,420,1116,0.290513,6.51615e-05,0.0321007
EQP,1.0,0.9,1,2,2048,440,198,0.0250679,7.19825e-05,0.144835
SOPT,1.0,0.9,1,2,3,440,1152,0.303135,6.52127e-05,0.0328133
gappy-POD,1.0,0.9,1,2,3,440,1152,0.301446,6.51625e-05,0.0321266
QDEIM,1.0,0.9,1,2,3,440,1116,0.292881,6.51625e-05,0.0321266
EQP,1.0,0.9,1,2,2048,460,198,0.0252256,7.19825e-05,0.144835
SOPT,1.0,0.9,1,2,3,460,1152,0.303236,6.51998e-05,0.0327406
gappy-POD,1.0,0.9,1,2,3,460,1152,0.305741,6.51608e-05,0.0320949
QDEIM,1.0,0.9,1,2,3,460,1116,0.295077,6.51608e-05,0.0320949
EQP,1.0,0.9,1,2,2048,480,198,0.0252848,7.19825e-05,0.144835
SOPT,1.0,0.9,1,2,3,480,1152,0.302427,6.51914e-05,0.0327428
gappy-POD,1.0,0.9,1,2,3,480,1152,0.299757,6.51608e-05,0.0320899
QDEIM,1.0,0.9,1,2,3,480,1134,0.302379,6.51608e-05,0.0320899
EQP,1.0,0.9,1,2,2048,500,198,0.0258883,7.19825e-05,0.144835
SOPT,1.0,0.9,1,2,3,500,1152,0.299577,6.51921e-05,0.0326877
gappy-POD,1.0,0.9,1,2,3,500,1152,0.304517,6.51603e-05,0.0320856
QDEIM,1.0,0.9,1,2,3,500,1134,0.30438,6.51603e-05,0.0320856
EQP,1.0,0.9,1,2,2048,520,198,0.0253111,7.19825e-05,0.144835
SOPT,1.0,0.9,1,2,3,520,1152,0.301767,6.51926e-05,0.032655
gappy-POD,1.0,0.9,1,2,3,520,1152,0.304841,6.51601e-05,0.0320827
QDEIM,1.0,0.9,1,2,3,520,1152,0.307968,6.51601e-05,0.0320827
EQP,1.0,0.9,1,2,2048,540,198,0.0252089,7.19825e-05,0.144835
SOPT,1.0,0.9,1,2,3,540,1152,0.30157,6.52022e-05,0.0326052
gappy-POD,1.0,0.9,1,2,3,540,1152,0.306797,6.516e-05,0.0320821
QDEIM,1.0,0.9,1,2,3,540,1152,0.308553,6.516e-05,0.0320821
EQP,1.0,0.9,1,2,2048,560,198,0.0250178,7.19825e-05,0.144835
SOPT,1.0,0.9,1,2,3,560,1152,0.301712,6.52074e-05,0.0328028
gappy-POD,1.0,0.9,1,2,3,560,1152,0.303721,6.51601e-05,0.0320807
QDEIM,1.0,0.9,1,2,3,560,1152,0.304617,6.51601e-05,0.0320807
EQP,1.0,0.9,1,2,2048,580,198,0.025024,7.19825e-05,0.144835
SOPT,1.0,0.9,1,2,3,580,1152,0.30046,6.52165e-05,0.0328144
gappy-POD,1.0,0.9,1,2,3,580,1152,0.299832,6.51599e-05,0.0320698
QDEIM,1.0,0.9,1,2,3,580,1152,0.305356,6.51599e-05,0.0320698
EQP,1.0,0.9,1,2,2048,600,198,0.0247886,7.19825e-05,0.144835
SOPT,1.0,0.9,1,2,3,600,1152,0.302131,6.52093e-05,0.0328466
gappy-POD,1.0,0.9,1,2,3,600,1152,0.302637,6.51601e-05,0.0320779
QDEIM,1.0,0.9,1,2,3,600,1152,0.301731,6.51601e-05,0.0320779
EQP,1.0,0.9,1,2,2048,620,198,0.0252172,7.19825e-05,0.144835
SOPT,1.0,0.9,1,2,3,620,1152,0.301651,6.51973e-05,0.0327628
gappy-POD,1.0,0.9,1,2,3,620,1152,0.301818,6.51599e-05,0.0320745
QDEIM,1.0,0.9,1,2,3,620,1152,0.300222,6.51599e-05,0.0320745
EQP,1.0,0.9,1,2,2048,640,198,0.0247941,7.19825e-05,0.144835
SOPT,1.0,0.9,1,2,3,640,1152,0.308266,6.51892e-05,0.0326001
gappy-POD,1.0,0.9,1,2,3,640,1152,0.303867,6.5159e-05,0.0320666
QDEIM,1.0,0.9,1,2,3,640,1152,0.30305,6.5159e-05,0.0320666
EQP,1.0,0.9,1,2,2048,660,198,0.0251119,7.19825e-05,0.144835
SOPT,1.0,0.9,1,2,3,660,1152,0.307146,6.51751e-05,0.0321994
gappy-POD,1.0,0.9,1,2,3,660,1152,0.302525,6.5159e-05,0.032068
QDEIM,1.0,0.9,1,2,3,660,1152,0.30343,6.5159e-05,0.032068
EQP,1.0,0.9,1,2,2048,680,198,0.0250827,7.19825e-05,0.144835
SOPT,1.0,0.9,1,2,3,680,1152,0.307012,6.51802e-05,0.0323542
gappy-POD,1.0,0.9,1,2,3,680,1152,0.301249,6.5159e-05,0.0320618
QDEIM,1.0,0.9,1,2,3,680,1152,0.302111,6.5159e-05,0.0320618
EQP,1.0,0.9,1,2,2048,700,198,0.0247234,7.19825e-05,0.144835
SOPT,1.0,0.9,1,2,3,700,1152,0.300713,6.51761e-05,0.0322471
gappy-POD,1.0,0.9,1,2,3,700,1152,0.300743,6.51595e-05,0.032069
QDEIM,1.0,0.9,1,2,3,700,1152,0.305094,6.51595e-05,0.032069
EQP,1.0,0.9,1,2,2048,720,198,0.024841,7.19825e-05,0.144835
SOPT,1.0,0.9,1,2,3,720,1152,0.304009,6.51635e-05,0.0321692
gappy-POD,1.0,0.9,1,2,3,720,1152,0.299885,6.51594e-05,0.0320687
QDEIM,1.0,0.9,1,2,3,720,1152,0.299268,6.51594e-05,0.0320687
EQP,1.0,0.9,1,2,2048,740,198,0.0258902,7.19825e-05,0.144835
SOPT,1.0,0.9,1,2,3,740,1152,0.300843,6.51599e-05,0.0320695
gappy-POD,1.0,0.9,1,2,3,740,1152,0.301689,6.51592e-05,0.0320657
QDEIM,1.0,0.9,1,2,3,740,1152,0.306664,6.51592e-05,0.0320657
EQP,1.0,0.9,1,2,2048,760,198,0.0255246,7.19825e-05,0.144835
SOPT,1.0,0.9,1,2,3,760,1152,0.30181,6.51561e-05,0.0320652
gappy-POD,1.0,0.9,1,2,3,760,1152,0.305015,6.51586e-05,0.0320591
QDEIM,1.0,0.9,1,2,3,760,1152,0.309315,6.51586e-05,0.0320591
EQP,1.0,0.9,1,2,2048,780,198,0.0252827,7.19825e-05,0.144835
SOPT,1.0,0.9,1,2,3,780,1152,0.299625,6.51543e-05,0.0320899
gappy-POD,1.0,0.9,1,2,3,780,1152,0.302319,6.51585e-05,0.0320654
QDEIM,1.0,0.9,1,2,3,780,1152,0.306305,6.51585e-05,0.0320654
EQP,1.0,0.9,1,2,2048,800,198,0.0252134,7.19825e-05,0.144835
SOPT,1.0,0.9,1,2,3,800,1152,0.302036,6.51537e-05,0.0320692
gappy-POD,1.0,0.9,1,2,3,800,1152,0.303849,6.51568e-05,0.0320464
QDEIM,1.0,0.9,1,2,3,800,1152,0.302139,6.51568e-05,0.0320464
EQP,1.0,0.9,1,2,2048,820,198,0.0262408,7.19825e-05,0.144835
SOPT,1.0,0.9,1,2,3,820,1152,0.299952,6.51502e-05,0.0320086
gappy-POD,1.0,0.9,1,2,3,820,1152,0.301171,6.51578e-05,0.0320624
QDEIM,1.0,0.9,1,2,3,820,1152,0.305052,6.51578e-05,0.0320624
EQP,1.0,0.9,1,2,2048,840,198,0.0251852,7.19825e-05,0.144835
SOPT,1.0,0.9,1,2,3,840,1152,0.302003,6.51564e-05,0.0320406
gappy-POD,1.0,0.9,1,2,3,840,1152,0.300851,6.51571e-05,0.0320568
QDEIM,1.0,0.9,1,2,3,840,1152,0.29834,6.51571e-05,0.0320568
EQP,1.0,0.9,1,2,2048,860,198,0.0253111,7.19825e-05,0.144835
SOPT,1.0,0.9,1,2,3,860,1152,0.303354,6.51563e-05,0.0320036
gappy-POD,1.0,0.9,1,2,3,860,1152,0.302168,6.51568e-05,0.0320556
QDEIM,1.0,0.9,1,2,3,860,1152,0.300941,6.51568e-05,0.0320556
EQP,1.0,0.9,1,2,2048,880,198,0.0249999,7.19825e-05,0.144835
SOPT,1.0,0.9,1,2,3,880,1152,0.303279,6.51547e-05,0.0319685
gappy-POD,1.0,0.9,1,2,3,880,1152,0.304162,6.51566e-05,0.0320516
QDEIM,1.0,0.9,1,2,3,880,1152,0.305875,6.51566e-05,0.0320516
EQP,1.0,0.9,1,2,2048,900,198,0.0251406,7.19825e-05,0.144835
SOPT,1.0,0.9,1,2,3,900,1152,0.303913,6.51538e-05,0.0319873
gappy-POD,1.0,0.9,1,2,3,900,1152,0.304103,6.51576e-05,0.032067
QDEIM,1.0,0.9,1,2,3,900,1152,0.305581,6.51576e-05,0.032067
EQP,1.0,0.9,1,2,2048,920,198,0.0252717,7.19825e-05,0.144835
SOPT,1.0,0.9,1,2,3,920,1152,0.303804,6.51552e-05,0.0319878
gappy-POD,1.0,0.9,1,2,3,920,1152,0.299801,6.51568e-05,0.0320649
