method,t,energy_frac,rxdim,rvdim,nldim,q,nqp,time,err_x,err_v
EQP,5.0,0.9,2,3,2048,20,20,0.0289265,0.00230494,1.40612
SOPT,5.0,0.9,2,3,6,20,216,0.360796,0.00421609,1.07887
gappy-POD,5.0,0.9,2,3,6,20,162,0.281526,0.0049503,1.4204
QDEIM,5.0,0.9,2,3,6,20,144,0.197776,0.0049503,1.4204
EQP,5.0,0.9,2,3,2048,40,40,0.0528876,0.00171111,1.07375
SOPT,5.0,0.9,2,3,6,40,477,0.692087,0.0028343,0.636035
gappy-POD,5.0,0.9,2,3,6,40,324,0.486336,0.00351677,0.955488
QDEIM,5.0,0.9,2,3,6,40,252,0.395203,0.00351677,0.955488
EQP,5.0,0.9,2,3,2048,60,60,0.0585972,0.00170531,1.1146
SOPT,5.0,0.9,2,3,6,60,603,0.840927,0.00204974,0.499602
gappy-POD,5.0,0.9,2,3,6,60,486,0.666305,0.00299621,0.824695
QDEIM,5.0,0.9,2,3,6,60,387,0.512559,0.00299621,0.824695
EQP,5.0,0.9,2,3,2048,80,80,0.0692954,0.00162506,1.14675
SOPT,5.0,0.9,2,3,6,80,765,1.10542,0.00143568,0.463284
gappy-POD,5.0,0.9,2,3,6,80,630,0.867784,0.00256506,0.770003
QDEIM,5.0,0.9,2,3,6,80,396,0.544232,0.00256506,0.770003
EQP,5.0,0.9,2,3,2048,100,100,0.0905602,0.00212293,1.45257
SOPT,5.0,0.9,2,3,6,100,783,1.12657,0.00140138,0.465918
gappy-POD,5.0,0.9,2,3,6,100,720,1.01029,0.00236626,0.747155
QDEIM,5.0,0.9,2,3,6,100,513,0.707972,0.00236626,0.747155
EQP,5.0,0.9,2,3,2048,200,200,0.150173,0.00162847,1.46003
SOPT,5.0,0.9,2,3,6,200,1071,1.52697,0.000443872,0.33163
gappy-POD,5.0,0.9,2,3,6,200,1062,1.52129,0.000226252,0.365086
QDEIM,5.0,0.9,2,3,6,200,918,1.2082,0.000226252,0.365086
EQP,5.0,0.9,2,3,2048,300,300,0.212078,0.000947666,2.03126
SOPT,5.0,0.9,2,3,6,300,1134,1.6078,0.000172405,0.334869
gappy-POD,5.0,0.9,2,3,6,300,1116,1.58984,0.000159403,0.34194
QDEIM,5.0,0.9,2,3,6,300,1044,1.37598,0.000159403,0.34194
EQP,5.0,0.9,2,3,2048,400,400,0.24612,0.000647819,1.87409
SOPT,5.0,0.9,2,3,6,400,1152,1.64869,0.000162914,0.333179
gappy-POD,5.0,0.9,2,3,6,400,1125,1.60253,0.000160057,0.342094
QDEIM,5.0,0.9,2,3,6,400,1125,1.51219,0.000160057,0.342094
EQP,5.0,0.9,2,3,2048,500,500,0.322919,0.000498583,1.33125
SOPT,5.0,0.9,2,3,6,500,1152,1.63964,0.000161184,0.334765
gappy-POD,5.0,0.9,2,3,6,500,1152,1.60126,0.000159659,0.341981
QDEIM,5.0,0.9,2,3,6,500,1143,1.50885,0.000159659,0.341981
EQP,5.0,0.9,2,3,2048,600,600,0.350531,0.000282142,0.685429
SOPT,5.0,0.9,2,3,6,600,1152,1.62324,0.00016455,0.347328
gappy-POD,5.0,0.9,2,3,6,600,1152,1.64882,0.000159613,0.342243
QDEIM,5.0,0.9,2,3,6,600,1152,1.56375,0.000159613,0.342243
EQP,5.0,0.9,2,3,2048,700,631,0.370675,0.000224505,0.64316
SOPT,5.0,0.9,2,3,6,700,1152,1.62482,0.00016741,0.352996
gappy-POD,5.0,0.9,2,3,6,700,1152,1.6538,0.000160433,0.345256
QDEIM,5.0,0.9,2,3,6,700,1152,1.51759,0.000160433,0.345256
EQP,5.0,0.9,2,3,2048,800,631,0.36776,0.000224505,0.64316
SOPT,5.0,0.9,2,3,6,800,1152,1.60832,0.000159635,0.34321
gappy-POD,5.0,0.9,2,3,6,800,1152,1.61137,0.000159909,0.342913
QDEIM,5.0,0.9,2,3,6,800,1152,1.52757,0.000159909,0.342913
EQP,5.0,0.9,2,3,2048,900,631,0.393626,0.000224505,0.64316
SOPT,5.0,0.9,2,3,6,900,1152,1.67102,0.000160175,0.339249
gappy-POD,5.0,0.9,2,3,6,900,1152,1.65962,0.000160516,0.34418
QDEIM,5.0,0.9,2,3,6,900,1152,1.57162,0.000160516,0.34418
EQP,5.0,0.9,2,3,2048,1000,631,0.40752,0.000224505,0.64316
SOPT,5.0,0.9,2,3,6,1000,1152,1.67696,0.00015968,0.340336
gappy-POD,5.0,0.9,2,3,6,1000,1152,1.62549,0.000160361,0.345234
QDEIM,5.0,0.9,2,3,6,1000,1152,1.52955,0.000160361,0.345234
EQP,5.0,0.9,2,3,2048,1100,631,0.415168,0.000224505,0.64316
SOPT,5.0,0.9,2,3,6,1100,1152,1.64279,0.00016032,0.339385
gappy-POD,5.0,0.9,2,3,6,1100,1152,1.66287,0.000159991,0.343974
QDEIM,5.0,0.9,2,3,6,1100,1152,1.53365,0.000159991,0.343974
EQP,5.0,0.99,4,8,2048,20,20,0.0342165,0.00288406,1.55173
SOPT,5.0,0.99,4,8,15,20,198,0.327906,0.00497847,0.968681
gappy-POD,5.0,0.99,4,8,15,20,171,0.267253,0.00509556,1.07442
QDEIM,5.0,0.99,4,8,15,20,189,0.267879,0.00509556,1.07442
EQP,5.0,0.99,4,8,2048,40,40,0.0596539,0.00279772,1.62191
SOPT,5.0,0.99,4,8,15,40,360,0.543384,0.003625,0.821386
gappy-POD,5.0,0.99,4,8,15,40,333,0.489749,0.0041945,1.04157
QDEIM,5.0,0.99,4,8,15,40,324,0.51217,0.0041945,1.04157
EQP,5.0,0.99,4,8,2048,60,60,0.075438,0.00270596,1.92605
SOPT,5.0,0.99,4,8,15,60,495,0.726188,0.00267336,0.73045
gappy-POD,5.0,0.99,4,8,15,60,450,0.683127,0.00343003,0.745204
QDEIM,5.0,0.99,4,8,15,60,441,0.584316,0.00343003,0.745204
EQP,5.0,0.99,4,8,2048,80,80,0.0759128,0.00251594,1.92012
SOPT,5.0,0.99,4,8,15,80,666,0.956696,0.00175979,0.473973
gappy-POD,5.0,0.99,4,8,15,80,531,0.776909,0.00305126,0.711755
QDEIM,5.0,0.99,4,8,15,80,495,0.677706,0.00305126,0.711755
EQP,5.0,0.99,4,8,2048,100,100,0.0958143,0.0022593,1.52052
SOPT,5.0,0.99,4,8,15,100,756,1.10503,0.00155547,0.405125
gappy-POD,5.0,0.99,4,8,15,100,603,0.863985,0.00287763,0.679078
QDEIM,5.0,0.99,4,8,15,100,531,0.706487,0.00287763,0.679078
EQP,5.0,0.99,4,8,2048,200,200,0.174604,0.00214174,1.33939
SOPT,5.0,0.99,4,8,15,200,1062,1.49007,0.00013825,0.0398589
gappy-POD,5.0,0.99,4,8,15,200,882,1.15994,0.00126268,0.305951
QDEIM,5.0,0.99,4,8,15,200,801,1.05672,0.00126268,0.305951
EQP,5.0,0.99,4,8,2048,300,300,0.241437,0.00134943,2.21992
SOPT,5.0,0.99,4,8,15,300,1143,1.63884,5.31828e-05,0.0269104
gappy-POD,5.0,0.99,4,8,15,300,1089,1.55659,0.000156767,0.0444488
QDEIM,5.0,0.99,4,8,15,300,927,1.24499,0.000156767,0.0444488
EQP,5.0,0.99,4,8,2048,400,400,0.30163,0.000967337,1.19023
SOPT,5.0,0.99,4,8,15,400,1152,1.6566,5.24033e-05,0.0243718
gappy-POD,5.0,0.99,4,8,15,400,1152,1.54959,5.15677e-05,0.0277531
QDEIM,5.0,0.99,4,8,15,400,1089,1.44386,5.15677e-05,0.0277531
EQP,5.0,0.99,4,8,2048,500,500,0.369955,0.000373186,1.10282
SOPT,5.0,0.99,4,8,15,500,1152,1.64351,5.2718e-05,0.0239712
gappy-POD,5.0,0.99,4,8,15,500,1152,1.53476,5.16026e-05,0.0273296
QDEIM,5.0,0.99,4,8,15,500,1125,1.52511,5.16026e-05,0.0273296
EQP,5.0,0.99,4,8,2048,600,600,0.424039,0.000132567,0.852164
SOPT,5.0,0.99,4,8,15,600,1152,1.69386,5.15337e-05,0.0273124
gappy-POD,5.0,0.99,4,8,15,600,1152,1.5508,5.15548e-05,0.0269298
QDEIM,5.0,0.99,4,8,15,600,1134,1.51405,5.15548e-05,0.0269298
EQP,5.0,0.99,4,8,2048,700,700,0.444023,8.00195e-05,0.242927
SOPT,5.0,0.99,4,8,15,700,1152,1.68105,5.15889e-05,0.0276399
gappy-POD,5.0,0.99,4,8,15,700,1152,1.5527,5.15102e-05,0.0265536
QDEIM,5.0,0.99,4,8,15,700,1152,1.55198,5.15102e-05,0.0265536
EQP,5.0,0.99,4,8,2048,800,800,0.494114,6.86795e-05,0.20238
SOPT,5.0,0.99,4,8,15,800,1152,1.6322,5.16693e-05,0.0275575
gappy-POD,5.0,0.99,4,8,15,800,1152,1.6897,5.16372e-05,0.0267695
QDEIM,5.0,0.99,4,8,15,800,1152,1.56986,5.16372e-05,0.0267695
EQP,5.0,0.99,4,8,2048,900,900,0.615574,5.95501e-05,0.0787253
SOPT,5.0,0.99,4,8,15,900,1152,1.69077,5.1689e-05,0.0271472
gappy-POD,5.0,0.99,4,8,15,900,1152,1.69665,5.15552e-05,0.0268853
QDEIM,5.0,0.99,4,8,15,900,1152,1.54714,5.15552e-05,0.0268853
EQP,5.0,0.99,4,8,2048,1000,941,0.579016,5.64933e-05,0.0701692
SOPT,5.0,0.99,4,8,15,1000,1152,1.6412,5.15788e-05,0.026507
gappy-POD,5.0,0.99,4,8,15,1000,1152,1.68351,5.15635e-05,0.0270292
QDEIM,5.0,0.99,4,8,15,1000,1152,1.57657,5.15635e-05,0.0270292
EQP,5.0,0.99,4,8,2048,1100,941,0.636832,5.64933e-05,0.0701692
SOPT,5.0,0.99,4,8,15,1100,1152,1.69062,5.14659e-05,0.0270074
gappy-POD,5.0,0.99,4,8,15,1100,1152,1.68909,5.15487e-05,0.0268448
QDEIM,5.0,0.99,4,8,15,1100,1152,1.54967,5.15487e-05,0.0268448
EQP,5.0,0.999,7,15,2048,20,20,0.038985,0.00321675,1.46728
SOPT,5.0,0.999,7,15,35,20,0,,,
gappy-POD,5.0,0.999,7,15,35,20,0,,,
QDEIM,5.0,0.999,7,15,35,20,0,,,
EQP,5.0,0.999,7,15,2048,40,40,0.0768243,0.00316742,1.48357
SOPT,5.0,0.999,7,15,35,40,405,0.609666,0.00415239,2.28171
gappy-POD,5.0,0.999,7,15,35,40,306,0.444429,0.00484039,1.34701
QDEIM,5.0,0.999,7,15,35,40,351,0.532025,0.00484039,1.34701
EQP,5.0,0.999,7,15,2048,60,60,0.0801308,0.0030895,1.49788
SOPT,5.0,0.999,7,15,35,60,495,0.744333,0.00366756,1.29445
gappy-POD,5.0,0.999,7,15,35,60,414,0.633035,0.00445401,1.54252
QDEIM,5.0,0.999,7,15,35,60,468,0.625902,0.00445401,1.54252
EQP,5.0,0.999,7,15,2048,80,80,0.10663,0.00270993,1.54681
SOPT,5.0,0.999,7,15,35,80,594,0.833177,0.00244188,0.736997
gappy-POD,5.0,0.999,7,15,35,80,522,0.787531,0.00387042,1.26229
QDEIM,5.0,0.999,7,15,35,80,594,0.792005,0.00387042,1.26229
EQP,5.0,0.999,7,15,2048,100,100,0.134798,0.00260237,1.61346
SOPT,5.0,0.999,7,15,35,100,675,0.916878,0.0019806,0.70157
gappy-POD,5.0,0.999,7,15,35,100,621,0.907836,0.00338546,1.16465
QDEIM,5.0,0.999,7,15,35,100,648,0.884096,0.00338546,1.16465
EQP,5.0,0.999,7,15,2048,200,200,0.221074,0.00227792,1.37521
SOPT,5.0,0.999,7,15,35,200,1026,1.48816,0.000380186,0.17367
gappy-POD,5.0,0.999,7,15,35,200,855,1.16969,0.00157013,0.476655
QDEIM,5.0,0.999,7,15,35,200,855,1.14474,0.00157013,0.476655
EQP,5.0,0.999,7,15,2048,300,300,0.27535,0.00155871,1.29703
SOPT,5.0,0.999,7,15,35,300,1125,1.52607,9.99751e-05,0.0557078
gappy-POD,5.0,0.999,7,15,35,300,1071,1.53275,0.000220617,0.0892049
QDEIM,5.0,0.999,7,15,35,300,1008,1.35422,0.000220617,0.0892049
