method,dt,energy_frac,rxdim,rvdim,nldim,nqp,time,err_x,err_v
EQP,0.01,0.9,2,3,500,,0.0311962,0.00266214,1.5492
SOPT,0.01,0.9,2,3,6,117,0.17836,0.00525321,1.15462
gappy-POD,0.01,0.9,2,3,6,90,0.137147,0.00566775,1.60417
QDEIM,0.01,0.9,2,3,6,90,0.134529,0.00566775,1.60417
EQP,0.01,0.99,4,8,500,,0.077227,0.0032661,1.48218
SOPT,0.01,0.99,4,8,15,297,0.414542,0.00408538,0.813146
gappy-POD,0.01,0.99,4,8,15,234,0.336822,0.00478091,0.952867
QDEIM,0.01,0.99,4,8,15,270,0.376763,0.00478091,0.952867
EQP,0.01,0.999,7,15,500,,0.18834,0.0030968,1.42183
SOPT,0.01,0.999,7,15,35,567,0.771968,0.00277431,0.978245
gappy-POD,0.01,0.999,7,15,35,495,0.67452,0.00431567,1.37661
QDEIM,0.01,0.999,7,15,35,558,0.770675,0.00431567,1.37661
EQP,0.01,0.9999,12,30,500,,0.592577,0.00271468,1.34192
SOPT,0.01,0.9999,12,30,56,810,1.09223,0.00160979,0.487511
gappy-POD,0.01,0.9999,12,30,56,648,0.887587,0.00263872,0.751953
QDEIM,0.01,0.9999,12,30,56,738,1.00571,0.00263872,0.751953
EQP,0.01,0.99999,18,50,500,,1.55146,0.00231426,1.70904
SOPT,0.01,0.99999,18,50,73,873,1.21626,0.000993482,0.36068
gappy-POD,0.01,0.99999,18,50,73,738,1.02273,0.00209692,0.748736
QDEIM,0.01,0.99999,18,50,73,864,1.18442,0.00209692,0.748736
EQP,0.01,0.999999,32,68,500,,2.83591,0.00194131,2.55315
SOPT,0.01,0.999999,32,68,88,1044,1.43363,0.000259724,0.105368
gappy-POD,0.01,0.999999,32,68,88,864,1.18419,0.00147766,0.900658
QDEIM,0.01,0.999999,32,68,88,1062,1.46187,0.00147766,0.900658
EQP,0.01,0.9999999,48,84,500,,4.13522,0.00835482,144.726
SOPT,0.01,0.9999999,48,84,99,1044,1.4633,0.000342929,0.148738
gappy-POD,0.01,0.9999999,48,84,99,990,1.40378,0.000577317,0.263189
QDEIM,0.01,0.9999999,48,84,99,1098,1.53488,0.000577317,0.263189
EQP,0.01,0.9,2,3,200,,0.0438354,0.0026415,1.54565
EQP,0.01,0.99,4,8,200,,0.147175,0.00314211,1.42738
EQP,0.01,0.999,7,15,200,,0.394577,0.0028713,1.36186
EQP,0.01,0.9999,12,30,200,,1.34394,0.00176449,1.24398
EQP,0.01,0.99999,18,50,200,,3.50538,0.00114748,2.28022
EQP,0.01,0.999999,32,68,200,,6.25777,0.00112927,3.75155
EQP,0.01,0.9999999,48,84,200,,9.35255,0.00156258,21.1348
EQP,0.01,0.9,2,3,100,,0.0549686,0.00261104,1.54687
EQP,0.01,0.99,4,8,100,,0.230406,0.00277521,1.41792
EQP,0.01,0.999,7,15,100,,0.646015,0.00334212,2.80934
EQP,0.01,0.9999,12,30,100,,2.1972,0.0097852,21.8725
EQP,0.01,0.99999,18,50,100,,5.42574,0.000441431,2.9919
EQP,0.01,0.999999,32,68,100,,9.54532,0.000503271,5.35232
EQP,0.01,0.9999999,48,84,100,,13.9197,nan,nan
EQP,0.01,0.9,2,3,50,,0.0832262,0.00205394,1.29805
EQP,0.01,0.99,4,8,50,,0.3481,0.00100276,1.39691
EQP,0.01,0.999,7,15,50,,0.925078,0.000908666,1.26244
EQP,0.01,0.9,2,3,50,,0.0797887,0.00205394,1.29805
EQP,0.01,0.99,4,8,50,,0.348104,0.00100276,1.39691
EQP,0.01,0.999,7,15,50,,0.928342,0.000908666,1.26244
EQP,0.01,0.9999,12,30,50,,2.88816,0.000600514,2.19236
EQP,0.01,0.99999,18,50,50,,7.07903,nan,nan
EQP,0.01,0.999999,32,68,50,,12.4057,nan,nan
EQP,0.01,0.9999999,48,84,50,,18.1572,nan,nan
EQP,0.01,0.9,2,3,25,,0.110971,0.00258689,8.03352
EQP,0.01,0.99,4,8,25,,0.476459,0.00157271,3.23611
EQP,0.01,0.999,7,15,25,,1.2953,0.00201798,1.37388
EQP,0.01,0.9999,12,30,25,,3.94933,0.000557041,2.7138
EQP,0.01,0.99999,18,50,25,,9.79741,0.000236951,2.3676
EQP,0.01,0.999999,32,68,25,,16.8042,0.000136223,2.20873
EQP,0.01,0.9999999,48,84,25,,23.5193,nan,nan
