method,t,dt,rs,ef,rxdim,rvdim,nqp,nvar,m,n,time,errx,errv
EQP,1.0,0.01,3,0.9,1,2,200,4386,202,8192,0.0557746,7.51115e-05,0.24646
EQP,1.0,0.01,3,0.99,2,4,399,4386,404,8192,0.174196,0.000159768,0.227239
EQP,1.0,0.01,3,0.999,4,8,755,4386,808,8192,0.589513,0.000112927,0.290317
EQP,1.0,0.01,3,0.9999,6,13,1177,4386,1313,8192,1.45298,8.18389e-05,0.123825
EQP,1.0,0.01,3,0.99999,8,22,1674,4386,2222,8192,3.55966,5.88059e-05,0.200687
EQP,1.0,0.01,3,0.999999,12,30,2060,4386,3030,8192,5.71747,4.29805e-05,0.126649
EQP,1.0,0.01,3,0.9999999,19,37,2320,4386,3737,8192,8.03871,3.35315e-05,0.0572497
EQP,1.0,0.01,4,0.9,1,1,31,16962,101,32768,0.051649,nan,nan
EQP,1.0,0.01,4,0.99,1,2,62,16962,202,32768,0.0768676,nan,nan
EQP,1.0,0.01,4,0.999,1,2,62,16962,202,32768,0.0765451,nan,nan
EQP,1.0,0.01,4,0.9999,1,2,62,16962,202,32768,0.0765749,nan,nan
EQP,1.0,0.01,4,0.99999,1,2,62,16962,202,32768,0.0766432,nan,nan
EQP,1.0,0.01,4,0.999999,1,2,62,16962,202,32768,0.0772277,nan,nan
EQP,1.0,0.01,4,0.9999999,1,2,62,16962,202,32768,0.0768832,nan,nan
EQP,1.0,0.008,4,0.9,1,2,250,16962,252,32768,0.105368,8.18074e-05,0.263476
EQP,1.0,0.008,4,0.99,2,4,499,16962,504,32768,0.319206,0.000191382,0.255829
EQP,1.0,0.008,4,0.999,3,8,980,16962,1008,32768,1.10302,0.000185897,0.232797
EQP,1.0,0.008,4,0.9999,5,14,1647,16962,1764,32768,2.96341,0.000180337,0.236594
EQP,1.0,0.008,4,0.99999,8,22,,16962,,,,-nan,nan
EQP,1.0,0.008,4,0.999999,12,31,3681,16962,3906,32768,13.6325,0.000168935,0.195994
EQP,1.0,0.008,4,0.9999999,19,39,4458,16962,4914,32768,20.824,0.000144503,0.226171
