method,t,energy_frac,rxdim,rvdim,nldim,q,nqp,time,err_x,err_v
EQP,1.0,0.9,1,2,198,202,,0.0249684,7.19825e-05,0.144835
SOPT,1.0,0.9,1,2,3,40,360,0.102144,0.00118782,0.195167
gappy-POD,1.0,0.9,1,2,3,40,261,0.0736734,0.00175896,0.275633
QDEIM,1.0,0.9,1,2,3,40,234,0.0674267,0.00175896,0.275633
SOPT,1.0,0.9,1,2,3,60,531,0.142792,0.000839056,0.146275
gappy-POD,1.0,0.9,1,2,3,60,378,0.105506,0.00164808,0.260254
QDEIM,1.0,0.9,1,2,3,60,351,0.0983162,0.00164808,0.260254
SOPT,1.0,0.9,1,2,3,80,711,0.190965,0.000608378,0.113424
gappy-POD,1.0,0.9,1,2,3,80,504,0.136602,0.00143101,0.230123
QDEIM,1.0,0.9,1,2,3,80,441,0.119899,0.00143101,0.230123
SOPT,1.0,0.9,1,2,3,100,765,0.204369,0.000562461,0.107045
gappy-POD,1.0,0.9,1,2,3,100,621,0.167667,0.00117076,0.193779
QDEIM,1.0,0.9,1,2,3,100,540,0.145541,0.00117076,0.193779
SOPT,1.0,0.9,1,2,3,120,801,0.213324,0.00049629,0.097371
gappy-POD,1.0,0.9,1,2,3,120,684,0.183294,0.00103173,0.174319
QDEIM,1.0,0.9,1,2,3,120,639,0.173875,0.00103173,0.174319
SOPT,1.0,0.9,1,2,3,140,873,0.229672,0.000374135,0.0808155
gappy-POD,1.0,0.9,1,2,3,140,693,0.186603,0.00101294,0.171705
QDEIM,1.0,0.9,1,2,3,140,747,0.201929,0.00101294,0.171705
SOPT,1.0,0.9,1,2,3,160,918,0.245344,0.000316382,0.0733274
gappy-POD,1.0,0.9,1,2,3,160,729,0.197523,0.000983481,0.167592
QDEIM,1.0,0.9,1,2,3,160,747,0.199685,0.000983481,0.167592
SOPT,1.0,0.9,1,2,3,180,945,0.253227,0.000264141,0.0657763
gappy-POD,1.0,0.9,1,2,3,180,765,0.205975,0.000913773,0.157836
QDEIM,1.0,0.9,1,2,3,180,774,0.207554,0.000913773,0.157836
SOPT,1.0,0.9,1,2,3,200,981,0.263588,0.000224464,0.0608267
gappy-POD,1.0,0.9,1,2,3,200,810,0.219708,0.000755708,0.135715
QDEIM,1.0,0.9,1,2,3,200,801,0.216264,0.000755708,0.135715
SOPT,1.0,0.9,1,2,3,220,1017,0.272589,0.000186518,0.055834
gappy-POD,1.0,0.9,1,2,3,220,837,0.225292,0.000673733,0.124178
QDEIM,1.0,0.9,1,2,3,220,837,0.226144,0.000673733,0.124178
SOPT,1.0,0.9,1,2,3,240,1044,0.28102,0.000153533,0.0509533
gappy-POD,1.0,0.9,1,2,3,240,855,0.227613,0.000629712,0.118005
QDEIM,1.0,0.9,1,2,3,240,864,0.231922,0.000629712,0.118005
SOPT,1.0,0.9,1,2,3,260,1080,0.286917,0.000109517,0.0436139
gappy-POD,1.0,0.9,1,2,3,260,882,0.234954,0.000527826,0.103645
QDEIM,1.0,0.9,1,2,3,260,882,0.239192,0.000527826,0.103645
SOPT,1.0,0.9,1,2,3,280,1107,0.290854,8.43217e-05,0.0389275
gappy-POD,1.0,0.9,1,2,3,280,900,0.238541,0.000485011,0.0976692
QDEIM,1.0,0.9,1,2,3,280,927,0.248358,0.000485011,0.0976692
SOPT,1.0,0.9,1,2,3,300,1143,0.296927,6.48887e-05,0.0326282
gappy-POD,1.0,0.9,1,2,3,300,918,0.245411,0.000463657,0.0946886
QDEIM,1.0,0.9,1,2,3,300,954,0.255147,0.000463657,0.0946886
SOPT,1.0,0.9,1,2,3,320,1152,0.310784,6.51193e-05,0.0313782
gappy-POD,1.0,0.9,1,2,3,320,954,0.255526,0.000429438,0.0898602
QDEIM,1.0,0.9,1,2,3,320,954,0.257114,0.000429438,0.0898602
SOPT,1.0,0.9,1,2,3,340,1152,0.306523,6.51358e-05,0.0315872
gappy-POD,1.0,0.9,1,2,3,340,972,0.26194,0.0003827,0.0833253
