method,t,energy_frac,rxdim,rvdim,nldim,nqp,time,err_x,err_v
EQP,1.0,0.9,1,2,198,202,,0.0259165,7.19825e-05,0.144835
SOPT,1.0,0.9,1,2,3,50,477,0.133075,0.000916466,0.15712
gappy-POD,1.0,0.9,1,2,3,50,324,0.092593,0.00170597,0.268318
QDEIM,1.0,0.9,1,2,3,50,288,0.0798486,0.00170597,0.268318
SOPT,1.0,0.9,1,2,3,100,765,0.204294,0.000562461,0.107045
gappy-POD,1.0,0.9,1,2,3,100,621,0.169133,0.00117076,0.193779
QDEIM,1.0,0.9,1,2,3,100,540,0.146382,0.00117076,0.193779
SOPT,1.0,0.9,1,2,3,150,891,0.236606,0.000362733,0.0797262
gappy-POD,1.0,0.9,1,2,3,150,720,0.192938,0.00100296,0.1703
QDEIM,1.0,0.9,1,2,3,150,747,0.201441,0.00100296,0.1703
SOPT,1.0,0.9,1,2,3,200,981,0.263983,0.000224464,0.0608267
gappy-POD,1.0,0.9,1,2,3,200,810,0.217358,0.000755708,0.135715
QDEIM,1.0,0.9,1,2,3,200,801,0.216445,0.000755708,0.135715
SOPT,1.0,0.9,1,2,3,250,1071,0.282871,0.000124888,0.0459973
gappy-POD,1.0,0.9,1,2,3,250,864,0.231934,0.00059606,0.113254
QDEIM,1.0,0.9,1,2,3,250,873,0.23594,0.00059606,0.113254
SOPT,1.0,0.9,1,2,3,300,1143,0.301909,6.48887e-05,0.0326282
gappy-POD,1.0,0.9,1,2,3,300,918,0.246297,0.000463657,0.0946886
QDEIM,1.0,0.9,1,2,3,300,954,0.253968,0.000463657,0.0946886
SOPT,1.0,0.9,1,2,3,350,1152,0.306341,6.51216e-05,0.0314103
gappy-POD,1.0,0.9,1,2,3,350,990,0.261648,0.000359422,0.0800448
QDEIM,1.0,0.9,1,2,3,350,963,0.258043,0.000359422,0.0800448
SOPT,1.0,0.9,1,2,3,400,1152,0.305169,6.5172e-05,0.0320389
gappy-POD,1.0,0.9,1,2,3,400,1152,0.304902,6.51618e-05,0.0321242
QDEIM,1.0,0.9,1,2,3,400,1107,0.297727,6.51618e-05,0.0321242
SOPT,1.0,0.9,1,2,3,450,1152,0.316088,6.52103e-05,0.0328287
gappy-POD,1.0,0.9,1,2,3,450,1152,0.303792,6.51613e-05,0.0321101
QDEIM,1.0,0.9,1,2,3,450,1116,0.294927,6.51613e-05,0.0321101
SOPT,1.0,0.9,1,2,3,500,1152,0.307029,6.51921e-05,0.0326877
gappy-POD,1.0,0.9,1,2,3,500,1152,0.308907,6.51603e-05,0.0320856
QDEIM,1.0,0.9,1,2,3,500,1134,0.299954,6.51603e-05,0.0320856
SOPT,1.0,0.9,1,2,3,550,1152,0.307028,6.52044e-05,0.0326034
gappy-POD,1.0,0.9,1,2,3,550,1152,0.30523,6.51606e-05,0.0320849
QDEIM,1.0,0.9,1,2,3,550,1152,0.308992,6.51606e-05,0.0320849
SOPT,1.0,0.9,1,2,3,600,1152,0.30401,6.52093e-05,0.0328466
gappy-POD,1.0,0.9,1,2,3,600,1152,0.304455,6.51601e-05,0.0320779
QDEIM,1.0,0.9,1,2,3,600,1152,0.306376,6.51601e-05,0.0320779
SOPT,1.0,0.9,1,2,3,650,1152,0.305862,6.51794e-05,0.0324621
gappy-POD,1.0,0.9,1,2,3,650,1152,0.305666,6.51595e-05,0.0320713
QDEIM,1.0,0.9,1,2,3,650,1152,0.304558,6.51595e-05,0.0320713
SOPT,1.0,0.9,1,2,3,700,1152,0.308047,6.51761e-05,0.0322471
gappy-POD,1.0,0.9,1,2,3,700,1152,0.304537,6.51595e-05,0.032069
QDEIM,1.0,0.9,1,2,3,700,1152,0.30663,6.51595e-05,0.032069
SOPT,1.0,0.9,1,2,3,750,1152,0.308075,6.51567e-05,0.0320921
gappy-POD,1.0,0.9,1,2,3,750,1152,0.30695,6.51592e-05,0.0320643
QDEIM,1.0,0.9,1,2,3,750,1152,0.307331,6.51592e-05,0.0320643
SOPT,1.0,0.9,1,2,3,800,1152,0.30589,6.51537e-05,0.0320692
gappy-POD,1.0,0.9,1,2,3,800,1152,0.309699,6.51568e-05,0.0320464
QDEIM,1.0,0.9,1,2,3,800,1152,0.307205,6.51568e-05,0.0320464
SOPT,1.0,0.9,1,2,3,850,1152,0.306148,6.51519e-05,0.0319812
gappy-POD,1.0,0.9,1,2,3,850,1152,0.307159,6.5157e-05,0.0320564
