method,t,energy_frac,rxdim,rvdim,nldim,nqp,time,err_x,err_v
EQP,1.0,0.9,1,2,198,202,2048,0.025672,7.19825e-05,0.144835
SOPT,1.0,0.9,1,2,3,30,288,0.0811607,0.00131945,0.287995
gappy-POD,1.0,0.9,1,2,3,30,198,0.0577496,0.00179837,0.287995
QDEIM,1.0,0.9,1,2,3,30,198,0.0575937,0.00179837,0.287995
SOPT,1.0,0.9,1,2,3,60,531,0.144008,0.000826481,0.287995
gappy-POD,1.0,0.9,1,2,3,60,378,0.103763,0.00164827,0.287995
QDEIM,1.0,0.9,1,2,3,60,351,0.0972427,0.00164827,0.287995
SOPT,1.0,0.9,1,2,3,90,765,0.205162,0.000543157,0.287995
gappy-POD,1.0,0.9,1,2,3,90,558,0.151092,0.00132824,0.287995
QDEIM,1.0,0.9,1,2,3,90,504,0.136455,0.00132824,0.287995
SOPT,1.0,0.9,1,2,3,120,801,0.213742,0.00047432,0.287995
gappy-POD,1.0,0.9,1,2,3,120,684,0.186488,0.00102487,0.287995
QDEIM,1.0,0.9,1,2,3,120,639,0.17117,0.00102487,0.287995
SOPT,1.0,0.9,1,2,3,150,891,0.237274,0.000336968,0.287995
gappy-POD,1.0,0.9,1,2,3,150,720,0.191902,0.000995595,0.287995
QDEIM,1.0,0.9,1,2,3,150,747,0.200025,0.000995595,0.287995
SOPT,1.0,0.9,1,2,3,180,945,0.25142,0.000234097,0.287995
gappy-POD,1.0,0.9,1,2,3,180,765,0.203087,0.000904727,0.287995
QDEIM,1.0,0.9,1,2,3,180,774,0.204762,0.000904727,0.287995
SOPT,1.0,0.9,1,2,3,210,999,0.266038,0.000177589,0.287995
gappy-POD,1.0,0.9,1,2,3,210,828,0.219524,0.000691334,0.287995
QDEIM,1.0,0.9,1,2,3,210,828,0.218684,0.000691334,0.287995
SOPT,1.0,0.9,1,2,3,240,1044,0.275552,0.000121815,0.287995
gappy-POD,1.0,0.9,1,2,3,240,855,0.226757,0.000612371,0.287995
QDEIM,1.0,0.9,1,2,3,240,864,0.230013,0.000612371,0.287995
SOPT,1.0,0.9,1,2,3,270,1080,0.285814,8.13371e-05,0.287995
gappy-POD,1.0,0.9,1,2,3,270,882,0.234391,0.000506346,0.287995
QDEIM,1.0,0.9,1,2,3,270,909,0.24518,0.000506346,0.287995
SOPT,1.0,0.9,1,2,3,300,1143,0.301821,7.68344e-05,0.287995
gappy-POD,1.0,0.9,1,2,3,300,918,0.244432,0.00044017,0.287995
QDEIM,1.0,0.9,1,2,3,300,954,0.254771,0.00044017,0.287995
SOPT,1.0,0.9,1,2,3,330,1152,0.302895,8.30217e-05,0.287995
gappy-POD,1.0,0.9,1,2,3,330,954,0.251977,0.000404821,0.287995
QDEIM,1.0,0.9,1,2,3,330,954,0.254521,0.000404821,0.287995
SOPT,1.0,0.9,1,2,3,360,1152,0.304824,8.30217e-05,0.287995
gappy-POD,1.0,0.9,1,2,3,360,990,0.26205,0.000332561,0.287995
QDEIM,1.0,0.9,1,2,3,360,981,0.263217,0.000332561,0.287995
SOPT,1.0,0.9,1,2,3,390,1152,0.304886,8.30217e-05,0.287995
gappy-POD,1.0,0.9,1,2,3,390,1143,0.302492,7.59315e-05,0.287995
QDEIM,1.0,0.9,1,2,3,390,1080,0.287073,7.59315e-05,0.287995
SOPT,1.0,0.9,1,2,3,420,1152,0.30589,8.30217e-05,0.287995
gappy-POD,1.0,0.9,1,2,3,420,1152,0.305063,8.30217e-05,0.287995
QDEIM,1.0,0.9,1,2,3,420,1116,0.298123,8.30217e-05,0.287995
SOPT,1.0,0.9,1,2,3,450,1152,0.303684,8.30217e-05,0.287995
gappy-POD,1.0,0.9,1,2,3,450,1152,0.305699,8.30217e-05,0.287995
QDEIM,1.0,0.9,1,2,3,450,1116,0.297379,8.30217e-05,0.287995
SOPT,1.0,0.9,1,2,3,480,1152,0.304287,8.30217e-05,0.287995
gappy-POD,1.0,0.9,1,2,3,480,1152,0.305248,8.30217e-05,0.287995
QDEIM,1.0,0.9,1,2,3,480,1134,0.304455,8.30217e-05,0.287995
SOPT,1.0,0.9,1,2,3,510,1152,0.30498,8.30217e-05,0.287995
gappy-POD,1.0,0.9,1,2,3,510,1152,0.306813,8.30217e-05,0.287995
QDEIM,1.0,0.9,1,2,3,510,1134,0.30174,8.30217e-05,0.287995
SOPT,1.0,0.9,1,2,3,540,1152,0.303625,8.30217e-05,0.287995
gappy-POD,1.0,0.9,1,2,3,540,1152,0.316207,8.30217e-05,0.287995
QDEIM,1.0,0.9,1,2,3,540,1152,0.305413,8.30217e-05,0.287995
SOPT,1.0,0.9,1,2,3,570,1152,0.307416,8.30217e-05,0.287995
gappy-POD,1.0,0.9,1,2,3,570,1152,0.310009,8.30217e-05,0.287995
QDEIM,1.0,0.9,1,2,3,570,1152,0.306137,8.30217e-05,0.287995
SOPT,1.0,0.9,1,2,3,600,1152,0.304826,8.30217e-05,0.287995
gappy-POD,1.0,0.9,1,2,3,600,1152,0.305194,8.30217e-05,0.287995
QDEIM,1.0,0.9,1,2,3,600,1152,0.306505,8.30217e-05,0.287995
SOPT,1.0,0.9,1,2,3,630,1152,0.302876,8.30217e-05,0.287995
gappy-POD,1.0,0.9,1,2,3,630,1152,0.307832,8.30217e-05,0.287995
QDEIM,1.0,0.9,1,2,3,630,1152,0.309369,8.30217e-05,0.287995
SOPT,1.0,0.9,1,2,3,660,1152,0.305542,8.30217e-05,0.287995
gappy-POD,1.0,0.9,1,2,3,660,1152,0.305658,8.30217e-05,0.287995
QDEIM,1.0,0.9,1,2,3,660,1152,0.306187,8.30217e-05,0.287995
SOPT,1.0,0.9,1,2,3,690,1152,0.306788,8.30217e-05,0.287995
gappy-POD,1.0,0.9,1,2,3,690,1152,0.312461,8.30217e-05,0.287995
QDEIM,1.0,0.9,1,2,3,690,1152,0.304514,8.30217e-05,0.287995
SOPT,1.0,0.9,1,2,3,720,1152,0.307952,8.30217e-05,0.287995
gappy-POD,1.0,0.9,1,2,3,720,1152,0.305391,8.30217e-05,0.287995
QDEIM,1.0,0.9,1,2,3,720,1152,0.30815,8.30217e-05,0.287995
SOPT,1.0,0.9,1,2,3,750,1152,0.303796,8.30217e-05,0.287995
gappy-POD,1.0,0.9,1,2,3,750,1152,0.307513,8.30217e-05,0.287995
QDEIM,1.0,0.9,1,2,3,750,1152,0.306947,8.30217e-05,0.287995
SOPT,1.0,0.9,1,2,3,780,1152,0.304831,8.30217e-05,0.287995
gappy-POD,1.0,0.9,1,2,3,780,1152,0.304824,8.30217e-05,0.287995
QDEIM,1.0,0.9,1,2,3,780,1152,0.307788,8.30217e-05,0.287995
SOPT,1.0,0.9,1,2,3,810,1152,0.305841,8.30217e-05,0.287995
gappy-POD,1.0,0.9,1,2,3,810,1152,0.304471,8.30217e-05,0.287995
QDEIM,1.0,0.9,1,2,3,810,1152,0.306347,8.30217e-05,0.287995
SOPT,1.0,0.9,1,2,3,840,1152,0.304585,8.30217e-05,0.287995
gappy-POD,1.0,0.9,1,2,3,840,1152,0.30542,8.30217e-05,0.287995
QDEIM,1.0,0.9,1,2,3,840,1152,0.309826,8.30217e-05,0.287995
SOPT,1.0,0.9,1,2,3,870,1152,0.30443,8.30217e-05,0.287995
gappy-POD,1.0,0.9,1,2,3,870,1152,0.306053,8.30217e-05,0.287995
QDEIM,1.0,0.9,1,2,3,870,1152,0.306575,8.30217e-05,0.287995
SOPT,1.0,0.9,1,2,3,900,1152,0.306227,8.30217e-05,0.287995
gappy-POD,1.0,0.9,1,2,3,900,1152,0.307957,8.30217e-05,0.287995
QDEIM,1.0,0.9,1,2,3,900,1152,0.307235,8.30217e-05,0.287995
SOPT,1.0,0.9,1,2,3,930,1152,0.303921,8.30217e-05,0.287995
gappy-POD,1.0,0.9,1,2,3,930,1152,0.305757,8.30217e-05,0.287995
QDEIM,1.0,0.9,1,2,3,930,1152,0.309181,8.30217e-05,0.287995
